"location" "miles"
"Thomas - Hazel Cross Library
115 W Broadway
Thomas, OK" 1.54305631581966
"Union Library Company Of Hatborough
243 South York Rd
Hatboro, PA" 3.70830509695789
"Tahlequah Public Library
120 South College
Tahlequah, OK" 3.82622019545247
"Mt. Angel Public Library
290 E Charles St
Mount Angel, OR" 4.63254717687396
"Chartiers-Houston Com Library
730 West Grant St
Houston, PA" 5.45780507760072
"Tri Valley Free Public Library
633 East Main St
Hegins, PA" 5.66111802715984
"Grove Family Library
101 Ragged Edge Rd South
Chambersburg, PA" 6.88299724048938
"J. Lewis Crozer Library
620 Engle St
Chester, PA" 6.88299724048938
"Hawley Library
103 Main St
Hawley, PA" 7.0936451043209
"William H. Marion C. Alexander Family Library
200 West Second Street
Hummelstown, PA" 7.14276501827248
"Hellertown Area Library
409 Constitution Ave
Hellertown, PA" 7.37799254382006
"Penn Area Library
2001 Municipal Court
Harrison City, PA" 8.33171283400264
"Dora Public Library
56125 Goldbrick Rd
Myrtle Point, OR" 9.11238602355166
"Newberg Public Library
503 E Hancock St
Newberg, OR" 9.17947419639026
"Somerset County Library - Conemaugh Township Branch
120 Whistler Street
Hollsopple, PA" 9.41452198753483
"Hershey Public Library
701 Cocoa Ave.
Hershey, PA" 10.624441230119
"Honey Brook Community Library
687 Compass Road
Honey Brook, PA" 10.7728476485898
"Huntingdon Valley Library
625 Red Lion Rd
Huntingdon Valley, PA" 12.5042591669134
"Shawnee Public Library
101 N. Philadelphia
Shawnee, OK" 14.3337107536437
"Blanchester Public Library
110 N. Broadway
Blanchester, OH" 14.3768440693312
"Stigler Public Library
402 Ne 6th
Stigler, OK" 14.5836867013342
"Illinois Valley Branch Library
209 W Palmer St
Cave Junction, OR" 14.604373143734
"Valliant - Mattie Terry Library
311 N Johnson
Valliant, OK" 14.9462986330223
"Pequea Valley Public Library
31 Center Street
Intercourse, PA" 16.9490211602266
"Potter-Tioga Library System
502 Park Avenue
Coudersport, PA" 18.5732263257189
"Bucks County Free Library - Langhorne Branch
301 S. Pine Street
