"location" "miles"
"Aurora Public Library
14949 East Alameda Parkway
Aurora, CO" 3.0939826437856
"Chambers Plaza Library
15057 Colfax Avenue
Aurora, CO" 3.94763701510084
"South Branch Library
15324 East Hampden Circle
Aurora, CO" 4.51492120366015
"Iliff Square Library
2245 South Peoria Street
Aurora, CO" 5.09316726630872
"Smoky Hill Public Library
5430 South Biscay Circle
Centennial, CO" 5.86360505395529
"Moorhead Branch
2390 Havana Street
Aurora, CO" 6.66627990568314
"Martin Luther King Jr. Branch Library
9901 East 16th Avenue
Aurora, CO" 6.69816507893639
"Montbello Branch
12955 Albrook Drive
Denver, CO" 6.94009772769804
"Hampden Branch
9755 East Girard Avenue
Denver, CO" 7.0467301910488
"Schlessman Family Branch
100 South Poplar Street
Denver, CO" 7.83383448545038
"Virginia Village Branch
1500 South Dahlia Street
Denver, CO" 9.26549596743154
"Glendale Library
999 South Clermont
Glendale, CO" 9.44217512745456
"Arapahoe Library District
12855 East Adam Aircraft Circle
Englewood, CO" 9.63062173340745
"Arapahoe Library District
12855 E. Adam Aircraft Circle
Englewood, CO" 9.63062173340745
"Pauline Robinson Branch
5575 E 33rd Ave
Denver, CO" 9.74670833537508
"Park Hill Branch
4705 Montview Boulevard
Denver, CO" 9.80204508033314
"Ross-University Hills Branch
4310 East Amherst Avenue
Denver, CO" 9.89507294403943
"Castlewood Library
6739 South Uinta Street
Centennial, CO" 10.4022604119914
"Ross-Cherry Creek Branch
305 Milwaukee Street
Denver, CO" 10.4373448550397
"Eugene Field Library
810 South University Boulevard
Denver, CO" 10.6990549730854
"Koelbel Library
5955 South Holly Street
Centennial, CO" 10.9448193073705
"Ford Warren Library
2825 High Street
Denver, CO" 11.6540247047012
"Commerce City Branch Library
7185 Monaco
Commerce City, CO" 11.9142225077483
"Decker Branch
1501 South Logan Street
Denver, CO" 12.0190712977634
"Valdez-Perry
4690 Vine Street
Denver, CO" 12.1606252450911
"Ross-Broadway Branch
33 East Bayaud Avenue
Denver, CO" 12.2010733544779
"Blair-Caldwell Library
2401 Welton Street
Denver, CO" 12.3903829954434
"Denver Public Library
10 W 14th Avenue Parkway
Denver, CO" 12.4824058067747
"Parker Library
10851 So. Crossroads Dr.
Parker, CO" 12.6586990297772
"Neighborhood Library At Lone Tree
8827 Lone Tree Pkwy
Lone Tree, CO" 12.7435542516523
"Byers Library
675 Santa Fe Drive
Denver, CO" 12.9339329729538
"Englewood Public Library
1000 Englewood Parkway
Englewood, CO" 13.2569847137148
"Athmar Park Branch
1055 S. Tejon Street
Denver, CO" 13.6118237192007
"Southglenn Library
7500 South University Blvd, 101
Centennial, CO" 13.6541587336253
"Southglenn Public Library
7500 South University Blvd., 101
Littleton, CO" 13.6541587336253
"Hadley Branch
1890 South Grove Street
Denver, CO" 14.3284034387945
"Littleton-Bemis Public Library
6014 S. Datura St.
Littleton, CO" 14.6436269871697
"Westwood Branch
1000 South Lowell Boulevard
Denver, CO" 14.6787400121354
"Ross-Barnum Branch
3570 West 1st Avenue
Denver, CO" 14.7590054861021
"Woodbury Branch
3265 Federal Boulevard
Denver, CO" 14.8509234705452
"Sheridan Library
3201 West Oxford Avenue
Sheridan, CO" 15.0130253714574
"Perl Mack Branch Library
7611 Hilltop Circle
Denver, CO" 15.919260229574
"Thornton Branch Library
8992 North Washington
Thornton, CO" 15.9328474820564
"Bear Valley Branch
5171 West Dartmouth Avenue
Denver, CO" 15.9479298145331
"Smiley Branch
4501 West 46th Avenue
Denver, CO" 16.3713283841085
"Wheat Ridge Library
5475 West 32nd Avenue
Wheat Ridge, CO" 16.445928160551
"Edgewater Library
5843 West 25th Avenue
Edgewater, CO" 16.5040437262145
"Highlands Ranch Library
9292 Ridgeline Blvd
Highlands Ranch, CO" 16.6459397076655
"76th Avenue Branch
3031 West 76th Avenue
Westminster, CO" 16.9572454772907
"Belmar Library
555 South Allison Parkway
Lakewood, CO" 17.3447992231722
"Northglenn Branch Library
10530 North Huron Street
Northglenn, CO" 17.9888376232369
"Bennett Branch Library
495 7th Street
Bennett, CO" 18.0979414266426
"Arvada Library
7525 W. 57th Avenue
Arvada, CO" 18.4385101297041
"Columbine Library
7706 West Bowles Avenue
Littleton, CO" 18.4557742191746
"Rangeview Library District
11658 N. Huron
Northglenn, CO" 19.0137266302015
"Jefferson County Public Library
10200 W 20th Ave
Lakewood, CO" 19.1549345447975
"Lakewood Library
10200 West 20th Avenue
Lakewood, CO" 19.1549345447975
"Brighton Branch Library
575 South 8th Avenue
Brighton, CO" 19.2929521473573
"College Hill Library
3705 W 112th Ave
Westminster, CO" 20.3304318866458
"Westminster Public Library
3705 W. 112th Ave
Westminster, CO" 20.3304318866458
"Louviers Library
7885 Louviers Blvd
Louviers, CO" 20.5220082953895
"Standley Lake Library
8485 Kipling Street
Arvada, CO" 21.3854147136647
"Broomfield-Eisenhower Public Library
3 Community Park Road
Broomfield, CO" 22.2373351236749
"Neighborhood Library At Roxborough
8357 N. Rampart Range Rd. Suite 200
Littleton, CO" 22.7116700995488
"Douglas County Libraries
100 South Wilcox
Castle Rock, CO" 23.7529138786881
"Golden Library
