"location" "miles"
"Caledonia Public Library
754 Main Street
Caledonia, MS" 7.17782766140481
"Columbus-Lowndes Public Library
314 North 7th Street
Columbus, MS" 9.54325519840632
"Bryan Public Library
338 Commerce Street
West Point, MS" 12.4007801939963
"Evans Memorial Library
105 North Long Street
Aberdeen, MS" 14.6535039666963
"Artesia Public Library
323 Front Street
Artesia, MS" 19.5557274302926
"Vernon - Mary Wallace Cobb Memorial Library
110 First Avenue West
Vernon, AL" 20.5931137175624
"Millport Public Library
920 Black Street
Millport, AL" 21.1194553073894
"Amory Municipal Library
401 2nd Ave. N. At 4th Street
Amory, MS" 24.5244902828788
"Starkville-Oktibbeha County Public Library Sy
326 University Drive
Starkville, MS" 24.6856432828059
"Sulligent Public Library
514 Elm Street
Sulligent, AL" 25.2770272217367
"Crawford Public Library
320 Main Street
Crawford, MS" 25.4014852833593
"Kennedy Public Library
17885 Hwy. 96
Kennedy, AL" 26.1185343306023
"Wren Public Library
32655 Hwy 45 North
Aberdeen, MS" 26.1832080044951
"Brooksville Public Library
100 West Main Street
Brooksville, MS" 29.0181095486175
"Reform Public Library
302 First Street South
Reform, AL" 30.1202636367824
"Okolona Carnegie Library
321 Main Street
Okolona, MS" 31.2748761313485
"Pickens County Cooperative Library
155 Reform Street
Carrollton, AL" 32.5405901948106
"Carrollton Public Library
225 Commerce Avenue
Carrollton, AL" 32.6392376633392
"Dorothy J. Lowe Memorial Library
182 Main Street
Nettleton, MS" 33.240968195791
"Fayette County Memorial Library
326 Temple Avenue North
Fayette, AL" 35.0177691948465
"Houston Carnegie Library
105 West Madison
Houston, MS" 37.1574663279582
"Ada S. Fant Memorial Library
103 East King Street
Macon, MS" 37.3352322454698
"Maben Public Library
3982 Second Avenue
Maben, MS" 37.6208711030889
"Ruth Holliman Memorial Public Library
287 Main Street South
Gordo, AL" 37.7920540253391
"Mchs Community Library
8115 U.S. Highway 43
Guin, AL" 38.0092358232059
"Aliceville Public Library
416 Third Avenue Ne
Aliceville, AL" 38.780894562697
"Northwest Regional Library
185 Ashwood Drive
Winfield, AL" 41.0779626644029
"Clyde Nix Public Library
350 Bexar Avenue West
Hamilton, AL" 43.3814789098276
"Houlka Public Library
201 Walker Street
Houlka, MS" 43.6590202842078
"Itawamba County-Pratt Memorial Library
210 Cedar Street
Fulton, MS" 44.062264249064
"J. L. Edmondson Memorial Library
109 Stovall Street
Vardaman, MS" 45.6278909390808
"Lee-Itawamba Library System
219 N.Madison
Tupelo, MS" 45.9197120268524
"Vista J. Daniel Memorial Library
402 Residence Street
Shuqualak, MS" 46.0370993497132
"Webster County Public Library
202 West Fox Avenue
Eupora, MS" 48.5144443927959
"Winston County Library
301 West Park Street
Louisville, MS" 50.4264120949935
"Calhoun City Public Library
113 East Burkitt Street
Calhoun City, MS" 52.6546070776601
"Dixie Regional Library System
111 North Main Street
Pontotoc, MS" 53.4040940480706
"Carbon Hill City Library
215 Nw 2nd Street
Carbon Hill, AL" 55.0558424904397
"Sherman Library
20 West Lamar
Sherman, MS" 55.4686882780785
"Weir Public Library
123 Front Street
Weir, MS" 55.4820381299076
"Scooba Public Library
1037 Kemper Street
Scooba, MS" 55.7183175273738
"Jesse Yancy Memorial Library
314 N. Newberger Street
Bruce, MS" 57.9775713283725
"Red Bay - Weatherford Public Library
307 4th Avenue South
Red Bay, AL" 58.1615859079332
"Tuscaloosa Public Library
1801 Jack Warner Parkway
Tuscaloosa, AL" 58.2146392553312
"Weaver-Bolden Branch Library
2937 18th Street
Tuscaloosa, AL" 58.3181519014512
"Anne Spencer Cox Library
303 North Third Street
Baldwyn, MS" 61.6207606845594
"Haleyville Public Library
913 20th Street
Haleyville, AL" 61.95817824653
"Belmont Public Library
102 South Third Street
Belmont, MS" 61.9748004778015
"James C. Poole Jr. Memorial Library
420 Prairie Avenue
Eutaw, AL" 63.5489791880008
"Moundville Public Library
410 Market Street
Moundville, AL" 64.2344251499133
"Akron Public Library
207 First Avenue South
Akron, AL" 66.0398615745608
"Kilmichael Public Library
102 First Street
Kilmichael, MS" 66.7670247912993
"Jennie Stephens Smith Library
219 King Street
New Albany, MS" 67.7901613321552
"Carl Elliott Regional Library System
98 18th Street East
Jasper, AL" 68.1663290548858
"Jasper Public Library
98 East 18th Street
Jasper, AL" 68.1663290548858
"Double Springs Public Library
637 Blake Drive
Double Springs, AL" 69.5932340075995
"George E. Allen Library
500 W. Church Street
Booneville, MS" 71.013264531544
"Neshoba County Public Library
230 Beacon Street
Philadelphia, MS" 71.5161810064611
"Russellville Public Library
110 East Lawrence Street
Russellville, AL" 72.4363332012315
"Cordova Public Library
84 Main St.
Cordova, AL" 72.5929133025404
"Duck Hill Public Library
127 North State Street
Duck Hill, MS" 73.114325004692
"Ruby Pickens Tartt Public Library
206 Monroe Street
Livingston, AL" 74.1045300720064
"Nance-Mcneely Memorial Library
1177 B Springdale Ave.
Myrtle, MS" 74.8709995122844
"Yalobusha County Library
14432 Main Street
Coffeeville, MS" 74.916435756047
"Coffeeville Public Library
714 Main Street
Coffeeville, MS" 74.9528032025263
"Winona-Montgomery County Library
115 North Quitman Street
Winona, MS" 75.3079539868283
"Arley Public Library
6788 County Road 41
Arley, AL" 76.6709151429752
"Blackmur Memorial Library
608 Blackmur Drive
Water Valley, MS" 76.7787703605778
"Attala County Library
201 South Huntington Street
Kosciusko, MS" 77.6913363795844
"Dora Public Library
1485 Sharon Blvd
Dora, AL" 78.1892305332332
"Vaiden Public Library
207 Lee Street
Vaiden, MS" 78.2448562885118
"Blue Mountain Public Library
110 Mill Street
Blue Mountain, MS" 79.1383621962262
"Elizabeth Jones Library
1050 Fairfield Avenue
Grenada, MS" 79.5281481970851
"Lafayette County-Oxford Public Library
401 Bramlett Blvd.
Oxford, MS" 79.6166993614555
"Hightower Memorial Library
630 Avenue A
York, AL" 80.0308399121785
"Sumiton Public Library
416 State Street
Sumiton, AL" 80.1851949721811
"Hickory Flat Public Library
1067 Spruce Street
Hickory Flat, MS" 80.6124799768913
"Hale County Library
1103 Main Street
Greensboro, AL" 80.8350667983763
"Woodstock Library
321 Presbyterian Church Road
Green Pond, AL" 80.9104331309218
"Ripley Public Library
308 North Commerce Street
