"location" "miles"
"Eckstrom-Columbus Branch Library
4350 E. 22nd St.
Tucson, AZ" 4.24080100437882
"Miller-Golf Links Branch Library
9640 E. Golf Links Road
Tucson, AZ" 4.99998413194649
"Quincie Douglas Branch Library
1585 E. 36th St.
Tucson, AZ" 5.73842399698694
"Martha Cooper Branch Library
1377 N. Catalina Avenue
Tucson, AZ" 6.23932181206527
"El Pueblo Branch Library
101 W. Irvington Rd.
Tucson, AZ" 6.39318607238708
"Valencia Branch Library
202 West Valencia Road
Tucson, AZ" 6.71027149511098
"Himmel Park Branch Library
1035 North Treat Avenue
Tucson, AZ" 6.88278460719676
"Sam Lena South Tucson Branch Library
1607s. Sixth Avenue
Tucson, AZ" 7.05926511977846
"Santarosa Branch Library
1075 South 10th Ave.
Tucson, AZ" 7.61013495872164
"Kirk-Bear Canyon Branch Library
8959 East Tanque Verde Road
Tucson, AZ" 7.98249746411484
"Joel D. Valdez Main Library
101 N. Stone Ave.
Tucson, AZ" 8.05432608086947
"Pima County Public Library
101 N. Stone Avenue
Tucson, AZ" 8.05432608086947
"Dusenberry-River Branch Library
5605 East River Road
Tucson, AZ" 8.33002875733705
"Mission Branch Library
3770 South Mission Road
Tucson, AZ" 8.56398593330952
"San Xavier Learning Center Library
1960 West Walk Lane
Tucson, AZ" 8.81569620811879
"El Rio Branch Library
1390 West Speedway
Tucson, AZ" 9.62498588602208
"Woods Memorial Branch Library
3455n. First Ave.
Tucson, AZ" 9.88342473088023
"Flowing Wells Branch Library
1730 W. Wetmore Road
Tucson, AZ" 12.3481867508484
"Southwest Branch Library
6855 South Mark Road
Tucson, AZ" 12.4811591948578
"Sahuarita Branch Library
725 W. Via Rancho Sahuarita
Sahuarita, AZ" 15.4223720999714
"Nanini Branch Library
7300 North Shannon Road
Tucson, AZ" 16.0954008634096
"Wheeler Taft Abbett, Sr. Branch Library
7800 N. Schisler Dr.
Tucson, AZ" 19.1750730701367
"Oro Valley Public Library
1305 W Naranja Drive
Oro Valley, AZ" 19.2127267008513
"Joyner-Green Valley Branch Library
601 North La Canada Drive
Green Valley, AZ" 20.5659735474331
"Dewhirst-Catalina Branch Library
15631 N. Oracle Rd.
Catalina, AZ" 23.4457020878
"Geasa-Marana Branch Library
13370 Lon Adams Road
Marana, AZ" 28.7306894886739
"Oracle Public Library
565 American Ave
Oracle, AZ" 31.9881196751017
"San Manuel Public Library
108 W Fifth Avenue
San Manuel, AZ" 34.0944078002192
"Benson Public Library
300 S. Huachuca
Benson, AZ" 35.5439081494216
"Sonoita Community Library
3147 Arizona 83
Sonoita, AZ" 35.8301984818757
"Tubac Community Library
50 Bridge Road
Tubac, AZ" 37.0841012334169
"Mammoth Public Library
125 N. Clark St.
Mammoth, AZ" 41.2288568377281
"Patagonia Public Library
346 Duquesne Ave
Patagonia, AZ" 43.094813259039
"Huachuca City Public Library
506 N Gonzales Blvd
Huachuca City, AZ" 47.5345665481026
"Rio Rico Library
1060 Yavapai Drive
Rio Rico, AZ" 48.4575169868324
"Caviglia-Arivaca Branch Library
17050 W Arivaca Road
Arivaca, AZ" 48.6244957212548
"Sierra Vista Public Library
2600 East Tacoma Street
Sierra Vista, AZ" 53.5068603227487
"Bonita Library
18008 S Ft. Grant Rd.
Willcox, AZ" 54.941551456241
"Tombstone Public Library
p.o. box 218
Tombstone, AZ" 55.7115567252516
"Nogales-Santa Cruz County Public Library
518 N. Grand Ave.
Nogales, AZ" 56.5179788104677
"Hayden Public Library
219 E. 5th St.
Hayden, AZ" 57.9929213985143
"Eloy Public Library
100 East 7th Street
Eloy, AZ" 58.0396647208542
"Hayden Public Library
520 Velasco Avenue
Hayden, AZ" 58.8019457885354
"Elsie S. Hogan Community Library
207 W. Maley
Willcox, AZ" 60.4638974605909
"Sunsites Community Library
210 Ford Road
Pearce, AZ" 62.0848105809521
"Venito Garcia Library
po box 837
