"location" "miles"
"Dover Public Library
45 South State Street
Dover, DE" 2.87028430043212
"Kent County Library
497 South Red Haven Lane
Dover, DE" 4.94664175181379
"Smyrna Public Library
107 South Main Street
Smyrna, DE" 13.2208190059853
"Harrington Public Library
110 Center Street
Harrington, DE" 14.8389069126048
"Milford District Free Library
11 S.E. Front Street
Milford, DE" 15.4771071295013
"North County Branch
101 Cedar Lane
Greensboro, MD" 20.1233752686103
"Corbit-Calloway Memorial Library
115 High Street
Odessa, DE" 24.1134852131776
"Bridgeton Free Public Library
150 E. Commerce Street
Bridgeton, NJ" 24.649744551694
"Cumberland County Library
800 E. Commerce Street
Bridgeton, NJ" 25.1502449535611
"Caroline County Public Library
100 Market Street
Denton, MD" 25.2253512278738
"Appoquinimink Public Library
651 North Broad Street
Middletown, DE" 25.604171673079
"Milton Public Library
121 Union St
Milton, DE" 26.1911965094882
"Cecilton Branch Library
215 East Main Street
Cecilton, MD" 27.5712367055407
"Bridgeville Public Library
600 South Cannon Streeet
Bridgeville, DE" 28.0684487603477
"Millville Public Library
210 Buck Street
Millville, NJ" 30.1360816262559
"Salem Free Public Library
112 W. Broadway
Salem, NJ" 30.5180000980742
"Delaware City Public Library
250 Fifth Street
Delaware City, DE" 30.9807650065577
"Sussex County Dept. Of Libraries
9 S. Dupont Highway
Georgetown, DE" 31.02837027664
"Georgetown Public Library
10 West Pine Street
Georgetown, DE" 31.1079318185315
"Lewes Public Library
111 Adams Avenue
Lewes, DE" 31.2743615594032
"Queen Annes County Free Library
121 S Commerce Street
Centreville, MD" 31.6822199298862
"Kent County Public Library
408 High Street
Chestertown, MD" 31.7180047766094
"Cecil County Public Library - Chesapeake City
2527 Augustine Herman Highway
Chesapeake City, MD" 32.2522276056204
"Federalsburg Branch
123 Morris Avenue
Federalsburg, MD" 33.9966047255869
"Seaford Library And Cultural Center
600 N Market St Ext
Seaford, DE" 34.585252226307
"Vineland Public Library
1058 E. Landis Avenue
Vineland, NJ" 35.3940057827368
"Pennsville Public Library
190 S. Broadway
Pennsville, NJ" 35.5790769437803
"Cape May County Library
30 Mechanic Street
Cape May Court House, NJ" 35.6596532232292
"Bear Public Library
101 Governors Place
Bear, DE" 36.0331539785011
"Rehoboth Beach Public Library
226 Rehoboth Avenue
Rehoboth Beach, DE" 36.0559340191863
"Elmer Public Library
120 S. Main Street
Elmer, NJ" 36.1660533502625
"New Castle Public Library
424 Delaware Street
New Castle, DE" 36.8489432358701
"Woodstown-Pilesgrove Library
14 School Lane
Woodstown, NJ" 37.0381456658098
"Newfield Public Library
115 Catawba Avenue
Newfield, NJ" 38.1162698577205
"Cecil County Public Library - Elkton
301 Newark Avenue
Elkton, MD" 38.5538609516463
"Millsboro Public Library
217 West State Street
Millsboro, DE" 38.5742550391715
"Department Of Community Services
87 Reads Way
New Castle, DE" 38.9244708052558
"Garfield Park Lending Library
26 Karlyn Drive
New Castle, DE" 39.6453054558627
"Franklin Twp Public Library-Gloucester
1584 Coles Mill Road
Franklinville, NJ" 40.0366113100562
"Laurel Public Library
101 East Fourth Street
Laurel, DE" 40.0645660242613
"Rock Hall Branch Library
5585 Main Street
Rock Hall, MD" 40.0683281812334
"Hurlock Branch Library
222 S. Main St.
Hurlock, MD" 40.1070294795027
"Talbot County Free Library
100 W. Dover St.
Easton, MD" 40.2765347326642
"Newark Free Library
750 Library Ave.
Newark, DE" 40.376049383907
"Cecil County Public Library - North East
106 West Cecil Avenue
North East, MD" 40.6607051220816
"Elsmere Public Library
30 Spruce Ave.
Wilmington, DE" 40.8587959266791
"Avalon Free Public Library
235 32nd Street
Avalon, NJ" 40.9459542720989
"Kirkwood Highway Public Library
6000 Kirkwood Highway
Wilmington, DE" 41.3570934525699
"Wilmington Institute Library
10th And Market Streets
Wilmington, DE" 42.5854571439063
"Elsmere Public Library
30 Spruce Ave
Elsmere, DE" 42.6035194901793
"Woodlawn Library
2020 West Ninth Street
Wilmington, DE" 43.270980187179
"Cecil County Public Library - Perryville
500 Coudon Blvd.
Perryville, MD" 43.2740442751961
"Havre De Grace Branch Library
120 N. Union Ave.
Havre De Grace, MD" 43.3681517404763
"North Wilmington Library
