"location" "miles" "latitude" "longitude"
"Dover Public Library
45 South State Street
Dover, DE" 2.87028430043212 -75.5251509 39.1604538
"Kent County Library
497 South Red Haven Lane
Dover, DE" 4.94664175181379 -75.5497831 39.0797073
"Smyrna Public Library
107 South Main Street
Smyrna, DE" 13.2208190059853 -75.6045553 39.2995627
"Harrington Public Library
110 Center Street
Harrington, DE" 14.8389069126048 -75.5754846 38.9286371
"Milford District Free Library
11 S.E. Front Street
Milford, DE" 15.4771071295013 -75.4274969 38.9127343
"North County Branch
101 Cedar Lane
Greensboro, MD" 20.1233752686103 -75.8190187 38.9975908
"Corbit-Calloway Memorial Library
115 High Street
Odessa, DE" 24.1134852131776 -75.6554989 39.4548682
"Bridgeton Free Public Library
150 E. Commerce Street
Bridgeton, NJ" 24.649744551694 -75.2318444 39.428565
"Cumberland County Library
800 E. Commerce Street
Bridgeton, NJ" 25.1502449535611 -75.2064581 39.4235901
"Caroline County Public Library
100 Market Street
Denton, MD" 25.2253512278738 -75.8338676 38.8864785
"Appoquinimink Public Library
651 North Broad Street
Middletown, DE" 25.604171673079 -75.7174523 39.4558755
"Milton Public Library
121 Union St
Milton, DE" 26.1911965094882 -75.3109706 38.7785669
"Cecilton Branch Library
215 East Main Street
Cecilton, MD" 27.5712367055407 -75.8629359 39.4036695
"Bridgeville Public Library
600 South Cannon Streeet
Bridgeville, DE" 28.0684487603477 -75.602407 38.7360902
"Millville Public Library
210 Buck Street
Millville, NJ" 30.1360816262559 -75.041346 39.398169
"Salem Free Public Library
112 W. Broadway
Salem, NJ" 30.5180000980742 -75.4700164 39.5727211
"Delaware City Public Library
250 Fifth Street
Delaware City, DE" 30.9807650065577 -75.5921141 39.572094
"Sussex County Dept. Of Libraries
9 S. Dupont Highway
Georgetown, DE" 31.02837027664 -75.3854728 38.6901134
"Georgetown Public Library
10 West Pine Street
Georgetown, DE" 31.1079318185315 -75.385569 38.688932
"Lewes Public Library
111 Adams Avenue
Lewes, DE" 31.2743615594032 -75.1418495 38.7676529
"Queen Annes County Free Library
121 S Commerce Street
Centreville, MD" 31.6822199298862 -76.0655451 39.0433695
"Kent County Public Library
408 High Street
Chestertown, MD" 31.7180047766094 -76.0690761 39.2110727
"Cecil County Public Library - Chesapeake City
2527 Augustine Herman Highway
Chesapeake City, MD" 32.2522276056204 -75.8201486 39.5200508
"Federalsburg Branch
123 Morris Avenue
Federalsburg, MD" 33.9966047255869 -75.7763684 38.6950457
"Seaford Library And Cultural Center
600 N Market St Ext
Seaford, DE" 34.585252226307 -75.6110381 38.6412256
"Vineland Public Library
1058 E. Landis Avenue
Vineland, NJ" 35.3940057827368 -75.009258 39.4858831
"Pennsville Public Library
190 S. Broadway
Pennsville, NJ" 35.5790769437803 -75.517563 39.6455125
"Cape May County Library
30 Mechanic Street
Cape May Court House, NJ" 35.6596532232292 -74.8251458 39.0831871
"Bear Public Library
101 Governors Place
Bear, DE" 36.0331539785011 -75.6600209 39.6350841
"Rehoboth Beach Public Library
226 Rehoboth Avenue
Rehoboth Beach, DE" 36.0559340191863 -75.0830681 38.7155992
"Elmer Public Library
120 S. Main Street
Elmer, NJ" 36.1660533502625 -75.1684304 39.5930954
"New Castle Public Library
424 Delaware Street
New Castle, DE" 36.8489432358701 -75.5658545 39.6608919
"Woodstown-Pilesgrove Library
14 School Lane
Woodstown, NJ" 37.0381456658098 -75.321509 39.651752
"Newfield Public Library
115 Catawba Avenue
Newfield, NJ" 38.1162698577205 -75.020031 39.548202
"Cecil County Public Library - Elkton
301 Newark Avenue
Elkton, MD" 38.5538609516463 -75.8373728 39.6186506
"Millsboro Public Library
217 West State Street
Millsboro, DE" 38.5742550391715 -75.2960846 38.5941595
"Department Of Community Services
87 Reads Way
New Castle, DE" 38.9244708052558 -75.6130469 39.6858807
"Garfield Park Lending Library
26 Karlyn Drive
New Castle, DE" 39.6453054558627 -75.5617829 39.7018997
"Franklin Twp Public Library-Gloucester
1584 Coles Mill Road
Franklinville, NJ" 40.0366113100562 -75.0781643 39.6168415
"Laurel Public Library
101 East Fourth Street
Laurel, DE" 40.0645660242613 -75.5707361 38.5562575
"Rock Hall Branch Library
