"location" "miles"
"Valparaiso Community Library
459 Valparaiso Pkwy
Valparaiso, FL" 4.52134666780466
"Fort Walton Beach Library
185 Miracle Strip Pkwy Se
Fort Walton Beach, FL" 5.17929877746234
"Destin Library
150 Sibert Avenue
Destin, FL" 5.2198974872874
"Niceville Public Library
206 North Partin Dr.
Niceville, FL" 6.21952130548826
"Okaloosa County Public Library Cooperative
206 N. Partin Dr.
Niceville, FL" 6.21952130548826
"Mary Esther Public Library
100 Hollywood, West
Mary Esther, FL" 7.45032689217053
"Navarre Library
8484 James M. Harrell Road
Navarre, FL" 21.7170835757447
"Robert L. F. Sikes Public Library
1445 Commerce Drive
Crestview, FL" 22.5897254868373
"Coastal Branch Library
336 Greenway Trail
Santa Rosa Beach, FL" 23.0510717096638
"Freeport Branch Library
76 Highway 20 West
Freeport, FL" 25.0479783603949
"Milton Library
5541 Alabama Street
Milton, FL" 31.3780933638991
"Walton County Public Library System
3 Circle Drive
Defuniak Springs, FL" 31.4618112718383
"Santa Rosa County Library System
6568 Caroline St., Ste. 101
Milton, FL" 31.5126520788545
"Gladys N. Milton Memorial Library
261 Flowersview Blvd
Laurel Hill, FL" 36.2073038607654
"Pace Library
4750 Pace Patriot Blvd.
Pace, FL" 37.2302441138302
"Gulf Breeze Library
1060 Shoreline Dr.
Gulf Breeze, FL" 37.6344686750177
"Lucia M. Tryon Branch
5740 North Ninth Ave.
Pensacola, FL" 38.8308929684881
"Subregional Talking Book Library
200 W Gregory St.
Pensacola, FL" 39.8661886715757
"West Florida Public Library
200 West Gregory Street
Pensacola, FL" 39.8661886715757
"Florala Public Library
1214 Fourth Street
Florala, AL" 39.8886640179733
"Panama City Beach Library
116 South Arnold Road
Panama City Beach, FL" 42.8946981147544
"Jay Library
5259 Brooker Lane
Jay, FL" 49.4441377440058
"Southwest Branch Library
12385 Sorrento Road A-2
Pensacola, FL" 51.3794191774755
"Vernon Branch Library
3731 Roche Avenue
Vernon, FL" 51.3804335813715
"Samson Public Library
200 North Johnson Street
Samson, AL" 54.3279435574736
"Brewton Public Library
206 West Jackson Street
Brewton, AL" 54.8318279436221
"Lynn Haven Public Library
901 Ohio Avenue
Lynn Haven, FL" 56.1002312113262
"Flomaton Public Library
608 Mccurdy Street
Flomaton, AL" 56.2397848832417
"Northwest Regional Library System
898 West 11th Street
Panama City, FL" 56.4043828103332
"Holmes County Public Library
303 North J. Harvey Etheridge Street
Bonifay, FL" 56.7704495591967
"Emma Knox Kenan Public Library
312 South Commerce Street
Geneva, AL" 56.9492143020194
"Bay County Public Library
