"location" "miles" "latitude" "longitude"
"Valparaiso Community Library
459 Valparaiso Pkwy
Valparaiso, FL" 4.52134666780466 -86.4997423 30.5098088
"Fort Walton Beach Library
185 Miracle Strip Pkwy Se
Fort Walton Beach, FL" 5.17929877746234 -86.6054242 30.4036476
"Destin Library
150 Sibert Avenue
Destin, FL" 5.2198974872874 -86.508064 30.398979
"Niceville Public Library
206 North Partin Dr.
Niceville, FL" 6.21952130548826 -86.4765637 30.524449
"Okaloosa County Public Library Cooperative
206 N. Partin Dr.
Niceville, FL" 6.21952130548826 -86.4765637 30.524449
"Mary Esther Public Library
100 Hollywood, West
Mary Esther, FL" 7.45032689217053 -86.663784 30.4132305
"Navarre Library
8484 James M. Harrell Road
Navarre, FL" 21.7170835757447 -86.9123217 30.4109342
"Robert L. F. Sikes Public Library
1445 Commerce Drive
Crestview, FL" 22.5897254868373 -86.5545146 30.7901237
"Coastal Branch Library
336 Greenway Trail
Santa Rosa Beach, FL" 23.0510717096638 -86.179456 30.3792975
"Freeport Branch Library
76 Highway 20 West
Freeport, FL" 25.0479783603949 -86.1350167 30.497504
"Milton Library
5541 Alabama Street
Milton, FL" 31.3780933638991 -87.0407233 30.6355856
"Walton County Public Library System
3 Circle Drive
Defuniak Springs, FL" 31.4618112718383 -86.1156526 30.7183362
"Santa Rosa County Library System
6568 Caroline St., Ste. 101
Milton, FL" 31.5126520788545 -87.0497352 30.6209084
"Gladys N. Milton Memorial Library
261 Flowersview Blvd
Laurel Hill, FL" 36.2073038607654 -86.34188 30.954399
"Pace Library
4750 Pace Patriot Blvd.
Pace, FL" 37.2302441138302 -87.1544978 30.6104686
"Gulf Breeze Library
1060 Shoreline Dr.
Gulf Breeze, FL" 37.6344686750177 -87.1716968 30.3558338
"Lucia M. Tryon Branch
5740 North Ninth Ave.
Pensacola, FL" 38.8308929684881 -87.2043282 30.4815025
"Subregional Talking Book Library
200 W Gregory St.
Pensacola, FL" 39.8661886715757 -87.219436 30.415144
"West Florida Public Library
200 West Gregory Street
Pensacola, FL" 39.8661886715757 -87.219436 30.415144
"Florala Public Library
1214 Fourth Street
Florala, AL" 39.8886640179733 -86.3267746 31.0063286
"Panama City Beach Library
116 South Arnold Road
Panama City Beach, FL" 42.8946981147544 -85.8884018 30.228512
"Jay Library
5259 Brooker Lane
Jay, FL" 49.4441377440058 -87.1603853 30.9519367
"Southwest Branch Library
12385 Sorrento Road A-2
Pensacola, FL" 51.3794191774755 -87.4026046 30.3404308
"Vernon Branch Library
3731 Roche Avenue
