"location" "miles" "latitude" "longitude"
"Laramie County Library System
2800 Central Ave
Cheyenne, WY" 2.13474415842967 -104.8220005 41.1441236
"Burns Branch Library
112 Main Street
Burns, WY" 26.4372060268861 -104.359233 41.1923455
"Wellington Public Library
3800 Wilson Ave
Wellington, CO" 31.0071453676128 -105.0049853 40.7094622
"Northern Plains Public Library
216 2nd Street
Ault, CO" 39.3991971281879 -104.736997 40.583137
"Albany County Public Library
310 South 8th St
Laramie, WY" 39.414223932131 -105.5878593 41.3103221
"Fort Collins Public Library
201 Peterson Street
Fort Collins, CO" 40.2424527411965 -105.0725797 40.5849335
"Pine Bluffs Branch Library
110 E. 2nd Street
Pine Bluffs, WY" 41.4945226957139 -104.0677755 41.1828332
"Chugwater Branch Library
301 Second Street
Chugwater, WY" 42.4144764830744 -104.8226172 41.7571003
"Eaton Public Library
132 Maple Avenue
Eaton, CO" 43.4120672774608 -104.714814 40.5271926
"Harmony Library
4616 South Shields Street
Fort Collins, CO" 44.6653665455697 -105.0928181 40.5228403
"Red Feather Lakes Community Library
71 Firehouse Lane
Red Feather Lakes, CO" 44.7498889511531 -105.5897864 40.8020695
"Windsor Severance Library District
214 Fifth Street
Windsor, CO" 46.0736087778593 -104.90441 40.479363
"Windsor-Severance Library District
720 Third Street
Windsor, CO" 46.5797081978447 -104.9013022 40.4719331
"Lincoln Park Branch
919 7th Street
Greeley, CO" 50.5141583862405 -104.6930046 40.4258589
"Farr Branch
1939 61st Avenue
Greeley, CO" 51.1369945480286 -104.7793848 40.4081407
"Centennial Park Branch
2227 23rd Avenue
Greeley, CO" 51.9720090634296 -104.7165358 40.4015836
"Loveland Public Library
300 North Adams Avenue
Loveland, CO" 52.9700921794587 -105.0686421 40.3949336
"Glenn A. Jones, M.D. Memorial Library
400 S. Parish Avenue
Johnstown, CO" 56.3585475526244 -104.9069261 40.3306216
"Berthoud Community Library District
236 Welch Ave
Berthoud, CO" 59.1943299682814 -105.0770366 40.3044625
"Kimball Public Library
208 South Walnut
Kimball, NE" 62.8599188708599 -103.6615797 41.2366098
"Platte County Library System
904 9th St
Wheatland, WY" 63.2324050056381 -104.9532251 42.0563054
"Estes Valley Public Library District
335 E Elkhorn Ave
Estes Park, CO" 63.2512107783429 -105.5197721 40.3774644
"Platteville Public Library
504 Marion Avenue
Platteville, CO" 64.299271379578 -104.8254901 40.2155809
"Lyons Depot Library
430 Fifth Avenue
Lyons, CO" 67.2581474744164 -105.2716459 40.2230772
"Centennial Library Branch
27 2nd Street
Centennial, WY" 67.3108433152681 -106.1404117 41.2985345
"Lyman Public Library
313 Jeffers Street
Lyman, NE" 68.33278934648 -104.0390392 41.9163222
"Longmont Public Library
409 4th Ave
Longmont, CO" 68.8906214907986 -105.1005035 40.1652087
"Rock River Branch Library
321 Avenue D
Rock River, WY" 71.0923424498328 -105.9765849 41.7442351
"Carbon Valley Branch Library
320 Maple St. B
Frederick, CO" 72.3413939216402 -104.932868 40.100232
"Goshen County Library
2001 East A St
Torrington, WY" 72.6734276074009 -104.1829531 42.064044
"Dacono Public Library
512 Cherry Street
Dacono, CO" 73.3863275965796 -104.9365845 40.0852521
"Fort Lupton Public School Library
425 South Denver Avenue
Fort Lupton, CO" 73.9560475850649 -104.8106242 40.0762824
"Morrill Public Library
119 East Webster Street
Morrill, NE" 74.5616040653919 -103.9260452 41.9634055
"Hudson Public Library
555 Main Street
Hudson, CO" 74.9871684125788 -104.6443679 40.0734149
"Mitchell Public Library
1449 Center Avenue
Mitchell, NE" 77.62044534001 -103.8086859 41.9425134
"Guernsey Branch Library
108 South Wyoming Avenue
Guernsey, WY" 78.0222835257695 -104.7415626 42.2689614
"Gering Public Library
1055 P Street
Gering, NE" 78.0244470042569 -103.6614336 41.8244796
"Panhandle Library System
115 Railway Street
Scottsbluff, NE" 79.4746726203413 -103.6650529 41.8624626
"Jackson County Public Library
412 4th Street
Walden, CO" 79.5084526419319 -106.2829224 40.7316491
"Juniper Library
316 Garfield Street
Grand Lake, CO" 79.5442540252742 -105.819278 40.252098
"Lied Scottsbluff Public Library
1809 3rd Avenue
Scottsbluff, NE" 79.8163305063805 -103.6586066 41.8643498
"Lafayette Public Library
775 W Baseline Rd
Lafayette, CO" 79.9906657771804 -105.0811365 40.0002383
"Potter Public Library
333 Chestnut
Potter, NE" 80.7156494911293 -103.3155425 41.2166543
"Brighton Branch Library
575 South 8th Avenue
Brighton, CO" 80.7317370725429 -104.8131159 39.978206
"Carnegie Branch For Local History
1125 Pine Street
Boulder, CO" 80.8402019709012 -105.2815311 40.0200819
"Boulder Public Library
1001 Arapahoe Avenue
Boulder, CO" 81.2519762720632 -105.281769 40.013952
"Meadows Branch Library
4800 Baseline Road
Boulder, CO" 81.6510353566772 -105.2343462 39.9985008
"Louisville Public Library
951 Spruce Street
Louisville, CO" 81.918067264983 -105.1311127 39.978091
"George Reynolds Branch
3595 Table Mesa Drive
Boulder, CO" 82.8279722694264 -105.2526034 39.9844433
"Fort Morgan Public Library
414 Main Street
Fort Morgan, CO" 83.1454662958987 -103.8008242 40.2522933
"Minatare Public Library
309 Main Street
Minatare, NE" 84.1094301459822 -103.5035607 41.8088944
"Broomfield-Eisenhower Public Library
3 Community Park Road
Broomfield, CO" 85.5663442502552 -105.0689285 39.9176433
"Rangeview Library District
11658 N. Huron
Northglenn, CO" 85.808474943959 -104.9951983 39.9082773
"College Hill Library
3705 W 112th Ave
Westminster, CO" 86.5457862073609 -105.0403055 39.9008226
"Westminster Public Library
3705 W. 112th Ave
Westminster, CO" 86.5457862073609 -105.0403055 39.9008226
"Medicine Bow Library
302 Sage Street
Medicine Bow, WY" 86.7094370700959 -106.2010653 41.8981252
"Northglenn Branch Library
10530 North Huron Street
Northglenn, CO" 87.2575077455084 -104.996088 39.887317
"Nederland Community Library District
