"location" "miles" "latitude" "longitude"
"Coliseum Boulevard Branch Library
840 Coliseum Boulevard
Montgomery, AL" 0.854241321018326 -86.2594413 32.4000282
"Pintlala Branch Library
255 Federal Road
Montgomery, AL" 2.21352972651747 -86.2724879 32.3837338
"Juliette Hampton Morgan Memorial Library
245 High Street
Montgomery, AL" 4.08469282706198 -86.3054481 32.3725223
"Rosa L. Parks Avenue Branch Library
1276 Rosa Parks Avenue
Montgomery, AL" 5.20893578541391 -86.3171237 32.359173
"Governors Square Branch Library
2885-B East South Blvd.
Montgomery, AL" 5.64632853755123 -86.2485914 32.3291457
"El Lowder Regional Library
3950 Bell Road
Montgomery, AL" 6.67404202148555 -86.1956129 32.3268637
"Rufus A. Lewis Regional Library
3095 Mobile Highway
Montgomery, AL" 6.69164946096195 -86.3388236 32.3475034
"Hampstead Branch Library
5251 Hampstead High Street Suite 107
Montgomery, AL" 7.84225997064556 -86.1862069 32.311957
"Millbrook Public Library
3650 Grandview Road
Millbrook, AL" 7.89801135114349 -86.362538 32.476691
"Wetumpka Public Library
212 South Main Street
Wetumpka, AL" 9.06036365028693 -86.2063165 32.5358691
"Pike Road Branch Library
9585 Vaughn Road
Pike Road, AL" 10.4056008753972 -86.0908143 32.3469069
"Autauga - Prattville Public Library
254 Doster Street
Prattville, AL" 12.9606986338366 -86.4673659 32.4565481
"Tallassee Community Library
99 Freeman Avenue
Tallassee, AL" 23.1579487229465 -85.8836203 32.5349448
"Autauga Prattville Public Library - Marbury
205 County Road 20 East
Marbury, AL" 23.4884593043963 -86.4635223 32.6997666
"Autauga Prattville Public Library - Autaugaville
207 North Taylor Street
Autaugaville, AL" 23.7526005643333 -86.6580661 32.4327189
"Hayneville-Lowndes County Public Library
4 Washington Street
Hayneville, AL" 24.8430269489066 -86.5799119 32.1822279
"Ramer Branch Library
5444 Sr-94
Ramer, AL" 24.879231291687 -86.219229 32.0521296
"Pine Level Branch Library
20 Kohn Drive
Pine Level, AL" 26.4626057451362 -86.060425 32.064222
"White Hall Public Library
640 Freedom Road
White Hall, AL" 27.9564824577893 -86.7123025 32.3001745
"Autauga Prattville Public Library - Billingsley
2021 Post Office Street
Billingsley, AL" 32.1611749630735 -86.7177239 32.65988
"Macon County - Tuskegee Public Library
302 South Main Street
Tuskegee, AL" 32.8875489954889 -85.6890752 32.4219354
"Rockford Public Library
110 Main Street
Rockford, AL" 33.3821631722809 -86.2178358 32.8924405
"Fort Deposit Public Library
24 South Pollard St
Fort Deposit, AL" 35.6194126441509 -86.5803928 31.9771524
"Union Springs Public Library
103 North Prairie Street
Union Springs, AL" 36.3646106440717 -85.7161044 32.1442773
"Clanton Public Library
100 First Avenue
Clanton, AL" 36.8159821625772 -86.6243728 32.8408031
"Alexander City - Adelia Mcconnell Russell Library
318 Church Street
Alexander City, AL" 40.5914501552133 -85.9538684 32.9411135
"Mamies Place Childrens Library
284 Church Street
Alexander City, AL" 40.6139427830888 -85.9538715 32.9414747
"Horseshoe Bend Regional Library
207 North West Street
Dadeville, AL" 40.6330926473871 -85.7653958 32.8314306
"Dadeville Public Library
205 North West Street
Dadeville, AL" 40.6601088770614 -85.7653866 32.8319694
"Maplesville Public Library
9400 Al Highway 22
Maplesville, AL" 44.5608622902619 -86.8714715 32.7885151
"Troy Public Library
300 North Three Notch Street
Troy, AL" 44.7197500277731 -85.9723058 31.8092392
"Selma-Dallas County Public Library
1103 Selma Avenue
Selma, AL" 44.8473836812351 -87.0200695 32.4092156
"Butler County Public Library
309 Ft. Dale Street
Greenville, AL" 45.6443664342037 -86.6263449 31.8319622
"Goodwater Public Library
36 Weogufka Street
Goodwater, AL" 46.5892152968878 -86.0553793 33.0635847
"Auburn Public Library
749 East Thach Avenue
Auburn, AL" 47.808161912146 -85.4655956 32.6049393
"Luverne Public Library
148 East Third Avenue
Luverne, AL" 48.0378210806783 -86.2612019 31.7163041
"B .B. Comer Memorial Library
314 North Broadway Avenue
Sylacauga, AL" 52.6637406934734 -86.2502538 33.1720457
"Lewis Cooper Jr. Memorial Library
200 South 6th Street
Opelika, AL" 53.7356011289359 -85.3751314 32.6489533
"Brundidge - Tupper Lightfoot Memorial Library
164 South Main Street
Brundidge, AL" 54.2835868052414 -85.8156034 31.7186264
"Calera Public Library
9700 Highway 25
Calera, AL" 56.1503236440851 -86.7681657 33.0966917
"Columbiana Public Library
50 Lester Street
Columbiana, AL" 57.1013002362668 -86.6090882 33.179728
"Brantley Public Library
10 Mlk Dr.
Brantley, AL" 57.2993928010767 -86.2571786 31.5823832
"Wilsonville - Vernice Stoudenmire Library
p.o. box 24
Wilsonville, AL" 58.5361096660469 -86.4835916 33.234281
"Montevallo - Parnell Memorial Library
277 Park Drive
Montevallo, AL" 59.3622412047495 -86.8587609 33.1007714
"Louisville Public Library
1951 Main St.
Louisville, AL" 59.5394514431844 -85.5547484 31.7847356
"Parnell Memorial Library
845 Valley Street
Montevallo, AL" 59.5703303270007 -86.8623771 33.1022656
"Clayton Town And County Public Library
45 North Midway Street
Clayton, AL" 59.5920159681097 -85.4496405 31.8810801
"Lafayette Pilot Public Library
198 First Street, Se
Lafayette, AL" 59.9725227701797 -85.4003046 32.8978922
"Childersburg - Earle A. Rainwater Memorial Library
124 Ninth Avenue Sw
Childersburg, AL" 60.2584017501286 -86.3556708 33.2774838
"Brent-Centreville Public Library
20 Library Street
Centreville, AL" 64.1369729810698 -87.1508666 32.9468363
"Marion-Perry County Library
202 Washington Street
Marion, AL" 64.1636918764802 -87.3194768 32.6353513
"Ariton - Dot Laney Memorial Library
30 W. Main Street
Ariton, AL" 64.2019236752952 -85.7189326 31.600158
"Ashland City Public Library
11 Second Avenue North
Ashland, AL" 64.5399889184973 -85.830535 33.273893
"Harpersville Public Library
39397 Alabama 25
Harpersville, AL" 65.3880738310805 -86.4390229 33.3428721
"Alabaster - Albert L. Scott Library
100 9th Street N.W.
Alabaster, AL" 66.6752002759765 -86.8270053 33.2448142
"Wilcox County Library
100 Broad Street
Camden, AL" 67.3001590245979 -87.2894706 31.9911146
"Chelsea Public Library
