"location" "miles"
"Coliseum Boulevard Branch Library
840 Coliseum Boulevard
Montgomery, AL" 0.854241321018326
"Pintlala Branch Library
255 Federal Road
Montgomery, AL" 2.21352972651747
"Juliette Hampton Morgan Memorial Library
245 High Street
Montgomery, AL" 4.08469282706198
"Rosa L. Parks Avenue Branch Library
1276 Rosa Parks Avenue
Montgomery, AL" 5.20893578541391
"Governors Square Branch Library
2885-B East South Blvd.
Montgomery, AL" 5.64632853755123
"El Lowder Regional Library
3950 Bell Road
Montgomery, AL" 6.67404202148555
"Rufus A. Lewis Regional Library
3095 Mobile Highway
Montgomery, AL" 6.69164946096195
"Hampstead Branch Library
5251 Hampstead High Street Suite 107
Montgomery, AL" 7.84225997064556
"Millbrook Public Library
3650 Grandview Road
Millbrook, AL" 7.89801135114349
"Wetumpka Public Library
212 South Main Street
Wetumpka, AL" 9.06036365028693
"Pike Road Branch Library
9585 Vaughn Road
Pike Road, AL" 10.4056008753972
"Autauga - Prattville Public Library
254 Doster Street
Prattville, AL" 12.9606986338366
"Tallassee Community Library
99 Freeman Avenue
Tallassee, AL" 23.1579487229465
"Autauga Prattville Public Library - Marbury
205 County Road 20 East
Marbury, AL" 23.4884593043963
"Autauga Prattville Public Library - Autaugaville
207 North Taylor Street
Autaugaville, AL" 23.7526005643333
"Hayneville-Lowndes County Public Library
4 Washington Street
Hayneville, AL" 24.8430269489066
"Ramer Branch Library
5444 Sr-94
Ramer, AL" 24.879231291687
"Pine Level Branch Library
20 Kohn Drive
Pine Level, AL" 26.4626057451362
"White Hall Public Library
640 Freedom Road
White Hall, AL" 27.9564824577893
"Autauga Prattville Public Library - Billingsley
2021 Post Office Street
Billingsley, AL" 32.1611749630735
"Macon County - Tuskegee Public Library
302 South Main Street
Tuskegee, AL" 32.8875489954889
"Rockford Public Library
110 Main Street
Rockford, AL" 33.3821631722809
"Fort Deposit Public Library
24 South Pollard St
Fort Deposit, AL" 35.6194126441509
"Union Springs Public Library
103 North Prairie Street
Union Springs, AL" 36.3646106440717
"Clanton Public Library
100 First Avenue
Clanton, AL" 36.8159821625772
"Alexander City - Adelia Mcconnell Russell Library
318 Church Street
Alexander City, AL" 40.5914501552133
"Mamies Place Childrens Library
284 Church Street
Alexander City, AL" 40.6139427830888
"Horseshoe Bend Regional Library
207 North West Street
Dadeville, AL" 40.6330926473871
"Dadeville Public Library
205 North West Street
Dadeville, AL" 40.6601088770614
"Maplesville Public Library
9400 Al Highway 22
Maplesville, AL" 44.5608622902619
"Troy Public Library
300 North Three Notch Street
Troy, AL" 44.7197500277731
"Selma-Dallas County Public Library
1103 Selma Avenue
Selma, AL" 44.8473836812351
"Butler County Public Library
309 Ft. Dale Street
Greenville, AL" 45.6443664342037
"Goodwater Public Library
36 Weogufka Street
Goodwater, AL" 46.5892152968878
"Auburn Public Library
749 East Thach Avenue
Auburn, AL" 47.808161912146
"Luverne Public Library
148 East Third Avenue
Luverne, AL" 48.0378210806783
"B .B. Comer Memorial Library
314 North Broadway Avenue
Sylacauga, AL" 52.6637406934734
"Lewis Cooper Jr. Memorial Library
200 South 6th Street
Opelika, AL" 53.7356011289359
"Brundidge - Tupper Lightfoot Memorial Library
164 South Main Street
Brundidge, AL" 54.2835868052414
"Calera Public Library
9700 Highway 25
Calera, AL" 56.1503236440851
"Columbiana Public Library
50 Lester Street
Columbiana, AL" 57.1013002362668
"Brantley Public Library
10 Mlk Dr.
Brantley, AL" 57.2993928010767
"Wilsonville - Vernice Stoudenmire Library
p.o. box 24
Wilsonville, AL" 58.5361096660469
"Montevallo - Parnell Memorial Library
277 Park Drive
Montevallo, AL" 59.3622412047495
"Louisville Public Library
1951 Main St.
Louisville, AL" 59.5394514431844
"Parnell Memorial Library
845 Valley Street
Montevallo, AL" 59.5703303270007
"Clayton Town And County Public Library
45 North Midway Street
Clayton, AL" 59.5920159681097
"Lafayette Pilot Public Library
198 First Street, Se
Lafayette, AL" 59.9725227701797
"Childersburg - Earle A. Rainwater Memorial Library
124 Ninth Avenue Sw
Childersburg, AL" 60.2584017501286
"Brent-Centreville Public Library
20 Library Street
Centreville, AL" 64.1369729810698
"Marion-Perry County Library
202 Washington Street
Marion, AL" 64.1636918764802
"Ariton - Dot Laney Memorial Library
30 W. Main Street
Ariton, AL" 64.2019236752952
"Ashland City Public Library
11 Second Avenue North
Ashland, AL" 64.5399889184973
"Harpersville Public Library
39397 Alabama 25
Harpersville, AL" 65.3880738310805
"Alabaster - Albert L. Scott Library
100 9th Street N.W.
Alabaster, AL" 66.6752002759765
"Wilcox County Library
100 Broad Street
Camden, AL" 67.3001590245979
"Chelsea Public Library
11611 Chelsea Road
Chelsea, AL" 68.0885439494459
"Vincent - Lallouise F. Mcgraw Library
42860 Highway 25
Vincent, AL" 68.1658978703026
"Lineville Public Library
60119 Highway 49
Lineville, AL" 68.4443100539871
"Pelham Public Library
3160 Pelham Parkway
Pelham, AL" 68.822605614425
"H. Grady Bradshaw - Chambers County Library
3419 20th Avenue
Valley, AL" 69.2066637713752
"Elton B. Stephens Library
17 School Street
Clio, AL" 69.4288262161964
"Elba Public Library
406 Simmons Street
Elba, AL" 69.7449341733693
"Jane B. Holmes Public Library
230 Tucker Road
Helena, AL" 69.784440832283
"West Blocton Public Library
62 Walter Owens Drive
West Blocton, AL" 70.0377479801978
"North Shelby Library
5521 Cahaba Valley Road
Birmingham, AL" 71.2877363721032
"Talladega Public Library
202 South Street East
Talladega, AL" 71.3010531733458
"Phenix City-Russell County Library
1501 17th Avenue
Phenix City, AL" 72.2738923801154
"Roanoke - Annie L. Awbrey Public Library
736 College Street
Roanoke, AL" 72.3904390705498
"Uniontown Public Library
108 Water Street
Uniontown, AL" 73.735128748712
"Mildred L. Terry Branch Library
640 Veterans Parkway
Columbus, GA" 73.9160023546012
"Eufaula Carnegie Library
217 North Eufaula Avenue
Eufaula, AL" 74.0272970535287
"W. C. Bradley Memorial Library
1120 Bradley Drive
Columbus, GA" 74.6289500799752
"Hoover Public Library
200 Municipal Drive
Hoover, AL" 74.8018345671889
"Woodstock Library
