"location" "miles"
"Bedford Free Public Library
7 Mudge Way
Bedford, MA" 2.43466518183028
"Cary Memorial Library
1874 Massachusetts Avenue
Lexington, MA" 2.48152081524549
"Concord Free Public Library
129 Main Street
Concord, MA" 3.9127497136325
"East Lexington Branch Library
735 Massachusetts Avenue
Lexington, MA" 4.05217135429064
"Burlington Public Library
22 Sears Street
Burlington, MA" 5.46927019435307
"Waltham Public Library
735 Main St.
Waltham, MA" 5.88796675131269
"Loring N. Fowler Library
1322 Main Street
Concord, MA" 6.06205342887951
"Gleason Public Library
22 Bedford Road
Carlisle, MA" 6.14878816437151
"Woburn Public Library
45 Pleasant St.
Woburn, MA" 6.41302879466361
"Waverly Branch Library
445 Trapelo Road
Belmont, MA" 6.65939204259813
"Weston Public Library
87 School Street
Weston, MA" 6.69436425080362
"Robbins Library
700 Massachusetts Avenue
Arlington, MA" 6.84175902342829
"Belmont Public Library
336 Concord Ave.
Belmont, MA" 6.86641448133032
"Billerica Public Library
15 Concord Rd.
Billerica, MA" 7.0071708361919
"North Branch Library
265 Orchard Street
Watertown, MA" 7.15129853048439
"Winchester Public Library
80 Washington St.
Winchester, MA" 7.28314825616819
"Benton Branch Library
75 Oakley Road
Belmont, MA" 7.62101433236524
"Wayland Free Public Library
5 Concord Rd.
Wayland, MA" 7.6865968550549
"Nonantum Branch Library
144 Bridge Street
Newton, MA" 7.68906270826538
"Watertown Free Public Library
123 Main St.
Watertown, MA" 7.71342335478679
"Edith M. Fox Library
175 Massachusetts Avenue
Arlington, MA" 7.76458326106104
"Auburndale Branch Library
375 Auburn Street
Auburndale, MA" 7.78761016508376
"Acton Memorial Library
486 Main St.
Acton, MA" 8.2496192284428
"East Branch Library
481 Mt. Auburn Street
Watertown, MA" 8.31818134035128
"Newton Corner Branch Library
126 Vernon Street
Newton Corner, MA" 8.4695580014225
"Cambridge Public Library - Collins
64 Aberdeen Avenue
Cambridge, MA" 8.64781325101507
"Medford Public Library
111 High St.
Medford, MA" 8.72387999600977
"Cambridge Public Library - Oneill
70 Rindge Avenue
Cambridge, MA" 8.83058773431785
"West Branch Library
40 College Avenue
Somerville, MA" 8.90526609478818
"Cambridge Public Library - Boudreau
245 Concord Avenue
Cambridge, MA" 8.95796557392756
"Wilmington Memorial Library
175 Middlesex Ave.
Wilmington, MA" 9.00891412596622
"Maynard Public Library
77 Nason St.
Maynard, MA" 9.09043586713643
"Stoneham Public Library
431 Main St.
Stoneham, MA" 9.09402026542528
"Newton Free Library
330 Homer Street
Newton Centre, MA" 9.10125179332593
"Faneuil Branch Library
419 Faneuil Street
Brighton, MA" 9.19328835425727
"Waban Branch Library
1606 Beacon Street
Waban, MA" 9.30036142351558
"Goodnow Public Library
21 Concord Road
Sudbury, MA" 9.66859459713058
"Reading Public Library
64 Middlesex Ave.
Reading, MA" 9.73394374574479
"Hills Branch Library
210 Washington Street
Wellesley, MA" 9.86143192851205
"Brighton Branch Library
40 Academy Hill Road
Brighton, MA" 9.88047910213438
"W. Acton Citizens Library
21 Windsor Ave.
Acton, MA" 10.1257346523395
"Honan-Allston Branch
300 North Harvard St.
Allston, MA" 10.1394566308271
"Cambridge Public Library
449 Broadway
Cambridge, MA" 10.2284719306701
"Chelmsford Public Library
25 Boston Rd.
Chelmsford, MA" 10.2375045219913
"Somerville Public Library
79 Highland Avenue
Somerville, MA" 10.538791354905
"Tewksbury Public Library
300 Chandler Street
Tewksbury, MA" 10.6674669844591
"Fells Branch Library
308 Weston Road
Wellesley, MA" 10.7148242769131
"Melrose Public Library
69 West Emerson St.
Melrose, MA" 10.7390231095489
"Cambridge Public Library - Central Square
45 Pearl Street
Cambridge, MA" 10.931322300038
"East Branch Library
115 Broadway
Somerville, MA" 10.9638059832258
"Malden Public Library
36 Salem St.
Malden, MA" 10.9760035480325
"Mcauliffe Branch Library
10 Nicholas Road
Framingham, MA" 11.1256391786528
"Wellesley Free Library
530 Washington St.
Wellesley, MA" 11.1335768124707
"Cambridge Public Library - Valente
826 Cambridge Street
Cambridge, MA" 11.1924049857275
"Coolidge Corner Branch Library
31 Pleasant Street
Brookline, MA" 11.250364127622
"Cambridge Public Library - Oconnell
48 Sixth Street
Cambridge, MA" 11.4907916413956
"Brookline Public Library
361 Washington St.
Brookline, MA" 11.6144545227503
"Sargent Memorial Library
427 Mass. Ave.
Boxborough, MA" 11.6829110691745
"Randall Library
19 Crescent Street
Stow, MA" 11.7268395335464
"Parlin Memorial Library
410 Broadway
Everett, MA" 11.7720226923767
"Needham Free Public Library
1139 Highland Ave.
Needham, MA" 11.918629672447
"J. V. Fletcher Library
50 Main St.
Westford, MA" 11.9330488680632
"Reuben Hoar Library
41 Shattuck St.
Littleton, MA" 11.9462518708712
"Shute Memorial Library
781 Broadway
Everett, MA" 12.0791573651199
"Morse Institute Library
14 East Central Street
Natick, MA" 12.4596243476517
"Putterham Branch Library
959 West Roxbury Parkway
Chestnut Hill, MA" 12.5053195647305
"Parker Hill Branch Library
1497 Tremont Street
Roxbury, MA" 12.5235199539407
"Boston Public Library
700 Boylston Street
Boston, MA" 12.56012530037
"West End Branch Library
151 Cambridge Street
Boston, MA" 12.6772156334953
"Connolly Branch Library
433 Centre Street
Jamaica Plain, MA" 12.6821466312952
"Linden Branch Library
141 Oliver Street
Malden, MA" 12.7349876741728
"Bacon Free Library
58 Eliot Street
South Natick, MA" 12.9570553491054
"South End Branch Library
685 Tremont Street
Boston, MA" 12.9726976286813
"Lynnfield Public Library
18 Summer St.
Lynnfield, MA" 12.9827384930164
"North End Branch Library
25 Parmenter Street
Boston, MA" 13.0303157823857
"Flint Memorial Library
147 Park St.
North Reading, MA" 13.0557720344989
"Kirstein Business Branch
20 City Hall Avenue
Boston, MA" 13.0669654795367
"Senior Center Branch
276 Broadway Street
Lowell, MA" 13.077633715606
"Jamaica Plain Branch Library
12 Sedgwick Street
Jamaica Plain, MA" 13.1905994092202
"Pollard Memorial Library
401 Merrimack St.
Lowell, MA" 13.2057228567238
"Chelsea Public Library
569 Broadway
Chelsea, MA" 13.2454947631104
"Dudley Branch Library
65 Warren Street
Roxbury, MA" 13.3078870167053
"Dudley Literacy Center
65 Warren St.
Roxbury, MA" 13.3078870167053
"East Boston Branch Library
276 Meridian Street
East Boston, MA" 13.3554828000226
"West Roxbury Branch Library
1961 Centre Street
West Roxbury, MA" 13.4782936551889
"Egleston Square Branch Library
2044 Columbus Avenue
Roxbury, MA" 13.5478147775887
"Saugus Public Library
295 Central St.
Saugus, MA" 13.6114969671736
"Mackay Branch Library
43 Newfield Street
North Chelmsford, MA" 13.6169329386886
"Roslindale Branch Library
4238 Washington Street
Roslindale, MA" 14.0698743757356
"Framingham Public Library
49 Lexington Street
Framingham, MA" 14.0746280886039
"Revere Public Library
179 Beach St.
Revere, MA" 14.075103941303
"Grove Hall Branch Libary
5 Crawford Street
Dorchester, MA" 14.1363565313333
"Washington Village Branch Library
1226 Columbia Road
South Boston, MA" 14.5451345530436
"Dover Town Library
56 Dedham St.
Dover, MA" 14.5467579354276
"Orient Heights Branch Library
18 Barnes Avenue
East Boston, MA" 14.6741547394832
