"location" "miles"
"Hampton Public Library - Willow Oaks Branch Library
227 Fox Hill Road
Hampton, VA" 2.47677901050079
"Poquoson Public Library
500 City Hall Ave.
Poquoson, VA" 3.36249136871492
"Hampton Public Library - George Wythe Law Library
101 Kings Way
Hampton, VA" 3.99913650098341
"Hampton Public Library
4207 Victoria Blvd
Hampton, VA" 4.37187972083092
"Hampton Public Library - Northampton Branch Library
936 Big Bethel Road
Hampton, VA" 4.6171678479696
"Hampton Public Library - Phoebus Branch Library
1 South Mallory Street
Hampton, VA" 4.92937651615928
"Tabb Library
100 Long Green Blvd.
Yorktown, VA" 5.23950745480922
"York County Public Library
100 Long Green Boulevard
Yorktown, VA" 5.23950745480922
"Library Administration Office
700 Town Center Drive, Suite 300
Newport News, VA" 6.33300714147535
"Newport News Public Library System
700 Town Center Dr., Ste. 300
Newport News, VA" 6.33300714147535
"Main Street Library-Bookmobile
110 Main Street
Newport News, VA" 6.52291505848052
"Pearl Bailey Library
2510 Wickham Ave.
Newport News, VA" 7.40885393687479
"West Ave. Library
30th West Ave.
Newport News, VA" 7.56003536441064
"Public Law Library
2501 Washington Ave.
Newport News, VA" 8.30520638102865
"Yorktown Library
8500 George Washington Memorial Highway
, VA" 10.5823696741347
"Virgil I. Grissom Library
366 Deshazor Drive
Newport News, VA" 10.6978238654213
"Mary D. Pretlow Anchor Branch Library
111 W. Ocean View Avenue
Norfolk, VA" 10.8234901181245
"Larchmont Branch Library
6525 Hampton Blvd.
Norfolk, VA" 12.9719667224932
"Little Creek Branch Library
7853 Tarpon Place
Norfolk, VA" 14.2566449683321
"Point Branch Library
1720 George Washington Memorial Highway
Hayes, VA" 14.2614294604799
"Barron F. Black Branch Library
6700 E. Tanners Creek Dr.
Norfolk, VA" 14.4796810558074
"Lafayette Branch Library
1610 Cromwell Drive
Norfolk, VA" 14.5302856639233
"Carrollton Library
14362 New Towne Haven Lane
Carrollton, VA" 14.7317401827352
"Park Place Branch Library
620 West 29th Street
Norfolk, VA" 14.848603231234
"Van Wyck Branch Library
1368 Debree Avenue
Norfolk, VA" 15.5963932370767
"Portsmouth Public Library - Churchland Branch
4934 High Street West
Portsmouth, VA" 16.0217335927295
"Blyden Branch Library
879 E. Princess Anne Rd.
Norfolk, VA" 16.3263235954754
"Janaf Branch Library
124 Janaf Shopping Center
Norfolk, VA" 16.6018748941446
"Norfolk Public Library
301 East City Hall Avenue
Norfolk, VA" 16.787080533254
"Norfolk Main Library
235 East Plume Street
Norfolk, VA" 16.8215311034153
"Jordan-Newby Branch Library
961 Park Avenue
Norfolk, VA" 16.8399081422172
"Smithfield Library
255 James Street
Smithfield, VA" 16.9048538048393
"North Suffolk Library
2000 Bennetts Creek Park Road
Suffolk, VA" 17.1520175189189
"Esther Murdaugh Wilson Memorial Room
601 Court Street
Portsmouth, VA" 17.5388461541301
"Russell Memorial Library
2808 Taylor Road
Chesapeake, VA" 17.5975107370385
"Horace C. Downing Branch Library
555 E. Liberty Street
Norfolk, VA" 18.1609205521691
"Portsmouth Public Library - Manor Branch
1401 Elmhurst Lane
Portsmouth, VA" 18.7766141052735
"South Norfolk Memorial Library
1100 Poindexter Street
Chesapeake, VA" 18.9083957262297
"Bayside Special Service Library
936 Independence Boulevard
Virginia Beach, VA" 19.3695455603913
"Dr. Clarence V. Cuffee Library
2726 Border Road
Chesapeake, VA" 19.4845148999936
"Portsmouth Public Library - Cradock Branch
28 Prospect Parkway
Portsmouth, VA" 19.6334697316546
"Indian River Library
2320 Old Greenbrier Road
Chesapeake, VA" 20.5618781898271
"Kempsville Area Library
832 Kempsville Road
Virginia Beach, VA" 21.4794074153484
"Major Hillard Library
824 Old George Washington Highway, N.
Chesapeake, VA" 21.8222196059843
"Windsor Woods Area Library
3612 South Plaza Trail
Virginia Beach, VA" 22.7389303262408
"Eastern Shore Public Library - Northampton Memorial Library
500 Tazewell Avenue
Cape Charles, VA" 22.8979094547781
"Greenbrier Library
1214 Volvo Parkway
Chesapeake, VA" 23.1113463817652
"Williamsburg Library
515 Scotland St.
Williamsburg, VA" 23.3162470222082
"Great Neck Area Library
1251 Bayne Drive
Virginia Beach, VA" 23.3782344393943
"Gloucester Library
6920 Main St.
Gloucester, VA" 24.1955454551356
"Mathews Memorial Library
251 Main Street
Mathews, VA" 24.2981255013571
"South Rosemont Youth Library
1503 Competitor Court
Virginia Beach, VA" 24.9506515207708
"Meyera E. Oberndorf Central Library
100 Virginia Beach Boulevard
Virginia Beach, VA" 25.7276435632939
"Chesapeake Central Library
298 Cedar Road
Chesapeake, VA" 26.2368231996018
"Wahab Public Law Library
2425 Nimmo Parkway Judicial Center, Bldg 10b
Virginia Beach, VA" 26.426323534367
"Surry Public Library
11640 Rolfe Highway
Surry, VA" 26.5222939557988
"Oceanfront Area Library
700 Virginia Beach Boulevard
Virginia Beach, VA" 26.5543778415127
"Chuckatuck Branch Library
P.O. Box 2278
Suffolk, VA" 27.5322476832777
"Morgan Memorial Library
443 W. Washington Street
Suffolk, VA" 27.6016905973428
"Suffolk Public Library System
443 West Washington Street
Suffolk, VA" 27.6016905973428
"Windsor Library
18 Duke Street
Windsor, VA" 28.4395858703273
"Virginia Beach Public Library
2416 Courthouse Drive Building 19
Virginia Beach, VA" 28.4817931942439
"Virginia Beach Public Library - Library Administration
2416 Courthouse Dr.
Virginia Beach, VA" 28.4817931942439
"Princess Anne Area Library
1444 Nimmo Parkway
Virginia Beach, VA" 28.9005980848722
"James City County Library
7770 Croaker Rd.
Williamsburg, VA" 30.4647653521071
"Williamsburg Regional Library
7770 Croaker Road
Williamsburg, VA" 30.4647653521071
"Middlesex County Public Library - Deltaville Branch
35 Lovers Lane
Deltaville, VA" 32.5955944510511
"Claremont Library
91 Mancha Avenue
Claremont, VA" 34.8865483704554
"Troxler Memorial Library
100 Wilson Avenue
Wakefield, VA" 35.5557424394475
"Pungo-Blackwater Library
916 Princess Anne Road
Virginia Beach, VA" 35.6539449431331
"Eastern Shore Public Library - Northampton Free Library
7401 Railroad Avenue
Nassawadox, VA" 38.6001691732569
"Pamunkey Regional Library - West Point Branch Library
721 Main Street
West Point, VA" 39.270870442592
"Middlesex County Public Library
150 Grace Street
Urbanna, VA" 40.1099851774282
"Burrowsville Library
18701 James River Dr
Disputanta, VA" 40.5456371059927
"Agnes Taylor Gray Library
125 Bank Street
Waverly, VA" 40.7103378495545
"Ruth Camp Campbell Memorial Library
280 North College Drive
Franklin, VA" 42.8107224226021
"Heritage Public Library - Charles City Location
10780 Courthouse Rd
Charles City, VA" 43.0712436002371
"Lancaster Community Library
235 School Street
Kilmarnock, VA" 43.6291095727658
"Heritage Public Library - New Kent Location
6215-D Chesapeake Circle
New Kent, VA" 46.3042967209087
"Blackwater Regional Library
22511 Main Street
Courtland, VA" 46.6508291637448
"Disputanta Library
10010 County Drive
Disputanta, VA" 47.9486462325753
"Gates County Library
115 Court Street
Gatesville, NC" 51.8526017921512
"Prince George Library
6605 Courts Drive
Prince George, VA" 52.0695040614661
"Appomattox Regional Library System
209 East Cawson Street
Hopewell, VA" 53.3602174507602
"Maude Langhorne Nelson Library (Hopewell)
209 E Cawson St
Hopewell, VA" 53.3602174507602
"Currituck County Library
4261 Caratoke Highway
Barco, NC" 53.9205815677419
"East Albemarle Regional Library
100 East Colonial Avenue
Elizabeth City, NC" 54.63953659472
"Pasquotank-Camden Library
205 East Main Street
Elizabeth City, NC" 54.7251211922076
"Enon Library
1801 Enon Church Rd.
Chester, VA" 56.0386064260881
"Corolla Branch Library
1123 Ocean Trail
Corolla, NC" 56.8845158202999
"Albemarle Regional Library
303 W Tryon Street
Winton, NC" 57.2272862633946
"Hertford County Library
303 West Tryon Street
Winton, NC" 57.2272862633946
"Carson Depot Library
16101 Halligan Park Rd
Carson, VA" 57.2432286369503
"Petersburg Public Library - Rodof Sholom Branch
1865 S. Sycamore St.
Petersburg, VA" 57.2497377198997
"Northumberland Public Library
7204 Northumberland Highway
Heathsville, VA" 57.8815398689815
"Colonial Heights Public Library
1000 Yacht Basin Drive
Colonial Heights, VA" 58.2806228163738
"Petersburg Public Library - William R. Mckenney Branch Library
137 S. Sycamore St.
Petersburg, VA" 58.3478282043361
"Eastern Shore Public Library
23610 Front St.
Accomac, VA" 58.3599806190323
"Petersburg Public Library - A.P. Hill Branch
1237 Halifax Street
Petersburg, VA" 58.7710232810419
"Elizabeth Sewell Parker Library
213 East Main Street Po Drawer 186
Murfreesboro, NC" 60.3779549433017
"Henrico County Public Library - Sandston
23 E. Williamsburg Rd.
Sandston, VA" 60.6044809320256
"Ettrick-Matoaca Library
4501 River Road
Petersburg, VA" 60.6775365331777
"Perquimans County Library
110 West Academy Street
Hertford, NC" 62.1581007044567
"Pamunkey Regional Library - Upper King William Branch Library
694-J Sharon Road
King William, VA" 62.1774136627744
"Henrico County Public Library - Varina
2001 Library Road
Henrico, VA" 62.194247117441
"Chester Library
11800 Centre Street
Chester, VA" 62.8938094174065
"Pamunkey Regional Library - King Queen Branch Library
450 Newtown Road
St. Stephens Church, VA" 63.2973737911846
"Rohoic Library
7301 Boydton Plank Rd
Petersburg, VA" 63.3269064784236
"Richmond County Public Library
52 Campus Drive
Warsaw, VA" 64.3371452181698
"Henrico County Public Library
1001 N. Laburnum Avenue
Henrico, VA" 64.6881311899022
"Henrico County Public Library - Bookmobile
1001 N. Laburnum Ave.
Henrico, VA" 64.6881311899022
"Essex Public Library
117 N. Church Lane
Tappahannock, VA" 64.7021693449657
"Ahoskie Public Library
210 East Church Street
Ahoskie, NC" 65.3306514810131
"Pamunkey Regional Library - Mechanicsville Branch Library
7461 Sherwood Crossing Place
Mechanicsville, VA" 65.4159200950293
"Ewell School
20910 Caleb Jones Road
Ewell, MD" 65.5840362632273
