"location" "miles" "latitude" "longitude"
"Chowchilla Branch Library
300 Kings St.
Chowchilla, CA" 4.61007565757114 -120.2618712 37.1229014
"Chula Vista Public Library
365 F St.
Chula Vista, CA" 4.61007565757114 -117.0833577 32.6410364
"Lakeside Library
32593 Riverside Dr.
Lake Elsinore, CA" 4.6733940879451 -117.3806008 33.6701224
"El Toro Branch Library
24672 Raymond Way
Lake Forest, CA" 4.6733940879451 -117.6998332 33.6195602
"Chevy Chase Branch Library
3301 E. Chevy Chase Dr.
Glendale, CA" 4.75766924647905 -118.2000549 34.1739475
"Glendale Public Library
222 E. Harvard St.
Glendale, CA" 4.75766924647905 -118.253502 34.1441907
"Bay Point
205 Pacifica Ave.
Bay Point, CA" 4.96385747261762 -121.967148 38.0336258
"Bear Valley Library Station
367 Creekside Dr.
Bear Valley, CA" 4.96385747261762 -120.0389445 38.465895
"Library Literacy Services
714 W. Main Street
Grass Valley, CA" 5.9764167369254 -121.067727 39.220705
"Mariposa County Library - Greeley Hill
10332 C Fiske Road
Greeley Hill, CA" 5.9764167369254 -119.4179324 36.778261
"Bear River High School Library Station
11130 Magnolia Road
Grass Valley, CA" 6.01712791454363 -121.0747976 39.0468815
"Grass Valley Library
207 Mill Street
Grass Valley, CA" 6.01712791454363 -121.0633044 39.2168943
"Calabasas City Library
200 Civic Center Way
Calabasas, CA" 6.60449302656546 -118.6466626 34.1525469
"Camarena Memorial Library Station
1202 Kloke Rd.
Calexico, CA" 6.60449302656546 -115.515071 32.681877
"John D. Daly Library
6351 Mission St.
Daly City, CA" 7.11651625401718 -122.4616732 37.7052315
"Westlake Library
275 Southgate Ave.
Daly City, CA" 7.11651625401718 -122.4854045 37.697223
"Wilson Public Library
1 Park Street
Wilson, AR" 7.5427779490036 -90.0428666 35.5694845
"Winslow Public Library
124 Main Street
Winslow, AR" 7.5427779490036 -94.1347922 35.8004734
"White Hall Public Library
300 Anderson Street
White Hall, AR" 7.61462986993788 -92.0946869 34.27607
"Williford Public Library
232 W Main St
Williford, AR" 7.61462986993788 -91.4842437 36.3155874
"Winthrop Public Library
720 High Street
Winthrop, AR" 7.6252119474233 -94.351799 33.832142
"East Central Arkansas Regional Library
410 East Merriman
Wynne, AR" 7.6252119474233 -90.788849 35.224203
"Grandview Branch Library
1535 Fifth St.
Glendale, CA" 7.97179372365062 -118.2855885 34.1704757
"Glendora Library Cultural Center
140 South Glendora Ave.
Glendora, CA" 7.97179372365062 -117.8652849 34.1350655
"Kerman Neighborhood Library
15081 W. Kearney Plaza
Kerman, CA" 8.17055450416106 -120.0612806 36.7273755
"Kern County Library - Kernville
48 Tobias Street
Kernville, CA" 8.17055450416106 -118.4254183 35.755874
"Gridley Branch
299 Spruce St.
Gridley, CA" 8.46046026737323 -121.690994 39.3668243
"Grimes Branch
240 Main
Grimes, CA" 8.46046026737323 -121.8942986 39.0741961
"Diamond Bar Library
1061 S. Grand Ave.
Diamond Bar, CA" 9.19935423579589 -117.8139609 34.0017036
"Dinuba Branch Library
150 South I St.
Dinuba, CA" 9.19935423579589 -119.3862951 36.5426748
"Buena Vista Branch
300 N. Buena Vista Street
Burbank, CA" 10.0518606019882 -118.3303637 34.1641363
"Burbank Public Library
110 N. Glenoaks Blvd.
Burbank, CA" 10.0518606019882 -118.30641 34.183866
"Buellton Branch Library
140 W. Hwy 246
Buellton, CA" 10.1377641288382 -120.1962412 34.6140812
"Buena Park Library District
7150 La Palma Ave.
Buena Park, CA" 10.1377641288382 -118.0084448 33.8460883
"Fletcher Hills Library
576 Garfield Ave.
El Cajon, CA" 11.3215012395593 -116.9977696 32.801883
"Rancho San Diego Library
11555 Via Rancho San Diego
El Cajon, CA" 11.3215012395593 -116.9291121 32.7493523
"Dana Point Branch Library
33841 Niguel Road
Dana Point, CA" 11.4920280034807 -117.7160862 33.4769342
"Danville Library
400 Front St.
Danville, CA" 11.4920280034807 -121.9959106 37.8208817
"Bridgeport Library
94 N. School St.
Bridgeport, CA" 12.9957930761676 -119.2286821 38.254819
"Brisbane Library
250 Visitacion Ave.
Brisbane, CA" 12.9957930761676 -122.4037719 37.6828146
"Desert Hot Springs Library
11691 West Drive
Desert Hot Springs, CA" 14.0153266969802 -116.5106379 33.9631112
"Desert Shores Library
801 N. Palm
Desert Shores, CA" 14.0153266969802 -116.0399666 33.397404
"Mariposa County Library - El Portal
9670 Rancheria Flat Road
El Portal, CA" 15.4880228059648 -119.806634 37.673256
"Center Street School Branch Library
700 Center St.
El Segundo, CA" 15.4880228059648 -118.4047072 33.9247466
"Brea Branch Library
1 Civic Center Cir.
