"location" "miles"
"Port Tampa Branch Library
8611 Interbay Blvd.
Tampa, FL" 2.45351642940085
"Jan K. Platt Regional Library
3910 S. Manhattan Avenue
Tampa, FL" 3.93022948113969
"Charles J. Fendig Library
3909 Neptune Street
Tampa, FL" 5.26784742612966
"Hillsborough County Public Library Cooperative
900 North Ashley Drive
Tampa, FL" 6.68769180497773
"West Tampa Branch Library
2312 W. Union St.
Tampa, FL" 6.97960354249569
"Robert W. Saunders, Sr. Branch Library
1505 N. Nebraska Ave.
Tampa, FL" 7.36559815130597
"Ybor City Branch
1505 Nebraska
Tampa, FL" 7.36559815130597
"78th Street Community Library
7625 Palm River Road
Tampa, FL" 9.15691366297141
"College Hill Branch Library
2607 East Martin L. King Dr.
Tampa, FL" 9.28759848285335
"Seminole Heights Branch Library
4711 Central Ave.
Tampa, FL" 9.31686037403117
"Riverview Branch Library
10509 Riverview Drive
Riverview, FL" 9.73487965395689
"North Branch Library
861 70th Ave North
St. Petersburg, FL" 9.77254509653301
"Egypt Lake Partnership Library
3403 West Lambright Street
Tampa, FL" 10.4122070071321
"Mirror Lake Branch
280 5th Street N
St. Petersburg, FL" 10.9181922835695
"West Gate Branch Library
7609 Paula Dr.
Tampa, FL" 10.9421099881475
"North Tampa Branch Library
8916 North Blvd.
Tampa, FL" 12.1961666902638
"James Weldon Johnson Branch Library
1059 18th Ave South
St. Petersburg, FL" 12.2417866591987
"St. Petersburg Public Library
3745 Ninth Ave. No.
St. Petersburg, FL" 13.1034397267208
"Brandon Branch
619 Vonderburg Drive
Brandon, FL" 13.2601973847265
"Pinellas Park Public Library
7770 52nd Street North
Pinellas Park, FL" 13.2912756626688
"Temple Terrace Public Library
202 Bullard Pkwy
Temple Terrace, FL" 13.5286270986745
"Seffner-Mango Branch Library
11724 East Ml King Jr. Blvd
Seffner, FL" 14.3685038394929
"Science Library At Mosi-Museum Of Science And
4801 E Fowler Avenue
Tampa, FL" 14.53935635244
"South Branch Library
2300 Roy Hanna Dr. South
St. Petersburg, FL" 14.8132114182587
"Safety Harbor Public Library
101 Second St North
Safety Harbor, FL" 15.4071660323861
"Gulfport Public Library
5501 28th Avenue South
Gulfport, FL" 15.6139745088155
"Jimmie B. Keel Regional Library
2902 W. Bearss Avenue
Tampa, FL" 15.9099352663845
"Oldsmar Public Library
101 State St. W
Oldsmar, FL" 16.4596984671185
"East Library
2251 Drew Street
Clearwater, FL" 17.4371805086434
"St. Pete Beach Public Library
365 73rd Ave
St. Pete Beach, FL" 17.87486953514
"Thonotosassa Branch Library
10715 Main St.
Thonotosassa, FL" 18.2173939662939
"Countryside Library
2741 State Road 580
Clearwater, FL" 18.2556469427197
"Largo Public Library
351 East Bay Drive
Largo, FL" 18.561617259084
"Pinellas Public Library Cooperative
1330 Cleveland Street
Clearwater, FL" 19.4937353703262
"Gulf Beaches Public Library
200 Municipal Drive
Madeira Beach, FL" 19.5273327771695
"Austin Davis Library
17808 Wayne Road
Odessa, FL" 19.9696299651087
"North Greenwood Branch
905 N. Martin Luther King Jr. Avenue
Clearwater, FL" 20.2742389542879
"Lutz Branch Library
101 West Lutz Lake Fern Rd.
Lutz, FL" 20.4278342549105
"Clearwater Public Library System
100 North Osceola Avenue
Clearwater, FL" 20.6437563069727
"Dunedin Public Library
223 Douglas Avenue
Dunedin, FL" 20.8322106366107
"East Lake Community Library
4125 East Lake Road
Palm Harbor, FL" 21.6191101029645
"Palm Harbor Library
2330 Nebraska Ave
Palm Harbor, FL" 21.8190770793403
"New Tampa Regional Library
10001 Cross Creek Blvd
Tampa, FL" 21.945795027357
"Indian Rocks Beach Library
1507 Bay Palm Boulevard
Indian Rocks Beach, FL" 22.0678557682008
"Rocky Bluff Branch
6750 US Highway 301 North
Ellenton, FL" 22.3177029866061
"Beach Library
483 Mandalay
Clearwater, FL" 22.4353901910282
"Land Olakes Branch Library
2818 Collier Pkwy.
Land Olakes, FL" 23.8299288209359
"Palmetto Branch Library
923 6th Street West
Palmetto, FL" 24.1829582361981
"Manatee County Public Library System
1301 Barcarrota Blvd West
Bradenton, FL" 25.3466291861925
"Bruton Memorial Library
302 Mclendon Street
Plant City, FL" 25.5010928083324
"Tarpon Springs Library
138 E Lemon Street
Tarpon Springs, FL" 25.7458845733093
"South Holiday Branch Library
4649 Mile Stretch Drive
Holiday, FL" 27.5591344487503
"Island Branch Library
5701 Marina Drive
Holmes Beach, FL" 27.7717743455066
"Centennial Park Branch Library
5740 Moog Road East
Holiday, FL" 28.21167288496
"Braden River Library
4915 53rd Avenue East
Bradenton, FL" 28.3748403735766
"South Manatee County Branch
6081 26th Street W.
Bradenton, FL" 29.9872852070056
"New Port Richey Public Library
5939 Main Street
New Port Richey, FL" 30.5727417506961
"Dr. C.C. Pearce Municipal Library
103 E Canal Street
Mulberry, FL" 31.5895334888178
"Zephyrhills Library
5347 8th Street
Zephyrhills, FL" 32.2058048379767
"Regency Park Branch Library
9701 Little Road
New Port Richey, FL" 32.5604093460019
"North Sarasota Library
2801 Newtown Blvd.
Sarasota, FL" 34.4186532679773
"Lakeland Public Library
100 Lake Morton Drive
Lakeland, FL" 35.1859802901563
"Larry R. Jackson Branch Library
1700 N Florida Ave.
Lakeland, FL" 35.5421954937186
"Fruitville Public Library
100 Coburn Road
Sarasota, FL" 36.0107057707252
"Selby Public Library
1331 First Street
Sarasota, FL" 36.0771407914329
"Sarasota County Public Libraries
1660 Ringling Blvd.
Sarasota, FL" 36.2702286480943
"Hudson Regional Library
8012 Library Road
Hudson, FL" 36.3252856337106
"Polk County Law Library
255 North Broadway
Bartow, FL" 39.454298105558
"Bartow Public Library
2150 S. Broadway Avenue
