"location" "miles"
"Parkland-Spanaway Library
13718 Pacific Avenue South
Tacoma, WA" 2.34249142648875
"Lakewood Library
6300 Wildaire Road Sw
Lakewood, WA" 2.46609371989329
"Tillicum Library
14916 Washington Avenue Sw
Lakewood, WA" 3.3066909826782
"Fern Hill Branch Library
765 South 84th
Tacoma, WA" 3.84425675881982
"Pierce County Library System
3005 112th Street East
Tacoma, WA" 4.87407536590967
"South Tacoma Branch Library
3411 South 56th Street
Tacoma, WA" 4.99605415698149
"Steilacoom Library
2950 Steilacoom Boulevard Sw
Steilacoom, WA" 5.25883163277777
"Moore Branch Library
215 South 56th Street
Tacoma, WA" 5.53523542596318
"Summit Library
5107 112th Street East
Tacoma, WA" 6.055825215725
"University Place Library
3605 Bridgeport Way West
University Place, WA" 6.79758012338307
"Swan Creek Branch Library
3828 Portland Avenue
Tacoma, WA" 7.07551001581581
"Mottet Branch Library
3523 East G Street
Tacoma, WA" 7.19347796704425
"Dr. Martin Luther King, Jr. Branch Library
1902 South Cedar
Tacoma, WA" 7.49350945016766
"Tacoma Public Library
1102 Tacoma Ave S
Tacoma, WA" 8.38659853331751
"Swasey Branch Library
7001 Sixth Avenue
Tacoma, WA" 8.66982725671213
"South Hill Library
15420 Meridian East
Puyallup, WA" 9.10257331495583
"Wheelock Branch Library
3722 North 26th
Tacoma, WA" 9.44350649578985
"Roy City Library
122 3rd St. E
Roy, WA" 9.48669910120498
"Puyallup Public Library
324 S Meridian
Puyallup, WA" 9.73748148045943
"Graham Library
9202 224th Street East
Graham, WA" 10.1009790077167
"Milton Library
1000 Laurel St.
Milton, WA" 11.0825169606462
"Kobetich Branch Library
212 Browns Point Blvd. Ne
Tacoma, WA" 11.6146963811278
"Peninsula Library
4424 Point Fosdick Drive Nw
Gig Harbor, WA" 12.2283566712533
"Sumner Library
1116 Fryar Avenue
Sumner, WA" 12.3602014843986
"Federal Way Library
34200 1st Way South
Federal Way, WA" 13.2422887113145
"Orting Library
202 Washington Avenue
Orting, WA" 13.5855767690343
"Algona-Pacific Library
255 Ellingson Road
Pacific, WA" 14.4684870393327
"Yelm Timberland Library
210 Prairie Park St.
Yelm, WA" 14.5220580003703
"Bonney Lake Library
18501 90th Street East
Bonney Lake, WA" 14.5670286619343
"Federal Way 320th Library
848 S 320th Street
Federal Way, WA" 14.7389029874523
"Auburn Public Library
1102 Auburn Way South
Auburn, WA" 16.957612055611
"Lacey Timberland Library
500 College St. Se
Lacey, WA" 17.0487393740934
"Woodmont Library
26809 Pacific Hwy S
Des Moines, WA" 17.7664879161311
"Key Center Library
8905 Key Peninsula Hwy N
Lakebay, WA" 18.690279748759
"Muckleshoot Library
38811 172nd Avenue Se
Auburn, WA" 19.2744417385848
"Olympia Timberland Library
313 8th Ave. Se
Olympia, WA" 20.4582065485563
"Des Moines Library
21620 11th Avenue S
Des Moines, WA" 20.4891210130621
"Kent Library
212 2nd Ave N
Kent, WA" 20.8468332664609
"Eatonville Library
205 Center Street
Eatonville, WA" 21.2649972511253
"Buckley Library
123 South River Avenue
Buckley, WA" 21.5691863378068
"Vashon Library
17210 Vashon Highway Sw
Vashon Island, WA" 21.936357109956
"Timberland Regional Library
415 Tumwater Blvd. Sw
Tumwater, WA" 22.3521259452845
"Tumwater Timberland Library
7023 New Market St.
Tumwater, WA" 22.6496166112975
"Covington Library
27100 164th Avenue Se
Covington, WA" 23.1096640766048
"Valley View Library
17850 Military Road S
Seatac, WA" 23.5738402279301
"Enumclaw Public Library
1700 First Street
Enumclaw, WA" 23.9106634919952
"Burien Library
14700 6th Avenue Sw
Burien, WA" 24.2817917362398
"Library Connection At Southcenter
1386 Southcenter Mall
Tukwila, WA" 24.7928439382017
"Black Diamond Library
24301 Roberts Drive
Black Diamond, WA" 25.0936846464615
"Foster Library
4060 S 144th Street
Tukwila, WA" 25.4116983905133
"Tukwila Library
14475 59th Avenue S
Tukwila, WA" 25.6476123840142
"Tenino Timberland Library
172 Central Ave. W.
Tenino, WA" 25.8129596053077
"White Center Library
11220 16th Avenue Sw
Seattle, WA" 26.1695511711391
"Boulevard Park Library
12015 Roseberg Avenue S
Seattle, WA" 26.3303148936263
"Maple Valley Library
21844 Se 248th Street
Maple Valley, WA" 26.6552401158988
"North Mason Timberland Library
23081 Ne State Rt. 3
Belfair, WA" 26.8197220774116
"Fairwood Library
17009 140th Avenue Se
Renton, WA" 26.8463962324061
"Greenbridge Library
9720 8th Ave S.W.
Seattle, WA" 27.217014355579
"Skyway Library
7614 S 126th Street
Seattle, WA" 27.2783738447273
"Seattle Public Library - Southwest
9010 35th Ave Sw
Seattle, WA" 27.3385416302367
"Renton Library
100 Mill Avenue South
Renton, WA" 27.4823919313269
"Seattle Public Library - South Park
8604 Eighth Ave. S. At South Cloverdale Street
Seattle, WA" 28.1746510971015
"Seattle Public Library - Rainier Beach
9125 Rainier Ave S
Seattle, WA" 28.615680387723
"Seattle Public Library - High Point
6338 32nd Ave Sw
Seattle, WA" 28.8693102148424
"Port Orchard Library
87 Sidney St.
Port Orchard, WA" 29.0979642227118
"Highlands Public Library
2902 Ne 12th St
Renton, WA" 29.2758900053057
"Renton Highlands Library
2902 Ne 12th Street
Renton, WA" 29.2758900053057
"Manchester Library
8067 E. Main St.
Manchester, WA" 29.2962065938387
"Seattle Public Library - Newholly
7058 32nd Ave S
Seattle, WA" 29.4710442809156
"Seattle Public Library - Delridge
5423 Delridge Way Sw
Seattle, WA" 29.5397636564669
"William G. Reed Public Library
710 W. Alder St.
Shelton, WA" 29.7787655197176
"Bremerton Library
612 5th St.
Bremerton, WA" 30.6571753538183
