"location" "miles" "latitude" "longitude"
"Linwood Park Branch Library
1901 S Kansas
Wichita, KS" 3.90527276030027 -97.3139309 37.6590551
"Ford Rockwell Branch Library
5939 E 9th
Wichita, KS" 4.83532442125208 -97.2673165 37.7006533
"Derby Public Library
611 N Mulberry Rd, Suite 200
Derby, KS" 5.7453067510362 -97.2485949 37.5488666
"Wichita Public Library
223 S. Main St
Wichita, KS" 6.00938859177585 -97.338887 37.68436
"Comotara Branch Library
2244 N. Rock Road
Wichita, KS" 6.35839866772918 -97.244488 37.7236487
"Alford Branch Library
3447 S. Meridian
Wichita, KS" 6.59900676681125 -97.3718844 37.6318739
"Maya Angelou Branch Library
3051 E. 21st
Wichita, KS" 6.8027786389841 -97.3002715 37.7223191
"Haysville Community Library
130 West Grand Avenue
Haysville, KS" 7.24612351109399 -97.353062 37.564897
"Rose Hill Public Library
306 N Rose Hill Rd
Rose Hill, KS" 8.04682063932382 -97.1348311 37.561195
"Andover Public Library
1511 E. Central
Andover, KS" 8.40281936640818 -97.1190661 37.6933562
"Evergreen Branch Library
2601 N. Arkansas
Wichita, KS" 8.53498535900699 -97.3454962 37.7302855
"Orchard Park Branch Library
4808 W 9th
Wichita, KS" 9.50456534909721 -97.4001869 37.7026945
"Mulvane Public Library
101 East Main
Mulvane, KS" 10.8807871927598 -97.2441066 37.4747026
"Westlink Branch Library
8515 Bekemeyer
Wichita, KS" 11.3429094957048 -97.441561 37.6969683
"Park City Public Library
1530 E. 61st St. N.
Park City, KS" 11.9691111297626 -97.3189176 37.7964802
"Augusta Public Library
1609 State St.
Augusta, KS" 15.4534070135832 -96.979637 37.69203
"Edna Buschow Memorial Library
321 West 1st St.
Valley Center, KS" 15.5075941645483 -97.375518 37.833454
"Clearwater Public Library
109 E. Ross
Clearwater, KS" 16.4842161147743 -97.505368 37.504325
"Belle Plaine Public Library
222 W. 5th
Belle Plaine, KS" 16.5580821196722 -97.2820455 37.3937576
"Towanda Public Library
620 Highland
Towanda, KS" 18.0058157580191 -96.9995239 37.79937
"Udall Public Library
109 E. First St
Udall, KS" 18.451547603468 -97.1169414 37.3874102
"Colwich Community Library
432 W Colwich
Colwich, KS" 18.9067344482566 -97.540705 37.781315
"Sedgwick-Lillian Tear
501 Commercial
Sedgwick, KS" 21.8919330428988 -97.4244915 37.9172804
"Lillian Tear Library, Sedgwick
112 W. 5th
Sedgwick, KS" 21.9248247383629 -97.425547 37.917407
"Andale District Library
328 Main St
Andale, KS" 23.4632572327183 -97.629731 37.791538
"Whitewater Memorial Library
118 East Topeka
Whitewater, KS" 23.557636123132 -97.1487971 37.9626565
"Viola Township
100 N. Grice
Viola, KS" 23.7844130724381 -97.642232 37.482754
"Garden Plain Community Library
421 Ave B
Garden Plain, KS" 23.8127117500713 -97.684896 37.658385
"Potwin Public Library
126 N. Randall
Potwin, KS" 24.7075863281564 -97.019992 37.9386935
"Bradford Memorial Library
611 S. Washington
El Dorado, KS" 25.0895526810232 -96.8539163 37.812707
"Oxford Public Library
115 South Sumner
Oxford, KS" 25.2240415223964 -97.1690126 37.2731601
"Leon Public Library
113 S. Main
Leon, KS" 26.0326439230032 -96.7813009 37.6877297
"Wellington Public
121 West 7th
Wellington, KS" 26.5104690387126 -97.3983098 37.2668173
"Conway Springs City Library
210 W. Springs Ave
Conway Springs, KS" 27.2263446949274 -97.6431327 37.3902871
"Mt. Hope Public Library
109 South Ohio
Mt. Hope, KS" 27.9430602533697 -97.665671 37.868324
"Cheney Public Library
203 N. Main
Cheney, KS" 29.0434641313187 -97.781556 37.628079
"Halstead Public Library
264 Main
Halstead, KS" 29.2064237658476 -97.505581 38.003323
"Newton Public Library
720 N Oak
Newton, KS" 29.3945041652728 -97.3424134 38.0507137
"Winfield Public Library
605 College
Winfield, KS" 30.7611465517201 -96.9789372 37.2433775
"Walton Community Library
122 Main St
Walton, KS" 33.636679360686 -97.256587 38.1181425
"Haven Public Library
121 North Kansas Avenue
Haven, KS" 34.4791700791018 -97.7826555 37.9003967
"Norwich Public
209 South Parkway
Norwich, KS" 34.7851822433511 -97.8465883 37.4581151
"Burrton Public Library
121 N. Burrton Ave
Burrton, KS" 35.5492517530248 -97.6715352 38.0243239
"Ruth Dole Memorial Library
121 N Burrton
Burrton Ks, KS" 35.5492517530248 -97.6715352 38.0243239
"Hesston Public Library
110 E. Smith
Hesston, KS" 36.4006117368123 -97.4307032 38.1387368
"Burns Public Library
104 North Washington Ave
Burns, KS" 37.4081022292816 -96.8864252 38.0895081
"Peabody Township Library
214 N. Walnut
Peabody, KS" 37.7992155906461 -97.1068018 38.1662857
"Dixon Township Library
120 W Walnut
Argonia, KS" 37.9806226498775 -97.7668633 37.2657986
"Arkansas City Public Library
120 E. 5th Avenue
Arkansas City, KS" 41.1752984369412 -97.0381071 37.0613121
"South Haven Township Library
104 W. Baird
South Haven, KS" 41.1941064775001 -97.4022971 37.0485781
"Moundridge Public Library
220 S. Christian
Moundridge, KS" 42.0175626011346 -97.5190253 38.2014518
"Goessel Public Library
101 S. Cedar
Goessel, KS" 42.762459671861 -97.3461313 38.2455571
"Pretty Prairie Public Library
119 W. Main St.
Pretty Prairie, KS" 43.2876395543568 -98.0197066 37.7807252
"Buhler Public Library
121 N. Main St.
Buhler, KS" 44.9130356229533 -97.7705964 38.135547
"Florence Public Library
324 Main St.
Florence, KS" 45.6898048209135 -96.9261335 38.2405447
"Caldwell Public Library
8 N. Osage
Caldwell, KS" 45.9023473793306 -97.6096311 37.0325408
"South Central Kansas Library System
321 North Main Street
South Hutchinson, KS" 46.7640381449792 -97.9409907 38.0324156
"Kingman Carnegie Library
455 North Main
Kingman, KS" 47.2157277948561 -98.1132138 37.6459238
"Hutchinson Public Library
901 N. Main
Hutchinson, KS" 47.6890325486476 -97.9325156 38.0632223
"Grenola Public
205 South Main
Grenola, KS" 48.2730468169572 -96.4493659 37.3455576
"Harper Public Library
1002 Oak
Harper, KS" 48.8391835000868 -98.0273185 37.2866773
"Hillsboro Public Library
120 E. Grand Ave.
Hillsboro, KS" 49.9831737222278 -97.203453 38.353482
"Inman Public Library
100 N. Main
Inman, KS" 50.4147898764238 -97.7756255 38.232087
"Partridge Public Library
23 S Main
Partridge, KS" 51.5192846457753 -98.0926999 37.9677999
"Newkirk Public Library
116 N Maple Ave
Newkirk, OK" 52.8916492648274 -97.054537 36.883498
"Canton Township
200 N Main
Canton, KS" 52.9422718447636 -97.42799 38.3845
"Arlington City Library
111 E. Main
Arlington, KS" 53.7303687597969 -98.1754 37.8960999
"Anthony Public Library
624 E. Main St.
Anthony, KS" 53.8524243760629 -98.0232475 37.1522439
"Eureka Public Library
606 North Main
Eureka, KS" 54.0402114129182 -96.2941314 37.824393
"Cedar Vale Memorial Library
608 Cedar
Cedar Vale, KS" 55.16996596585 -96.498237 37.1048296
"Howard City Library
