"location" "miles"
"Linwood Park Branch Library
1901 S Kansas
Wichita, KS" 3.90527276030027
"Ford Rockwell Branch Library
5939 E 9th
Wichita, KS" 4.83532442125208
"Derby Public Library
611 N Mulberry Rd, Suite 200
Derby, KS" 5.7453067510362
"Wichita Public Library
223 S. Main St
Wichita, KS" 6.00938859177585
"Comotara Branch Library
2244 N. Rock Road
Wichita, KS" 6.35839866772918
"Alford Branch Library
3447 S. Meridian
Wichita, KS" 6.59900676681125
"Maya Angelou Branch Library
3051 E. 21st
Wichita, KS" 6.8027786389841
"Haysville Community Library
130 West Grand Avenue
Haysville, KS" 7.24612351109399
"Rose Hill Public Library
306 N Rose Hill Rd
Rose Hill, KS" 8.04682063932382
"Andover Public Library
1511 E. Central
Andover, KS" 8.40281936640818
"Evergreen Branch Library
2601 N. Arkansas
Wichita, KS" 8.53498535900699
"Orchard Park Branch Library
4808 W 9th
Wichita, KS" 9.50456534909721
"Mulvane Public Library
101 East Main
Mulvane, KS" 10.8807871927598
"Westlink Branch Library
8515 Bekemeyer
Wichita, KS" 11.3429094957048
"Park City Public Library
1530 E. 61st St. N.
Park City, KS" 11.9691111297626
"Augusta Public Library
1609 State St.
Augusta, KS" 15.4534070135832
"Edna Buschow Memorial Library
321 West 1st St.
Valley Center, KS" 15.5075941645483
"Clearwater Public Library
109 E. Ross
Clearwater, KS" 16.4842161147743
"Belle Plaine Public Library
222 W. 5th
Belle Plaine, KS" 16.5580821196722
"Towanda Public Library
620 Highland
Towanda, KS" 18.0058157580191
"Udall Public Library
109 E. First St
Udall, KS" 18.451547603468
"Colwich Community Library
432 W Colwich
Colwich, KS" 18.9067344482566
"Sedgwick-Lillian Tear
501 Commercial
Sedgwick, KS" 21.8919330428988
"Lillian Tear Library, Sedgwick
112 W. 5th
Sedgwick, KS" 21.9248247383629
"Andale District Library
328 Main St
Andale, KS" 23.4632572327183
"Whitewater Memorial Library
118 East Topeka
Whitewater, KS" 23.557636123132
"Viola Township
100 N. Grice
Viola, KS" 23.7844130724381
"Garden Plain Community Library
421 Ave B
Garden Plain, KS" 23.8127117500713
"Potwin Public Library
126 N. Randall
Potwin, KS" 24.7075863281564
"Bradford Memorial Library
611 S. Washington
El Dorado, KS" 25.0895526810232
"Oxford Public Library
115 South Sumner
Oxford, KS" 25.2240415223964
"Leon Public Library
113 S. Main
Leon, KS" 26.0326439230032
"Wellington Public
121 West 7th
Wellington, KS" 26.5104690387126
"Conway Springs City Library
210 W. Springs Ave
Conway Springs, KS" 27.2263446949274
"Mt. Hope Public Library
109 South Ohio
Mt. Hope, KS" 27.9430602533697
"Cheney Public Library
203 N. Main
Cheney, KS" 29.0434641313187
"Halstead Public Library
264 Main
Halstead, KS" 29.2064237658476
"Newton Public Library
720 N Oak
Newton, KS" 29.3945041652728
"Winfield Public Library
605 College
Winfield, KS" 30.7611465517201
"Walton Community Library
122 Main St
Walton, KS" 33.636679360686
"Haven Public Library
121 North Kansas Avenue
Haven, KS" 34.4791700791018
"Norwich Public
209 South Parkway
Norwich, KS" 34.7851822433511
"Burrton Public Library
121 N. Burrton Ave
Burrton, KS" 35.5492517530248
"Ruth Dole Memorial Library
121 N Burrton
Burrton Ks, KS" 35.5492517530248
"Hesston Public Library
110 E. Smith
Hesston, KS" 36.4006117368123
"Burns Public Library
104 North Washington Ave
Burns, KS" 37.4081022292816
"Peabody Township Library
214 N. Walnut
Peabody, KS" 37.7992155906461
"Dixon Township Library
120 W Walnut
Argonia, KS" 37.9806226498775
"Arkansas City Public Library
120 E. 5th Avenue
Arkansas City, KS" 41.1752984369412
"South Haven Township Library
104 W. Baird
South Haven, KS" 41.1941064775001
"Moundridge Public Library
220 S. Christian
Moundridge, KS" 42.0175626011346
"Goessel Public Library
101 S. Cedar
Goessel, KS" 42.762459671861
"Pretty Prairie Public Library
119 W. Main St.
Pretty Prairie, KS" 43.2876395543568
"Buhler Public Library
121 N. Main St.
Buhler, KS" 44.9130356229533
"Florence Public Library
324 Main St.
Florence, KS" 45.6898048209135
"Caldwell Public Library
8 N. Osage
Caldwell, KS" 45.9023473793306
"South Central Kansas Library System
321 North Main Street
South Hutchinson, KS" 46.7640381449792
"Kingman Carnegie Library
455 North Main
Kingman, KS" 47.2157277948561
"Hutchinson Public Library
901 N. Main
Hutchinson, KS" 47.6890325486476
"Grenola Public
205 South Main
Grenola, KS" 48.2730468169572
"Harper Public Library
1002 Oak
Harper, KS" 48.8391835000868
"Hillsboro Public Library
120 E. Grand Ave.
Hillsboro, KS" 49.9831737222278
"Inman Public Library
100 N. Main
Inman, KS" 50.4147898764238
"Partridge Public Library
23 S Main
Partridge, KS" 51.5192846457753
"Newkirk Public Library
116 N Maple Ave
Newkirk, OK" 52.8916492648274
"Canton Township
200 N Main
Canton, KS" 52.9422718447636
"Arlington City Library
111 E. Main
Arlington, KS" 53.7303687597969
"Anthony Public Library
624 E. Main St.
Anthony, KS" 53.8524243760629
"Eureka Public Library
606 North Main
Eureka, KS" 54.0402114129182
"Cedar Vale Memorial Library
608 Cedar
Cedar Vale, KS" 55.16996596585
"Howard City Library
124 S. Wabash
Howard, KS" 55.3422443019724
"Moline Public Library
107 N. Main
Moline, KS" 55.370480386491
"Mcpherson Public Library
214 W. Marlin
Mcpherson, KS" 55.9415076176996
"Blackwell Public Library
123 West Padon
Blackwell, OK" 57.4140630675562
"Nickerson Public Library
23 N. Nickerson
Nickerson, KS" 57.6754794448855
"Zenda Public Library
215 N. Main
Zenda, KS" 58.0022349302687
"Attica City Library
125 North Main
Attica, KS" 59.986080729259
"Medford Public Library
123 S Main
Medford, OK" 62.98811197978
"Kaw City - J.A. Walker Memorial Library
900 Morgan Square
Kaw City, OK" 63.6664953352479
"Burnley Memorial Library
401 Oak Street
Cottonwood Falls, KS" 63.8022972881303
"Cottonwood Falls-Burnley Memorial
405 N. Oak
Cottonwood Falls, KS" 64.0220921812853
"Hamilton City Library
21 E. Main
Hamilton, KS" 64.1289185727691
"Cunningham Public Library
105 North Main
Cunningham, KS" 64.7220375413181
"Ponca City Library
515 East Grand
Ponca City, OK" 64.8994064376375
"Turon Community Library
501 E. Price
Turon, KS" 65.2616690818438
"Sterling Free Public Library
138 N. Broadway
Sterling, KS" 65.7396401423254
"Tonkawa Public Library
216 N. Seventh
Tonkawa, OK" 65.8776819622201
"Longton Public Library
512a Kansas Ave
Longton, KS" 66.6067006698936
"Fall River Public Library
314 Merchant Ave.
Fall River, KS" 67.0315026692203
"Sylvia Public Library
121 S. Main
Sylvia, KS" 67.1847756805226
"Little River Community Library
125 Main Street
Little River, KS" 67.3734040344187
"Sedan Public Library
115 N Chautauqua
Sedan, KS" 68.1456762555964
"Lindsborg Community Library
111 S. Main
Lindsborg, KS" 69.0613698265273
"Sharon Wisner Library
102 South Broadway
Sharon, KS" 69.4351088863213
"Wisner Library
