"location" "miles"
"Crosswicks Library Company
483 Main Street
Crosswicks, NJ" 8.81501621899857
"Mount Holly Library And Lyceum
307 High Street
Mount Holly, NJ" 11.1777174556734
"Sally Stretch Keen Memorial Library
94 Main Street
Vincentown, NJ" 11.1820019532357
"Florence Township Library
1350 Hornberger Avenue
Roebling, NJ" 11.6536930457513
"Burlington County Library
5 Pioneer Blvd
Westampton, NJ" 12.5966389249812
"Hamilton Township Free Public Library
1 Justice Samuel A. Alito, Jr. Way
Hamilton, NJ" 13.5331432057932
"Bucks County Free Library - Margaret R. Grundy Memorial Library
680 Radcliffe Street
Bristol, PA" 14.7125104029486
"Library Company Of Burlington
23 W. Union Street
Burlington, NJ" 14.9179506044525
"Willingboro Public Library
220 Willingboro Parkway
Willingboro, NJ" 15.1136263719487
"Bucks County Free Library - Morrisville Free Library
300 N. Pennsylvania Avenue
Morrisville, PA" 15.9766033395638
"Morrisville Free Library Association
300 North Pennsylvania Ave
Morrisville, PA" 15.9766033395638
"Trenton Free Public Library
120 Academy Street
Trenton, NJ" 16.0343068029351
"Bucks County Free Library - Fallsington Library
139 Yardley Avenue
Fallsington, PA" 16.350668359819
"Bucks County Free Library - Levittown Branch
7311 New Falls Road
Levittown, PA" 16.6009241120124
"Mercer County Library
2751 Brunswick Pike
Lawrenceville, NJ" 17.4672663078721
"Beverly Free Library
441 Cooper St.
Beverly, NJ" 17.8282131688558
"Bucks County Free Library - Yardley-Makefield Branch
1080 Edgewood Road
Yardley, PA" 18.7442898412946
"Mount Laurel Library
100 Walt Whitman Avenue
Mount Laurel, NJ" 18.7739917865272
"Delanco Public Library
1303 Burlington Avenue
Delanco, NJ" 19.306201546928
"Bucks County Free Library - Bensalem Branch
3700 Hulmeville Road
Bensalem, PA" 19.4256605554038
"Cranbury Public Library
23 N. Main Street
Cranbury, NJ" 19.4640061721431
"Riverside Public Library
10 Zurbrugg Way
Riverside, NJ" 19.8341957617195
"Moorestown Library
111 W. Second Street
Moorestown, NJ" 19.9732413008669
"Bucks County Free Library - Langhorne Branch
301 S. Pine Street
Langhorne, PA" 20.0108771381286
"Plainsboro Free Public Library
641 Plainsboro Road
Plainsboro, NJ" 20.6506272413161
"Free Library Of Philadelphia - Katharine Drexel Branch
11099 Knights Road
Philadelphia, PA" 20.870842467662
"Ocean County Library
101 Washington Street
Toms River, NJ" 21.3813720005535
"Monroe Twp Public Library-Middlesex
4 Municipal Plaza
Monroe Township, NJ" 21.5329844874857
"Princeton Public Library
65 Witherspoon Street
Princeton, NJ" 22.2614484868904
"Freehold Public Library
28 1-2 E. Main Street
Freehold, NJ" 22.6083042237732
"Free Library Of Philadelphia - Torresdale Branch
3079 Holme Avenue
Philadelphia, PA" 22.8937826370265
"Bucks County Free Library - Township Library Of Lower Southampton (Feasterville)
1983 Bridgetown Pike
Feasterville, PA" 22.9347834349912
"Pennington Free Public Library
30 N. Main Street
Pennington, NJ" 23.1023715216096
"Monmouth County Library
125 Symmes Drive
Manalapan, NJ" 23.22031733772
"Jamesburg Public Library
229 Gatzmer Avenue
Jamesburg, NJ" 23.2213269891955
"Cherry Hill Free Public Library
1100 Kings Highway North
Cherry Hill, NJ" 23.6336513332062
"Free Library Of Philadelphia - Holmesburg Branch
7810 Frankford Avenue
Philadelphia, PA" 23.6465421415734
"Free Library Of Philadelphia - Welsh Road Branch
9233 Roosevelt Boulevard
Philadelphia, PA" 23.8965463781896
"Free Library Of Philadelphia - Bustleton Branch
10199 Bustleton Avenue
Philadelphia, PA" 23.9175671180744
"South Brunswick Public Library
110 Kingston Lane
Monmouth Junction, NJ" 24.2232031532834
"Waterford Township Public Library
2204 Atco Avenue
Atco, NJ" 24.3893226686158
"Free Library Of Philadelphia - Tacony Branch
6742 Torresdale Avenue
Philadelphia, PA" 24.4179202643883
"Gibbsboro Public Library
49 Kirkwood Road
Gibbsboro, NJ" 24.563062673639
"Marie Fleche Memorial Library
49 South White Horse Pike
Berlin, NJ" 24.778781290134
"Free Library Of Philadelphia - Northeast Regional Library
2228 Cottman Avenue
Philadelphia, PA" 25.2811120308046
"Bucks County Free Library - Free Library Of Northampton Township
25 Upper Holland Road
Richboro, PA" 25.4979312565549
"Pennsauken Free Public Library
5605 Crescent Boulevard
Pennsauken, NJ" 25.5135492283992
"Camden County Library
203 Laurel Road
Voorhees, NJ" 25.6128904198302
"Haddonfield Public Library
60 N. Haddon Avenue
Haddonfield, NJ" 25.6639755975934
"Bucks County Free Library - Southampton Free Library
947 Street Road
Southampton, PA" 25.7266641890066
"Southampton Free Library
947 Street Rd
Southampton, PA" 25.7266641890066
"Huntingdon Valley Library
625 Red Lion Rd
Huntingdon Valley, PA" 25.988451995774
"Free Library Of Philadelphia - Bushrod Branch
6304 Castor Avenue
Philadelphia, PA" 26.1752784730459
"Hopewell Public Library
13 E. Broad Street
Hopewell, NJ" 26.2101681602057
"Stratford Public Library
303 Union Avenue
Stratford, NJ" 26.4513497048225
"Free Library Of Philadelphia - Fox Chase Branch
501 Rhawn Street
Philadelphia, PA" 26.4978248653982
"Clementon Memorial Library
195 Gibbsboro Road
Clementon, NJ" 26.4980049415814
"Free Library Of Philadelphia - Frankford Branch
4634 Frankford Avenue
Philadelphia, PA" 26.5537230919357
"Spotswood Public Library
548 Main Street
Spotswood, NJ" 26.6971361199141
"Bucks County Free Library - Village Library Of Wrightstown
727 Penns Park Road
Wrightstown, PA" 26.8144791871484
"Collingswood Free Public Library
771 Haddon Avenue
Collingswood, NJ" 26.8663295857286
"Free Library Of Philadelphia - Lawncrest Branch
6098 Rising Sun Avenue
Philadelphia, PA" 27.2929150387195
"Haddon Heights Public Library
608 Station Avenue
Haddon Heights, NJ" 27.3109359093676
"Audubon Free Public Library
239 Oakland Avenue
Audubon, NJ" 27.5761329279074
"Oaklyn Memorial Library
602 Newton Avenue
Oaklyn, NJ" 27.8404241284018
"Free Library Of Philadelphia - Richmond Branch
2987 Almond Street
Philadelphia, PA" 27.990149933453
"Brielle Public Library
610 South Street
Brielle, NJ" 28.1911791093056
"Free Library Of Philadelphia - Wyoming Branch
231 East Wyoming Avenue
Philadelphia, PA" 28.4217039707786
"Free Library Of Philadelphia - Mcpherson Square Branch
601 East Indiana Avenue
Philadelphia, PA" 28.4526363208875
"Runnemede Public Library
p.o. box 119
Runnemede, NJ" 28.5933095396241
"Free Library Of Philadelphia - Greater Olney Branch
5501 North 5th Street
Philadelphia, PA" 28.9279024202306
"Manasquan Public Library
55 Broad Street
Manasquan, NJ" 28.9411028405129
"Jenkintown Library
460 Old York Road
Jenkintown, PA" 28.9944603787991
"East Brunswick Public Library
2 Jean Walling Civic Center
East Brunswick, NJ" 29.0189716895825
"Abington Township Public Library
1030 Old York Rd
Abington, PA" 29.0373553852653
"Free Library Of Philadelphia - Fishtown Community Branch
1217 East Montgomery Avenue
Philadelphia, PA" 29.0912978018548
"Upper Moreland Free Public Library
109 Park Avenue
Willow Grove, PA" 29.1894805266983
"Camden Free Public Library
418 Federal Street
Camden, NJ" 29.2063812247961
"Free Library Of Philadelphia - Kensington Branch
104 West Dauphin Street
Philadelphia, PA" 29.2585226586515
"Union Library Company Of Hatborough
243 South York Rd
Hatboro, PA" 29.2674275543914
"Free Library Of Philadelphia - Oak Lane Branch
6614 North 12th Street
Philadelphia, PA" 29.3390901991321
"Lambertville Free Public Library
6 Lilly Street
Lambertville, NJ" 29.6701972059318
"South River Public Library
55 Appleby Avenue
South River, NJ" 29.7084342075685
"Free Library Of Philadelphia - Logan Branch
1333 Wagner Avenue
Philadelphia, PA" 29.7095273326952
"Free Library Of Philadelphia - Lillian Marrero Branch
601 West Lehigh Avenue
Philadelphia, PA" 29.7125323274118
"Old Bridge Public Library
1 Old Bridge Plaza
Old Bridge, NJ" 29.7243692032955
"Sea Girt Library
321 Baltimore Boulevard
Sea Girt, NJ" 29.8029821158949
"Milltown Public Library
20 W. Church Street
Milltown, NJ" 29.8137667840139
"Gloucester City Library
50 N. Railroad Avenue
Gloucester City, NJ" 29.8894239460682
"Bucks County Free Library - Free Library Of New Hope And Solebury
93 W. Ferry Street
New Hope, PA" 30.0073238851613
"Free Library Of New Hope Solebury
93 West Ferry St
New Hope, PA" 30.0073238851613
"Free Library Of Philadelphia - David Cohen Ogontz Branch
6017 Ogontz Avenue
Philadelphia, PA" 30.0133827526154
"Free Library Of Philadelphia - Nicetown-Tioga Branch
3720 North Broad Street
Philadelphia, PA" 30.0852637025231
"Free Library Of Philadelphia - Ramonita De Rodriguez Branch
600 West Girard Avenue
Philadelphia, PA" 30.1399278348308
"Warminster Township Free Library
1076 Emma Lane
Warminster, PA" 30.2673711688807
"Free Library Of Philadelphia - West Oak Lane Branch
2000 Washington Lane
Philadelphia, PA" 30.4374561783106
"Cheltenham Township Library System
215 S Keswick Ave
Glenside, PA" 30.449356592939
"North Brunswick Free Public Library
880 Hermann Road
North Brunswick, NJ" 30.6137739344875
"Spring Lake Public Library
1501 Third Avenue
Spring Lake, NJ" 30.6277731138569
"Free Library Of Philadelphia - Independence Branch
18 S. 7th Street
Philadelphia, PA" 30.6675325952356
"Free Library Of Philadelphia - Library For The Blind And Physically Handicapped
919 Walnut Street
Philadelphia, PA" 30.9141921902567
"Free Library Of Philadelphia - Charles Santore Branch
932 South 7th Street
Philadelphia, PA" 31.0084379959491
"Free Library Of Philadelphia - Whitman Branch
200 Snyder Avenue
Philadelphia, PA" 31.0097212512175
"West Deptford Free Public Library
420 Crown Point Road
West Deptford, NJ" 31.1700640282283
"Bass River Community Library
11 North Maple Avenue
New Gretna, NJ" 31.289175780104
"Belmar Public Library
517 Tenth Avenue
Belmar, NJ" 31.2936690052381
"Free Library Of Philadelphia - Joseph E. Coleman Northwest Regional Library
68 West Chelten Avenue
Philadelphia, PA" 31.3352483629852
"Free Library Of Philadelphia - Wadsworth Branch
1500 Wadsworth Avenue
Philadelphia, PA" 31.3481518815893
"Neptune Township Public Library
25 Neptune Boulevard
Neptune, NJ" 31.3854680675267
"Free Library Of Philadelphia - Cecil B. Moore Branch
2320 Cecil B. Moore Avenue
Philadelphia, PA" 31.4436336695977
"Free Library Of Philadelphia
1901 Vine St
Philadelphia, PA" 31.5223801350235
"Free Library Of Philadelphia - Central Library
1901 Vine Street
Philadelphia, PA" 31.5223801350235
"Westville Public Library
1035 Broadway
Westville, NJ" 31.5237312583114
"Free Library Of Philadelphia - Widener Branch
2808 West Lehigh Avenue
Philadelphia, PA" 31.5380718074867
"Tinton Falls Public Library
664 Tinton Avenue
Tinton Falls, NJ" 31.6481646306523
"Free Library Of Philadelphia - Philadelphia City Institute
1905 Locust Street
Philadelphia, PA" 31.7689064263806
"Free Library Of Philadelphia - South Philadelphia Branch
1700 South Broad Street
Philadelphia, PA" 31.8478349080208
"Free Library Of Philadelphia - Lovett Branch
6945 Germantown Avenue
Philadelphia, PA" 31.9812228397282
"Free Library Of Philadelphia - Fumo Family Branch
2437 South Broad Street
Philadelphia, PA" 32.0657272338487
"Franklin Twp Public Library-Somerset
485 Demott Lane
Somerset, NJ" 32.1331414590842
"Bradley Beach Public Library
511 Fourth Avenue
Bradley Beach, NJ" 32.1558571285959
"Matawan-Aberdeen Public Library
165 Main Street
Matawan, NJ" 32.1706537436732
"Free Library Of Philadelphia - Falls Of Schuylkill Branch
3501 Midvale Avenue
Philadelphia, PA" 32.2362301787846
"Free Library Of Philadelphia - Queen Memorial Library
1201 South 23rd Street
Philadelphia, PA" 32.3417258528978
"New Brunswick Free Public Library
60 Livingston Avenue
New Brunswick, NJ" 32.3954855450883
"Free Library Of Philadelphia - Charles L. Durham Branch
3320 Haverford Avenue
Philadelphia, PA" 32.5283322452507
"Monroe Twp Public Library-Gloucester
306 S. Main Street
Williamstown, NJ" 32.5371912374245
"Free Library Of Philadelphia - Thomas F. Donatucci, Sr.
1935 Shunk Street
Philadelphia, PA" 32.5744289423899
"Free Library Of Springfield Township
1600 Paper Mill Rd
Wyndmoor, PA" 32.6557591302908
"Sayreville Free Public Library
1050 Washington Road
Parlin, NJ" 32.7287008965805
"James H. Johnson Memorial Library
670 Ward Drive
Deptford, NJ" 32.8175087463678
"Horsham Township Library
435 Babylon Road
Horsham, PA" 33.0600912619104
"Asbury Park Free Public Library
500 First Avenue
Asbury Park, NJ" 33.0912900478812
"Woodbury Public Library
33 Delaware Street
Woodbury, NJ" 33.1693343381705
"Free Library Of Philadelphia - Chestnut Hill Branch
8711 Germantown Avenue
Philadelphia, PA" 33.2160136666083
"Free Library Of Philadelphia - Walnut Street West
201 South 40th Street
