"location" "miles" "latitude" "longitude"
"Bellevue Public Library
1003 Lincoln Road
Bellevue, NE" 1.84468589015437 -95.906925 41.1503126
"South Branch Library
2302 M Street
Omaha, NE" 6.23490288723346 -95.9458837 41.2112666
"Sump Memorial Library
222 North Jefferson
Papillion, NE" 7.05474329979843 -96.042478 41.1577459
"Plattsmouth Public Library
401 Avenue A
Plattsmouth, NE" 7.92600879149533 -95.8840724 41.0120186
"Baright Public Library
5555 South 77th Street
Ralston, NE" 8.11097104722685 -96.0309861 41.2021562
"La Vista Public Library
9110 Giles Road
La Vista, NE" 8.14642011570417 -96.0542902 41.1771757
"Willa Cather Branch Library
1905 South 44th Street
Omaha, NE" 8.73204448332793 -95.9777953 41.2411901
"Omaha Public Library
215 S 15th Street
Omaha, NE" 9.32055026936242 -95.9350505 41.2581283
"W Dale Clark Library
215 So. 15th Street
Omaha, NE" 9.32055026936242 -95.9350505 41.2581283
"Council Bluffs Public Library
400 Willow Ave
Council Bluffs, IA" 9.91052437488668 -95.849656 41.2589616
"A V Sorenson Branch Library
4808 Cass Street
Omaha, NE" 10.3342043666382 -95.9863589 41.2635552
"Glenwood Public Library
109 N Vine St
Glenwood, IA" 10.4407883549668 -95.741614 41.048176
"Southwest Iowa Library Service Area
427 East Kanesville, Suite 404
Council Bluffs, IA" 10.5654757209774 -95.8405557 41.2664991
"Springfield Memorial Library
665 Main Street
Springfield, NE" 11.5048003256193 -96.127743 41.081193
"Carter Lake Public Library
1120 Willow Drive
Carter Lake, IA" 11.5089582701058 -95.915006 41.29065
"W Clarke Swanson Branch Library
9101 West Dodge Road
Omaha, NE" 12.0201200938549 -96.0537756 41.2629102
"Benson Branch Library
2918 No. 60th Street
Omaha, NE" 12.121956077584 -96.0049803 41.2857679
"Eastern Library System
11929 Elm Street, Suite 18
Omaha, NE" 12.2264060168506 -96.099858 41.2328493
"Charles B Washington Branch Library
2869 Ames Avenue
Omaha, NE" 12.3071609523127 -95.9551679 41.2995469
"Millard Branch Library
13214 Westwood Lane
Omaha, NE" 12.9100065510945 -96.1206691 41.2280208
"Milton R Abrahams Branch Library
5111 North 90th Street
Omaha, NE" 14.3651263002267 -96.0517663 41.3044738
"Silver City Public Library
408 Main St
Silver City, IA" 14.4606588275856 -95.6374244 41.11359
"Florence Branch Library
2920 Bondesson Street
Omaha, NE" 15.1617236290545 -95.9609868 41.3406572
"Louisville Public Library
217 Main Street
Louisville, NE" 15.5083651079551 -96.162383 41.000388
"Gretna Public Library
736 South Street
Gretna, NE" 17.427059477697 -96.2486589 41.1361923
"Malvern Public Library
502 Main St
Malvern, IA" 19.1079258484026 -95.5848269 41.0038621
"Douglas Public Library
p. o. box 56
Douglas, NE" 19.6683056112527 -96.195132 41.3148116
"Bess Johnson Elkhorn Public Library
100 Reading Road
Elkhorn, NE" 19.7188573593103 -96.2335051 41.2781319
"Tabor Public Library
805 Main St
Tabor, IA" 19.9893714071205 -95.671373 40.9010336
"Nehawka Public Library
221 Maple
Nehawka, NE" 20.783366708222 -95.988597 40.829064
