"location" "miles"
"Bellevue Public Library
1003 Lincoln Road
Bellevue, NE" 1.84468589015437
"South Branch Library
2302 M Street
Omaha, NE" 6.23490288723346
"Sump Memorial Library
222 North Jefferson
Papillion, NE" 7.05474329979843
"Plattsmouth Public Library
401 Avenue A
Plattsmouth, NE" 7.92600879149533
"Baright Public Library
5555 South 77th Street
Ralston, NE" 8.11097104722685
"La Vista Public Library
9110 Giles Road
La Vista, NE" 8.14642011570417
"Willa Cather Branch Library
1905 South 44th Street
Omaha, NE" 8.73204448332793
"Omaha Public Library
215 S 15th Street
Omaha, NE" 9.32055026936242
"W Dale Clark Library
215 So. 15th Street
Omaha, NE" 9.32055026936242
"Council Bluffs Public Library
400 Willow Ave
Council Bluffs, IA" 9.91052437488668
"A V Sorenson Branch Library
4808 Cass Street
Omaha, NE" 10.3342043666382
"Glenwood Public Library
109 N Vine St
Glenwood, IA" 10.4407883549668
"Southwest Iowa Library Service Area
427 East Kanesville, Suite 404
Council Bluffs, IA" 10.5654757209774
"Springfield Memorial Library
665 Main Street
Springfield, NE" 11.5048003256193
"Carter Lake Public Library
1120 Willow Drive
Carter Lake, IA" 11.5089582701058
"W Clarke Swanson Branch Library
9101 West Dodge Road
Omaha, NE" 12.0201200938549
"Benson Branch Library
2918 No. 60th Street
Omaha, NE" 12.121956077584
"Eastern Library System
11929 Elm Street, Suite 18
Omaha, NE" 12.2264060168506
"Charles B Washington Branch Library
2869 Ames Avenue
Omaha, NE" 12.3071609523127
"Millard Branch Library
13214 Westwood Lane
Omaha, NE" 12.9100065510945
"Milton R Abrahams Branch Library
5111 North 90th Street
Omaha, NE" 14.3651263002267
"Silver City Public Library
408 Main St
Silver City, IA" 14.4606588275856
"Florence Branch Library
2920 Bondesson Street
Omaha, NE" 15.1617236290545
"Louisville Public Library
217 Main Street
Louisville, NE" 15.5083651079551
"Gretna Public Library
736 South Street
Gretna, NE" 17.427059477697
"Malvern Public Library
502 Main St
Malvern, IA" 19.1079258484026
"Douglas Public Library
p. o. box 56
Douglas, NE" 19.6683056112527
"Bess Johnson Elkhorn Public Library
100 Reading Road
Elkhorn, NE" 19.7188573593103
"Tabor Public Library
805 Main St
Tabor, IA" 19.9893714071205
"Nehawka Public Library
221 Maple
Nehawka, NE" 20.783366708222
"Bennington Public Library
15505 Warehouse Street
Bennington, NE" 20.8269233071796
"Weeping Water Public Library
206 West H Street
Weeping Water, NE" 21.1654866797371
"Agnes Robinson Waterloo Public Library
23704 Cedar Drive
Waterloo, NE" 22.4055952101793
"Dorchester Public Library
6th Washington
Dorchester, NE" 24.3439790130778
"Ashland Public Library
207 North 15th Street
Ashland, NE" 24.426059917695
"Randolph Public Library
106 S Main
Randolph, IA" 25.1720365937338
"Yutan Public Library
502 3rd Street
Yutan, NE" 26.5340188792923
"Emerson Public Library
701 Morton Ave
Emerson, IA" 27.7166465828822
"Elmwood Public Library
124 West D Street
Elmwood, NE" 27.8868636702836
"Sidney Public Library
1002 Illinois St
Sidney, IA" 29.3955355226997
"Missouri Valley Public Library
