"location" "miles" "latitude" "longitude"
"Oliver Springs Public Library
610 Walker Avenue.
Oliver Springs, TN" 0.32814960135249 -84.345135 36.044876
"Oneida Public Library
290 South Main St.
Oneida, TN" 0.32814960135249 -84.5133828 36.5044549
"Hillsboro City Library
118 S Waco St
Hillsboro, TX" 3.78575243461905 -97.13042 32.0098089
"Genevieve Miller Hitchcock Public Library
8005 Barry Ave
Hitchcock, TX" 3.78575243461905 -95.0202 29.347453
"Benbrook Public Library
1065 Mercedes St
Benbrook, TX" 4.1908543307948 -97.4511692 32.6792141
"Reagan County Library
300 Courthouse Sq
Big Lake, TX" 4.1908543307948 -101.4611676 31.1925565
"Austin Public Library - Carver Branch
1161 Angelina St., 78702
Austin, TX" 4.4521508342962 -97.7240278 30.2695584
"Austin Public Library - Cepeda Branch
651 N. Pleasant Valley Rd.
Austin, TX" 4.4521508342962 -97.7088905 30.2590471
"Stella Hill Memorial Library
200 W San Antonio St
Alto, TX" 4.69163545715892 -95.0718025 31.6510051
"Alvarado Public Library
210 N Baugh St
Alvarado, TX" 4.69163545715892 -97.2082102 32.4085864
"Sharon Public Library
133 Main St.
Sharon, TN" 4.91778299861015 -88.8257496 36.2337066
"Argie Cooper Public Library
100 S. Main Street
Shelbyville, TN" 4.91778299861015 -86.460377 35.482029
"Bj Hill Library
402 W Travis St
Holland, TX" 5.52845564624984 -97.4069742 30.8799218
"Hondo Public Library
1011 19th St
Hondo, TX" 5.52845564624984 -99.1058772 29.3491959
"Howard County Library
500 S Main St
Big Spring, TX" 6.26785657316217 -101.4759302 32.2500205
"Bishop Public Library
115 S. Ash Streeet
Bishop, TX" 6.26785657316217 -97.8001454 27.5840112
"Cornwall Free Public
2629 Rte. 30
Cornwall, VT" 6.47120379095776 -73.2094614 43.9612813
"Craftsbury Public
12 Church Lane
Craftsbury Common, VT" 6.47120379095776 -72.3835158 44.6543934
"Mary L. Blood Memorial
41 Brownsville Hartland Rd.
Brownsville, VT" 7.66804686875796 -72.471428 43.468433
"Fletcher Free
235 College St.
Burlington, VT" 7.66804686875796 -73.2103291 44.4768628
"Cherokee Branch Library
3300 Sharpe
Memphis, TN" 7.77928147949943 -89.9530419 35.0870734
"Cornelia Crenshaw Branch
531 Vance Avenue
Memphis, TN" 7.77928147949943 -90.0443338 35.1343568
"Castleton Free
p.o. box 296
Castleton, VT" 7.88057010457476 -73.179832 43.6106223
"Charlotte
115 Ferry Rd.
Charlotte, VT" 7.88057010457476 -73.249382 44.310692
"Monroe Public Library
55 North Main Street
Monroe, UT" 7.97118648472489 -112.1214006 38.6328366
"San Juan County Bookmobile Library
835 E Highway 666
Monticello, UT" 7.97118648472489 -109.3428948 37.8713829
"Mt. Carmel Library
100 1-2 Main Street
Mt. Carmel (In), TN" 8.13103700230249 -82.6549251 36.5454237
"Mt. Juliet-Harvey Freeman Public Library
2765 N. Mt. Juliet Rd.
Mt. Juliet, TN" 8.13103700230249 -86.5159003 36.2083916
"Austin Public Library - Recycled Reads Bookstore
5335 Burnet Rd.
Austin, TX" 8.21840289543749 -97.7393012 30.3270694
"Austin Public Library - Ruiz Branch
1600 Grove Blvd.
Austin, TX" 8.21840289543749 -97.7070109 30.2298616
"Portland Public Library
301 Portland Boulevard
Portland, TN" 8.44685628862593 -86.5090536 36.582416
"Giles County Public Library
122 South Second Street
Pulaski, TN" 8.44685628862593 -87.0320598 35.1987092
"Petros Public Library
208 Main Street
Petros, TN" 8.49926845934836 -84.443362 36.095473
"Philadelphia Public Library
714 Thompson St.
Philadelphia, TN" 8.49926845934836 -84.4040048 35.678304
"Garland Public Library
86 West Factory Rd
Garland, UT" 8.7025748386463 -112.161525 41.7410778
"Tooele County Bookmobile Library
429 East Main Street
Grantsville, UT" 8.7025748386463 -112.4462697 40.6000785
"Albany Town
530 Main St.
Albany, VT" 8.77455941542759 -72.3786052 44.735318
"Alburgh Pubilc Library
16 S. Main St.
Alburgh, VT" 8.77455941542759 -73.301184 44.975271
"Weber County Library - North Branch
475 E 2600 N
Ogden, UT" 8.99739585932472 -111.965529 41.3051935
"Weber County Library - Pleasant Valley Branch
5568 S Adams Ave.
Ogden, UT" 8.99739585932472 -111.9694892 41.1666058
"Sachse Public Library
3815 Sachse Rd Bldg C
Sachse, TX" 9.09541538823169 -96.5847726 32.9740705
"John Ed Keeter Public Library
355 W Mcleroy Blvd
Saginaw, TX" 9.09541538823169 -97.370565 32.8580248
"Johnson County Public Library
219 N. Church Street
Mountain City, TN" 9.099471615307 -81.803882 36.4758039
"Mt. Pleasant Branch Library
200 Hay Long Avenue
Mt Pleasant, TN" 9.099471615307 -87.2080468 35.5348937
"Davis County Library - South Branch (Bountiful)
725 S Main St.
Bountiful, UT" 9.21836744376006 -111.8800895 40.8818611
"Brigham City Library
26 East Forest Street
Brigham City, UT" 9.21836744376006 -112.0146386 41.5106896
"Pigeon Forge Public Library
2449 Library Drive
Pigeon Forge, TN" 9.34690226731364 -83.5809106 35.8070769
"Bledsoe County Library
478 Cumberland Avenue
Pikeville, TN" 9.34690226731364 -85.1885266 35.6052506
"Garfield County-Panguitch City Library
25 South 200 East
Panguitch, UT" 9.41585990441825 -112.4316854 37.8212322
"Park City Library
1255 Park Avenue
Park City, UT" 9.41585990441825 -111.5031987 40.6507278
"La Joya Municipal Library
925 S Leo Ave
La Joya, TX" 9.4872758438927 -98.4812656 26.2378856
"La Marque Public Library
1011 Bayou Rd
La Marque, TX" 9.4872758438927 -94.9717591 29.3707331
"Emery County Library - Orangeville Branch
125 South Main
Orangeville, UT" 9.60093961162687 -111.0531235 39.2259614
"Orem Public Library
58 North State Street
Orem, UT" 9.60093961162687 -111.6946877 40.2986056
"Boyce Ditto Public Library
2300 Se Martin Luther King Jr St
Mineral Wells, TX" 9.66717886677502 -98.0907167 32.8033327
"Speer Memorial Library
801 E 12th St
Mission, TX" 9.66717886677502 -98.3163088 26.2174013
"Lake Cities Library
302 S Shady Shores Dr
Lake Dallas, TX" 9.75272749761845 -97.0300292 33.1264021
"Mary Lou Reddick Public Library
3801 Adam Grubb
Lake Worth, TX" 9.75272749761845 -97.4364249 32.8115886
"East Shelby Branch
7200 East Shelby Drive
