"location" "miles"
"Suntree-Viera Public Library
335 Pineda Court, Unit 335
Melbourne, FL" 4.25005108103155
"Satellite Beach Public Library
751 Jamaica Boulevard
Satellite Beach, FL" 5.57004439480603
"Cocoa Beach Public Library
550 N. Brevard Avenue
Cocoa Beach, FL" 6.06049109787972
"Eau Gallie Public Library
1521 Pineapple Avenue
Melbourne, FL" 7.50853246933802
"Cape Canaveral Public Library
201 Polk Avenue
Cape Canaveral, FL" 10.0174083833968
"Melbourne Public Library
540 East Fee Avenue
Melbourne, FL" 10.8762366406922
"Brevard County Library System
308 Forrest Avenue
Cocoa, FL" 11.179108859308
"Talking Book Library
308 Forrest Ave.
Cocoa, FL" 11.179108859308
"Merritt Island Public Library
1195 N. Courtenay Parkway
Merritt Island, FL" 11.2100741890587
"Dr. Martin Luther King Jr. Library
995 East University Blvd.
Melbourne, FL" 12.1496984669639
"Melbourne Beach Library
324 Ocean Avenue
Melbourne Beach, FL" 12.1641711208812
"West Melbourne Public Library
2755 Wingate Blvd.
Melbourne, FL" 12.9407025555216
"Palm Bay Public Library
1520 Port Malablar Blvd. Ne
Palm Bay, FL" 15.4196119125005
"Franklin T. Degroodt Memorial Library
6475 Minton Rd. Sw
Palm Bay, FL" 17.2562751980282
"Port St. John Public Library
6500 Carole Ave.
Port St. John, FL" 19.2222915300934
"South Mainland Library-Micco
299 Barefoot Boulevard
Barefoot Bay, FL" 25.3927421669757
"South Mainland Public Library
7921 Ron Beatty Blvd.
Micco, FL" 25.4723799020777
"North Brevard Public Library
2121 South Hopkins Avenue
Titusville, FL" 27.1633834908978
"North Indian River County Library
1001 County Road 512
Sebastian, FL" 32.5944165116641
"Kenansville Library Center
1180 Canoe Creek Rd. South
Kenansville, FL" 34.6350900396148
"Mims-Scottmoor Public Library
3615 Lionel Road
Mims, FL" 35.4730191540397
"Narcoossee Library
2700 N Narcoossee Road
St. Cloud, FL" 38.7549495693691
"Veterans Memorial Library
810 13th Street
St. Cloud, FL" 40.8983562728319
"Alafaya Library
12000 East Colonial Drive
Orlando, FL" 42.6516994426867
"Indian River County Library
1600 21st Street
Vero Beach, FL" 43.2930303032571
"Indian River Law Library
2000 16th Street Suite 119
Vero Beach, FL" 43.8656519215107
"Oak Hill Public Library
125 E. Halifax Ave.
Oak Hill, FL" 45.6430187800723
"Buenaventura Lakes Library
405 Buenaventura Blvd
Kissimmee, FL" 45.7511953931789
"Southeast Library
5575 South Semoran Blvd.
Orlando, FL" 45.7994351027039
"East Branch Library
310 Division Street
Oviedo, FL" 47.1549373713261
"Hart Memorial Library
211 E. Dakin Avenue
Kissimmee, FL" 48.6512039704881
"Law Library
211 E. Dakin Ave.
Kissimmee, FL" 48.6512039704881
"Herndon Library
4324 East Colonial Drive
Orlando, FL" 49.0791730883111
"South Creek Library
1702 Deerfield Blvd.
Orlando, FL" 49.2834025638246
"Lakewood Park Branch Library
7605 Santa Barbara Drive
Fort Pierce, FL" 51.1223543160848
"Winter Park Public Library
460 E. New England Avenue
Winter Park, FL" 51.2550346435731
"Orlando Public Library
101 East Central Blvd.
Orlando, FL" 51.2861691192753
"Talking Book Section
101 E Central Blvd.
Orlando, FL" 51.2861691192753
"South Trail Library
4600 South Orange Blossom Trail
Orlando, FL" 51.3867236687698
"Poinciana Library
33 Doverplum Road
Poinciana, FL" 51.9497234536486
"Central Branch Library
215 North Oxford Road
Casselberry, FL" 53.0003458038681
"Seminole County Public Library System
215 N. Oxford Road
Casselberry, FL" 53.0003458038681
"Maitland Public Library
501 South Maitland Avenue
Maitland, FL" 53.2383988055417
"Altamonte Springs City Library
281 North Maitland Avenue
Altamonte Springs, FL" 53.4199068821169
"Edgewater Public Library
103 Indian River Blvd.
Edgewater, FL" 53.6822602919861
"West Oaks Library
1621 E. Silverstar Road
Orlando, FL" 53.8404900692363
"Eatonville Branch
200 E. Kennedy Blvd.
Eatonville, FL" 53.8903438434659
"Edgewater Library
5049 Edgewater Drive
Orlando, FL" 54.9126834281899
"Washington Park Library
5151 Raleigh St.
Orlando, FL" 54.9293809325277
"Southwest Library
7255 Della Dr.
Orlando, FL" 55.7558908973481
"Northwest Branch Library
580 Greenway Blvd.
Lake Mary, FL" 56.1361710161045
"North Branch Library
150 N. Palmetto Ave.
Sanford, FL" 56.3336261276836
"Zora Neale Hurston Branch Library
3010 Avenue D
Fort Pierce, FL" 56.4794351661497
"Celebration Library
510 Campus Street
Celebration, FL" 57.3596090950253
"St. Lucie County Library System
101 Melody Lane
Fort Pierce, FL" 57.4432685971857
"New Smyrna Beach Brannon Memorial Library
105 South Riverside Dr.
New Smyrna Beach, FL" 57.5270121802792
"Hiawassee Library
2768 North Hiawassee Road
Orlando, FL" 57.8510200854309
"Windermere Library
530 Main Street
Windermere, FL" 59.1481682548624
"West Branch Library
245 Hunt Club Blvd., North
Longwood, FL" 59.8951633703274
"Deltona Public Library
2150 Eustace Ave.
Deltona, FL" 60.7124097571302
"North Orange Library
1211 East Semoran Blvd.
Apopka, FL" 61.3979081433306
"Debary Public Library
220 N. Charles R. Beall Blvd
Debary, FL" 62.3292414225763
"Haines City Public Library
111 North 6th Street
Haines City, FL" 62.7780556808044
"Dundee Public Library
203 Center Street
Dundee, FL" 63.5341775473717
"Lake Wales Public Library
290 Cypress Garden Lane
Lake Wales, FL" 64.0986215521464
"Lake Helen Public Library
221 North Euclid Ave.
Lake Helen, FL" 64.177468730232
"Orange City Dickinson Memorial Library
148 Albertus Way
Orange City, FL" 64.5150591254052
"Saint Lucie West Library
520 Nw California Blvd
Port Saint Lucie, FL" 65.0079254749969
"Port St. Lucie Branch Library
180 Sw Prima Vista Blvd.
Port St. Lucie, FL" 65.6849522639311
"Latt Maxcy Memorial Library
15 North Magnolia Avenue
Frostproof, FL" 66.0503215422339
"Port Orange Library
1000 City Center Circle
Port Orange, FL" 66.2861583474845
"Deland Area Public Library
130 East Howry St.
