"location" "miles"
"Ruth Holly Branch
685 North Murray Boulevard
Colorado Springs, CO" 2.7704877058498
"Sand Creek Branch
1821 South Academy Boulevard
Colorado Springs, CO" 3.29866632980247
"Security Public Library
715 Aspen Drive
Security, CO" 5.33520438103705
"Penrose Public Library
20 North Cascade Avenue
Colorado Springs, CO" 6.84708179924622
"East Library
5550 North Union Boulevard
Colorado Springs, CO" 7.35794075674517
"Cheyenne Mountain Branch
1785 South 8th Street, Suite 100
Colorado Springs, CO" 7.69578157043366
"Old Colorado City Branch Library
2418 West Pikes Peak Avenue
Colorado Springs, CO" 8.82974256358966
"Fountain Branch Library
230 South Main Street
Fountain, CO" 9.97752756953506
"Rockrimmon Branch
832 Village Center Drive
Colorado Springs, CO" 10.3097684264356
"Manitou Springs Public Library
701 Manitou Ave
Manitou Springs, CO" 11.7833973954844
"Ute Pass Branch
8010 Severy
Cascade, CO" 15.3669694046837
"Monument Library
1706 Lake Woodmoor Dr
Monument, CO" 20.5781824883056
"Rampart Library District-Woodland Parkflorissant
218 E. Midland
Woodland Park, CO" 22.2310255492777
"Woodland Park Public Library
218 East Midland
Woodland Park, CO" 22.2310255492777
"Palmer Lake Branch Library
66 Lower Glenway
Palmer Lake, CO" 23.4172738056009
"Victor Public Library
124 South 3rd Street
Victor, CO" 25.0890478876987
"Franklin Ferguson Memorial Library
410 B Street
Cripple Creek, CO" 26.7341951865307
"Penrose Library District
555 Fourth Avenue
Penrose, CO" 32.5484228151248
"Florissant Branch
2001teller County Rd 31
Florissant, CO" 33.0528555144585
"Penrose Library District
35 7th Avenue
Penrose, CO" 33.1757683872417
"White Branch
298 S Joe Martinez Blvd
Pueblo West, CO" 34.7445438579839
"Lake George Branch Library
box 3
Lake George, CO" 36.984059519179
"Elbert County Library District
239 Main Street
Elizabeth, CO" 37.4039085434182
"Elizabeth Branch Library
207 Main
Elizabeth, CO" 37.4147035976101
"Barkman Branch Library
1300 Jerry Murphy Road
Pueblo, CO" 37.4673841796233
"John C. Fremont Library District (Florence)
130 Church Ave
Florence, CO" 37.7315151736867
"Douglas County Libraries
100 South Wilcox
Castle Rock, CO" 38.4883943050118
"Pueblo City-County Library District
100 E Abriendo Ave
Pueblo, CO" 39.3967511539629
"Robert Hoag Rawlings Public Library
100 East Abriendo Avenue
Pueblo, CO" 39.3967511539629
"Simla Branch Library
504 Washingtion
Simla, CO" 39.4330093364115
"Canon City Public Library
516 Macon Ave
Canon City, CO" 39.5143147183306
