"location" "miles"
"Woods Memorial Library
19 Pleasant St.
Barre, MA" 1.7618349303399
"Becket Athenaeum
3367 Main Street, Route 8
Becket, MA" 1.7618349303399
"Hope Library
443 Camden Road
Hope, ME" 7.25352139006241
"Cary Library-Houlton
107 Main Street
Houlton, ME" 7.25352139006241
"Cundys Harbor Library
935 Cundys Harbor Road
Harpswell, ME" 7.68081815753882
"Gallison Memorial Library
1292 Main Street
Harrington, ME" 7.68081815753882
"Rayne Branch
109 West Perrodin Street
Rayne, LA" 9.42752659860004
"Richland Parish Library
1410 Louisa Street
Rayville, LA" 9.42752659860004
"Hubbard Free Library
115 Second Street
Hallowell, ME" 10.8435451613618
"Edythe Dyer Community Library
269 Main Road North
Hampden, ME" 10.8435451613618
"Bolsters Mills Village Library
659 Bolsters Mills Road
Harrison, ME" 10.9797289711178
"Harrison Village Library
4 Front Street
Harrison, ME" 10.9797289711178
"Hollis Center Public Library
14 Little Falls Road
Hollis, ME" 11.404249073759
"Salmon Falls Library
322 Old Alfred Road
Hollis, ME" 11.404249073759
"Princeton Public Library
40 Main Street
Princeton, ME" 13.9503987595671
"Rangeley Public Library
7 Lake Street
Rangeley, ME" 13.9503987595671
"Eldredge Public Library
564 Main St.
Chatham, MA" 16.2285576035728
"Chelmsford Public Library
25 Boston Rd.
Chelmsford, MA" 16.2285576035728
"Hartland Public Library
16 Mill Street
Hartland, ME" 17.1068668809911
"Soldiers Memorial Library
85 Main Street
Hiram, ME" 17.1068668809911
"Kitzmiller Branch Library
288 W. Main Street
Kitzmiller, MD" 17.6056275804384
"Charles County Public Library
2 Garrett Avenue
La Plata, MD" 17.6056275804384
"Warren Memorial Library
479 Main Street
Westbrook, ME" 19.4542666857538
"Whitneyville Public Library
51 School Street
Whitneyville, ME" 19.4542666857538
"West Baton Rouge Parish
830 North Alexander Avenue
Port Allen, LA" 19.7932197138641
"Port Sulphur Branch
138 Civic Drive Route 2
Port Sulphur, LA" 19.7932197138641
"Walkersville Branch Library
57 West Frederick Street
Walkersville, MD" 21.1856104225338
"Westernport Library
66 Main Street
Westernport, MD" 21.1856104225338
"Guilford H. Hathaway Library
6 North Main Street
Assonet, MA" 21.262993459844
"Athol Public Library
568 Main St.
Athol, MA" 21.262993459844
"Freeport Community Library
10 Library Drive
Freeport, ME" 21.8824825951718
"Friendship Public Library
3 Main Street
Friendship, ME" 21.8824825951718
"Bookmobile Services
50 East Main Street
Westminster, MD" 23.4427648543891
"Carroll County Public Library
115 Airport Drive
