"location" "miles" "latitude" "longitude"
"Ruth Holly Branch
685 North Murray Boulevard
Colorado Springs, CO" 2.7704877058498 -104.7459808 38.8429409
"Sand Creek Branch
1821 South Academy Boulevard
Colorado Springs, CO" 3.29866632980247 -104.7555756 38.8063741
"Security Public Library
715 Aspen Drive
Security, CO" 5.33520438103705 -104.7314175 38.7526243
"Penrose Public Library
20 North Cascade Avenue
Colorado Springs, CO" 6.84708179924622 -104.8260561 38.8353301
"East Library
5550 North Union Boulevard
Colorado Springs, CO" 7.35794075674517 -104.7782358 38.9126388
"Cheyenne Mountain Branch
1785 South 8th Street, Suite 100
Colorado Springs, CO" 7.69578157043366 -104.8398258 38.8046928
"Old Colorado City Branch Library
2418 West Pikes Peak Avenue
Colorado Springs, CO" 8.82974256358966 -104.8610255 38.8476303
"Fountain Branch Library
230 South Main Street
Fountain, CO" 9.97752756953506 -104.6996681 38.6814166
"Rockrimmon Branch
832 Village Center Drive
Colorado Springs, CO" 10.3097684264356 -104.844503 38.923059
"Manitou Springs Public Library
701 Manitou Ave
Manitou Springs, CO" 11.7833973954844 -104.91464 38.856704
"Ute Pass Branch
8010 Severy
Cascade, CO" 15.3669694046837 -104.969833 38.896887
"Monument Library
1706 Lake Woodmoor Dr
Monument, CO" 20.5781824883056 -104.8598363 39.0957938
"Rampart Library District-Woodland Parkflorissant
218 E. Midland
Woodland Park, CO" 22.2310255492777 -105.0506724 38.9949445
"Woodland Park Public Library
218 East Midland
Woodland Park, CO" 22.2310255492777 -105.0506724 38.9949445
"Palmer Lake Branch Library
66 Lower Glenway
Palmer Lake, CO" 23.4172738056009 -104.9152449 39.1197573
"Victor Public Library
124 South 3rd Street
Victor, CO" 25.0890478876987 -105.1401623 38.7092298
"Franklin Ferguson Memorial Library
410 B Street
Cripple Creek, CO" 26.7341951865307 -105.1841043 38.7436196
"Penrose Library District
555 Fourth Avenue
Penrose, CO" 32.5484228151248 -105.0208628 38.4276462
"Florissant Branch
2001teller County Rd 31
Florissant, CO" 33.0528555144585 -105.2931276 38.9476339
"Penrose Library District
35 7th Avenue
Penrose, CO" 33.1757683872417 -105.0505557 38.4321442
"White Branch
298 S Joe Martinez Blvd
Pueblo West, CO" 34.7445438579839 -104.7412671 38.3244312
"Lake George Branch Library
box 3
Lake George, CO" 36.984059519179 -105.3574943 38.9797141
"Elbert County Library District
239 Main Street
Elizabeth, CO" 37.4039085434182 -104.5956 39.3603252
"Elizabeth Branch Library
207 Main
