"location" "miles"
"Security Public Library
715 Aspen Drive
Security, CO" 12.1881432773475
"Fountain Branch Library
230 South Main Street
Fountain, CO" 12.9064693161856
"Ruth Holly Branch
685 North Murray Boulevard
Colorado Springs, CO" 12.9271816222445
"Sand Creek Branch
1821 South Academy Boulevard
Colorado Springs, CO" 13.0837348500731
"East Library
5550 North Union Boulevard
Colorado Springs, CO" 16.3298919975242
"Penrose Public Library
20 North Cascade Avenue
Colorado Springs, CO" 17.0620436494618
"Cheyenne Mountain Branch
1785 South 8th Street, Suite 100
Colorado Springs, CO" 17.6191549533956
"Old Colorado City Branch Library
2418 West Pikes Peak Avenue
Colorado Springs, CO" 19.0599670415139
"Rockrimmon Branch
832 Village Center Drive
Colorado Springs, CO" 19.8307699244304
"Manitou Springs Public Library
701 Manitou Ave
Manitou Springs, CO" 22.013952844444
"Ute Pass Branch
8010 Severy
Cascade, CO" 25.5355626863315
"Monument Library
1706 Lake Woodmoor Dr
Monument, CO" 27.7807311930776
"Palmer Lake Branch Library
66 Lower Glenway
Palmer Lake, CO" 31.0274416854944
"Rampart Library District-Woodland Parkflorissant
218 E. Midland
Woodland Park, CO" 31.9816205704421
"Woodland Park Public Library
218 East Midland
Woodland Park, CO" 31.9816205704421
"Simla Branch Library
504 Washingtion
Simla, CO" 32.8967960968907
"Victor Public Library
124 South 3rd Street
Victor, CO" 34.3817385950009
"White Branch
298 S Joe Martinez Blvd
Pueblo West, CO" 35.018092286286
"Barkman Branch Library
1300 Jerry Murphy Road
Pueblo, CO" 35.4113218163001
"Franklin Ferguson Memorial Library
410 B Street
Cripple Creek, CO" 36.3846187560684
"Penrose Library District
555 Fourth Avenue
Penrose, CO" 37.5525939118312
"Pueblo City-County Library District
100 E Abriendo Ave
Pueblo, CO" 37.7077317676582
"Robert Hoag Rawlings Public Library
100 East Abriendo Avenue
Pueblo, CO" 37.7077317676582
"Penrose Library District
35 7th Avenue
Penrose, CO" 38.5351796130684
"Elbert County Library District
239 Main Street
Elizabeth, CO" 39.1365580101719
"Elizabeth Branch Library
207 Main
Elizabeth, CO" 39.1478350320245
"Lamb Branch Library
2525 South Pueblo Boulevard
Pueblo, CO" 40.4704175079147
"Florissant Branch
2001teller County Rd 31
Florissant, CO" 43.2611047336505
"John C. Fremont Library District (Florence)
130 Church Ave
Florence, CO" 43.3098150045237
"Douglas County Libraries
100 South Wilcox
Castle Rock, CO" 43.5815140469244
"Canon City Public Library
516 Macon Ave
Canon City, CO" 46.4254047515317
"Lake George Branch Library
box 3
Lake George, CO" 47.1660806259428
"Wetmore Community Library
95 County Road 393
Wetmore, CO" 49.6881418768085
"Parker Library
10851 So. Crossroads Dr.
Parker, CO" 51.7363576231373
"Fowler Public Library
114 East Cranston Avenue
Fowler, CO" 53.2691937062862
"Fowler Public Library
400 6th Street
Fowler, CO" 53.392518282122
"Louviers Library
7885 Louviers Blvd
Louviers, CO" 53.8566008772343
"Guffey Branch Library
1625 B. County Rd 102
Guffey, CO" 54.4489238992703
"Limon Memorial Library
205 E Ave
Limon, CO" 54.7306403039172
"Neighborhood Library At Lone Tree
8827 Lone Tree Pkwy
Lone Tree, CO" 55.5471573903985
"Neighborhood Library At Roxborough
8357 N. Rampart Range Rd. Suite 200
Littleton, CO" 56.1972305400401
"Arapahoe Library District
12855 East Adam Aircraft Circle
Englewood, CO" 56.7110214078037
"Arapahoe Library District
