"location" "miles" "latitude" "longitude"
"Ofallon Public Library
120 Civic Plaza
Ofallon, IL" 4.1461416542222 -89.9132779 38.581801
"Mascoutah Public Library
3 West Church Street
Mascoutah, IL" 4.70958332730389 -89.7978979 38.4914488
"Lebanon Public Library
314 West Saint Louis Street
Lebanon, IL" 4.85393126648286 -89.8110278 38.603791
"Belleville Public Library
121 East Washington Street
Belleville, IL" 7.1442194408341 -89.9819046 38.5137346
"New Baden Public Library
210 North First Street
New Baden, IL" 8.41969152302677 -89.6997033 38.5375758
"West Branch
3414 West Main Street
Belleville, IL" 8.69566015686307 -90.0153404 38.5322844
"Freeburg Area Library District
407 South Belleville Street
Freeburg, IL" 9.00694156543988 -89.911158 38.420085
"Fairview Heights Public Library
10017 Bunkum Road
Fairview Heights, IL" 9.24012295717678 -90.0106192 38.5981467
"Trenton Public Library
118 East Indiana Street
Trenton, IL" 10.3368404136096 -89.680351 38.603094
"Collinsville Memorial Public Library
408 West Main St.
Collinsville, IL" 11.3465397145082 -89.9903483 38.6681933
"Mississippi Valley Public Library District
408 West Main Street
Collinsville, IL" 11.3465397145082 -89.9903483 38.6681933
"Caseyville Public Library District
419 South Second Street
Caseyville, IL" 11.4921080190701 -90.0302193 38.636946
"Smithton Public Library District
109 South Main Street
Smithton, IL" 11.9433515260262 -89.9925729 38.407637
"Tri-Township Public Library District
209 South Main Street
Troy, IL" 12.8763673001272 -89.8841619 38.7274635
"East St. Louis Public Library
5300 State Street
East St Louis, IL" 13.8879205894547 -90.098952 38.605849
"Maryville Community Library District
8 Schiber Court
Maryville, IL" 13.9844564787335 -89.9497989 38.7308704
"Millstadt Library
115 West Laurel Street
Millstadt, IL" 14.1231041701978 -90.093127 38.4589786
"Washington Park Public Library
5103 Bunkum Road 2
Washington Park, IL" 14.1554620490694 -90.095763 38.623375
"Centreville Public Library
701 South 47th Street
Centreville, IL" 14.7514538814371 -90.1235673 38.580587
"New Athens District Library
201 North Van Buren Street
New Athens, IL" 14.9871717932304 -89.87806 38.32678
"Glen Carbon Centennial Library
198 South Main Street
Glen Carbon, IL" 15.8573025593548 -89.9839208 38.7487112
"Louis Latzer Memorial Public Library
1001 Ninth Street
Highland, IL" 16.7493941300481 -89.6786802 38.7417596
"Cahokia Public Library District
140 Cahokia Park Drive
Cahokia, IL" 17.100336955005 -90.1708033 38.5562533
"Germantown Public Library District
403 Munster Street
Germantown, IL" 17.1459904091152 -89.5385605 38.5537304
"Hecker Public Library
151 West Monroe Street
Hecker, IL" 18.0367415890123 -89.993231 38.305439
"Breese Public Library
530 North Third Street
Breese, IL" 18.2718762639418 -89.5283926 38.6098171
"Granite City Branch
2145 Johnson Road
Granite City, IL" 18.6092122878255 -90.1102121 38.7234888
"Madison Public Library
1700 Fifth Street
Madison, IL" 18.6816462412542 -90.1521178 38.6809127
"Daugherty Public Library District
220 South Fifth Street
Dupo, IL" 19.1278264596952 -90.206967 38.5156911
"Venice Public Library
325 Broadway Avenue
Venice, IL" 19.254471511381 -90.1707113 38.6718645
"Edwardsville Public Library
112 South Kansas Street
Edwardsville, IL" 19.3182917367149 -89.9538694 38.8111351
"Six Mile Regional Library District
2001 Delmar Avenue
Granite City, IL" 19.3834809919715 -90.1498158 38.7024916
"Central Library
1301 Olive Street
St. Louis, MO" 19.5869806765634 -90.1994918 38.6307034
"Columbia Public Library
106 North Metter Avenue
Columbia, IL" 19.8242167469502 -90.1990239 38.4441696
"Film Library
1624 Locust Street
St. Louis, MO" 19.8255655233616 -90.2036017 38.6319835
"Barr Branch
1701 S. Jefferson
St. Louis, MO" 20.4175679652568 -90.2214025 38.61452
"Divoll Branch
4234 N. Grand Avenue
St. Louis, MO" 21.1179516113557 -90.2117373 38.6674566
"Marissa Area Public Library District
212 North Main Street
Marissa, IL" 21.1818480876283 -89.7541009 38.24691
"Carpenter Branch
3309 S. Grand Avenue
St. Louis, MO" 21.331223262023 -90.2435246 38.5966018
"Carondelet Branch
6800 Michigan Avenue
St. Louis, MO" 21.6046035587068 -90.2542381 38.5547479
"Morrison-Talbott Library
215 Park Street
Waterloo, IL" 21.6756543584484 -90.1523722 38.332933
"Julia Davis Branch
4415 Natural Bridge
St. Louis, MO" 22.4428833596554 -90.236854 38.6703966
"Kingshighway Branch
2260 S. Vandeventer
St. Louis, MO" 22.7856942538122 -90.2668767 38.6128318
"Schlafly Branch
225 N. Euclid Ave.
St. Louis, MO" 23.087583925222 -90.2621031 38.6439159
"Baden Branch
8448 Church Road
St. Louis, MO" 23.626503747501 -90.2327206 38.7149575
"Cabanne Branch
1106 N. Union
St. Louis, MO" 23.8965480948649 -90.2721424 38.657396
"Walnut Park Branch
5760 W. Florissant
St. Louis, MO" 23.932388146365 -90.247189 38.7036447
"Weber Road Branch
4444 Weber Rd.
St. Louis, MO" 23.9641730418446 -90.2980142 38.5509406
"Hartford Public Library District
143 West Hawthorne Street
Hartford, IL" 24.0035184274416 -90.0975782 38.8335844
"Buder Branch Library
4401 Hampton Avenue
St. Louis, MO" 24.005552427398 -90.2948063 38.5904405
"Machacek Branch
6424 Scanlan Avenue
St. Louis, MO" 24.3214614025906 -90.2978473 38.6047757
"Roxana Public Library District
200 North Central Avenue
Roxana, IL" 24.389524749869 -90.0792968 38.8488377
"Marketplace Minibranch
6548 Manchester Avenue
St. Louis, MO" 24.5696581070653 -90.2987195 38.6197847
"Red Bud Public Library
925 South Main Street
Red Bud, IL" 24.6317718412219 -89.993971 38.2036423
"Cliff Cave Branch
5430 Telegraph Rd.
St. Louis, MO" 24.7062749180508 -90.3035869 38.475989
"Tilden Public Library
540 Pine Street
Tilden, IL" 24.8433894141191 -89.6813341 38.2104151
"Lewis And Clark Branch
9909 Lewis And Clark Blvd.
St. Louis, MO" 25.1913413077107 -90.240782 38.7474545
"Charing Cross Branch
356 N. Skinker
St. Louis, MO" 25.1986132077805 -90.3000004 38.6515203
"Wood River Public Library
326 East Ferguson Avenue
Wood River, IL" 25.4176693584578 -90.0907997 38.8608301
"University City Public Library
6701 Delmar Blvd.
University City, MO" 25.7843141052464 -90.3092673 38.6567324
"Maplewood Public Library
7550 Lohmeyer Ave.
Maplewood, MO" 25.9175917326525 -90.3255432 38.6146332
"Richmond Heights Memorial Library
8001 Dale Avenue
Richmond Heights, MO" 26.4206031769249 -90.331252 38.6287325
"Natural Bridge Branch
7606 Natural Bridge Rd.
St. Louis, MO" 26.6246207709539 -90.3019571 38.7049074
"East Alton Public Library District
250 Washington Avenue
East Alton, IL" 26.7828920489789 -90.1031752 38.8780571
"Worden Public Library District
111 East Wall Street
Worden, IL" 26.9145296569268 -89.8387902 38.9315768
"Tesson Ferry Branch
9920 Lin-Ferry Dr.
St. Louis, MO" 26.9316887247337 -90.3523137 38.5238391
"Case-Halstead Public Library
571 Franklin Street
Carlyle, IL" 26.9478949983202 -89.364468 38.610487
"City Of Webster Groves Municipal Library
301 E. Lockwood Avenue
