"location" "miles" "latitude" "longitude"
"George F. Johnson Memorial Library
1001 Park Street
Endicott, NY" 5.12861784236507 -76.0508645 42.0987709
"Belden Noble Memorial Library Of Essex
2759 Essex Rd.
Essex, NY" 5.12861784236507 -72.4289465 41.3255438
"Evans Mills Public Library
8706 Noble Street
Evans Mills, NY" 8.27942577457117 -75.8072691 44.088291
"Fair Haven Public Library
14426 South Richmond Ave
Fair Haven, NY" 8.27942577457117 -76.703217 43.315095
"Greenburgh Public Library
300 Tarrytown Road
Elmsford, NY" 8.61585126461773 -73.7941169 41.042173
"Elwood Public Library
3027 Jericho Turnpike
Elwood, NY" 8.61585126461773 -73.3231845 40.8394443
"Eastchester Library
1385 East Gun Hill Road
Bronx, NY" 14.5835242165949 -73.8451078 40.8701444
"Edenwald Library
1255 East 233rd Street
Bronx, NY" 14.5835242165949 -73.8408326 40.8888791
"Barker Free Library
8706 Main Street
Barker, NY" 20.4856171607473 -78.553618 43.3298569
"Barneveld Free Library Association
118 Boon Street
Barneveld, NY" 20.4856171607473 -75.1941639 43.2737316
"Baldwinsville Public Library
33 East Genesee Street
Baldwinsville, NY" 20.6637239005859 -76.3294233 43.159216
"Ballston Spa Public Library
21 Milton Avenue
Ballston Spa, NY" 20.6637239005859 -73.8490159 43.0017208
"Queens Borough Public Library - Astoria
14-01 Astoria Boulevard
Astoria, NY" 21.1812201985947 -73.928729 40.772379
"Queens Borough Public Library - Steinway
21-45 31 Street
Astoria, NY" 21.1812201985947 -73.9096802 40.7769984
"Melrose Library
910 Morris Avenue
Bronx, NY" 23.3048472623314 -73.9175628 40.8266002
"Morris Park Library
985 Morris Park Avenue
Bronx, NY" 23.3048472623314 -73.8568162 40.8480268
"Carthage Free Library
412 Budd Street
Carthage, NY" 24.1141680217329 -75.6093 43.979626
"Cordelia A. Greene Library
11 South Main Street
Castile, NY" 24.1141680217329 -78.0509917 42.6316515
"Bolivar Free Library
390 Main Street
Bolivar, NY" 26.3168302799158 -78.167536 42.065228
"Bolton Free Library
4922 Lakeshore Drive
Bolton Landing, NY" 26.3168302799158 -73.655321 43.554936
"North Park Branch Library
975 Hertel Avenue
Buffalo, NY" 26.9344986805373 -78.8720757 42.9473424
"Riverside Branch Library
820 Tonawanda Street
Buffalo, NY" 26.9344986805373 -78.9047865 42.9508785
"Boston Free Library
9474 Boston State Road
Boston, NY" 27.3924968964058 -78.7333064 42.6261243
"Bovina Library Association
33 Maple Avenue
Bovina Center, NY" 27.3924968964058 -74.78126 42.2629189
"Ellenburg Sarah A. Munsil Free Library
5139 Route 11
Ellenburg Depot, NY" 27.8618260566009 -73.8046386 44.9038981
"Ellenville Public Library And Museum
40 Center Street
Ellenville, NY" 27.8618260566009 -74.3972874 41.7181131
"Blauvelt Free Library
541 Western Highway
Blauvelt, NY" 28.7460035631184 -73.9571571 41.0598027
"Eagle Free Library
3413 School Street
Bliss, NY" 28.7460035631184 -78.254884 42.579521
"Bayport-Blue Point Public Library
203 Blue Point Avenue
Blue Point, NY" 28.864181889677 -73.0359525 40.7497704
"Connetquot Public Library
760 Ocean Avenue
Bohemia, NY" 28.864181889677 -73.1178605 40.7587088
"Hepburn Library
84 Main Street
Colton, NY" 31.0461094108541 -74.938913 44.552947
"Commack Public Library District
18 Hauppauge Road
Commack, NY" 31.0461094108541 -73.2937473 40.8289636
"Queens Borough Public Library - Arverne
312 Beach 54 Street
Arverne, NY" 31.1788729457743 -73.7840725 40.5931314
"Ashville Free Library
2200 North Maple Street
Ashville, NY" 31.1788729457743 -79.374839 42.095529
"Fayetteville Free Library
300 Orchard Street
Fayetteville, NY" 32.0431968989673 -76.0068632 43.025735
"Wide Awake Club Library
46 West Main St.
Fillmore, NY" 32.0431968989673 -78.1135869 42.4660025
"Allens Hill Free Library
3818 County Road 40
Bloomfield, NY" 32.1451773457165 -77.515419 42.842389
"Bloomfield Public Library
9 Church Street
Bloomfield, NY" 32.1451773457165 -77.432127 42.899506
"Fenton Free Library
1062 Chenango Street
Binghamton, NY" 32.654157502426 -75.889121 42.1463282
"Sally Ploof Hunter Memorial Library
101 Public Works Drive
Black River, NY" 32.654157502426 -75.7862496 44.0159434
"Sand Lake Town Library
8428 Miller Hill Road
Averill Park, NY" 33.3979804644196 -73.5413632 42.6382324
"Avoca Free Library
18 North Main Street
Avoca, NY" 33.3979804644196 -77.4219789 42.409961
"Dolgeville-Manheim Public Library
24 North Main Street
Dolgeville, NY" 34.5516250962149 -74.769874 43.102919
"The Southworth Library Association
24 West Main Street
Dryden, NY" 34.5516250962149 -76.2990235 42.4909241
"Queens Borough Public Library - Mitchell-Linden
29-42 Union Street
Flushing, NY" 34.9414987340925 -73.826886 40.7711357
"Queens Borough Public Library - Pomonok
158-21 Jewel Avenue
Flushing, NY" 34.9414987340925 -73.8101067 40.7326235
"Homecrest Library
2525 Coney Island Ave. At Ave. V
Brooklyn, NY" 35.6968466025642 -73.9605949 40.595231
"Jamaica Bay Library
9727 Seaview Ave. At E. 98th St.
Brooklyn, NY" 35.6968466025642 -73.889304 40.6344877
"Morrisania Library
610 East 169th Street
Bronx, NY" 35.8272860784681 -73.9017509 40.8312601
"Mosholu Library
285 East 205th Street
Bronx, NY" 35.8272860784681 -73.878391 40.8743814
"Depauville Free Library
32333 County Route 179
Depauville, NY" 36.3086919539269 -76.0703651 44.1372064
"Deposit Free Library
159 Front Street
Deposit, NY" 36.3086919539269 -75.425092 42.061162
"Catskill Public Library
1 Franklin Street
Catskill, NY" 36.3557170617769 -73.8643357 42.2178806
"Cattaraugus Free Library
21 Main Street
Cattaraugus, NY" 36.3557170617769 -78.868947 42.329659
"Modeste Bedient Memorial Library
3699 Route 54a
Branchport, NY" 36.675771312787 -77.1437209 42.6002344
"Horicon Free Public Library
6604 State Route 8
Brant Lake, NY" 36.675771312787 -73.7498259 43.6758879
"Woodlawn Heights Library
4355 Katonah Avenue
Bronx, NY" 37.9417241250269 -73.8679407 40.9004371
"Woodstock Library
761 East 160th Street
Bronx, NY" 37.9417241250269 -73.9046034 40.8206528
"Queens Borough Public Library - Queensboro Hill
60-05 Main Street
Flushing, NY" 38.2989684921327 -73.8254858 40.7429028
"Frothingham Free Library
28 West Main Street
Fonda, NY" 38.2989684921327 -74.376459 42.954624
"Brooklyn Heights Library
280 Cadman Plaza West At Tillary St.
Brooklyn, NY" 38.5876782616141 -73.9913921 40.6957321
"Brooklyn Public Library
10 Grand Army Plaza
Brooklyn, NY" 38.5876782616141 -73.9681011 40.6721709
"Rochester Regional Library Council
390 Packetts Landing
Fairport, NY" 39.5975846852063 -77.4411996 43.1007135
"Falconer Public Library
101 West Main Street
Falconer, NY" 39.5975846852063 -79.199158 42.117635
"Constableville Library
3038 Main Street
