"location" "miles"
"Suisun City Library
601 Pintail Drive
Suisun City, CA" 4.13292617780738
"Law Library
600 Union Avenue
Fairfield, CA" 5.66945065178165
"Vacaville Public Library - Cultural Center
1020 Ulatis Dr.
Vacaville, CA" 5.90097941477974
"Fairfield Civic Center Library
1150 Kentucky St.
Fairfield, CA" 6.02914644567697
"Vacaville Public Library - Town Square
1 Town Square Place
Vacaville, CA" 6.43741426644638
"Solano Community College Library
4000 Suisun Valley Road
Suisun, CA" 10.305817597639
"Fairfield Cordelia Library
5050 Business Center Drive
Fairfield, CA" 11.7058542265141
"Dixon Public Library
230 North First St.
Dixon, CA" 13.6730535767433
"Rio Vista Library
44 S. Second St.
Rio Vista, CA" 15.6566036998195
"Bay Point
205 Pacifica Ave.
Bay Point, CA" 16.5640017339471
"Winters Branch Library
201 First St.
Winters, CA" 17.2787338301216
"Pittsburg Library
80 Power Ave.
Pittsburg, CA" 17.7265707859128
"Napa Valley College Library
2277 Napa-Vallejo Hwy.
Napa, CA" 18.3498629811027
"American Canyon
300 Crawford Way
American Canyon, CA" 18.6018028556788
"Napa County Library -Napa Main Library
580 Coombs St.
Napa, CA" 18.7412587481319
"Springstowne Library
1003 Oakwood Ave.
Vallejo, CA" 19.0845250412158
"Benicia Public Library
150 East L St.
Benicia, CA" 19.1103736707516
"Isleton Branch Library
401 Union Street
Isleton, CA" 19.4925206808424
"Antioch Library
501 W. 18th St.
Antioch, CA" 19.7494561049746
"Martinez Library
740 Court St.
Martinez, CA" 20.5146657308505
"Concord Library
2900 Salvio St.
Concord, CA" 20.6252852663928
"John F. Kennedy Library
505 Santa Clara St.
Vallejo, CA" 21.054765842482
"Crockett Library
991 Loring
Crockett, CA" 21.4035808383581
"Davis Branch Library
315 E. 14th St.
Davis, CA" 22.2979345118874
"Clayton Community Library
6125 Clayton Rd
Clayton, CA" 22.7920790969812
"Walnut Grove Library
14177 Market St.
Walnut Grove, CA" 23.232057264923
"Oakley Library
1050 Neroly Road
Oakley, CA" 24.2136989248734
"Rodeo Library
220 Pacific Ave.
Rodeo, CA" 24.2471533731737
"Contra Costa County Library
1750 Oak Park Boulevard
Pleasant Hill, CA" 24.356662943278
"Ygnacio Valley Library
2661 Oak Grove Rd.
Walnut Creek, CA" 24.3962716364144
"Clarksburg Branch Library
52915 Netherlands Ave.
Clarksburg, CA" 24.551702308592
"Yountville Library
6548 Yount St.
