"location" "miles" "latitude" "longitude"
"Suisun City Library
601 Pintail Drive
Suisun City, CA" 4.13292617780738 -122.0099671 38.2488973
"Law Library
600 Union Avenue
Fairfield, CA" 5.66945065178165 -122.0397823 38.2484277
"Vacaville Public Library - Cultural Center
1020 Ulatis Dr.
Vacaville, CA" 5.90097941477974 -121.9624264 38.3555677
"Fairfield Civic Center Library
1150 Kentucky St.
Fairfield, CA" 6.02914644567697 -122.0478949 38.2520974
"Vacaville Public Library - Town Square
1 Town Square Place
Vacaville, CA" 6.43741426644638 -121.9872514 38.3574285
"Solano Community College Library
4000 Suisun Valley Road
Suisun, CA" 10.305817597639 -122.1235419 38.2348293
"Fairfield Cordelia Library
5050 Business Center Drive
Fairfield, CA" 11.7058542265141 -122.1440317 38.218042
"Dixon Public Library
230 North First St.
Dixon, CA" 13.6730535767433 -121.8220331 38.4468614
"Rio Vista Library
44 S. Second St.
Rio Vista, CA" 15.6566036998195 -121.6924849 38.1561328
"Bay Point
205 Pacifica Ave.
Bay Point, CA" 16.5640017339471 -121.967148 38.0336258
"Winters Branch Library
201 First St.
Winters, CA" 17.2787338301216 -121.969731 38.520808
"Pittsburg Library
80 Power Ave.
Pittsburg, CA" 17.7265707859128 -121.8908946 38.0187652
"Napa Valley College Library
2277 Napa-Vallejo Hwy.
Napa, CA" 18.3498629811027 -122.2777462 38.2743057
"American Canyon
300 Crawford Way
American Canyon, CA" 18.6018028556788 -122.2557832 38.1686237
"Napa County Library -Napa Main Library
580 Coombs St.
Napa, CA" 18.7412587481319 -122.2837166 38.2956021
"Springstowne Library
1003 Oakwood Ave.
Vallejo, CA" 19.0845250412158 -122.2182654 38.1040899
"Benicia Public Library
150 East L St.
Benicia, CA" 19.1103736707516 -122.1545458 38.0534168
"Isleton Branch Library
401 Union Street
Isleton, CA" 19.4925206808424 -121.6099119 38.161634
"Antioch Library
501 W. 18th St.
Antioch, CA" 19.7494561049746 -121.8126178 38.0047261
"Martinez Library
740 Court St.
Martinez, CA" 20.5146657308505 -122.1341672 38.0179515
"Concord Library
2900 Salvio St.
Concord, CA" 20.6252852663928 -122.0251918 37.9816051
"John F. Kennedy Library
505 Santa Clara St.
Vallejo, CA" 21.054765842482 -122.2607094 38.101689
"Crockett Library
991 Loring
Crockett, CA" 21.4035808383581 -122.2207527 38.0554056
"Davis Branch Library
315 E. 14th St.
