"location" "miles"
"Rockrimmon Branch
832 Village Center Drive
Colorado Springs, CO" 5.29063148837612
"Monument Library
1706 Lake Woodmoor Dr
Monument, CO" 6.7407941421592
"East Library
5550 North Union Boulevard
Colorado Springs, CO" 7.43915803034938
"Palmer Lake Branch Library
66 Lower Glenway
Palmer Lake, CO" 8.87556187811872
"Ute Pass Branch
8010 Severy
Cascade, CO" 9.11451533567755
"Rampart Library District-Woodland Parkflorissant
218 E. Midland
Woodland Park, CO" 10.1590928130902
"Woodland Park Public Library
218 East Midland
Woodland Park, CO" 10.1590928130902
"Manitou Springs Public Library
701 Manitou Ave
Manitou Springs, CO" 10.2035661148173
"Old Colorado City Branch Library
2418 West Pikes Peak Avenue
Colorado Springs, CO" 10.4263624369949
"Penrose Public Library
20 North Cascade Avenue
Colorado Springs, CO" 11.4396233264521
"Ruth Holly Branch
685 North Murray Boulevard
Colorado Springs, CO" 12.4256905417899
"Cheyenne Mountain Branch
1785 South 8th Street, Suite 100
Colorado Springs, CO" 13.4483235807851
"Sand Creek Branch
1821 South Academy Boulevard
Colorado Springs, CO" 14.4579104153668
"Security Public Library
715 Aspen Drive
Security, CO" 18.3902742624878
"Florissant Branch
2001teller County Rd 31
Florissant, CO" 23.4623871565936
"Fountain Branch Library
230 South Main Street
Fountain, CO" 23.5991538168455
"Franklin Ferguson Memorial Library
410 B Street
Cripple Creek, CO" 24.7362933374934
"Victor Public Library
124 South 3rd Street
Victor, CO" 24.9984146989707
"Douglas County Libraries
100 South Wilcox
Castle Rock, CO" 25.5786003945359
"Lake George Branch Library
box 3
Lake George, CO" 26.6852092493851
"Elbert County Library District
239 Main Street
Elizabeth, CO" 28.820141511732
"Elizabeth Branch Library
207 Main
Elizabeth, CO" 28.8290266377112
"Louviers Library
7885 Louviers Blvd
Louviers, CO" 33.949033805503
"Neighborhood Library At Roxborough
8357 N. Rampart Range Rd. Suite 200
Littleton, CO" 35.4643367920195
"Parker Library
10851 So. Crossroads Dr.
Parker, CO" 36.4148886183425
"Neighborhood Library At Lone Tree
8827 Lone Tree Pkwy
Lone Tree, CO" 37.9886594594682
"Highlands Ranch Library
9292 Ridgeline Blvd
Highlands Ranch, CO" 38.6082273650156
"Guffey Branch Library
1625 B. County Rd 102
Guffey, CO" 39.3479292670524
"Arapahoe Library District
12855 East Adam Aircraft Circle
Englewood, CO" 40.1227791884308
"Arapahoe Library District
12855 E. Adam Aircraft Circle
Englewood, CO" 40.1227791884308
"Penrose Library District
555 Fourth Avenue
Penrose, CO" 40.401272750316
"Penrose Library District
35 7th Avenue
Penrose, CO" 40.4707546128002
"Southglenn Library
7500 South University Blvd, 101
Centennial, CO" 40.5788865789484
"Southglenn Public Library
7500 South University Blvd., 101
Littleton, CO" 40.5788865789484
"Castlewood Library
6739 South Uinta Street
Centennial, CO" 41.2846530885676
"Koelbel Library
5955 South Holly Street
Centennial, CO" 42.3651960923887
"Simla Branch Library
504 Washingtion
Simla, CO" 42.7035188994288
"Littleton-Bemis Public Library
6014 S. Datura St.
Littleton, CO" 42.8440918838996
"Smoky Hill Public Library
5430 South Biscay Circle
Centennial, CO" 43.1647579411366
"Canon City Public Library
516 Macon Ave
Canon City, CO" 43.6206110929234
"Columbine Library
7706 West Bowles Avenue
Littleton, CO" 43.8350465782719
"Conifer Library
10441 Highway 73
Conifer, CO" 43.8625253517724
"Park County Public Library
350 Bulldogger Road
Bailey, CO" 44.040044378267
"John C. Fremont Library District (Florence)
130 Church Ave
Florence, CO" 44.2700776025133
"South Branch Library
15324 East Hampden Circle
Aurora, CO" 45.2045781875024
"Hampden Branch
9755 East Girard Avenue
Denver, CO" 45.4045516135561
"Sheridan Library
3201 West Oxford Avenue
Sheridan, CO" 45.560746730376
"Englewood Public Library
1000 Englewood Parkway
Englewood, CO" 45.9905419138078
"Ross-University Hills Branch
4310 East Amherst Avenue
Denver, CO" 46.3048719310362
"Bear Valley Branch
5171 West Dartmouth Avenue
Denver, CO" 46.6430588783598
"Iliff Square Library
2245 South Peoria Street
Aurora, CO" 46.8784499628832
"White Branch
298 S Joe Martinez Blvd
Pueblo West, CO" 47.0697705557369
"Virginia Village Branch
1500 South Dahlia Street
Denver, CO" 47.9082799092227
"Hadley Branch
1890 South Grove Street
Denver, CO" 48.140123456739
"Decker Branch
1501 South Logan Street
Denver, CO" 48.226623229749
"Glendale Library
999 South Clermont
Glendale, CO" 48.6013184945678
"Eugene Field Library
810 South University Boulevard
Denver, CO" 48.9291411104597
"Athmar Park Branch
1055 S. Tejon Street
Denver, CO" 49.0123263775748
