"location" "miles" "latitude" "longitude"
"Dayton Metro Library
215 E. Third St.
Dayton, OH" 8.02049706454094 -84.1878269 39.7605486
"New Carlisle Public Library
111 E. Lake Ave
New Carlisle, OH" 8.96459669379477 -84.0233997 39.9412165
"Wright Memorial Public Library
1776 Far Hills Ave.
Oakwood, OH" 9.2247368507432 -84.1711944 39.7155799
"Greene County Public Library
76 E. Market
Xenia, OH" 11.0375566793014 -83.9284701 39.6865143
"Tipp City Public Library
11 E. Main St.
Tipp City, OH" 11.9607326100083 -84.1708425 39.961462
"Clark County Public Library
201 S. Fountain Ave.
Springfield, OH" 14.8817892907089 -83.811319 39.9217247
"Washington-Centerville Public Library
111 W. Spring Valley Road
Centerville, OH" 14.993307609027 -84.1625897 39.6138047
"Milton Union Public Library
560 S. Main St.
West Milton, OH" 17.4827594877279 -84.3262973 39.9556364
"Troy-Miami County Public Library
419 W. Main St.
Troy, OH" 17.7546013672849 -84.2073349 40.0417786
"Mary L. Cook Public Library
381 Old Stage Rd.
Waynesville, OH" 19.1945804612317 -84.0852267 39.5373045
"Germantown Public Library
51 N. Plum St.
Germantown, OH" 21.3587520545583 -84.3722128 39.6257534
"Franklin Public Library
44 E. 4th St
Franklin, OH" 22.0554224451859 -84.3025783 39.5587938
"St. Paris Public Library
127 E. Main St.
St. Paris, OH" 22.3333119687222 -83.9582063 40.1281783
"Piqua Public Library
116 West High Street
Piqua, OH" 25.2069071719652 -84.2402361 40.1489443
"Brown Memorial Library
101 S. Commerce St.
Lewisburg, OH" 25.9319974654218 -84.540124 39.845742
"J.R. Clarke Public Library
102 E. Spring St.
Covington, OH" 26.3076582928304 -84.353151 40.117014
"Champaign County Library
1060 Scioto St.
Urbana, OH" 26.6683790570035 -83.7255536 40.1058818
"Lebanon Public Library
101 S. Broadway
Lebanon, OH" 27.5928730361323 -84.208959 39.4331724
"Marion Lawrence Memorial Library
15 E. Franklin Street
Gratis, OH" 27.7538997204447 -84.529119 39.6484253
"Middletown Public Library
125 S. Broad St.
Middletown, OH" 27.9250744695183 -84.4049323 39.5139207
"Wilmington Public Library Of Clinton County
268 N. South St.
Wilmington, OH" 27.9542841249305 -83.8277449 39.4490149
