"location" "miles" "latitude" "longitude"
"Prince Georges County Memorial Library - Surratts-Clinton
9400 Piscataway Rd.
Clinton, MD" 2.9931988715194 -76.9149794 38.7608137
"Prince Georges County Memorial Library - Spauldings
5811 Old Silver Hill Road
District Heights, MD" 4.08889798444755 -76.9053794 38.8531497
"Prince Georges County Memorial Library - Hillcrest Heights
2398 Iverson St.
Temple Hills, MD" 4.78511226340774 -76.9572023 38.8352344
"Prince Georges County Memorial Library - Oxon Hill
6200 Oxon Hill Rd.
Oxon Hill, MD" 5.42419889736167 -76.9838447 38.803491
"Prince Georges County Memorial Library - Largo-Kettering
9601 Capital Lane
Largo, MD" 6.99994568518616 -76.8386632 38.8914619
"Prince Georges County Memorial Library - Upper Marlboro
14730 Main St.
Upper Marlboro, MD" 7.2967342661464 -76.750814 38.8169083
"Prince Georges County Memorial Library - Fairmount Heights
5904 Kolb St.
Fairmount Heights, MD" 7.56454487152478 -76.9146738 38.90317
"Alexandria Library - Kate Waller Barrett Branch
717 Queen Street
Alexandria, VA" 8.84939107308609 -77.0471444 38.8078034
"North Bend Public Library
140 East 8th Street
North Bend, NE" 8.89896181055669 -76.9949807 38.891537
"Prince Georges County Memorial Library - Glenarden
8724 Glenarden Pkwy.
Glenarden, MD" 9.36848573422756 -76.8602162 38.930723
"Alexandria Library - James M. Duncan Branch Library
2501 Commonwealth Avenue
Alexandria, VA" 9.78192912316068 -77.0606148 38.8277936
"Martha Washington Library
6614 Fort Hunt Road
Alexandria, VA" 9.80550249469123 -77.0629649 38.7730454
"Prince Georges County Memorial Library - Bladensburg
4820 Annapolis Rd.
Bladensburg, MD" 10.2767809308368 -76.9346228 38.9396818
"Aurora Hills Library
735 S. 18th St.
Arlington, VA" 10.3587817281103 -77.0591731 38.8575326
"Prince Georges County Memorial Library - Mount Rainier
3409 Rhode Island Ave.
Mount Rainier, MD" 10.527741089935 -76.9595488 38.9367645
"Prince Georges County Memorial Library - South Bowie
15301 Hall Road
Bowie, MD" 10.6793472248223 -76.739597 38.9026
"Prince Georges County Memorial Library - Accokeek
15773 Livingston Rd.
Accokeek, MD" 10.910341480688 -77.0061573 38.6710564
"Sherwood Regional Library
2501 Sherwood Hall Ln.
Alexandria, VA" 10.9501426571073 -77.0749236 38.7434755
"Prince Georges County Memorial Library - Baden
13603 Baden-Westwood Road
Brandywine, MD" 11.1844441531613 -76.7715707 38.6605015
"Shirlington Library
2786 S. Arlington Mill Dr.
Arlington, VA" 11.3995031332005 -77.0872637 38.8410692
"Prince Georges County Memorial Library - New Carrollton
7414 Riverdale Rd..
New Carrollton, MD" 11.4675345219864 -76.8826328 38.9622982
"Government Reference Library
1 Courthouse Plaza Suite 406
Arlington, VA" 11.8197997375738 -77.0815435 38.8701968
"Columbia Pike Library
816 S. Walter Reed Dr.
Arlington, VA" 11.9946942614337 -77.0884744 38.8643634
