"location" "miles" "latitude" "longitude"
"Aurora Public Library
14949 East Alameda Parkway
Aurora, CO" 3.0939826437856 -104.8151612 39.7104005
"Chambers Plaza Library
15057 Colfax Avenue
Aurora, CO" 3.94763701510084 -104.8136218 39.740243
"South Branch Library
15324 East Hampden Circle
Aurora, CO" 4.51492120366015 -104.8092771 39.6505925
"Iliff Square Library
2245 South Peoria Street
Aurora, CO" 5.09316726630872 -104.8471586 39.6759587
"Smoky Hill Public Library
5430 South Biscay Circle
Centennial, CO" 5.86360505395529 -104.7675316 39.6180927
"Moorhead Branch
2390 Havana Street
Aurora, CO" 6.66627990568314 -104.865466 39.752002
"Martin Luther King Jr. Branch Library
9901 East 16th Avenue
Aurora, CO" 6.69816507893639 -104.8728579 39.7420593
"Montbello Branch
12955 Albrook Drive
Denver, CO" 6.94009772769804 -104.840467 39.7802398
"Hampden Branch
9755 East Girard Avenue
Denver, CO" 7.0467301910488 -104.8747666 39.6546682
"Schlessman Family Branch
100 South Poplar Street
Denver, CO" 7.83383448545038 -104.9043474 39.7142547
"Virginia Village Branch
1500 South Dahlia Street
Denver, CO" 9.26549596743154 -104.931099 39.688861
"Glendale Library
999 South Clermont
Glendale, CO" 9.44217512745456 -104.935269 39.6986556
"Arapahoe Library District
12855 East Adam Aircraft Circle
Englewood, CO" 9.63062173340745 -104.8390773 39.5781242
"Arapahoe Library District
12855 E. Adam Aircraft Circle
Englewood, CO" 9.63062173340745 -104.8390773 39.5781242
"Pauline Robinson Branch
5575 E 33rd Ave
Denver, CO" 9.74670833537508 -104.9227264 39.7641148
"Park Hill Branch
4705 Montview Boulevard
Denver, CO" 9.80204508033314 -104.9325269 39.747775
"Ross-University Hills Branch
4310 East Amherst Avenue
Denver, CO" 9.89507294403943 -104.9373627 39.6652013
"Castlewood Library
6739 South Uinta Street
Centennial, CO" 10.4022604119914 -104.8940031 39.5946643
"Ross-Cherry Creek Branch
305 Milwaukee Street
Denver, CO" 10.4373448550397 -104.952556 39.721257
"Eugene Field Library
810 South University Boulevard
Denver, CO" 10.6990549730854 -104.9589582 39.7016933
"Koelbel Library
5955 South Holly Street
Centennial, CO" 10.9448193073705 -104.9236206 39.6089333
"Ford Warren Library
2825 High Street
Denver, CO" 11.6540247047012 -104.9650955 39.7573035
"Commerce City Branch Library
7185 Monaco
Commerce City, CO" 11.9142225077483 -104.9131363 39.8267617
"Decker Branch
1501 South Logan Street
Denver, CO" 12.0190712977634 -104.9830775 39.6892003
"Valdez-Perry
4690 Vine Street
Denver, CO" 12.1606252450911 -104.9620771 39.7816807
"Ross-Broadway Branch
33 East Bayaud Avenue
Denver, CO" 12.2010733544779 -104.9866333 39.7149952
"Blair-Caldwell Library
2401 Welton Street
Denver, CO" 12.3903829954434 -104.9816069 39.7524359
"Denver Public Library
10 W 14th Avenue Parkway
Denver, CO" 12.4824058067747 -104.9881457 39.7372618
"Parker Library
10851 So. Crossroads Dr.
Parker, CO" 12.6586990297772 -104.767264 39.5196782
"Neighborhood Library At Lone Tree
8827 Lone Tree Pkwy
Lone Tree, CO" 12.7435542516523 -104.8865248 39.5472031
"Byers Library
675 Santa Fe Drive
Denver, CO" 12.9339329729538 -104.9988968 39.7270737
"Englewood Public Library
1000 Englewood Parkway
Englewood, CO" 13.2569847137148 -104.9990508 39.6546794
"Athmar Park Branch
1055 S. Tejon Street
Denver, CO" 13.6118237192007 -105.0135857 39.6971052
"Southglenn Library
7500 South University Blvd, 101
Centennial, CO" 13.6541587336253 -104.9590255 39.5801327
"Southglenn Public Library
7500 South University Blvd., 101
Littleton, CO" 13.6541587336253 -104.9590255 39.5801327
"Hadley Branch
1890 South Grove Street
Denver, CO" 14.3284034387945 -105.0258716 39.6826197
"Littleton-Bemis Public Library
6014 S. Datura St.
Littleton, CO" 14.6436269871697 -105.0038795 39.6078883
"Westwood Branch
1000 South Lowell Boulevard
Denver, CO" 14.6787400121354 -105.033683 39.698517
"Ross-Barnum Branch
3570 West 1st Avenue
Denver, CO" 14.7590054861021 -105.0345571 39.7179274
"Woodbury Branch
3265 Federal Boulevard
Denver, CO" 14.8509234705452 -105.0257471 39.7631346
"Sheridan Library
3201 West Oxford Avenue
Sheridan, CO" 15.0130253714574 -105.0294875 39.6440953
"Perl Mack Branch Library
7611 Hilltop Circle
Denver, CO" 15.919260229574 -105.0029351 39.8348159
"Thornton Branch Library
8992 North Washington
Thornton, CO" 15.9328474820564 -104.9773452 39.8594436
"Bear Valley Branch
5171 West Dartmouth Avenue
Denver, CO" 15.9479298145331 -105.0514531 39.6564899
"Smiley Branch
4501 West 46th Avenue
Denver, CO" 16.3713283841085 -105.048587 39.780393
"Wheat Ridge Library
5475 West 32nd Avenue
Wheat Ridge, CO" 16.445928160551 -105.0571922 39.7621836
"Edgewater Library
5843 West 25th Avenue
Edgewater, CO" 16.5040437262145 -105.0610858 39.7531688
"Highlands Ranch Library
9292 Ridgeline Blvd
Highlands Ranch, CO" 16.6459397076655 -104.9960252 39.5467303
"76th Avenue Branch
3031 West 76th Avenue
Westminster, CO" 16.9572454772907 -105.0266063 39.8346187
"Belmar Library
