"location" "miles" "latitude" "longitude"
"Thomas - Hazel Cross Library
115 W Broadway
Thomas, OK" 1.54305631581966 -98.748416 35.744242
"Union Library Company Of Hatborough
243 South York Rd
Hatboro, PA" 3.70830509695789 -75.1072346 40.1733752
"Tahlequah Public Library
120 South College
Tahlequah, OK" 3.82622019545247 -94.9731984 35.9132147
"Mt. Angel Public Library
290 E Charles St
Mount Angel, OR" 4.63254717687396 -122.797794 45.0680644
"Chartiers-Houston Com Library
730 West Grant St
Houston, PA" 5.45780507760072 -80.2148791 40.2420318
"Tri Valley Free Public Library
633 East Main St
Hegins, PA" 5.66111802715984 -76.4995307 40.6512329
"Grove Family Library
101 Ragged Edge Rd South
Chambersburg, PA" 6.88299724048938 -77.5927888 39.918467
"J. Lewis Crozer Library
620 Engle St
Chester, PA" 6.88299724048938 -75.3876369 39.837908
"Hawley Library
103 Main St
Hawley, PA" 7.0936451043209 -75.183695 41.477984
"William H. Marion C. Alexander Family Library
200 West Second Street
Hummelstown, PA" 7.14276501827248 -76.7124623 40.2664023
"Hellertown Area Library
409 Constitution Ave
Hellertown, PA" 7.37799254382006 -75.3313427 40.5773828
"Penn Area Library
2001 Municipal Court
Harrison City, PA" 8.33171283400264 -79.651058 40.357427
"Dora Public Library
56125 Goldbrick Rd
Myrtle Point, OR" 9.11238602355166 -123.9555117 43.154538
"Newberg Public Library
503 E Hancock St
Newberg, OR" 9.17947419639026 -122.9747297 45.3015465
"Somerset County Library - Conemaugh Township Branch
120 Whistler Street
Hollsopple, PA" 9.41452198753483 -78.9285274 40.2083458
"Hershey Public Library
701 Cocoa Ave.
Hershey, PA" 10.624441230119 -76.6468451 40.2764969
"Honey Brook Community Library
687 Compass Road
Honey Brook, PA" 10.7728476485898 -75.916758 40.088192
"Huntingdon Valley Library
625 Red Lion Rd
Huntingdon Valley, PA" 12.5042591669134 -75.0612049 40.1249398
"Shawnee Public Library
101 N. Philadelphia
Shawnee, OK" 14.3337107536437 -96.9191279 35.3277111
"Blanchester Public Library
110 N. Broadway
