"location" "miles" "latitude" "longitude"
"Dorchester Road Regional Library
6325 Dorchester Road
North Charleston, SC" 1.45838623257523 -80.060016 32.874364
"Berkeley County Library - Hanahan Library
1274 Yeamans Hall Road
Hanahan, SC" 3.44768212033972 -80.0103594 32.9012342
"Cooper River Memorial Library
3503 Rivers Avenue
North Charleston, SC" 5.82284661561806 -79.9793826 32.8564834
"Berkeley County Library - Goose Creek Library
325 Old Moncks Corner Road
Goose Creek, SC" 8.85147156965541 -80.043499 33.020166
"Charleston County Main Library - John L. Dart Library
1067 King Street
Charleston, SC" 9.20849745558647 -79.9511252 32.8051409
"Berkeley County Library - Daniel Island
2301 Daniel Island Drive
Charleston, SC" 9.74126755201226 -79.9096206 32.8505269
"George H. Seago, Jr. Library, Summerville
76 Old Trolley Road
Summerville, SC" 9.75075272238458 -80.1827767 32.9977933
"Berkeley County Library - Sangaree Library
595 Sangaree Parkway
Summerville, SC" 9.90198767265135 -80.1214553 33.0302597
"Charleston County Main Library
68 Calhoun Street
Charleston, SC" 10.8403646023417 -79.931129 32.7885564
"Charleston County Main Library - Johns Island Regional Library
3531 Maybank Highway
Johns Island, SC" 11.8718557009165 -80.0771934 32.7225307
"Charleston County Main Library - James Island Branch Library
1248 Camp Road
Charleston, SC" 13.4154612443608 -79.9494893 32.728166
"Charleston County Main Library - Edgar Allen Poe-Sullivans Island Branch Library
1921 Ion Avenue
Sullivans Island, SC" 16.1955240121392 -79.840985 32.75958
"Charleston County Main Library - Folly Beach Library
55 Center Street
Folly Beach, SC" 17.9373834178772 -79.9423499 32.6576188
"Berkeley County Library System
100 Library St.
Moncks Corner, SC" 21.0906837050571 -80.0089447 33.1947187
"Berkeley County Library
1003 Hwy. 52
Moncks Corner, SC" 23.2422493538364 -79.9688275 33.2193417
"Charleston County Main Library - Edisto Branch Library
1589 Hwy 174
Edisto, SC" 25.7050349968832 -80.28395 32.569332
"Edisto Beach Library
71 Station Court
Edisto Island, SC" 29.058725052047 -80.2985433 32.520929
"Colleton County Library System
600 Hampton Street
Walterboro, SC" 34.1617539685317 -80.6572098 32.9011174
"Dorchester County Library System
506 N. Parler Avenue
St. George, SC" 35.5554083577973 -80.5713363 33.1888868
"Jennie Johnston Mcmahan Library, St.George
506 North Parler Avenue
St. George, SC" 35.5554083577973 -80.5713363 33.1888868
"Orangeburg County Library - Holly Hill
8441 Old State Road
Holly Hill, SC" 35.8966459797635 -80.41516 33.32445
"Berkeley County Library - St. Stephen Library
1104 South Main Street
St. Stephen, SC" 35.9788959663507 -79.923989 33.399759
"Charleston County Main Library - Mcclellanville Branch Library
222 Baker Street
Mcclellanville, SC" 37.6751058555046 -79.462562 33.088533
"Beaufort County Library - St. Helena Branch Library
1025 Sea Island Parkway
St. Helena Island, SC" 44.612986170716 -80.5636888 32.401551
"Beaufort County Library - Lobeco Public Library
1862 Trask Parkway (Highway 21)
Lobeco, SC" 45.7986907968474 -80.7434394 32.5526863
"Orangeburg County Library - Santee Branch Library
119 Dazzy Circle
Santee, SC" 46.8031824422458 -80.484392 33.474534
"Beaufort County Library
311 Scott Street
Beaufort, SC" 47.3971612189987 -80.6703411 32.4321848
"Williamsburg County Library - Dr C. E. Murray Branch
72 C. E. Murray Blvd.
Greeleyville, SC" 47.7729024143353 -79.9920313 33.5816321
"Georgetown County Library - Andrews Branch Library
105 North Morgan Avenue
Andrews, SC" 48.5776110331407 -79.5606007 33.452608
"Orangeburg County Library - Mentor Branch Library
2621 Cleveland Street
Elloree, SC" 50.5357056019779 -80.6077441 33.4689068
"Williamsburg County Library - Kingstree
215 North Jackson Street
Kingstree, SC" 55.0597987267539 -79.8323687 33.6649948
"Georgetown County Library
405 Cleland Street
Georgetown, SC" 56.2630326720216 -79.2849753 33.3740429
"Clarendon County Library System
215 N. Brooks St.
Manning, SC" 56.3058363585381 -80.2105378 33.6993713
"Beaufort County Library - Hilton Head Island
11 Beach City Road
Hilton Head Island, SC" 59.9469767546466 -80.7133658 32.2186286
"Jasper County Library
451a Wilson Street
Ridgeland, SC" 60.102955862318 -80.9777657 32.4815973
"Hampton County Library
12 Locust Street
Hampton, SC" 60.5489341986742 -81.110784 32.8645123
"Orangeburg County Library Commission
510 Louis St
Orangeburg, SC" 61.9569687396212 -80.8621336 33.4955591
"Bamberg County Public Library
3156 Railroad Avenue
Bamberg, SC" 62.4259137057385 -81.0328952 33.2971177
"Beaufort County Library - Bluffton Branch Library
120 Palmetto Way
Bluffton, SC" 64.4032223621541 -80.857213 32.241563
"Georgetown County Library - Carvers Bay
13048 Choppee Road
Hemingway, SC" 65.5902237572955 -79.329005 33.612391
"Georgetown County Library - Waccamaw Branch Library
24 Commerce Drive
Pawleys Island, SC" 66.9272444349476 -79.122336 33.449105
"Calhoun County Library
900 F.R. Huff Drive
St. Matthews, SC" 67.1952675360849 -80.7782757 33.6635197
"Hampton County Library - Estill Branch Library
276 West Third Street
Estill, SC" 68.5620643874715 -81.2367235 32.7538395
"Bamberg County Public Library - Denmark Branch Library
19 Maple Avenue
Denmark, SC" 68.5648824367561 -81.1410002 33.31384
"Williamsburg County Library - Hemingway
306 North Main Street
Hemingway, SC" 69.63519312199 -79.4470824 33.7561624
"Lake City Public Library
220 E. Main Street
Lake City, SC" 70.0375898314537 -79.7518847 33.8712561
"Sumter County Public Library - South Sumter Branch
337 Manning Avenue
Sumter, SC" 71.9719657978153 -80.3407337 33.9094664
"Allendale County Library
158 Mcnair Street
Allendale, SC" 72.2537596937971 -81.3058622 33.012567
"Hardeeville Community Library
37 Main Street
Hardeeville, SC" 72.3634374580244 -81.0791031 32.2855686
"John M. Thomason Public Library (Olanta)
210 East Hampton Street
Olanta, SC" 72.706963533444 -79.9298189 33.9386559
"Sumter County Public Library System
111 N. Harvin Street
Sumter, SC" 72.8180464609077 -80.3390298 33.9223118
"Johnsonville Public Library
252 South Georgetown Highway
Johnsonville, SC" 73.2868289559193 -79.4419403 33.8149234
"Sumter County Public Library - Wesmark Branch
180 W. Wesmark Boulevard
Sumter, SC" 75.3047973418542 -80.3844644 33.9503611
"Tybee
403 Butler Avenue
Tybee Island, GA" 76.1022581109421 -80.8430941 32.0086952
"Barnwell County Public Library - Blackville Branch Library
19420 Sol Blatt Avenue
Blackville, SC" 76.7046773383255 -81.2705864 33.3600537
"Richland County Public Library - Eastover Branch Library
608 Main Street
Eastover, SC" 76.9900638002612 -80.694785 33.876793
"Orangeburg County Library - North Branch Library
9316 North Road
North, SC" 77.9510689919707 -81.1041717 33.6156186
"Barnwell County Public Library
40 Burr Street
Barnwell, SC" 78.841986826265 -81.3637954 33.2431932
"Horry County Memorial Library - Bucksport Library
7657 Highway 701 South
Conway, SC" 78.8532258696708 -79.1066987 33.7017522
"South Effingham
17th Street Highway 21
Rincon, GA" 79.6787197865773 -81.2346467 32.2919304
"Horry County Memorial Library - Surfside
410 Surfside Drive
Surfside Beach, SC" 80.28259734761 -78.9747877 33.6078394
"Orangeburg County Library - Springfield Branch Library
210 Brodie Street
Springfield, SC" 81.1806227087195 -81.2741751 33.4943424
"Islands Branch
125 Wilmington Island Road
