"location" "miles" "latitude" "longitude"
"Kern County Library - California City
9507 California City Boulevard
California City, CA" 14.511793758846 -117.9583813 35.1264802
"Kern County Library - Boron
26967 Twenty Mule Team Road
Boron, CA" 14.6186821804906 -117.6504183 34.999667
"Kern County Library - Wanda Kirk (Rosamond)
3611 Rosamond Blvd.
Rosamond, CA" 17.74363564548 -118.1953528 34.864316
"Kern County Library - Mojave
16916 1-2 Highway 14, Space D2
Mojave, CA" 18.967987940544 -118.1766321 35.0672803
"Lancaster Library
601 W. Lancaster Blvd
Lancaster, CA" 21.0555513546374 -118.1402379 34.6985374
"Lake Los Angeles Library
16921 East Ave. O A
Palmdale, CA" 21.5432658236699 -117.8278421 34.6169731
"Quartz Hill Library
42018 N. 50th St. W.
Quartz Hill, CA" 26.7294382183142 -118.2181939 34.6461921
"Youth Library
38510 N. Sierra Hwy
Palmdale, CA" 26.9148588469713 -118.1164922 34.5817849
"Palmdale City Library
700 E. Palmdale Blvd.
Palmdale, CA" 27.0624952129749 -118.1162193 34.5792416
"Littlerock Library
35119 80th Street East
Littlerock, CA" 28.5010307928496 -117.9887362 34.5198809
"Kern County Library - Tehachapi
1001 West Tehachapi Boulevard, Suite A-400
Tehachapi, CA" 35.5762853911187 -118.465531 35.1322
"Adelanto Branch Library
11497 Bartlett
Adelanto, CA" 36.1368005162311 -117.4144837 34.5783596
"Wrightwood Branch Library
6014 Park Dr.
Wrightwood, CA" 41.6738171297211 -117.6341569 34.359914
"Victorville City Library
15011 Circle Drive
Victorville, CA" 43.4178040479106 -117.3035749 34.5231607
"Apple Valley Branch Library
15001 Wakita Rd
Apple Valley, CA" 47.4726758299479 -117.212918 34.5237866
"Hesperia Branch Library
9565 Seventh Ave.
Hesperia, CA" 47.6381317748801 -117.315143 34.424196
"Canyon Country Jo Anne Darcy Library
18601 Soledad Canyon Road
Santa Clarita, CA" 47.7180271037531 -118.4589429 34.4162405
"Barstow Branch Library
304 E. Buena Vista
Barstow, CA" 49.1258350745758 -117.0258922 34.8953414
"Kern County Library - Ridgecrest
131 East Las Flores Avenue
Ridgecrest, CA" 50.3609422708185 -117.6686449 35.6290349
"Valencia Library
23743 West Valencia Blvd.
Santa Clarita, CA" 51.429452501113 -118.5507682 34.4155776
"Sunland-Tujunga Branch
7771 Foothill Blvd.
Tujunga, CA" 51.633596283274 -118.3013168 34.258305
"La Crescenta Library
4521 La Crescenta Ave.
La Crescenta, CA" 52.2845046501089 -118.240216 34.224941
"Newhall Library
22704 West Ninth St.
Santa Clarita, CA" 52.3617366006863 -118.530598 34.379651
"Altadena Library District
600 E. Mariposa St.
Altadena, CA" 52.727844881576 -118.1372135 34.1891916
"La Canada Flintridge Library
4545 North Oakwood Ave.
La Canada Flintridge, CA" 52.7847101600799 -118.1940125 34.2028437
"Sylmar Express
14430 Polk St.
