"location" "miles" "latitude" "longitude"
"Airway Heights Library
1213 S. Lundstrom
Airway Heights, WA" 2.99733322249539 -117.5926528 47.6444723
"Medical Lake Library
321 E. Herb
Medical Lake, WA" 3.67110061793086 -117.6796618 47.5710033
"Cheney Library
610 First Street
Cheney, WA" 9.53907784394058 -117.5743989 47.4885736
"Spokane Public Library
906 W. Main Ave.
Spokane, WA" 10.5665007018323 -117.42554 47.6594332
"Shadle Branch Library
2111 W. Wellesley
Spokane, WA" 10.9732740945939 -117.442278 47.700308
"Indian Trail Branch Library
4909 W. Barnes Road
Spokane, WA" 11.3057390371996 -117.4826107 47.7404391
"Reardan Memorial Library
120 S Oak
Reardan, WA" 11.6354571422842 -117.8818269 47.6691334
"South Hill Branch Library
3324 S. Perry
Spokane, WA" 11.8154582132241 -117.3905983 47.62431
"East Side Branch Library
524 S. Stone
Spokane, WA" 12.6433316216386 -117.376977 47.650913
"Moran Prairie Library
3022 E. 57th, Suite 19
Spokane, WA" 13.0111605084077 -117.3659085 47.6019241
"Hillyard Branch Library
4005 N. Cook
Spokane, WA" 13.6337889119618 -117.3741318 47.6946806
"North Spokane Library
44 E. Hawthorne Road
Spokane, WA" 14.269155346725 -117.409031 47.7507792
"Lakeside Community Library
6176 Hwy 291
Nine Mile Falls, WA" 14.9352451029326 -117.6019347 47.8323239
"Argonne Library
4322 N. Argonne Road
Spokane, WA" 17.7077739178968 -117.2819421 47.6964113
"Spokane County Library District
4322 N Argonne Rd
Spokane, WA" 17.7077739178968 -117.2819421 47.6964113
"Valley Library
12004 E. Main Avenue
Spokane Valley, WA" 18.8708930223009 -117.2434249 47.658564
"Davenport Public Library
505 7th St
Davenport, WA" 23.7530292473953 -118.150754 47.653537
"Deer Park Library
208 S. Forest
Deer Park, WA" 24.6094297190181 -117.4608787 47.9521093
"Liberty Lake Municipal Library
1421 N. Meadowwood Ln, Suite 130
Liberty Lake, WA" 25.4686374352657 -117.1030088 47.6710503
"Otis Orchards Library
22324 E. Wellesley Avenue
Otis Orchards, WA" 25.6957169435679 -117.10583 47.699926
"Sprague Public Library
119 West Second
Sprague, WA" 27.0064046699437 -117.976962 47.299356
"Fairfield Library
305 E. Main
Fairfield, WA" 27.3866363208709 -117.1700137 47.3852897
"Rosalia Branch Library
106 W. 5th
Rosalia, WA" 29.3652471622983 -117.3706754 47.2360861
"Harrington Public Library
po box 496
Harrington, WA" 30.0462531384198 -118.2544187 47.4809872
"Library Of The Lakes
4008 Cedar St.
Loon Lake, WA" 30.7506079158751 -117.633422 48.062752
"Community Library Network - Post Falls
821 N Spokane
Post Falls, ID" 33.0723979903524 -116.9490237 47.7164352
"St. John Branch Library
19 East Front Street
St. John, WA" 36.5298341977694 -117.582023 47.0918355
"Tekoa Branch Library
120 E. Main
Tekoa, WA" 38.2550589959501 -117.0734631 47.2221563
"Plummer Public
800 D St
Plummer, ID" 40.5395669036365 -116.8854652 47.3341565
"Coeur Dalene Public
702 E Front Ave
Coeur Dalene, ID" 40.5834647921508 -116.7767103 47.6721829
"Community Library Network - Rathdrum
16780 W Hwy 41
Rathdrum, ID" 40.8318379372765 -116.8522531 47.8734222
"Community Library Network - Hayden
8385 N. Government Way
Hayden, ID" 40.8734818604857 -116.7875599 47.7479346
"Kootenai-Shoshone District
8385 N Government Wy
Hayden, ID" 40.8734818604857 -116.7875599 47.7479346
"Community Library Network - Harrison
111 Coeur Dalene Avenue
Harrison, ID" 41.6565082416135 -116.785845 47.453626
"Community Library Network - Spirit Lake
32575 N. 5th Ave
Spirit Lake, ID" 43.0611180122462 -116.8685908 47.9591662
"Hunters Public Library
6209 Columbia River Rd.
Hunters, WA" 43.1069464681761 -118.2032025 48.1158011
"Chewelah Public Library
307 East Clay Ave
Chewelah, WA" 45.701286560466 -117.7140253 48.2772669
"Endicott Branch Library
324 E Street
Endicott, WA" 47.7760756799716 -117.685654 46.9281735
"Newport Public Library
116 S Washington Avenue
Newport, WA" 47.837039949669 -117.0439936 48.1808592
"Pend Oreille County Library District
116 S. Washington Avenue
Newport, WA" 47.837039949669 -117.0439936 48.1808592
"Garfield Branch Library
113 N 3rd
Garfield, WA" 48.3628510997402 -117.1410436 47.0078467
"Ritzville Public Library
302 W Main
Ritzville, WA" 48.5071395193861 -118.3816235 47.1262198
"Community Library Network - Athol
330399 3rd Street
Athol, ID" 49.1212885141461 -116.7067618 47.9465678
"Wilbur (Hesseltine) Public Library
14 Nw Division
Wilbur, WA" 50.3416638314702 -118.704655 47.7586988
"Benewah District
4345 Fox Rd
Tensed, ID" 50.4912038704668 -116.812142 47.153829
"Calispel Valley Library
107 1st Ave
Cusick, WA" 52.211459432903 -117.294775 48.3359716
"Colfax Library
102 S. Main
Colfax, WA" 52.6736753900692 -117.3650619 46.880679
"Whitman County Library
102 S. Main Street
Colfax, WA" 52.6736753900692 -117.3650619 46.880679
