"location" "miles" "latitude" "longitude"
"Bedford Free Public Library
7 Mudge Way
Bedford, MA" 2.43466518183028 -71.2836691 42.4920486
"Cary Memorial Library
1874 Massachusetts Avenue
Lexington, MA" 2.48152081524549 -71.2296291 42.4482039
"Concord Free Public Library
129 Main Street
Concord, MA" 3.9127497136325 -71.3533088 42.4591873
"East Lexington Branch Library
735 Massachusetts Avenue
Lexington, MA" 4.05217135429064 -71.206776 42.429479
"Burlington Public Library
22 Sears Street
Burlington, MA" 5.46927019435307 -71.1922734 42.5059752
"Waltham Public Library
735 Main St.
Waltham, MA" 5.88796675131269 -71.2395325 42.3766522
"Loring N. Fowler Library
1322 Main Street
Concord, MA" 6.06205342887951 -71.3954283 42.4550273
"Gleason Public Library
22 Bedford Road
Carlisle, MA" 6.14878816437151 -71.348117 42.528835
"Woburn Public Library
45 Pleasant St.
Woburn, MA" 6.41302879466361 -71.1545715 42.4791654
"Waverly Branch Library
445 Trapelo Road
Belmont, MA" 6.65939204259813 -71.1876153 42.3869108
"Weston Public Library
87 School Street
Weston, MA" 6.69436425080362 -71.2937588 42.3612789
"Robbins Library
700 Massachusetts Avenue
Arlington, MA" 6.84175902342829 -71.1550859 42.4156522
"Belmont Public Library
336 Concord Ave.
Belmont, MA" 6.86641448133032 -71.172377 42.3945806
"Billerica Public Library
15 Concord Rd.
Billerica, MA" 7.0071708361919 -71.2699783 42.558409
"North Branch Library
265 Orchard Street
Watertown, MA" 7.15129853048439 -71.1879143 42.3772746
"Winchester Public Library
80 Washington St.
Winchester, MA" 7.28314825616819 -71.1341416 42.4522437
"Benton Branch Library
75 Oakley Road
Belmont, MA" 7.62101433236524 -71.169686 42.380429
"Wayland Free Public Library
5 Concord Rd.
Wayland, MA" 7.6865968550549 -71.3608843 42.3651267
"Nonantum Branch Library
144 Bridge Street
Newton, MA" 7.68906270826538 -71.2018675 42.3607731
"Watertown Free Public Library
123 Main St.
Watertown, MA" 7.71342335478679 -71.1869661 42.3675294
"Edith M. Fox Library
175 Massachusetts Avenue
Arlington, MA" 7.76458326106104 -71.1415957 42.4056745
"Auburndale Branch Library
375 Auburn Street
Auburndale, MA" 7.78761016508376 -71.2494664 42.3464586
"Acton Memorial Library
486 Main St.
Acton, MA" 8.2496192284428 -71.4333826 42.4866239
"East Branch Library
481 Mt. Auburn Street
Watertown, MA" 8.31818134035128 -71.163727 42.3705969
"Newton Corner Branch Library
126 Vernon Street
Newton Corner, MA" 8.4695580014225 -71.1853999 42.3550144
"Cambridge Public Library - Collins
64 Aberdeen Avenue
Cambridge, MA" 8.64781325101507 -71.1469152 42.3769136
"Medford Public Library
111 High St.
Medford, MA" 8.72387999600977 -71.1135305 42.4197198
"Cambridge Public Library - Oneill
70 Rindge Avenue
Cambridge, MA" 8.83058773431785 -71.1280895 42.391922
"West Branch Library
40 College Avenue
Somerville, MA" 8.90526609478818 -71.121735 42.398135
"Cambridge Public Library - Boudreau
245 Concord Avenue
Cambridge, MA" 8.95796557392756 -71.1325784 42.3833852
"Wilmington Memorial Library
175 Middlesex Ave.
Wilmington, MA" 9.00891412596622 -71.163998 42.557534
"Maynard Public Library
77 Nason St.
Maynard, MA" 9.09043586713643 -71.452012 42.434173
"Stoneham Public Library
431 Main St.
Stoneham, MA" 9.09402026542528 -71.1006799 42.4779014
"Newton Free Library
330 Homer Street
Newton Centre, MA" 9.10125179332593 -71.2078584 42.3358737
"Faneuil Branch Library
419 Faneuil Street
Brighton, MA" 9.19328835425727 -71.1678814 42.3513618
"Waban Branch Library
1606 Beacon Street
Waban, MA" 9.30036142351558 -71.2296614 42.3273437
"Goodnow Public Library
21 Concord Road
Sudbury, MA" 9.66859459713058 -71.4168741 42.3632998
"Reading Public Library
64 Middlesex Ave.
Reading, MA" 9.73394374574479 -71.1102778 42.5261161
"Hills Branch Library
210 Washington Street
Wellesley, MA" 9.86143192851205 -71.2709669 42.3147324
"Brighton Branch Library
40 Academy Hill Road
Brighton, MA" 9.88047910213438 -71.1527074 42.34759
"W. Acton Citizens Library
21 Windsor Ave.
Acton, MA" 10.1257346523395 -71.4736029 42.475311
"Honan-Allston Branch
300 North Harvard St.
Allston, MA" 10.1394566308271 -71.1279858 42.3601156
"Cambridge Public Library
449 Broadway
Cambridge, MA" 10.2284719306701 -71.1115872 42.3735163
"Chelmsford Public Library
25 Boston Rd.
Chelmsford, MA" 10.2375045219913 -71.3516266 42.5945374
"Somerville Public Library
79 Highland Avenue
Somerville, MA" 10.538791354905 -71.0943955 42.385793
"Tewksbury Public Library
300 Chandler Street
Tewksbury, MA" 10.6674669844591 -71.2252335 42.6067111
"Fells Branch Library
308 Weston Road
Wellesley, MA" 10.7148242769131 -71.3123877 42.3045944
"Melrose Public Library
69 West Emerson St.
Melrose, MA" 10.7390231095489 -71.0662697 42.4589528
"Cambridge Public Library - Central Square
45 Pearl Street
Cambridge, MA" 10.931322300038 -71.103689 42.3641806
"East Branch Library
115 Broadway
Somerville, MA" 10.9638059832258 -71.0835845 42.3879313
"Malden Public Library
36 Salem St.
Malden, MA" 10.9760035480325 -71.065487 42.4274552
"Mcauliffe Branch Library
10 Nicholas Road
Framingham, MA" 11.1256391786528 -71.4035311 42.3264937
"Wellesley Free Library
530 Washington St.
Wellesley, MA" 11.1335768124707 -71.2905849 42.296607
"Cambridge Public Library - Valente
826 Cambridge Street
Cambridge, MA" 11.1924049857275 -71.0903137 42.3720978
"Coolidge Corner Branch Library
31 Pleasant Street
Brookline, MA" 11.250364127622 -71.1191813 42.3435468
"Cambridge Public Library - Oconnell
48 Sixth Street
Cambridge, MA" 11.4907916413956 -71.0848331 42.3704451
"Brookline Public Library
361 Washington St.
Brookline, MA" 11.6144545227503 -71.1213453 42.3346292
"Sargent Memorial Library
427 Mass. Ave.
Boxborough, MA" 11.6829110691745 -71.5032352 42.4816979
"Randall Library
19 Crescent Street
Stow, MA" 11.7268395335464 -71.504808 42.4371242
"Parlin Memorial Library
410 Broadway
Everett, MA" 11.7720226923767 -71.0568033 42.4060122
"Needham Free Public Library
1139 Highland Ave.
Needham, MA" 11.918629672447 -71.2354833 42.2876401
"J. V. Fletcher Library
50 Main St.
Westford, MA" 11.9330488680632 -71.4385691 42.5818231
"Reuben Hoar Library
41 Shattuck St.
Littleton, MA" 11.9462518708712 -71.480618 42.5421931
"Shute Memorial Library
781 Broadway
Everett, MA" 12.0791573651199 -71.0465397 42.4166969
"Morse Institute Library
14 East Central Street
Natick, MA" 12.4596243476517 -71.3458215 42.2845031
"Putterham Branch Library
959 West Roxbury Parkway
Chestnut Hill, MA" 12.5053195647305 -71.1501187 42.3025015
"Parker Hill Branch Library
1497 Tremont Street
Roxbury, MA" 12.5235199539407 -71.099069 42.332446
"Boston Public Library
700 Boylston Street
Boston, MA" 12.56012530037 -71.0788285 42.3494163
"West End Branch Library
151 Cambridge Street
Boston, MA" 12.6772156334953 -71.0650056 42.3615252
"Connolly Branch Library
433 Centre Street
Jamaica Plain, MA" 12.6821466312952 -71.11109 42.3206503
"Linden Branch Library
141 Oliver Street
Malden, MA" 12.7349876741728 -71.0295257 42.4321501
