"location" "miles" "latitude" "longitude"
"Wiseburn Library
5335 West 135th St.
Hawthorne, CA" 0.773982740719077 -118.373534 33.9097953
"Middle School Branch Library
332 Center Street
El Segundo, CA" 1.35705197218132 -118.4047468 33.9201933
"Center Street School Branch Library
700 Center St.
El Segundo, CA" 1.40898312031602 -118.4047072 33.9247466
"Hawthorne Library
12700 South Grevillea Ave.
Hawthorne, CA" 1.8383612634863 -118.3548267 33.9341738
"High School Branch Library
640 Main St.
El Segundo, CA" 2.0201944865205 -118.4157343 33.9244336
"El Segundo Public Library
111 W. Mariposa Ave.
El Segundo, CA" 2.07354642939963 -118.4167776 33.9239692
"Lawndale Library
14615 Burin Ave.
Lawndale, CA" 2.0989480753589 -118.354338 33.8983981
"Richmond Street Elementary School Library
615 Richmond St.
El Segundo, CA" 2.12265631954834 -118.4175801 33.9242879
"Lennox Library
4359 Lennox Blvd
Lennox, CA" 2.13416754186564 -118.352267 33.9384636
"Manhattan Beach Library
1320 Highland Ave.
Manhattan Beach, CA" 2.7856916676239 -118.4103574 33.8868743
"North Branch Library
2000 Artesia Blvd.
Redondo Beach, CA" 3.22700076326029 -118.3766521 33.8725285
"Crenshaw-Imperial Library
11141 Crenshaw Blvd
Inglewood, CA" 3.28013930247403 -118.3267888 33.9336656
"Inglewood Public Library
101 W. Manchester Blvd.
Inglewood, CA" 3.3438379880191 -118.3554973 33.9624344
"Masao W. Satow Library
14433 South Crenshaw Blvd.
Gardena, CA" 3.37898514499702 -118.3269414 33.899994
"Westchester -Loyola Village Branch
7114 W. Manchester Av.
Los Angeles, CA" 3.48778938609636 -118.4172375 33.9595981
"Hermosa Beach Library
550 Pier Ave.
Hermosa Beach, CA" 3.88000357323305 -118.3955733 33.8642322
"Morningside Park Library
3202 W. 85th St.
Inglewood, CA" 4.19976759507519 -118.3279372 33.9607127
"North Torrance Branch Library
3604 W. Artesia Blvd.
Torrance, CA" 4.48712698993493 -118.3263656 33.8727678
"Woodcrest Library
1340 West 106th St.
Los Angeles, CA" 4.87757840974452 -118.2999415 33.9398186
"Gardena Mayme Dear Library
1731 West Gardena Blvd.
Gardena, CA" 4.93269640614757 -118.3075694 33.8822132
"Redondo Beach Public Library
303 N. Pacific Coast Hwy
Redondo Beach, CA" 5.06747805510015 -118.3881625 33.8460042
"Hyde Park Branch
6527 Crenshaw Blvd.
Los Angeles, CA" 5.07865845976792 -118.3314875 33.9798037
"View Park Library
3854 West 54th St.
Los Angeles, CA" 5.15315465591101 -118.369642 33.9929125
"Henderson Branch Library
4805 Emerald St.
Torrance, CA" 5.441447159655 -118.3646916 33.8415614
"Lloyd Taber-Marina Del Rey Library
4533 Admiralty Way
Marina Del Rey, CA" 5.66795359996928 -118.4431225 33.982834
"Mark Twain Branch
