"location" "miles" "latitude" "longitude"
"Esther Dewitt Nixon Branch Library
308 West Main St
Jacksonville, AR" 2.70840389039913 -92.112646 34.867392
"Amy Sanders Branch Library
31 Shelby Drive
Sherwood, AR" 5.57242551954792 -92.2069353 34.8341183
"Arlene Cherry Memorial Library
506 North Grant Street
Cabot, AR" 9.24902200392728 -92.0126911 34.9749557
"William F. Laman Public Library
2801 Orange Street
North Little Rock, AR" 10.7312992956638 -92.2700361 34.7803009
"Central Arkansas Library System
100 Rock Street
Little Rock, AR" 12.4628050100309 -92.2671702 34.7469155
"Aerospace Library
3301 East Roosevelt Road
Little Rock, AR" 13.3372171743391 -92.2397362 34.7201059
"Sue Cowan Williams Library
1800 Chester Avenue
Little Rock, AR" 13.8165462914744 -92.2843719 34.7328807
"Ward Public Library
100 Owen Street
Ward, AR" 14.3759860961559 -91.9493665 35.028964
"John Gould Fletcher Branch Library
823 North Buchanan
Little Rock, AR" 14.5282406555068 -92.3383049 34.7591178
"Neighborhood Resource Center
3805 West 12th
Little Rock, AR" 14.5600070168023 -92.3162211 34.7399769
"Maumelle Public Library
10 Lakepoint Drive
Maumelle, AR" 14.8642336126205 -92.4035037 34.8633354
"Lonoke-Prairie County Regional Library
204 East 2nd Street
Lonoke, AR" 15.9355298494705 -91.8988389 34.7852506
"Mayflower Public Library
6 Ashmore Drive
Mayflower, AR" 16.4704582417037 -92.4245407 34.9600412
"Adolphine F. Terry Branch Library
2015 Napa Valley Drive
Little Rock, AR" 17.3916929858641 -92.4104949 34.771471
"Beebe Public Library
115 West Illinois Street
Beebe, AR" 19.2251074109824 -91.8807578 35.0710097
"Dee Brown Branch Library
6325 Baseline
Little Rock, AR" 19.612768955067 -92.3502191 34.6686133
"Faulkner-Van Buren Regional Library System
1900 Tyler Street
Conway, AR" 22.4675397509827 -92.450154 35.103495
"Carlisle Public Library
105 East 5th Street
Carlisle, AR" 23.7959687721896 -91.7474538 34.7866432
"Greenbrier Public Library
13 Wilson Farm Road
Greenbriar, AR" 26.4005159774071 -92.3868184 35.2225723
"William F. Foster Library
100 East Taylor St.
England, AR" 26.618433544377 -91.9672482 34.5403152
"Bryant Public Library
201 Prickett Road
Bryant, AR" 28.129749543288 -92.4954091 34.6094768
"Redfield Public Library
310 Brodie Street
Redfield, AR" 31.1133539852696 -92.184686 34.44783
"Saline County Library
1800 Smithers Drive
Benton, AR" 32.6009708180045 -92.5706499 34.5808345
"White County Regional Library System
113 East Pleasure Avenue
Searcy, AR" 33.5299876920142 -91.7365766 35.2476929
"Twin Groves Branch Library
10 Twin Groves
Twin Groves, AR" 33.5904030607457 -92.433761 35.320538
"Des Arc Public Library
408 Curran Street
Des Arc, AR" 37.1552848312522 -91.4965204 34.9749448
"Milam Library
609 Aplin Avenue
Perryville, AR" 38.2120816689292 -92.805467 35.0051391
"Conway County Library
101 West Church Street
Morrilton, AR" 38.3244886659793 -92.745475 35.151164
"Baldwin Memorial Library
612 Van Buren
Judsonia, AR" 38.6519831920858 -91.6395366 35.2723848
"Devalls Bluff Branch Library
173 Market Street
Devalls Bluff, AR" 39.6844118495068 -91.4591106 34.7845369
"Pangburn Public Library
242 Main Street
