"location" "miles" "latitude" "longitude"
"Parkland-Spanaway Library
13718 Pacific Avenue South
Tacoma, WA" 2.34249142648875 -122.436043 47.132215
"Lakewood Library
6300 Wildaire Road Sw
Lakewood, WA" 2.46609371989329 -122.5214186 47.1603566
"Tillicum Library
14916 Washington Avenue Sw
Lakewood, WA" 3.3066909826782 -122.554292 47.123784
"Fern Hill Branch Library
765 South 84th
Tacoma, WA" 3.84425675881982 -122.4428546 47.1815553
"Pierce County Library System
3005 112th Street East
Tacoma, WA" 4.87407536590967 -122.3869745 47.1555293
"South Tacoma Branch Library
3411 South 56th Street
Tacoma, WA" 4.99605415698149 -122.4820518 47.206425
"Steilacoom Library
2950 Steilacoom Boulevard Sw
Steilacoom, WA" 5.25883163277777 -122.5784724 47.1766993
"Moore Branch Library
215 South 56th Street
Tacoma, WA" 5.53523542596318 -122.43573 47.2066841
"Summit Library
5107 112th Street East
Tacoma, WA" 6.055825215725 -122.360652 47.1549017
"University Place Library
3605 Bridgeport Way West
University Place, WA" 6.79758012338307 -122.536961 47.2261362
"Swan Creek Branch Library
3828 Portland Avenue
Tacoma, WA" 7.07551001581581 -122.40823 47.221921
"Mottet Branch Library
3523 East G Street
Tacoma, WA" 7.19347796704425 -122.4218855 47.2287483
"Dr. Martin Luther King, Jr. Branch Library
1902 South Cedar
Tacoma, WA" 7.49350945016766 -122.476684 47.242398
"Tacoma Public Library
1102 Tacoma Ave S
Tacoma, WA" 8.38659853331751 -122.4447808 47.2522468
"Swasey Branch Library
7001 Sixth Avenue
Tacoma, WA" 8.66982725671213 -122.5304581 47.2558375
"South Hill Library
15420 Meridian East
Puyallup, WA" 9.10257331495583 -122.2941397 47.1162804
"Wheelock Branch Library
3722 North 26th
Tacoma, WA" 9.44350649578985 -122.4865267 47.2707616
"Roy City Library
122 3rd St. E
Roy, WA" 9.48669910120498 -122.5427266 47.0027083
"Puyallup Public Library
324 S Meridian
Puyallup, WA" 9.73748148045943 -122.2953643 47.1895802
"Graham Library
9202 224th Street East
Graham, WA" 10.1009790077167 -122.3077892 47.0527132
"Milton Library
1000 Laurel St.
Milton, WA" 11.0825169606462 -122.3216157 47.2492679
"Kobetich Branch Library
212 Browns Point Blvd. Ne
Tacoma, WA" 11.6146963811278 -122.3863938 47.2879937
"Peninsula Library
4424 Point Fosdick Drive Nw
Gig Harbor, WA" 12.2283566712533 -122.5799213 47.2990392
"Sumner Library
1116 Fryar Avenue
Sumner, WA" 12.3602014843986 -122.2441439 47.2046247
"Federal Way Library
34200 1st Way South
Federal Way, WA" 13.2422887113145 -122.3317517 47.2945815
"Orting Library
202 Washington Avenue
Orting, WA" 13.5855767690343 -122.202352 47.097054
"Algona-Pacific Library
255 Ellingson Road
Pacific, WA" 14.4684870393327 -122.2536461 47.2716701
"Yelm Timberland Library
210 Prairie Park St.
Yelm, WA" 14.5220580003703 -122.5995681 46.9391673
"Bonney Lake Library
18501 90th Street East
Bonney Lake, WA" 14.5670286619343 -122.1820908 47.1756248
"Federal Way 320th Library
848 S 320th Street
Federal Way, WA" 14.7389029874523 -122.3209108 47.3155456
"Auburn Public Library
1102 Auburn Way South
Auburn, WA" 16.957612055611 -122.2181037 47.2987199
"Lacey Timberland Library
500 College St. Se
Lacey, WA" 17.0487393740934 -122.8225006 47.0438573
"Woodmont Library
26809 Pacific Hwy S
Des Moines, WA" 17.7664879161311 -122.3082245 47.3610631
"Key Center Library
8905 Key Peninsula Hwy N
Lakebay, WA" 18.690279748759 -122.746551 47.3383133
"Muckleshoot Library
38811 172nd Avenue Se
Auburn, WA" 19.2744417385848 -122.1150181 47.2533346
"Olympia Timberland Library
313 8th Ave. Se
Olympia, WA" 20.4582065485563 -122.8980687 47.0412432
"Des Moines Library
21620 11th Avenue S
Des Moines, WA" 20.4891210130621 -122.3194722 47.4081187
"Kent Library
212 2nd Ave N
Kent, WA" 20.8468332664609 -122.2342107 47.3826063
"Eatonville Library
205 Center Street
Eatonville, WA" 21.2649972511253 -122.2647428 46.8663061
"Buckley Library
123 South River Avenue
Buckley, WA" 21.5691863378068 -122.0291665 47.1627243
"Vashon Library
17210 Vashon Highway Sw
Vashon Island, WA" 21.936357109956 -122.4594478 47.4508633
"Timberland Regional Library
415 Tumwater Blvd. Sw
Tumwater, WA" 22.3521259452845 -122.905048 46.9831998
"Tumwater Timberland Library
7023 New Market St.
Tumwater, WA" 22.6496166112975 -122.9134891 46.9849237
"Covington Library
27100 164th Avenue Se
Covington, WA" 23.1096640766048 -122.1217756 47.3591185
"Valley View Library
17850 Military Road S
Seatac, WA" 23.5738402279301 -122.2737336 47.443213
"Enumclaw Public Library
1700 First Street
Enumclaw, WA" 23.9106634919952 -121.9876129 47.2035657
"Burien Library
14700 6th Avenue Sw
Burien, WA" 24.2817917362398 -122.341376 47.4713459
"Library Connection At Southcenter
1386 Southcenter Mall
Tukwila, WA" 24.7928439382017 -122.2612147 47.4587069
"Black Diamond Library
24301 Roberts Drive
Black Diamond, WA" 25.0936846464615 -122.018885 47.310514
"Foster Library
4060 S 144th Street
Tukwila, WA" 25.4116983905133 -122.281536 47.4745118
"Tukwila Library
14475 59th Avenue S
Tukwila, WA" 25.6476123840142 -122.259537 47.471801
"Tenino Timberland Library
172 Central Ave. W.
Tenino, WA" 25.8129596053077 -122.8518454 46.8569403
"White Center Library
11220 16th Avenue Sw
Seattle, WA" 26.1695511711391 -122.354331 47.5019247
"Boulevard Park Library
12015 Roseberg Avenue S
Seattle, WA" 26.3303148936263 -122.3078428 47.4952747
"Maple Valley Library
21844 Se 248th Street
