"location" "miles" "latitude" "longitude"
"Bedford Free Public Library
7 Mudge Way
Bedford, MA" 0.32814960135249 -71.2836691 42.4920486
"Cary Memorial Library
1874 Massachusetts Avenue
Lexington, MA" 3.78575243461905 -71.2296291 42.4482039
"Concord Free Public Library
129 Main Street
Concord, MA" 4.1908543307948 -71.3533088 42.4591873
"Gleason Public Library
22 Bedford Road
Carlisle, MA" 4.4521508342962 -71.348117 42.528835
"Burlington Public Library
22 Sears Street
Burlington, MA" 4.69163545715892 -71.1922734 42.5059752
"Billerica Public Library
15 Concord Rd.
Billerica, MA" 4.91778299861015 -71.2699783 42.558409
"East Lexington Branch Library
735 Massachusetts Avenue
Lexington, MA" 5.52845564624984 -71.206776 42.429479
"Loring N. Fowler Library
1322 Main Street
Concord, MA" 6.26785657316217 -71.3954283 42.4550273
"Woburn Public Library
45 Pleasant St.
Woburn, MA" 6.47120379095776 -71.1545715 42.4791654
"Wilmington Memorial Library
175 Middlesex Ave.
Wilmington, MA" 7.66804686875796 -71.163998 42.557534
"Acton Memorial Library
486 Main St.
Acton, MA" 7.77928147949943 -71.4333826 42.4866239
"Winchester Public Library
80 Washington St.
Winchester, MA" 7.88057010457476 -71.1341416 42.4522437
"Waltham Public Library
735 Main St.
Waltham, MA" 7.97118648472489 -71.2395325 42.3766522
"Robbins Library
700 Massachusetts Avenue
Arlington, MA" 8.13103700230249 -71.1550859 42.4156522
"Chelmsford Public Library
25 Boston Rd.
Chelmsford, MA" 8.21840289543749 -71.3516266 42.5945374
"Waverly Branch Library
445 Trapelo Road
Belmont, MA" 8.44685628862593 -71.1876153 42.3869108
"Belmont Public Library
336 Concord Ave.
Belmont, MA" 8.49926845934836 -71.172377 42.3945806
"Tewksbury Public Library
300 Chandler Street
Tewksbury, MA" 8.7025748386463 -71.2252335 42.6067111
"Weston Public Library
87 School Street
Weston, MA" 8.77455941542759 -71.2937588 42.3612789
"North Branch Library
265 Orchard Street
Watertown, MA" 8.99739585932472 -71.1879143 42.3772746
"Reading Public Library
64 Middlesex Ave.
Reading, MA" 9.09541538823169 -71.1102778 42.5261161
"Edith M. Fox Library
175 Massachusetts Avenue
Arlington, MA" 9.099471615307 -71.1415957 42.4056745
"Stoneham Public Library
431 Main St.
Stoneham, MA" 9.21836744376006 -71.1006799 42.4779014
"Benton Branch Library
75 Oakley Road
Belmont, MA" 9.34690226731364 -71.169686 42.380429
"Wayland Free Public Library
5 Concord Rd.
Wayland, MA" 9.41585990441825 -71.3608843 42.3651267
"Maynard Public Library
77 Nason St.
Maynard, MA" 9.4872758438927 -71.452012 42.434173
"Watertown Free Public Library
123 Main St.
Watertown, MA" 9.60093961162687 -71.1869661 42.3675294
"Nonantum Branch Library
144 Bridge Street
Newton, MA" 9.66717886677502 -71.2018675 42.3607731
"Medford Public Library
111 High St.
Medford, MA" 9.75272749761845 -71.1135305 42.4197198
"W. Acton Citizens Library
21 Windsor Ave.
Acton, MA" 9.86912723644528 -71.4736029 42.475311
"Auburndale Branch Library
375 Auburn Street
Auburndale, MA" 9.90589286877407 -71.2494664 42.3464586
"East Branch Library
481 Mt. Auburn Street
Watertown, MA" 10.0737141053026 -71.163727 42.3705969
"West Branch Library
40 College Avenue
Somerville, MA" 10.2199241349092 -71.121735 42.398135
"Cambridge Public Library - Oneill
70 Rindge Avenue
Cambridge, MA" 10.2372785465534 -71.1280895 42.391922
"Cambridge Public Library - Collins
64 Aberdeen Avenue
Cambridge, MA" 10.2756441017839 -71.1469152 42.3769136
"J. V. Fletcher Library
50 Main St.
Westford, MA" 10.3404436859726 -71.4385691 42.5818231
"Newton Corner Branch Library
126 Vernon Street
Newton Corner, MA" 10.3974348260507 -71.1853999 42.3550144
"Cambridge Public Library - Boudreau
245 Concord Avenue
Cambridge, MA" 10.462628040912 -71.1325784 42.3833852
"Reuben Hoar Library
41 Shattuck St.
Littleton, MA" 10.857363414984 -71.480618 42.5421931
"Senior Center Branch
276 Broadway Street
Lowell, MA" 10.9597438996526 -71.3194655 42.6436417
"Faneuil Branch Library
419 Faneuil Street
Brighton, MA" 11.0605990630582 -71.1678814 42.3513618
"Goodnow Public Library
21 Concord Road
Sudbury, MA" 11.0610886158986 -71.4168741 42.3632998
"Pollard Memorial Library
401 Merrimack St.
Lowell, MA" 11.0848374724998 -71.3144306 42.6461029
"Melrose Public Library
69 West Emerson St.
Melrose, MA" 11.1300837956049 -71.0662697 42.4589528
"Newton Free Library
330 Homer Street
Newton Centre, MA" 11.1495836458155 -71.2078584 42.3358737
"Sargent Memorial Library
427 Mass. Ave.
Boxborough, MA" 11.3503058816002 -71.5032352 42.4816979
"Waban Branch Library
1606 Beacon Street
Waban, MA" 11.4015658004926 -71.2296614 42.3273437
"Mackay Branch Library
43 Newfield Street
North Chelmsford, MA" 11.6139638165986 -71.3839928 42.6375116
"Brighton Branch Library
40 Academy Hill Road
Brighton, MA" 11.6993465290593 -71.1527074 42.34759
"Cambridge Public Library
449 Broadway
Cambridge, MA" 11.7123646629644 -71.1115872 42.3735163
"Malden Public Library
36 Salem St.
Malden, MA" 11.7579586547993 -71.065487 42.4274552
"Honan-Allston Branch
300 North Harvard St.
Allston, MA" 11.786902951237 -71.1279858 42.3601156
"Somerville Public Library
79 Highland Avenue
Somerville, MA" 11.8492221817298 -71.0943955 42.385793
"Randall Library
19 Crescent Street
Stow, MA" 11.9518384187585 -71.504808 42.4371242
"Hills Branch Library
210 Washington Street
Wellesley, MA" 11.9804043238947 -71.2709669 42.3147324
"Flint Memorial Library
147 Park St.
North Reading, MA" 12.0396519219707 -71.0762676 42.5747042
"East Branch Library
115 Broadway
Somerville, MA" 12.2126770430794 -71.0835845 42.3879313
"Lynnfield Public Library
18 Summer St.
Lynnfield, MA" 12.4091317791438 -71.0478027 42.539373
"Cambridge Public Library - Central Square
45 Pearl Street
Cambridge, MA" 12.4479058892149 -71.103689 42.3641806
"Cambridge Public Library - Valente
826 Cambridge Street
Cambridge, MA" 12.5975760091702 -71.0903137 42.3720978
"Moses Greeley Parker Memorial Lib.
28 Arlington St.
Dracut, MA" 12.6561281493738 -71.3023336 42.6700511
"Parlin Memorial Library
410 Broadway
Everett, MA" 12.7597612680307 -71.0568033 42.4060122
"Fells Branch Library
308 Weston Road
Wellesley, MA" 12.7727402389557 -71.3123877 42.3045944
"Mcauliffe Branch Library
10 Nicholas Road
Framingham, MA" 12.7944639713792 -71.4035311 42.3264937
"Cambridge Public Library - Oconnell
48 Sixth Street
Cambridge, MA" 12.8867312395764 -71.0848331 42.3704451
"Shute Memorial Library
781 Broadway
Everett, MA" 12.9318288240322 -71.0465397 42.4166969
"Coolidge Corner Branch Library
31 Pleasant Street
Brookline, MA" 12.9509118404198 -71.1191813 42.3435468
"Wellesley Free Library
530 Washington St.
Wellesley, MA" 13.2327574634675 -71.2905849 42.296607
"Brookline Public Library
361 Washington St.
Brookline, MA" 13.3645515378656 -71.1213453 42.3346292
"Linden Branch Library
141 Oliver Street
Malden, MA" 13.3921747031524 -71.0295257 42.4321501
"Saugus Public Library
295 Central St.
Saugus, MA" 13.8981127330905 -71.010183 42.4653159
