"location" "miles" "latitude" "longitude"
"Spring Lake Branch
101 Laketree Blvd
Spring Lake, NC" 1.7618349303399 -78.9866822 35.1823548
"North Regional Branch Library
855 Mcarthur Road
Fayetteville, NC" 7.25352139006241 -78.896949 35.1289589
"Cliffdale Branch Library
6882 Cliffdale Road
Fayetteville, NC" 7.68081815753882 -79.008977 35.0599343
"Anderson Creek Public Library
914 Anderson Creek School Rd
Bunnlevel, NC" 9.42752659860004 -78.9174683 35.2817479
"Bordeaux Branch Library
3711 Village Drive
Fayetteville, NC" 10.8435451613618 -78.9402702 35.0263634
"Cumberland County Public Library Information Center
300 Maiden Lane
Fayetteville, NC" 10.9797289711178 -78.8812813 35.0554726
"Fayetteville Law Library
117 Dick St 340
Fayetteville, NC" 11.404249073759 -78.876289 35.0508912
"Hope Mills Branch Library
3411 Golfview Road
Hope Mills, NC" 13.9503987595671 -78.9589269 34.9744023
"Vass Area Library
128 Seaboard Street
Vass, NC" 16.2285576035728 -79.2821113 35.2559497
"East Regional Branch Library
4809 Clinton Road
Fayetteville, NC" 17.1068668809911 -78.7604113 35.0369087
"Hoke County Public Library
334 North Main Street
Raeford, NC" 17.6056275804384 -79.2237243 34.9825719
"Harnett County Public Library
601 S. Main St.
Lillington, NC" 19.4542666857538 -78.8149464 35.4001427
"Broadway Branch Library
206 S Main St
Broadway, NC" 19.7932197138641 -79.0522579 35.4553555
"Jonesboro Branch Library
309 West Main Street
Sanford, NC" 21.1856104225338 -79.1538379 35.455261
"Southern Pines Public Library
170 West Connecticut Avenue
Southern Pines, NC" 21.262993459844 -79.3904968 35.1760693
"Erwin Public Library
110 W. F. St.
Erwin, NC" 21.8824825951718 -78.677147 35.326352
"Lee County Library
107 Hawkins Avenue
Sanford, NC" 23.4427648543891 -79.1782346 35.4823399
"Page Memorial Library
100 S. Poplar Street
Aberdeen, NC" 23.5653478413907 -79.4284844 35.132355
"Dunn Public Library
110 East Divine Street
Dunn, NC" 24.6284036514235 -78.6111927 35.3059955
"Coats Public Library
243 S. Mckinley St.
Coats, NC" 25.1968414330618 -78.6719691 35.4043521
"St. Pauls Public Library
223 W. Broad Street
St. Pauls, NC" 25.2965376659257 -78.973589 34.806721
"Moore County Library
101 Saunders Street
Carthage, NC" 25.7755943220102 -79.4180061 35.3449104
"Pinebluff Public Library
305 East Baltimore Avenue
Pinebluff, NC" 26.025939174413 -79.46822 35.108464
"Wagram Branch Library
PO box 118
Wagram, NC" 27.9250260157963 -79.3661515 34.8879396
"Angier Public Library
28 N. Raleigh Rd.
Angier, NC" 27.9556297181782 -78.7404878 35.5075778
"Mary Duncan Public Library
100 W. Main Street
Benson, NC" 30.1151561550188 -78.547929 35.38172
"Fuquay-Varina Library
133 S. Fuquay Avenue
Fuquay-Varina, NC" 31.0124695203625 -78.7978114 35.5829283
"Roseboro Public Library
300 West Roseboro Street
Roseboro, NC" 32.18845916691 -78.5127266 34.9521508
"Goldston Public Library
9235 Pittsboro Goldston Rd
Goldston, NC" 34.2736469222493 -79.328836 35.594929
"Gilbert Patterson Memorial Public Library
210 N Florence St
Maxton, NC" 35.3699009972488 -79.34951 34.7395314
"Pembroke Public Library
413 Blaine St
Pembroke, NC" 35.6896255758442 -79.1930208 34.6761324
"Robbins Area Branch
