"location" "miles" "latitude" "longitude"
"Universal City Public Library
100 Northview Dr
Universal City, TX" 1.56534651989586 -98.2970501 29.5496838
"Schertz Public Library
608 Schertz Pkwy
Schertz, TX" 2.08501768506326 -98.2662952 29.5600124
"Converse Public Library
601 S Seguin Rd
Converse, TX" 2.28963165956939 -98.3113976 29.5134349
"Marion Community Library
500 Bulldog Dr
Marion, TX" 8.75003239416884 -98.1408015 29.5683034
"Alamo Area Library System
600 Soledad Street
San Antonio, TX" 14.5510418185686 -98.4928305 29.4324141
"San Antonio Public Library
600 Soledad St
San Antonio, TX" 14.5510418185686 -98.4928305 29.4324141
"New Braunfels Public Library
700 E Common St
New Braunfels, TX" 16.0564752504333 -98.1125179 29.7130354
"Seguin-Guadalupe County Public Library
707 E College St
Seguin, TX" 19.6182803701091 -97.957749 29.5741002
"Bulverde-Spring Branch Library
131 Bulverde Crossing
Bulverde, TX" 20.0254694712 -98.422018 29.7943915
"Leon Valley Public Library
6425 Evers Rd
Leon Valley, TX" 20.1613399526399 -98.6132387 29.501181
"Tye Preston Memorial Library
16311 South Access Road
Canyon Lake, TX" 23.6985084215604 -98.1905313 29.8660352
"Sam Fore Jr Wilson County Public Library
1 Library Ln
Floresville, TX" 28.5888645025294 -98.1566047 29.133426
"San Marcos Public Library
625 E Hopkins St
San Marcos, TX" 32.1746095408171 -97.9315523 29.8854452
"Boerne Public Library
210 N Main St
Boerne, TX" 32.6914852696348 -98.732652 29.794728
"Kendalia Public Library
2610b Hwy 473
Kendalia, TX" 33.5175603287841 -98.5225082 29.9689286
"Wimberley Village Library
400 Fm 2325
Wimberley, TX" 34.2034911197855 -98.1040517 30.002633
"Tri-Community Library
6910 Hwy 80
Prairie Lea, TX" 34.5714122031484 -97.7523822 29.7305639
"Aphne Pattillo Nixon Public Library
401 N. Nixon Ave.
Nixon, TX" 35.92749920605 -97.7653531 29.2706006
"The Aphne Pattillo Nixon Public Library
401 N Nixon Ave
Nixon, TX" 35.92749920605 -97.7653531 29.2706006
"Lytle Public Library
19325 W Fm 2790 S
Lytle, TX" 37.5047816933725 -98.8049024 29.2409143
"Castroville Public Library
802 London St
Castroville, TX" 38.1856426474664 -98.8797731 29.353134
"Poteet Public Library
500 Ave H
Poteet, TX" 38.5596483223675 -98.5739434 29.037331
"Jb Nickells Memorial Library
215 S Pecan Ave
Luling, TX" 39.2151995857481 -97.6504797 29.6793617
"Lakehills Area Library
7200 Fm 1283
Lakehills, TX" 39.4357862074751 -98.9301812 29.60629
"Kyle Community Library
409 W Blanco St
Kyle, TX" 39.826312429856 -97.8786221 29.9906049
"Blanco County South Library District
1118 Main St Ste A
Blanco, TX" 40.4709455699569 -98.4192657 30.1049147
"Falls City Public Library
206 N Irvin St
Falls City, TX" 41.2498557610032 -98.019306 28.9812529
"Pleasanton Public Library
321 N Main St
Pleasanton, TX" 41.3656674268094 -98.4841775 28.9615057
"Stella Hart Memorial Library
P.O. Box 88
Smiley, TX" 42.9342704581084 -97.6358283 29.2677433
"Dr Eugene Clark Library
217 S Main St
Lockhart, TX" 43.8428981581296 -97.6724251 29.8831567
"Jourdanton Community Library
1101 Campbell Ave
Jourdanton, TX" 45.4402100563699 -98.5440416 28.9171788
"Buda Public Library
303 Main St
Buda, TX" 46.2739237826431 -97.8421711 30.0828925
"Driscoll Public Library
202 E Hondo Ave
Devine, TX" 46.4878845819072 -98.9052641 29.1390196
"Dripping Springs Community Library
501 Sportsplex Dr
Dripping Springs, TX" 47.1877289667778 -98.0987847 30.1961882
"Comfort Public Library
701 High St
Comfort, TX" 48.2179084642501 -98.9079089 29.9670776
"Bandera County Library
515 Main St
Bandera, TX" 49.5393230634458 -99.0733816 29.726248
"Kronkosky Library Of Bandera County
515 Main St.
Bandera, TX" 49.5393230634458 -99.0733816 29.726248
"Gonzales Public Library
415 St. Matthew
Gonzales, TX" 49.9376083984155 -97.4514886 29.4999272
"Karnes City Public Library
302 S Panna Maria Ave
Karnes City, TX" 50.4208852556549 -97.9011669 28.8829338
"Hondo Public Library
1011 19th St
Hondo, TX" 51.3263579900087 -99.1058772 29.3491959
"Johnson City Library
501 Nugent St
