"location" "miles" "latitude" "longitude"
"Rockrimmon Branch
832 Village Center Drive
Colorado Springs, CO" 5.29063148837612 -104.844503 38.923059
"Monument Library
1706 Lake Woodmoor Dr
Monument, CO" 6.7407941421592 -104.8598363 39.0957938
"East Library
5550 North Union Boulevard
Colorado Springs, CO" 7.43915803034938 -104.7782358 38.9126388
"Palmer Lake Branch Library
66 Lower Glenway
Palmer Lake, CO" 8.87556187811872 -104.9152449 39.1197573
"Ute Pass Branch
8010 Severy
Cascade, CO" 9.11451533567755 -104.969833 38.896887
"Rampart Library District-Woodland Parkflorissant
218 E. Midland
Woodland Park, CO" 10.1590928130902 -105.0506724 38.9949445
"Woodland Park Public Library
218 East Midland
Woodland Park, CO" 10.1590928130902 -105.0506724 38.9949445
"Manitou Springs Public Library
701 Manitou Ave
Manitou Springs, CO" 10.2035661148173 -104.91464 38.856704
"Old Colorado City Branch Library
2418 West Pikes Peak Avenue
Colorado Springs, CO" 10.4263624369949 -104.8610255 38.8476303
"Penrose Public Library
20 North Cascade Avenue
Colorado Springs, CO" 11.4396233264521 -104.8260561 38.8353301
"Ruth Holly Branch
685 North Murray Boulevard
Colorado Springs, CO" 12.4256905417899 -104.7459808 38.8429409
"Cheyenne Mountain Branch
1785 South 8th Street, Suite 100
Colorado Springs, CO" 13.4483235807851 -104.8398258 38.8046928
"Sand Creek Branch
1821 South Academy Boulevard
Colorado Springs, CO" 14.4579104153668 -104.7555756 38.8063741
"Security Public Library
715 Aspen Drive
Security, CO" 18.3902742624878 -104.7314175 38.7526243
"Florissant Branch
2001teller County Rd 31
Florissant, CO" 23.4623871565936 -105.2931276 38.9476339
"Fountain Branch Library
230 South Main Street
Fountain, CO" 23.5991538168455 -104.6996681 38.6814166
"Franklin Ferguson Memorial Library
410 B Street
Cripple Creek, CO" 24.7362933374934 -105.1841043 38.7436196
"Victor Public Library
124 South 3rd Street
Victor, CO" 24.9984146989707 -105.1401623 38.7092298
"Douglas County Libraries
100 South Wilcox
Castle Rock, CO" 25.5786003945359 -104.8590461 39.3681268
"Lake George Branch Library
box 3
Lake George, CO" 26.6852092493851 -105.3574943 38.9797141
"Elbert County Library District
239 Main Street
Elizabeth, CO" 28.820141511732 -104.5956 39.3603252
"Elizabeth Branch Library
207 Main
Elizabeth, CO" 28.8290266377112 -104.5956304 39.3604866
"Louviers Library
7885 Louviers Blvd
Louviers, CO" 33.949033805503 -105.006704 39.476126
"Neighborhood Library At Roxborough
8357 N. Rampart Range Rd. Suite 200
Littleton, CO" 35.4643367920195 -105.0754459 39.4835976
"Parker Library
10851 So. Crossroads Dr.
Parker, CO" 36.4148886183425 -104.767264 39.5196782
"Neighborhood Library At Lone Tree
8827 Lone Tree Pkwy
Lone Tree, CO" 37.9886594594682 -104.8865248 39.5472031
"Highlands Ranch Library
9292 Ridgeline Blvd
Highlands Ranch, CO" 38.6082273650156 -104.9960252 39.5467303
"Guffey Branch Library
1625 B. County Rd 102
Guffey, CO" 39.3479292670524 -105.5211203 38.7532638
"Arapahoe Library District
12855 East Adam Aircraft Circle
Englewood, CO" 40.1227791884308 -104.8390773 39.5781242
"Arapahoe Library District
12855 E. Adam Aircraft Circle
Englewood, CO" 40.1227791884308 -104.8390773 39.5781242
"Penrose Library District
555 Fourth Avenue
Penrose, CO" 40.401272750316 -105.0208628 38.4276462
"Penrose Library District
35 7th Avenue
Penrose, CO" 40.4707546128002 -105.0505557 38.4321442
"Southglenn Library
7500 South University Blvd, 101
Centennial, CO" 40.5788865789484 -104.9590255 39.5801327
"Southglenn Public Library
7500 South University Blvd., 101
Littleton, CO" 40.5788865789484 -104.9590255 39.5801327
"Castlewood Library
6739 South Uinta Street
Centennial, CO" 41.2846530885676 -104.8940031 39.5946643
"Koelbel Library
5955 South Holly Street
Centennial, CO" 42.3651960923887 -104.9236206 39.6089333
"Simla Branch Library
504 Washingtion
Simla, CO" 42.7035188994288 -104.087817 39.140005
"Littleton-Bemis Public Library
6014 S. Datura St.
Littleton, CO" 42.8440918838996 -105.0038795 39.6078883
"Smoky Hill Public Library
5430 South Biscay Circle
Centennial, CO" 43.1647579411366 -104.7675316 39.6180927
"Canon City Public Library
516 Macon Ave
Canon City, CO" 43.6206110929234 -105.240614 38.4413277
"Columbine Library
7706 West Bowles Avenue
Littleton, CO" 43.8350465782719 -105.0823068 39.6086428
"Conifer Library
10441 Highway 73
Conifer, CO" 43.8625253517724 -105.3087779 39.5296697
"Park County Public Library
350 Bulldogger Road
Bailey, CO" 44.040044378267 -105.4526999 39.440783
"John C. Fremont Library District (Florence)
