"location" "miles" "latitude" "longitude"
"Enid-Public Library Of Enid And Garfield Co
120 West Maine
Enid, OK" 4.43736415542318 -97.8791617 36.395798
"Hennessey Public Library
525 S. Main
Hennessey, OK" 16.2790817303947 -97.8986826 36.1045822
"Okeene Public Library
215 N Main
Okeene, OK" 27.0786924648341 -98.3171125 36.1176649
"Fairview City Library
115 S. 6th
Fairview, OK" 31.6706604451019 -98.4785656 36.2689008
"Crescent Community Library
205 N. Grand
Crescent, OK" 32.1689329919685 -97.5955444 35.9537028
"Medford Public Library
123 S Main
Medford, OK" 33.8722725126387 -97.7349968 36.8067369
"Carmen Public Library
421 West Main Street
Carmen, OK" 33.9702216039678 -98.4503031 36.5789127
"Kingfisher Memorial Library
505 West Will Rogers
Kingfisher, OK" 34.4120634254882 -97.9370797 35.842227
"Perry Carnegie Library
302 N 7th St
Perry, OK" 35.2705718829571 -97.287877 36.286416
"Cherokee City- County Library
123 South Grand
Cherokee, OK" 37.8474168253593 -98.3571072 36.7571548
"Tonkawa Public Library
216 N. Seventh
Tonkawa, OK" 41.2565262364551 -97.3085765 36.6806262
"Watonga Public Library
301 N Prouty
Watonga, OK" 43.9857934339886 -98.4143771 35.8465394
"Blackwell Public Library
123 West Padon
Blackwell, OK" 47.5950250858775 -97.2832885 36.8022781
"Piedmont Public Library
1129 Stout Street Nw
Piedmont, OK" 48.8614677454434 -97.7540936 35.6455214
"Stillwater Public Library
1107 S. Duck
Stillwater, OK" 50.2982930217132 -97.061954 36.1098834
"Caldwell Public Library
8 N. Osage
Caldwell, KS" 50.889396034374 -97.6096311 37.0325408
"Alva Public Library
504 Seventh Street
Alva, OK" 52.6557684989626 -98.6684541 36.8036147
"Ponca City Library
515 East Grand
Ponca City, OK" 53.0307506983911 -97.0779566 36.7039171
"Edmond Branch Library
10 S Boulevard
Edmond, OK" 53.3809114272377 -97.4778451 35.6544931
"Geary Public Library
106 Main St
Geary, OK" 53.9153788940823 -98.317909 35.630653
"Northwest Library
5600 Nw 122nd
Oklahoma City, OK" 54.2084462102178 -97.617908 35.594165
"Perkins - Thomas-Wilhite Memorial Library
101 E. Thomas
Perkins, OK" 55.4405976156271 -97.0336968 35.9740939
"El Reno Carnegie Library
215 E Wade
El Reno, OK" 55.9303325934655 -97.9525111 35.5313956
"Waynoka Public Library
1659 Cecil Street
Waynoka, OK" 56.0479146054244 -98.8771088 36.585526
"Kiowa Public Library
123 N 7th
Kiowa, KS" 56.4932792380795 -98.4853221 37.0172384
"Anthony Public Library
624 E. Main St.
Anthony, KS" 56.5303671581758 -98.0232475 37.1522439
"Village Public Library
10307 N Penn
Village, OK" 56.709663011551 -97.5497977 35.5754718
"South Haven Township Library
104 W. Baird
South Haven, KS" 56.7617729749368 -97.4022971 37.0485781
"Guthrie Public Library
201 N Division
Guthrie, OK" 57.241860562875 -97.327478 35.66331
"Seiling Public Library
211 Main
Seiling, OK" 57.7436029373542 -98.9245658 36.1476266
"Warr Acres Library
5901 N W 63
Warr Acres, OK" 57.9073122471574 -97.6216085 35.5372534
"Mabel C. Fry Public Library
500 W. Main
Yukon, OK" 58.2881602509524 -97.7509223 35.5076353
"Yukon - Mabel C. Fry Public Library
1200 Lakeshore Drive
Yukon, OK" 58.6342809307381 -97.7236784 35.5064168
"Bethany Public Library
3510 N Mueller
Bethany, OK" 59.795961288986 -97.6321846 35.5063937
"Belle Isle Library
5501 N. Villa
Oklahoma City, OK" 59.8008894663979 -97.5570236 35.5256169
"Newkirk Public Library
116 N Maple Ave
Newkirk, OK" 60.9159241965067 -97.054537 36.883498
"Hardtner Public Library
102 E Central
Hardtner, KS" 61.8032718987118 -98.6479463 37.013843
"Luther Library
310 Ne 3rd
Luther, OK" 61.846539213782 -97.19296 35.6641059
"Pawnee Public Library
653 Illinois
Pawnee, OK" 61.9683474905276 -96.8050933 36.3387874
"Thomas - Hazel Cross Library
115 W Broadway
Thomas, OK" 62.1005991394895 -98.748416 35.744242
"Tryon Public Library
25 S Main St
Tryon, OK" 62.440030788467 -96.9638486 35.8688222
"Ralph Ellison Branch Library
2000 N E 23
Oklahoma City, OK" 63.5760332706863 -97.4760697 35.4926434
"Downtown Branch Library
131 Dean A Mcgee
Oklahoma City, OK" 64.1289096170496 -97.51606 35.471175
"Jones Library
111 E. Main
Jones, OK" 64.1337313120463 -97.2859199 35.5658504
"Metropolitan Library System
300 Park Ave
Okla City, OK" 64.2496887623276 -97.5186928 35.4685196
"Downtown Library
300 Park Ave.
Oklahoma City, OK" 64.2496887623276 -97.5186928 35.4685196
"Dixon Township Library
120 W Walnut
Argonia, KS" 64.6179056517746 -97.7668633 37.2657986
"Wright Library
2101 Exchange Ave
Oklahoma City, OK" 64.6405887745633 -97.5518209 35.4530889
"Attica City Library
125 North Main
Attica, KS" 64.6605523086999 -98.2262294 37.2408561
"Book Centers
1364 N E 3rd
Oklahoma City, OK" 64.7608528284493 -97.487928 35.4702
"Hinton - Norman Smith Memorial Library
115 E Main
Hinton, OK" 64.8584004269642 -98.3548517 35.4714068
"Mustang Public Library
1201 N. Mustang Rd.
Mustang, OK" 65.6782484063709 -97.726436 35.402641
"Kaw City - J.A. Walker Memorial Library
