"Library Name" "Service Area Population" "Address" "Latitude" "Longitude" "Central Libraries" "Branch Libraries" "Total Staff" "Print Materials" "Audio Materials" "Video Materials" "Print Serials" "Computers" "Collection Space" "Seats Per" "Work Space" "Size" "Distance" "Weight" "SizeWeight" "Drive Distance" "Drive Weight" "Drive SizeWeight"
"HONDO PUBLIC LIBRARY" 9002 "1011 19TH ST
HONDO, TX 78861
" 29.347692 -99.139593 1 0 4.18 23590 521 716 15 18 323756 7 2517.42 326273.42 41.8334235836209 0.000571417035750708 186.438190500646 45.7367616538457 0.000478045436676788 155.973519539929
"DRISCOLL PUBLIC LIBRARY" 4543 "202 E HONDO AVE
DEVINE, TX 78016
" 29.13969 -98.904766 1 0 2.08 18482 428 1567 25 10 266976 10 1674.9 268650.9 31.0259073041935 0.00103884563368226 279.08681444981 36.9617358668771 0.000731973370669464 196.645304806385
"SAM FORE JR WILSON COUNTY PUBLIC LIBRARY" 45418 "1 LIBRARY LN
FLORESVILLE, TX 78114
" 29.130587 -98.157763 1 0 6.32 42132 1971 2153 54 15 602705 3 5035.62 607740.62 22.7086120151098 0.0019391831080112 1178.52034435625 25.6341108777511 0.00152182068564899 924.87224702514
"PIONEER MEMORIAL LIBRARY" 24886 "115 W MAIN ST
FREDERICKSBURG, TX 78624
" 30.275635 -98.87312 1 0 5.43 37336 1058 838 61 4 510989 4.5 4174.11 515163.11 69.5057923571052 0.000206994117136915 106.635733135957 78.5489703853754 0.000162076110735178 83.4956332630388
"LIVE OAK COUNTY LIBRARY" 10824 "402 HOUSTON ST
GEORGE WEST, TX 78022
" 28.334276 -98.114991 1 1 3.29 29157 643 1704 25 14 410507 4.5 1954.74 412461.74 72.5147525422584 0.000190172301070103 78.4387981991785 79.7301999577467 0.000157309261940196 64.884051897969
"FRIENCH SIMPSON MEMORIAL LIBRARY" 2593 "705 E 4TH ST
HALLETTSVILLE, TX 77964
" 29.444616 -96.937903 1 0 2.88 29059 788 2238 37 19 418441 10 1209.9 419650.9 91.1593142467436 0.000120336645511611 50.4993815919286 108.723451849827 8.4596722055589e-05 35.5010905476778
"AUSTIN PUBLIC LIBRARY" 885400 "800 GUADALUPE ST
AUSTIN, TX 78701
" 30.271168 -97.745485 1 21 338.95 1079228 105368 110820 366 610 16872616 2.25 110607 16983223 76.8153071612084 0.000169474537345776 2878.22386056514 86.73307069979 0.000132932311059832 2257.61908263449
"JOHNSON CITY LIBRARY" 5119 "501 NUGENT ST
JOHNSON CITY, TX 78636
" 30.280735 -98.411992 1 0 2.33 15780 916 1108 14 20 232534 7 1424.49 233958.49 64.9862912484278 0.000236786258276815 55.3981554391936 70.1554674587098 0.000203178127948496 47.5352480158569
"JOURDANTON COMMUNITY LIBRARY" 9250 "1101 CAMPBELL AVE
JOURDANTON, TX 78026
" 28.917233 -98.54409 1 0 3 32994 1016 68 53 12 444243 7 2392.5 446635.5 29.9575496471882 0.00111426226849843 497.669085421932 36.3757813762163 0.000755745096344606 337.542588978421
"KENDALIA PUBLIC LIBRARY" 3074 "2610B HWY 473
KENDALIA, TX 78027
" 29.968924 -98.522498 1 0 0.5 9501 392 767 5 4 138825 10 997.2 139822.2 43.6295394532248 0.000525337910859759 73.4539024398154 53.1093491741956 0.000354534122930463 49.5717410432077
"KENEDY PUBLIC LIBRARY" 6179 "303 W MAIN ST
KENEDY, TX 78119
" 28.818619 -97.85026 1 0 2.62 21443 300 886 36 8 295005 7 1690.59 296695.59 51.0458991618466 0.000383776416711823 113.8647703844 54.498117240608 0.000336695259883254 99.8959987812652
"BUTT-HOLDSWORTH MEMORIAL LIBRARY" 22663 "505 WATER ST
KERRVILLE, TX 78028
" 30.048378 -99.143204 1 1 8.6 51024 1618 3035 139 27 726823 4.5 4349.505 731172.505 64.3839710843078 0.000241237312006303 176.386089719115 74.1061553183293 0.000182092238713589 133.140838321273
"KYLE PUBLIC LIBRARY" 41016 "550 SCOTT ST
KYLE, TX 78640
" 29.987615 -97.882242 1 0 7 46026 1056 4612 52 49 674903 3 4741.44 679644.44 56.0691632516259 0.000318091343256287 216.189012856267 64.461207700051 0.000240659563257627 163.562934100875
"LEON VALLEY PUBLIC LIBRARY" 10808 "6425 EVERS RD
LEON VALLEY, TX 78238
" 29.500845 -98.61338 1 0 4.35 52280 1770 3525 42 7 749336 4.5 2111.58 751447.58 14.934918716144 0.0044832635880568 3368.9375737474 21.3534740949706 0.00219312262397183 1648.01668842688
"LLANO COUNTY LIBRARY SYSTEM" 19444 "102 E HAYNIE ST
LLANO, TX 78643
" 30.75126 -98.675528 1 2 9.82 47341 3624 4922 11 28 727934 4.5 4097.94 732031.94 98.4673974366987 0.000103137139301704 75.4996801690767 113.489380739931 7.76407188022386e-05 56.8354860077972
"DR EUGENE CLARK LIBRARY" 13098 "217 S MAIN ST
LOCKHART, TX 78644
" 29.883175 -97.672136 1 0 6.88 43126 1458 1753 186 30 606149 4.5 2800.23 608949.23 59.7306677420754 0.000280288487683855 170.681458752948 71.9599338859408 0.000193116102872647 117.597902144899
"BANDERA COUNTY LIBRARY" 8328 "515 MAIN ST
BANDERA, TX 78003
" 29.726059 -99.072683 1 0 2.35 30149 1051 2881 43 13 444197 7 2101.38 446298.38 46.1528106638547 0.000469465509704389 209.521696446943 59.0571290094076 0.000286718251229408 127.961891040118
"JB NICKELLS MEMORIAL LIBRARY" 5659 "215 S PECAN AVE
LULING, TX 78648
" 29.679137 -97.650518 1 0 1.85 19205 260 1700 16 6 275623 7 1465.89 277088.89 53.2637227203558 0.000352482017881037 97.6688510796167 60.6205028148185 0.000272120293950544 75.4015101972299
"LYTLE PUBLIC LIBRARY" 5396 "19325 W FM 2790 S
LYTLE, TX 78052
" 29.232542 -98.804427 1 0 3.75 19652 890 1495 3 15 287195 7 1695.66 288890.66 22.9143684917239 0.0019045141968454 550.196363306038 27.5740365615718 0.00131522272984821 379.95556247285
"MATHIS PUBLIC LIBRARY" 6741 "103 LAMAR ST
MATHIS, TX 78368
" 28.085544 -97.816489 1 0 2.1 17856 56 362 12 15 238393 7 1730.61 240123.61 94.9119348678576 0.000111009039774713 26.6558913733377 103.884822349535 9.26607470207207e-05 22.2500330799122
"BASTROP PUBLIC LIBRARY" 30229 "1100 CHURCH ST
BASTROP, TX 78602
" 30.111881 -97.321248 1 0 9.8 45417 2816 3217 87 31 671376 3 4190.61 675566.61 86.0324938916335 0.000135106105484843 91.2731736726981 104.751637317161 9.11335651364421e-05 61.5667936564404
"NEW BRAUNFELS PUBLIC LIBRARY" 63279 "700 E COMMON ST
NEW BRAUNFELS, TX 78130
" 29.713597 -98.112608 1 1 21.62 103951 9817 14167 222 45 1668066 2.25 7514.3325 1675580.3325 32.6188516418233 0.000939858914502559 1574.80911246529 41.4853293896877 0.000581046533573175 973.590143922514
"PEARSALL PUBLIC LIBRARY" 9618 "200 E TRINITY ST
PEARSALL, TX 78061
" 28.895129 -99.095325 1 0 2.62 40196 651 1801 71 15 556022 7 2412.78 558434.78 49.9479411391329 0.000400834244442125 223.839783111504 57.789528626642 0.000299434402648678 167.214584767546
"PLEASANTON PUBLIC LIBRARY" 9512 "115 N MAIN ST
PLEASANTON, TX 78064
" 28.95927 -98.484163 1 0 4.5 32298 378 2409 61 15 457573 7 2672.52 460245.52 26.5567078715159 0.00141791934398951 652.591025792511 31.4482955745834 0.00101112715653383 465.366743945035
"JOE BARNHART BEE COUNTY LIBRARY" 25391 "110 W CORPUS CHRISTI ST
BEEVILLE, TX 78102
" 28.40199 -97.748273 1 0 6.9 40740 2658 2240 48 26 595088 3 3320.19 598408.19 77.5308012696175 0.000166360974341812 99.5517695425204 99.9683099904309 0.000100063410159574 59.8787641588186
"POTEET PUBLIC LIBRARY" 7577 "500 AVE H
POTEET, TX 78065
" 29.037364 -98.574646 1 0 2 13025 274 256 21 12 177028 7 1891.17 178919.17 22.444510126605 0.00198508788157906 355.170276149184 31.2593982626418 0.00102338435320192 183.103079065874
