"Library Name" "Service Area Population" "Address" "Latitude" "Longitude" "Central Libraries" "Branch Libraries" "Total Staff" "Print Materials" "Audio Materials" "Video Materials" "Print Serials" "Computers" "Collection Space" "Seats Per" "Work Space" "Size" "Distance" "Weight" "SizeWeight" "Drive Distance" "Drive Weight" "Drive SizeWeight"
"ALHAMBRA CIVIC CENTER LIBRARY" 84697 "101 S. FIRST ST.
ALHAMBRA, CA 91801
" 34.092705 -118.126548 1 0 30.9 144185 5035 5142 140 87 2012441 2.25 10352.0475 2022793.0475 59.0495106441033 0.000286792238812386 580.121346746655 104.170032435657 9.21540446546531e-05 186.408560826437
"ALTADENA LIBRARY DISTRICT" 52908 "600 E. MARIPOSA ST.
ALTADENA, CA 91001
" 34.189651 -118.137351 1 1 27.2 118754 4891 4161 211 39 1665976 2.25 7651.29 1673627.29 52.6992837922512 0.000360073014022239 602.628022660172 99.0921744317546 0.00010184067826063 170.443338369101
"ANAHEIM PUBLIC LIBRARY" 348305 "500 W. BROADWAY
ANAHEIM, CA 92805
" 33.831939 -117.918888 1 7 78.7399999999999 522659 10682 36817 523 227 7429068 2.25 35321.5875 7464389.5875 75.5601956093963 0.000175151496745403 1307.39900854143 118.123578609865 7.16682514410487e-05 534.959749810896
"ARCADIA PUBLIC LIBRARY" 57500 "20 W. DUARTE ROAD
ARCADIA, CA 91006
" 34.1293 -118.032463 1 0 27.5 183470 7045 5686 215 74 2556738 2.25 8006.25 2564744.25 55.5604599813732 0.000323942802351458 830.830439659788 107.573912287024 8.64143908780678e-05 221.630812121777
"AZUSA CITY LIBRARY" 48385 "729 N. DALTON AVE.
AZUSA, CA 91702
" 34.134326 -117.904988 1 0 14.25 103350 3712 3267 71 16 1435920 3 6492.15 1442412.15 54.6321976933808 0.000335044626834997 483.272440539015 102.571240384257 9.50492698700632e-05 137.100221709208
"BEVERLY HILLS PUBLIC LIBRARY" 34677 "444 N. REXFORD DR.
BEVERLY HILLS, CA 90210
" 34.072882 -118.399741 1 1 60.75 211271 21314 13768 275 60 3208864 3 12233.43 3221097.43 65.6270194910055 0.000232185256100468 747.891331709109 97.3436315508221 0.000105532180490338 339.929435359724
"BUENA PARK LIBRARY DISTRICT" 82344 "7150 LA PALMA AVE.
BUENA PARK, CA 90620
" 33.846577 -118.008057 1 0 26.75 99252 6396 6578 113 21 1461352 2.25 9570.72 1470922.72 74.828989131835 0.000178591277254066 262.693967306825 125.107808169809 6.3889747088585e-05 93.9768805676535
"BURBANK PUBLIC LIBRARY" 105543 "110 N. GLENOAKS BLVD.
BURBANK, CA 91502
" 34.183412 -118.306514 1 2 62.62 500922 31288 48343 428 123 7558288 2.25 16517.1525 7574805.1525 56.4306316566159 0.000314029304147685 2378.71079109387 89.7983024096835 0.000124012010024716 939.366812507099
"CERRITOS PUBLIC LIBRARY" 49741 "18025 BLOOMFIELD AVE.
CERRITOS, CA 90703
" 33.866993 -118.063843 1 0 54 232344 7395 12369 276 153 3287877 3 12576.69 3300453.69 73.7798038465233 0.000183706704927409 606.315472155407 118.853691575428 7.07904461158436e-05 233.640589099782
"COLTON PUBLIC LIBRARY" 53057 "656 N. NINTH ST.
COLTON, CA 92324
" 34.071618 -117.321705 1 1 2 64255 5162 3703 147 12 953011 2.25 3881.3475 956892.3475 67.3114573748454 0.000220710000972818 211.195710947607 82.8053736314265 0.000145842116323306 139.555205052977
"CITY OF COMMERCE PUBLIC LIBRARY" 13003 "5655 JILLSON ST.
COMMERCE, CA 90040
" 34.000249 -118.156698 1 3 39.7 90353 9065 16551 186 54 1512445 4.5 7710.405 1520155.405 65.6704863563358 0.000231877994017206 352.490585905814 106.211863248288 8.86449388471106e-05 134.75408291433
"CORONA PUBLIC LIBRARY" 159132 "650 SOUTH MAIN ST.
CORONA, CA 92882
" 33.874992 -117.567483 1 0 20.3999999999999 112478 4574 4986 60 45 1589299 2.25 13801.41 1603100.41 74.880812521268 0.00017834416448017 285.903603199268 96.5109920837113 0.000107360973310689 172.110420332364
"COVINA PUBLIC LIBRARY" 48619 "234 N. SECOND AVE.
COVINA, CA 91723
" 34.087807 -117.887894 1 0 9.98 87648 4458 3812 109 36 1249971 3 5872.71 1255843.71 57.8447369137607 0.000298863101871555 375.325346636481 101.976586675283 9.61610191191756e-05 120.763211008006
"DOWNEY CITY LIBRARY" 113363 "11121 BROOKSHIRE AVE.
DOWNEY, CA 90241
" 33.938104 -118.12973 1 0 7 129414 6117 3821 173 18 1814635 2.25 8702.0025 1823337.0025 69.5443126250933 0.000206764874504996 377.002046502227 111.468676600345 8.04811752942201e-05 146.74430491864
"EL SEGUNDO PUBLIC LIBRARY" 16897 "111 W. MARIPOSA AVE.
EL SEGUNDO, CA 90245
" 33.923612 -118.416614 1 0 22 92775 5234 4627 107 24 1336739 4.5 5581.095 1342320.095 75.4166648252072 0.000175818817535652 236.005131857244 107.111610970957 8.71619419358326e-05 116.999226179691
