"Library Name" "Service Area Population" "Address" "Latitude" "Longitude" "Central Libraries" "Branch Libraries" "Total Staff" "Print Materials" "Audio Materials" "Video Materials" "Print Serials" "Computers" "Collection Space" "Seats Per" "Work Space" "Size" "Distance" "Weight" "SizeWeight" "Drive Distance" "Drive Weight" "Drive SizeWeight"
"BOUNDARY COUNTY DISTRICT" 11767 "6370 KOOTENAI
BONNERS FERRY, ID 83805
" 48.696354 -116.310954 1 0 7.95 35724 1548 3129 194 12 528275 4.5 2781.045 531056.045 96.6636261350673 0.000107022190186282 56.8347810475645 118.283892775921 7.1474114273559e-05 37.9567604459943
"COEUR D'ALENE PUBLIC" 47912 "702 E FRONT AVE
COEUR D'ALENE, ID 83814
" 47.672556 -116.776566 1 0 20.1 87480 5243 4561 144 61 1269309 3 7327.08 1276636.08 40.5923969590653 0.000606890872909604 774.778784979095 48.7696819814334 0.000420436248923742 536.74408471591
"CLARKIA DISTRICT" 88 "377 POPLAR ST
CLARKIA, ID 83812
" 47.011468 -116.254177 1 0 0.6 8925 72 1201 5 4 132819 22.5 149.4 132968.4 77.517427011208 0.000166418384570303 22.1283863268979 106.708340064871 8.78219895811675e-05 11.6775494394245
"ELK RIVER DISTRICT" 143 "203 MAIN ST
ELK RIVER, ID 83827
" 46.782634 -116.179618 1 0 2 15930 218 1832 3 10 234229 22.5 396.525 234625.525 89.8695573866666 0.00012381543690063 29.0502618859148 135.02491704674 5.48494354315898e-05 12.8690775840903
"LEWISTON CITY PUBLIC" 32482 "411 D ST
LEWISTON, ID 83501
" 46.421898 -117.028069 1 0 17.55 50286 2104 3897 142 41 735422 3 5555.88 740977.88 87.7028899641706 0.000130008632826897 96.3335211337727 116.380628083562 7.38309755072406e-05 54.707119709687
"PRAIRIE-RIVER DISTRICT" 16888 "103 N MAIN ST
LAPWAI, ID 83540
" 46.407431 -116.803771 1 7 8.58 64240 1203 3050 26 71 893942 4.5 3566.88 897508.88 92.6549471587598 0.000116483060958303 104.544581579658 125.898194290827 6.30900682951353e-05 56.6238965346904
"LATAH COUNTY DISTRICT" 38593 "110 S JEFFERSON ST
MOSCOW, ID 83843
" 46.733594 -116.998588 1 6 16.35 102676 5306 8239 231 35 1515451 3 5925.87 1521376.87 68.3034917864757 0.00021434540993135 326.100148860224 90.5153665477773 0.000122054942676537 185.691566657259
"MULLAN PUBLIC" 673 "117 HUNTER AVE
MULLAN, ID 83846
" 47.47083 -115.801582 1 0 0.58 12137 276 2162 0 10 189925 22.5 541.275 190466.275 86.6218964202546 0.00013327375215732 25.3841551286779 101.535412032262 9.69984800370739e-05 18.4749391733233
"OSBURN PUBLIC" 1504 "921 MULLAN AVE
OSBURN, ID 83849
" 47.508077 -116.005987 1 0 1.15 6601 129 659 19 4 96484 14.25 815.46 97299.46 76.8276235282463 0.000169420204198412 16.4844943815953 90.6843799321461 0.000121600405845827 11.8316538245798
"PLUMMER PUBLIC" 1026 "800 D ST
PLUMMER, ID 83851
" 47.334131 -116.891763 1 0 1.35 16567 482 439 4 3 227531 14.25 641.115 228172.115 40.2831570441851 0.000616244421807018 140.609793080659 57.3073433830017 0.000304494496593733 69.4771532936524
"WEST BONNER DISTRICT" 8025 "118 MAIN ST
PRIEST RIVER, ID 83856
" 48.180051 -116.907411 1 1 5.53 20025 619 1672 41 18 291451 7 2514.75 293965.75 51.7356465726567 0.000373611501860879 109.82898535316 69.6751463332795 0.000205989090938831 60.5537376096518
"EAST BONNER COUNTY DISTRICT" 32736 "1407 CEDAR ST
SANDPOINT, ID 83864
" 48.275998 -116.568075 1 1 35.33 129405 14886 26241 185 49 2221526 3 8245.74 2229771.74 67.4859771792879 0.000219569957858876 489.590886986713 86.7660034548324 0.000132831419091946 296.183744475318
"ST MARIES PUBLIC" 2347 "822 COLLEGE AVE
ST MARIES, ID 83861
" 47.315277 -116.568034 1 0 1.32 17116 490 405 24 10 234905 14.25 1201.3425 236106.3425 54.4985075383787 0.000336690437331418 79.4947477130465 75.8192799532728 0.000173956511046526 41.072235577256
"WALLACE PUBLIC" 760 "415 RIVER ST
WALLACE, ID 83873
" 47.474763 -115.931588 1 0 1.1 14321 440 1275 24 10 209230 22.5 678 209908 80.5603512216379 0.000154083912696866 32.3434459463738 94.423179688568 0.000112161228558246 23.5435391642044
"KELLOGG PUBLIC" 2063 "16 W MARKET AVE
KELLOGG, ID 83837
" 47.533727 -116.121539 1 0 1.46 11893 271 520 24 6 165474 14.25 1100.9325 166574.9325 71.2782184885888 0.000196827749562953 32.7865690975758 83.9866032037978 0.000141768572514372 23.615090397203
"BENEWAH DISTRICT" 1789 "4345 FOX RD
TENSED, ID 83870
" 47.148815 -116.817839 0 2 2 17422 265 2305 13 16 260785 14.25 1064.7975 261849.7975 50.5093510380756 0.000391973243680328 102.638114483112 71.5622553344849 0.000195268397238221 51.1309902749777
"COMMUNITY LIBRARY NETWORK" 105301 "8385 N GOVERNMENT WY
HAYDEN, ID 83835
" 47.747889 -116.786672 0 7 53.76 214658 15854 13337 356 148 3181325 2.25 15171.8175 3196496.8175 40.9131490225805 0.000597412333707461 1909.62662343115 49.2773435072763 0.000411818094902195 1316.37522974378
"PRIEST LAKE DISTRICT" 852 "28769 HWY 57
PRIEST LAKE, ID 83856
" 48.526591 -116.939612 1 0 1.4 12282 540 1080 10 7 181171 22.5 785.1 181956.1 70.7623794189735 0.000199707853730099 36.3380622040993 97.9786744876782 0.000104168612727736 18.9541145143492
"DAVENPORT PUBLIC LIBRARY" 1685 "505 7TH ST
DAVENPORT, WA 99122
" 47.653982 -118.151041 1 0 0.45 13522 438 268 4 3 185151 14.25 787.8375 185938.8375 23.7694158881495 0.00176995808200318 329.103948191401 27.8089154560255 0.00129309935911606 240.437391606034
"HARRINGTON PUBLIC LIBRARY" 415 "S 11 3RD STREET
HARRINGTON, WA 99134
" 47.480775 -118.254906 1 0 0.27 9800 725 325 1 2 141153 22.5 320.625 141473.625 30.0725326898638 0.00110575774179705 156.435556103843 41.5207476356767 0.000580055661647767 82.0625771550831
"ODESSA PUBLIC LIBRARY" 900 "21 E. FIRST STREET
ODESSA, WA 99159
" 47.300427 -117.972606 1 0 0.25 8000 70 200 1 3 107658 22.5 645 108303 26.8285622037778 0.00138932932573194 150.468533964747 39.3987597400176 0.0006442210314182 69.7710703656853
"POMEROY (DENNY ASHBY) LIBRARY" 2240 "856 ARLINGTON ST
POMEROY, WA 99347
" 46.470942 -117.598971 1 0 0.5 11386 214 880 9 4 162537 14.25 1032.6 163569.6 79.3922012964461 0.000158651547475259 25.9505701599091 126.222550859359 6.27662373320671e-05 10.2666483339113
"REARDAN MEMORIAL LIBRARY" 570 "120 S OAK
REARDAN, WA 99029
" 47.669213 -117.88204 1 0 0.25 9209 444 891 0 3 137207 22.5 422.25 137629.25 11.6465809149246 0.00737230176200781 1014.64436227881 15.145960455839 0.00435919566281131 599.952829675973
"RITZVILLE PUBLIC LIBRARY" 3442 "302 W MAIN
RITZVILLE, WA 99169
" 47.126055 -118.381783 1 1 2.68 10135 333 1487 54 12 156657 10 1434.6 158091.6 48.5205004375655 0.000424765716581347 67.1518917594917 62.3056656766128 0.000257599442744259 40.7243080625482
"SPRAGUE PUBLIC LIBRARY" 440 "119 WEST SECOND
SPRAGUE, WA 99032
" 47.299472 -117.975937 1 0 0.3 4000 110 700 1 5 62768 22.5 342 63110 26.9722084959382 0.00137457038788232 86.7491371792529 39.4391489678999 0.000642902226751901 40.5735595303125
"WAITSBURG (WELLER) PUBLIC LIBRARY" 1220 "212 MAIN STREET
WAITSBURG, WA 99361
" 46.270152 -118.154936 1 0 0.4 7226 306 150 3 2 99995 14.25 581.55 100576.55 96.3255164249503 0.000107774820423564 10.8396196150716 138.838902904296 5.18773344913195e-05 5.21764332633292
"WILBUR (HESSELTINE) PUBLIC LIBRARY" 875 "14 NW DIVISION
WILBUR, WA 99185
" 47.75856 -118.704673 1 0 0.4 11369 59 145 13 2 150708 22.5 650.625 151358.625 50.3406989899802 0.000394604030621313 59.7267234942998 57.0488523245554 0.000307260106026575 46.5064671655366
"ASOTIN COUNTY LIBRARY" 21950 "417 SYCAMORE ST.
CLARKSTON, WA 99403
" 46.412681 -117.0432 1 2 10.5 59695 1943 1847 112 29 828066 4.5 4538.25 832604.25 88.0734918052821 0.000128916815821005 107.336688749036 117.866330296892 7.19814308875613e-05 59.9320452780648
"PEND OREILLE COUNTY LIBRARY DISTRICT" 13210 "116 S. WASHINGTON AVENUE
NEWPORT, WA 99156
" 48.180859 -117.04404 1 3 7 45724 2488 6382 74 25 711809 4.5 2833.35 714642.35 47.8357774289197 0.000437012970468864 312.307976196349 63.1724806442393 0.000250578692022596 179.074145326954
"PULLMAN (NEILL) PUBLIC LIBRARY" 31420 "210 N GRAND AVE
PULLMAN, WA 99163
" 46.730633 -117.180973 1 0 16.7 65839 4095 6894 890 18 1011144 3 5332.8 1016476.8 65.1436571839665 0.000235643642522486 239.5262956916 85.8991884872059 0.00013552576833236 137.758799312018
"WHITMAN COUNTY LIBRARY" 15080 "102 S. MAIN STREET
COLFAX, WA 99111
" 46.880817 -117.364712 1 13 12.9 31645 2437 6942 90 45 536507 4.5 3970.8 540477.8 52.6685108852159 0.000360493900439156 194.838950222774 70.3654914436974 0.000201967062808506 109.158713779203
"SPOKANE COUNTY LIBRARY DISTRICT" 263525 "4322 N ARGONNE RD
SPOKANE, WA 99212
" 47.696439 -117.28281 0 10 132.1 344711 43390 41771 1010 147 5608081 2.25 37602.9375 5645683.9375 17.6698530471024 0.00320283174698522 18082.1757484695 23.3114195881542 0.00184018953746952 10389.1285136472
"SPOKANE PUBLIC LIBRARY" 212300 "906 W. MAIN AVE.
SPOKANE, WA 99201
" 47.659033 -117.425603 1 5 105.5 359660 29644 32739 733 201 5505133 2.25 30155.25 5535288.25 10.5562810718411 0.00897383561021119 49672.7668106336 14.9837821715734 0.00445407061818668 24654.564757519
"STEVENS COUNTY RURAL LIBRARY DISTRICT" 43900 "4008 CEDAR ST.
LOON LAKE, WA 99148
" 48.062531 -117.633324 0 8 16.8999999999999 79665 2802 7870 440 45 1182126 3 6485.99999999999 1188612 30.7353945715342 0.00105857690400646 1258.23721102493 51.2837560739185 0.000380224719623424 451.939664441037
"LIBERTY LAKE MUNICIPAL LIBRARY" 8675 "23123 E. MISSION AVE
LIBERTY LAKE, WA 99019
" 47.671289 -117.093993 1 0 6 33568 1120 2029 24 16 478353 7 2721.75 481074.75 25.8868120864311 0.00149225436419144 717.885895189806 30.6821429902942 0.00106225460098899 511.023866607126
"COLUMBIA COUNTY RURAL LIBRARY DISTRICT" 3950 "111 S 3RD ST.
DAYTON, WA 99328
" 46.320936 -117.977538 1 0 4 18464 1890 1099 50 11 280034 10 1785 281819 91.1119305143045 0.000120461842773357 33.9484360685447 136.684603626331 5.35255088410108e-05 15.0845053760648
