"Library Name" "Service Area Population" "Address" "Latitude" "Longitude" "Central Libraries" "Branch Libraries" "Total Staff" "Print Materials" "Audio Materials" "Video Materials" "Print Serials" "Computers" "Collection Space" "Seats Per" "Work Space" "Size" "Distance" "Weight" "SizeWeight" "Drive Distance" "Drive Weight" "Drive SizeWeight"
"CLIO - ELTON B. STEPHENS LIBRARY" 3859 "17 SCHOOL STREET
CLIO, AL 36017
" 31.70876 -85.61209 1 0 1 20083 239 644 0 18 273368 10 1307.7 274675.7 61.3639287884784 0.000265566741884908 72.9447307239563 75.2743360632309 0.000176484322771831 48.4759548963787
"FLORALA PUBLIC LIBRARY" 6445 "1214 FOURTH STREET
FLORALA, AL 36442
" 31.020628 -86.326526 1 0 3 16945 201 1409 31 10 242068 7 1803.45 243871.45 96.2567296351387 0.000107928911111084 26.3207800495811 124.435482868754 6.45820051909183e-05 15.7497072498168
"CHEAHA REGIONAL LIBRARY" 100328 "935 COLEMAN STREET
HEFLIN, AL 36264
" 33.643758 -85.58892 1 0 3 20650 2690 590 2 6 311386 2.25 7222.14 318608.14 93.5639864731838 0.000114230628167719 36.3948079715486 104.975952875092 9.07445077436113e-05 28.9119388274076
"ROANOKE - ANNIE L. AWBREY PUBLIC LIBRARY" 6015 "736 COLLEGE STREET
ROANOKE, AL 36274
" 33.149541 -85.370689 1 0 4 19886 375 227 0 18 267154 7 1863.15 269017.15 72.3850442260299 0.000190854459375845 51.3431227260805 89.1073359265289 0.000125942723540694 33.8807525501554
"ASHLAND CITY PUBLIC LIBRARY" 1952 "11 2ND AVENUE NORTH
ASHLAND, AL 36251
" 33.274741 -85.837242 1 0 2 24119 341 1697 0 15 340716 14.25 1134.48 341850.48 64.4473824116148 0.000240762827180149 82.304888037691 71.8667279754434 0.000193617342730584 66.1881815487747
"SYLACAUGA - B. B. COMER MEMORIAL LIBRARY" 12761 "314 NORTH BROADWAY AVENUE
SYLACAUGA, AL 35150
" 33.171811 -86.250731 1 0 13.2 100884 1269 95 101 50 1332787 4.5 3702.735 1336489.735 52.6474559884294 0.000360782297265223 482.181836864689 58.4419700001243 0.000292785999712878 391.305483167974
"CHILDERSBURG - EARLE A. RAINWATER MEMORIAL LIBRARY" 5124 "124 NINTH AVENUE SW
CHILDERSBURG, AL 35044
" 33.277559 -86.355669 1 0 5 59707 1758 2981 36 19 839121 7 1826.04 840947.04 60.2635668768982 0.000275353330502558 231.557568240268 67.8072998869102 0.000217493908614421 182.900858667328
"LINCOLN PUBLIC LIBRARY" 6337 "49 COMPLEX DRIVE
LINCOLN, AL 35096
" 33.604489 -86.123587 1 0 2 14447 155 67 4 15 191424 7 1630.77 193054.77 82.9130494639408 0.0001454635637425 28.0824348416886 91.2255955857681 0.000120161844209887 23.1978171967155
"LINEVILLE PUBLIC LIBRARY" 2308 "60119 HIGHWAY 49
LINEVILLE, AL 36266
" 33.314594 -85.754458 1 0 1 15415 678 0 2 3 209370 14.25 1136.67 210506.67 68.8865378375358 0.000210732385654893 44.3605727653672 77.8530329203276 0.000164986696915166 34.7308001619108
"HEFLIN - LUCILE L. MORGAN PUBLIC LIBRARY" 3457 "541 ROSS STREET
HEFLIN, AL 36264
" 33.643722 -85.587874 1 0 0.55 17526 301 1075 25 7 246366 10 1119.6 247485.6 93.5866719510626 0.000114175255703701 28.2567316629838 104.915679719637 9.08488015710882e-05 22.4837701661017
"OXFORD PUBLIC LIBRARY" 21275 "110 EAST 6TH STREET
OXFORD, AL 36203
" 33.60972 -85.835517 1 0 8 55199 3320 2608 32 53 797452 4.5 4072.125 801524.125 86.3875508857031 0.00013399780256521 107.402471453003 98.2794188922167 0.00010353205638199 82.9834409010255
"TALLADEGA - ARMSTRONG-OSBORNE PUBLIC LIBRARY" 15591 "202 SOUTH STREET EAST
TALLADEGA, AL 35160
" 33.433119 -86.099763 1 0 8 150437 1819 121 144 27 1983988 4.5 3304.785 1987292.785 71.2740314429434 0.000196850875825407 391.200325248763 79.4095716256354 0.000158582147070757 315.149156703523
"ABBEVILLE MEMORIAL LIBRARY" 7645 "301 KIRKLAND STREET
ABBEVILLE, AL 36310
" 31.567293 -85.250467 1 0 2.65 26348 844 489 40 19 361228 7 2002.95 363230.95 82.8078241815175 0.0001458334845756 52.9712351442056 99.6271763580101 0.000100749838033673 36.5954593813172
"HEADLAND - BLANCHE R. SOLOMON MEMORIAL LIBRARY" 9642 "17 PARK STREET
HEADLAND, AL 36345
" 31.352359 -85.341934 1 0 3 15276 489 522 30 16 212841 7 2474.82 215315.82 90.6517902192404 0.000121687853311564 26.2013199198192 107.934308474281 8.58382733674829e-05 18.4823382175038
"BRUNDIDGE - TUPPER LIGHTFOOT MEMORIAL LIBRARY" 8496 "164 SOUTH MAIN STREET
BRUNDIDGE, AL 36010
" 31.718949 -85.815511 1 0 4 12109 147 528 24 19 167359 7 2384.16 169743.16 54.2664405577045 0.000339576265165951 57.6407483102665 62.6610908819765 0.000254685428048624 43.2311093629261
"OZARK - DALE COUNTY PUBLIC LIBRARY" 37931 "416 JAMES STREET
OZARK, AL 36360
" 31.452208 -85.632765 1 0 7 62515 2472 2289 0 42 876478 3 4463.79 880941.79 75.6179930593819 0.000174883850364812 154.06249218247 85.3126126238085 0.0001373958185906 121.037718367718
"LOUISVILLE PUBLIC LIBRARY" 2810 "1951 MAIN STREET
LOUISVILLE, AL 36048
" 31.782949 -85.555864 1 0 0.6 4071 0 15 0 2 53208 10 933 54141 59.58488089078 0.00028166173420644 15.2494479516708 73.9365205612239 0.000182928756510851 9.903945806254
"MIDLAND CITY - MARY BERRY BROWN MEMORIAL LIBRARY" 2403 "1318 HINTON WATERS AVENUE
MIDLAND CITY, AL 36350
" 31.336223 -85.523526 1 0 2 8581 130 771 0 18 124076 14.25 1327.2825 125403.2825 85.767663840982 0.000135941744359473 17.0475409714538 96.005816048815 0.000108493798104022 13.6054784131367
"NEWTON PUBLIC LIBRARY" 2162 "209 OATES DRIVE
NEWTON, AL 36352
" 31.331947 -85.596851 1 0 1 12955 260 50 0 8 172805 14.25 1074.255 173879.255 83.964810867121 0.000141842171665085 24.6634111367071 94.0373072191085 0.000113083601367652 19.6628923585244
"CLAYTON - TOWN AND COUNTY PUBLIC LIBRARY" 5283 "45 NORTH MIDWAY STREET
CLAYTON, AL 36016
" 31.88458 -85.458798 1 0 2 16209 152 164 5 16 215610 7 1409.43 217019.43 59.0196377701187 0.000287082632888368 62.3025093523328 71.5212447338661 0.000195492396980261 42.4256485619899
"TROY PUBLIC LIBRARY" 24686 "500 EAST WALNUT STREET
TROY, AL 36081
" 31.808533 -85.967735 1 0 12 77367 3470 2765 89 16 1088703 4.5 5132.61 1093835.61 44.8639985747303 0.00049682568922743 543.445630839756 51.080567189034 0.000383255660696285 419.218689403674
"UNION SPRINGS PUBLIC LIBRARY" 10474 "103 NORTH PRAIRIE STREET
UNION SPRINGS, AL 36089
" 32.140621 -85.716112 1 0 5 13112 0 46 14 24 172316 4.5 2163.99 174479.99 36.4936070331292 0.000750872877919607 131.012292230684 44.2926914138715 0.000509724910911258 88.9367973585473
"ANDALUSIA PUBLIC LIBRARY" 18322 "212 SOUTH THREE NOTCH STREET
ANDALUSIA, AL 36420
" 31.306848 -86.482913 1 0 8 49917 1211 1660 0 32 687684 4.5 3673.47 691357.47 77.5528869578108 0.000166266234517729 114.949403242604 97.5207227807673 0.000105149249472785 72.6957190879036
"BRANTLEY PUBLIC LIBRARY" 3526 "10 MLK DRIVE
BRANTLEY, AL 36009
" 31.579297 -86.292382 1 0 2 6385 0 0 0 4 83185 10 1357.8 84542.8 57.5605962569694 0.000301820984866984 25.5167911594124 70.1964780593287 0.000202940793447636 17.1571829122848
"ELBA PUBLIC LIBRARY" 9806 "406 SIMMONS STREET
ELBA, AL 36323
" 31.414525 -86.066332 1 0 2 19381 577 573 21 8 267536 7 2359.26 269895.26 69.7680178397923 0.000205441052309535 55.4475662277556 80.7492512458523 0.00015336384633263 41.3921751805452
"GENEVA - EMMA KNOX KENAN LIBRARY" 8456 "312 SOUTH COMMERCE STREET
GENEVA, AL 36340
" 31.036254 -85.865089 1 0 2.5 17272 263 693 48 3 237723 7 2150.76 239873.76 97.7650151741149 0.000104624418200615 25.096652581594 110.009693414692 8.26300644124142e-05 19.820784239648
"ENTERPRISE PUBLIC LIBRARY" 41446 "101 EAST GRUBBS STREET
ENTERPRISE, AL 36330
" 31.314037 -85.852791 1 0 5.6 54307 3613 3589 9 28 800994 3 4570.14 805564.14 79.4055986113476 0.000158598016604119 127.760874851403 86.5901549703605 0.00013337147868249 107.439280525388
"HARTFORD - MCGREGOR-MCKINNEY PUBLIC LIBRARY" 6613 "101 EAST FULTON STREET
HARTFORD, AL 36344
" 31.098268 -85.696746 1 0 2 22683 1170 583 39 10 318625 7 1688.73 320313.73 96.4840132096047 0.000107421022287579 34.4084283293476 105.222637851542 9.0319521884167e-05 28.9305829465342
"LUVERNE PUBLIC LIBRARY" 10557 "148 EAST THIRD STREET
LUVERNE, AL 36049
" 31.716331 -86.261409 1 0 4 15601 1634 1418 25 14 243444 4.5 2025.195 245469.195 48.0360965796478 0.000433375725136707 106.380390381849 58.6258963301726 0.000290951773384759 71.4196975965792
"OPP PUBLIC LIBRARY" 13188 "1604 NORTH MAIN STREET
OPP, AL 36467
" 31.307106 -86.254976 1 0 4 27587 1081 994 24 9 386323 4.5 2380.38 388703.38 76.340649278051 0.000171588548858958 66.697048910772 88.5692271365902 0.000127477720790693 49.5510209460386
"SAMSON PUBLIC LIBRARY" 5906 "200 NORTH JOHNSON STREET
SAMSON, AL 36477
" 31.116736 -86.045997 1 0 0.2 8055 178 202 20 7 110230 7 1270.26 111500.26 90.3260775437959 0.000122567039899994 13.6662568162797 104.709383971069 9.12071301763225e-05 10.1696187285138
"SLOCOMB PUBLIC LIBRARY" 5956 "134 SOUTH DALTON AVENUE
SLOCOMB, AL 36375
" 31.107025 -85.593672 1 0 1 8843 116 0 0 10 116917 7 1400.76 118317.76 98.1438104453151 0.000103818361161522 12.2835559395023 111.448792672773 8.05098956522928e-05 9.52575051141302
"HORSESHOE BEND REGIONAL LIBRARY" 147615 "207 NORTH WEST STREET
DADEVILLE, AL 36853
" 32.833347 -85.765396 1 0 3.6 48017 1283 572 9 4 648633 2.25 10504.0125 659137.0125 40.7279219097306 0.000602858650915019 397.366450123906 52.57993960257 0.000361709432447991 238.416074696839
"ALEXANDER CITY - ADELIA MCCONNELL RUSSELL LIBRARY" 14728 "318 CHURCH STREET
ALEXANDER CITY, AL 35010
" 32.941472 -85.953922 1 1 10.8 30465 1296 1074 48 30 428829 4.5 3608.28 432437.28 40.6125169256337 0.000606289698673328 262.182268186314 46.1984415971765 0.000468538570650532 202.613545067204
"DADEVILLE PUBLIC LIBRARY" 3194 "205 NORTH WEST STREET
DADEVILLE, AL 36853
" 32.833341 -85.765396 1 0 2.5 10347 375 780 10 10 150106 10 1333.2 151439.2 40.7276246574366 0.00060286745092594 91.2977644742637 52.57993960257 0.000361709432447991 54.7769870823778
"GOODWATER PUBLIC LIBRARY" 1396 "36 WEOGUFKA STREET
GOODWATER, AL 35072
" 33.063838 -86.05249 1 0 1 17175 451 1842 32 12 254040 14.25 746.79 254786.79 46.6477717703143 0.000459555737761453 117.088731250322 51.8846235102589 0.000371469071763061 94.6454123787899
"AUBURN PUBLIC LIBRARY" 56908 "749 EAST THACH AVENUE
AUBURN, AL 36830
