"Library Name" "Service Area Population" "Address" "Latitude" "Longitude" "Central Libraries" "Branch Libraries" "Total Staff" "Print Materials" "Audio Materials" "Video Materials" "Print Serials" "Computers" "Collection Space" "Seats Per" "Work Space" "Size" "Distance" "Weight" "SizeWeight" "Drive Distance" "Drive Weight" "Drive SizeWeight"
"ST. MARY'S COUNTY LIBRARY" 107484 "23250 HOLLYWOOD ROAD
LEONARDTOWN, MD 20650
" 38.3047 -76.632815 0 3 54.06 184420 19124 43146 1771 110 3234943 2.25 15364.17 3250307.17 85.7909345210087 0.000135868006316844 441.612755105242 146.031292331018 4.68930134971509e-05 152.416697992696
"SOMERSET COUNTY LIBRARY" 26339 "11767 BEECHWOOD STREET
PRINCESS ANNE, MD 21853
" 38.204373 -75.69247 1 2 13.7 48490 6969 13441 86 26 897988 3 4425.51 902413.51 85.703642936612 0.00013614491808102 122.859013394155 136.908919184262 5.33502570244654e-05 48.1439927008499
"WICOMICO PUBLIC LIBRARY" 99190 "122 SOUTH DIVISION STREET
SALISBURY, MD 21801
" 38.365292 -75.600625 1 2 41.17 138727 7203 13168 53 98 2073373 2.25 12870.825 2086243.825 97.8981421508566 0.000104340064239493 217.678814719745 149.838443088471 4.45403367663479e-05 92.9220025422137
"WORCESTER COUNTY LIBRARY" 51514 "307 N WASHINGTON STREET
SNOW HILL, MD 21863
" 38.17813 -75.393818 0 5 42.2 180813 16224 16450 259 116 2783918 2.25 9807.195 2793725.195 92.3587707485243 0.000117231335349112 327.512135208308 134.384281755254 5.53736372131624e-05 154.698725421201
"ALBEMARLE REGIONAL LIBRARY" 78340 "303 W TRYON ST
WINTON, NC 27986
" 36.390546 -76.934648 1 6 17.89 198954 9274 14130 123 98 2896663 2.25 7971.45 2904634.45 57.5776767336011 0.000301641940420703 876.159571710822 72.3600979283433 0.000190986077021385 554.744738786667
"EAST ALBEMARLE REGIONAL LIBRARY" 109411 "100 E COLONIAL AVE
ELIZABETH CITY, NC 27909
" 36.300941 -76.223593 1 7 45.62 216186 8276 16052 123 113 3133366 2.25 14228.2425 3147594.2425 54.6529608607319 0.000334790102062271 1053.78339769719 67.9191469795071 0.000216778174311955 682.32973336397
"PETTIGREW REGIONAL LIBRARY" 45555 "201 E THIRD ST
PLYMOUTH, NC 27962
" 35.865753 -76.747521 0 4 18.16 122062 4429 5889 161 53 1725418 3 6823.95 1732241.95 86.9607598420271 0.000132237109692897 229.066668756788 116.298606882324 7.39351528640812e-05 128.073573370824
"HALIFAX COUNTY LIBRARY SYSTEM" 38162 "33 GRANVILLE ST
HALIFAX, NC 27839
" 36.327506 -77.588909 1 4 10 94489 901 0 64 52 1243242 3 4934.58 1248176.58 85.9367964326529 0.000135407175816362 169.012065617926 107.087998806964 8.72003833855988e-05 108.841476308926
"ROANOKE RAPIDS PUBLIC LIBRARY" 15543 "319 ROANOKE AVE
ROANOKE RAPIDS, NC 27870
" 36.467303 -77.651579 1 0 5.4 35431 880 3481 40 13 518401 4.5 2908.305 521309.305 83.3308403712095 0.000144008616063729 75.0730315541945 112.496427106764 7.90173646323365e-05 41.1924874394149
"APPOMATTOX REGIONAL LIBRARY SYSTEM" 86625 "209 EAST CAWSON STREET
HOPEWELL, VA 23860
" 37.304712 -77.287039 1 7 45 212276 7200 11100 250 120 3006138 2.25 12597.1875 3018735.1875 53.3657477380462 0.000351135550926347 1059.98524316356 77.8660817477972 0.000164931404482208 497.884234234237
"CAROLINE LIBRARY, INC." 28826 "17202 RICHMOND TURNPIKE
BOWLING GREEN, VA 22427
" 38.023874 -77.339538 1 3 13 58747 3027 4172 13 49 859672 3 4544.34 864216.34 84.3871674266225 0.000140425888735565 121.358347604297 106.188251084295 8.86843656485497e-05 76.6424778960113
"CHESAPEAKE PUBLIC LIBRARY" 225898 "298 CEDAR ROAD
CHESAPEAKE, VA 23322
" 36.714295 -76.246876 1 6 124.59 400237 37927 49819 571 335 6366277 2.25 33936.615 6400213.615 26.2849312313936 0.0014473924728628 9263.621011065 39.6864553170865 0.000634914694684912 4063.58967328594
"CHESTERFIELD COUNTY PUBLIC LIBRARY" 319641 "9501 LORI ROAD
CHESTERFIELD, VA 23832
" 37.381785 -77.513931 1 8 114.09 663248 44492 60471 617 251 10006059 2.25 38689.2675 10044748.2675 66.8580155772909 0.000223713934461117 2247.15015559391 87.1705171063914 0.0001316014745522 1321.90368350866
"COLONIAL HEIGHTS PUBLIC LIBRARY" 17556 "1000 YACHT BASIN DRIVE
COLONIAL HEIGHTS, VA 23834
" 37.26443 -77.391845 1 0 6 59055 3437 8719 58 28 927757 4.5 3270.06 931027.06 58.2749783198732 0.000294466408033512 274.156194140201 90.972075509215 0.000120832509078816 112.498335680073
"EASTERN SHORE PUBLIC LIBRARY" 45768 "23610 FRONT ST.
ACCOMAC, VA 23301
" 37.720398 -75.662916 1 3 8.5 135324 3247 6172 111 46 1885172 3 5394.12 1890566.12 58.3515769792621 0.000293693817858666 555.247581697044 95.908260529161 0.00010871462479346 205.532186383027
"ESSEX PUBLIC LIBRARY" 11287 "117 N. CHURCH LANE
TAPPAHANNOCK, VA 22560
" 37.910818 -76.855705 1 0 4.37 24646 2116 2309 64 8 379115 4.5 2179.245 381294.245 63.3830085824193 0.000248916852197327 94.9105632263564 73.1237650216859 0.000187017785943699 71.3088054929745
"GLOUCESTER COUNTY PUBLIC LIBRARY" 36987 "6920 MAIN STREET
GLOUCESTER, VA 23061
" 37.412909 -76.522651 1 1 15.8 76236 6899 3642 151 44 1132044 3 5698.83 1137742.83 24.4983986588345 0.00166619031161189 1895.6960804519 29.225645295587 0.00117077052945999 1332.03577546841
"HAMPTON PUBLIC LIBRARY" 137372 "4207 VICTORIA BLVD
HAMPTON, VA 23669
