"Library Name" "Service Area Population" "Address" "Latitude" "Longitude" "Central Libraries" "Branch Libraries" "Total Staff" "Print Materials" "Audio Materials" "Video Materials" "Print Serials" "Computers" "Collection Space" "Seats Per" "Work Space" "Size" "Distance" "Weight" "SizeWeight" "Drive Distance" "Drive Weight" "Drive SizeWeight"
"BEULAH PUBLIC LIBRARY" 3121 "116 CENTRAL AVENUE N
BEULAH, ND 58523
" 47.263694 -101.777993 1 0 3 13500 300 920 45 9 192350 10 1386.3 193736.3 82.2602252760684 0.000147781547831458 28.6306502851396 113.803173971939 7.72131464840542e-05 14.9589893111787
"BOTTINEAU COUNTY PUBLIC LIBRARY" 6736 "314 WEST 5TH STREET
BOTTINEAU, ND 58318
" 48.827323 -100.449375 1 0 2.5 27471 452 879 53 6 375385 7 1789.56 377174.56 49.638819559698 0.000405842112257781 153.073320120299 69.0040637776977 0.00021001516902904 79.2123789718537
"CANDO COMMUNITY LIBRARY" 1115 "523 MAIN
CANDO, ND 58324
" 48.489868 -99.203228 1 0 1 26000 360 280 6 4 346578 14.25 626.6625 347204.6625 98.1013894616257 0.000103908166805147 36.0773999865747 126.998024034697 6.20020533380905e-05 21.5274020035587
"DIVIDE COUNTY PUBLIC LIBRARY" 2314 "204 FIRST STREET NE
CROSBY, ND 58730
" 48.913897 -103.293401 1 0 2 18270 334 759 30 6 252379 14.25 1289.235 253668.235 95.718350173493 0.00010914644407249 27.6869858243947 117.399679371668 7.25548048558156e-05 18.4048492885442
"GARRISON PUBLIC LIBRARY" 1453 "32 SOUTH MAIN STREET
GARRISON, ND 58540
" 47.651077 -101.417439 1 0 1 22435 678 990 2 6 313635 14.25 771.1575 314406.1575 53.0203652084477 0.000355725149264352 111.842177306319 64.4674214274174 0.000240613173288431 75.6502632574972
"HARVEY PUBLIC LIBRARY" 1783 "119 EAST TENTH STREET
HARVEY, ND 58341
" 47.768561 -99.936053 1 0 1 15635 647 510 80 5 219561 14.25 912.2325 220473.2325 78.7631523555904 0.000161195836627294 35.5393671667613 89.1396473088347 0.000125851436530351 27.7468730266151
"HAZEN PUBLIC LIBRARY" 2411 "203 EAST MAIN
HAZEN, ND 58545
" 47.511308 -101.452539 1 0 2 11283 378 631 41 12 160869 14.25 1330.7025 162199.7025 62.7852228441494 0.000253679352158413 41.1467154504874 81.0767146780668 0.000152127495502152 24.6750345125191
"HEART OF AMERICA LIBRARY" 4451 "201 W THIRD STREET
RUGBY, ND 58368
" 48.356247 -99.998922 1 0 2 30709 660 843 90 6 420196 10 1635.3 421831.3 61.682978683635 0.000262826604617717 110.868488300478 78.1171163334038 0.000163873071500169 69.1267907859092
"KILLDEER PUBLIC LIBRARY" 751 "101 HIGH STREET NW
KILLDEER, ND 58640
" 47.372029 -102.754347 1 0 1.2 23130 288 320 55 17 310074 22.5 686.925 310760.925 97.5865977086615 0.00010500733733551 32.6321772821702 151.873438800999 4.33547161145737e-05 13.4729516828773
"STANLEY PUBLIC LIBRARY" 1458 "116 MAIN ST
STANLEY, ND 58784
" 48.317819 -102.390596 1 0 1 12406 150 1613 3 9 184641 14.25 773.295 185414.295 48.8141065614509 0.000419671338694862 77.813065395814 65.3261585494675 0.000234328848704585 43.4479182807223
"MADDOCK COMMUNITY LIBRARY" 382 "114 CENTRAL AVENUE
MADDOCK, ND 58348
" 47.962432 -99.530109 1 0 1 7500 40 40 1 4 98733 22.5 407.85 99140.85 89.1011191789089 0.000125960298660919 12.4878110754974 124.388879913505 6.46304062393438e-05 6.40751341041384
"MCKENZIE COUNTY PUBLIC LIBRARY" 9314 "112 SECOND AVENUE NE
WATFORD CITY, ND 58854
" 47.802287 -103.282938 1 0 2.95 22211 1089 748 37 6 313375 7 2398.44 315773.44 99.3194476282374 0.000101375126450372 32.0115724096688 140.382392782134 5.07428339795513e-05 16.0232392410718
"MCLEAN-MERCER REGIONAL LIBRARY" 7819 "216 SECOND ST.
RIVERDALE, ND 58565
" 47.497604 -101.376682 1 0 3 31492 1173 1168 10 3 440094 7 2091.99 442185.99 63.535681763384 0.000247722019090464 109.539206256316 76.9594989250252 0.000168840075315555 74.6587158550834
"MINOT PUBLIC LIBRARY" 46321 "516 2ND AVE SW
MINOT, ND 58701
" 48.23427 -101.300898 1 0 17.0799999999999 130013 6248 5223 318 28 1844686 3 6730.88999999998 1851416.89 12.6732913084632 0.00622617272536197 11527.2413437925 15.2789342214821 0.00428364899880465 7930.82010721852
"MOHALL PUBLIC LIBRARY" 783 "115 MAIN STREET WEST
MOHALL, ND 58761
" 48.763478 -101.512842 1 0 1 15750 653 0 0 2 213329 22.5 678.525 214007.525 25.3391587852169 0.00155745538268737 333.307171746853 35.8811686778431 0.000776724206641174 166.224825070866
"NEW TOWN PUBLIC LIBRARY" 1925 "103 MAIN SOOLINE PLACE
NEW TOWN, ND 58763
" 47.981452 -102.479719 1 0 1 9887 155 25 0 7 131186 14.25 972.9375 132158.9375 60.5830270815166 0.000272457056974391 36.0076351641125 90.7173126871885 0.000121512133621565 16.0589144727841
"PARSHALL PUBLIC LIBRARY" 903 "23 NORTH MAIN
PARSHALL, ND 58770
" 47.955612 -102.133424 1 0 0.6 7110 42 15 0 3 93306 22.5 699.525 94005.525 48.5440372194091 0.000424353917526935 39.8916128029263 76.1430151490673 0.000172480443234492 16.2141146184911
"ROLLA PUBLIC LIBRARY" 1280 "14 FIRST STREET SE
ROLLA, ND 58367
" 48.859047 -99.615024 1 0 0.57 13000 350 150 8 13 176189 14.25 632.7 176821.7 84.5444861218811 0.000139903771568901 24.7380227252247 107.905725328395 8.58837547882374e-05 15.1861115240393
"TURTLE LAKE PUBLIC LIBRARY" 581 "107 EGGERT STREET
TURTLE LAKE, ND 58575
" 47.522048 -100.891508 1 0 1 7869 26 368 5 4 107664 22.5 542.175 108206.175 65.1967907829133 0.000235259712802175 25.4565536539219 75.9578460735457 0.00017332240953428 18.754554977488
"UNDERWOOD PUBLIC LIBRARY" 778 "88 LINCOLN AVE
UNDERWOOD, ND 58576
" 47.456326 -101.137124 1 0 1 6267 53 201 8 3 85012 22.5 675.15 85687.15 67.0206075352214 0.000222629791353522 19.076512326178 75.0798463966595 0.000177399850342042 15.2008875862361
