"Library Name" "Service Area Population" "Address" "Latitude" "Longitude" "Central Libraries" "Branch Libraries" "Total Staff" "Print Materials" "Audio Materials" "Video Materials" "Print Serials" "Computers" "Collection Space" "Seats Per" "Work Space" "Size" "Distance" "Weight" "SizeWeight" "Drive Distance" "Drive Weight" "Drive SizeWeight"
"COALINGA-HURON UNIFIED SCHOOL DISTRICT LIBR" 26005 "305 N. FOURTH ST.
COALINGA, CA 93210
" 36.141551 -120.360426 1 1 13 73931 1781 7746 108 20 1087258 3 4290.45 1091548.45 96.0930195259409 0.000108296973327596 118.211393375429 152.796177314924 4.28326576258305e-05 46.753921040856
"KERN COUNTY LIBRARY" 873092 "701 TRUXTUN AVE.
BAKERSFIELD, CA 93301
" 35.373264 -119.009312 1 24 90.2 921074 37496 25049 572 244 12805463 2.25 72463.71 12877926.71 95.3448628572242 0.000110003221327852 1416.61342212399 142.860427255894 4.89977469801553e-05 630.989394565563
"LOMPOC PUBLIC LIBRARY" 66116 "501 E. NORTH AVE.
LOMPOC, CA 93436
" 34.653339 -120.451743 1 2 10.25 68953 6187 12720 96 52 1145768 2.25 6000.33 1151768.33 8.13273995540372 0.0151191100463175 17413.7121291333 9.26404613071197 0.0116519491870643 13420.3460564299
"OXNARD PUBLIC LIBRARY" 203645 "251 SOUTH A ST.
OXNARD, CA 93030
" 34.200977 -119.178572 1 2 49.5 331641 20591 15129 235 96 4783068 2.25 21171.0375 4804239.0375 85.4688538890134 0.000136893945117782 657.67123513223 101.203598990891 9.76355744399075e-05 469.064638172941
"PASO ROBLES PUBLIC LIBRARY" 30469 "1000 SPRING ST.
PASO ROBLES, CA 93446
" 35.624654 -120.691204 1 1 8.67 67021 6131 8119 89 14 1058310 3 4042.71 1062352.71 60.7439888354502 0.000271015035729135 287.913557657594 79.532603427492 0.000158091893876457 167.949351888686
"SAN LUIS OBISPO CITY-COUNTY LIBRARY" 241888 "995 PALM ST.
SAN LUIS OBISPO, CA 93401
" 35.282538 -120.662446 1 14 69.5 288156 27387 45164 691 70 4701324 2.25 26752.44 4728076.44 37.2012119260557 0.000722579811155297 3416.41258114301 52.0896765133533 0.000368550223765487 1742.53362994233
"SANTA BARBARA PUBLIC LIBRARY" 222240 "40 E. ANAPAMU ST.
SANTA BARBARA, CA 93101
" 34.42405 -119.703722 1 5 68.5 263935 29042 26879 309 74 4165475 2.25 25276.2 4190751.2 51.7291944098431 0.000373704708515393 1566.10345565653 63.8907875278064 0.000244975987679994 1026.63341434112
"SANTA MARIA PUBLIC LIBRARY" 145042 "421 S. MCCLELLAND ST.
SANTA MARIA, CA 93454
" 34.948884 -120.434287 1 3 41.01 194641 20199 17463 302 90 3027915 2.25 15941.835 3043856.835 13.988834785653 0.00511018847318373 15554.6821122385 18.4852175425951 0.00292651576624428 8907.89501781791
"BLANCHARD/SANTA PAULA PUBLIC LIBRARY DISTRICT" 30448 "119 N. EIGHTH ST.
SANTA PAULA, CA 93060
" 34.353021 -119.06426 1 0 8.6 84532 1191 2633 77 13 1150214 3 4030.32 1154244.32 87.3454022938896 0.000131075010486773 151.292586348298 106.948811313955 8.7427503267084e-05 100.912699057813
"VENTURA COUNTY LIBRARY" 251606 "5600 EVERGLADES ST. SUITE A
VENTURA, CA 93003
" 34.259042 -119.21559 0 12 64.39 425443 11619 19438 378 103 5944049 2.25 26641.905 5970690.905 81.7926100362892 0.000149476137187907 892.475812822369 96.4028732275343 0.000107601925773403 642.45783957574
"MOORPARK CITY LIBRARY" 35172 "699 MOORPARK AVENUE
MOORPARK, CA 93021
" 34.286403 -118.882122 1 0 7.5 47739 2281 4670 59 17 712502 3 4290.48 716792.48 98.6917988350697 0.000102668654453343 73.5921194438749 118.593957771509 7.11008633852048e-05 50.9645641960222
"CAMARILLO PUBLIC LIBRARY" 66752 "4101 LAS POSAS RD
CAMARILLO, CA 93010
" 34.242401 -119.014969 1 0 27.98 249681 14539 22902 189 122 3740533 2.25 8702.76 3749235.76 92.7300802513046 0.000116294380282126 436.015049240786 109.857457094213 8.28592343432993e-05 310.658804446118
