"STATE" "FSCS.ID" "LIBRARY.ID" "LIBRARY.NAME" "LOCALE" "SERVICE.AREA.POPULATION" "LOCATION" "ADDRESS" "LATITUDE" "LONGITUDE" "UNDUPLICATED.POPULATION" "CENTRAL.LIBRARIES" "BRANCH.LIBRARIES" "BOOKMOBILES" "MLS.LIBRARIAN.STAFF" "LIBRARIAN.STAFF" "OTHER.STAFF" "TOTAL.STAFF" "LOCAL.REVENUE" "STATE.REVENUE" "FEDERAL.REVENUE" "OTHER.REVENUE" "TOTAL.REVENUE" "SALARIES" "BENEFITS" "TOTAL.STAFF.EXPENDITURES" "PRINT.EXPENDITURES" "ELECTRONIC.EXPENDITURES" "OTHER.COLLECTION.EXPENDITURES" "TOTAL.COLLECTION.EXPENDITURES" "OTHER.EXPENDITURES" "TOTAL.EXPENDITURES" "LOCAL.CAPITAL.REVENUE" "STATE.CAPITAL.REVENUE" "FEDERAL.CAPITAL.REVENUE" "OTHER.CAPITAL.REVENUE" "TOTAL.CAPITAL.REVENUE" "CAPITAL.EXPENDITURES" "PRINT.MATERIALS" "EBOOKS" "AUDIO.MATERIALS" "AUDIO.DOWNLOADS" "VIDEO.MATERIALS" "VIDEO.DOWNLOADS" "LOCAL.DATABASES" "STATE.DATABASES" "TOTAL.DATABASES" "PRINT.SERIALS" "HOURS" "VISITS" "REFERENCES" "USERS" "TOTAL.CIRCULATION" "KIDS.CIRCULATION" "ELECTRONIC.CIRCULATION" "LOANS.TO" "LOANS.FROM" "TOTAL.PROGRAMS" "KIDS.PROGRAMS" "YA.PROGRAMS" "PROGRAM.AUDIENCE" "KIDS.PROGRAM.AUDIENCE" "YA.PROGRAM.AUDIENCE" "COMPUTERS" "COMPUTER.USES" "WIFI.SESSIONS" "YEAR" "START.DATE" "END.DATE" "REPORTING.STATUS" "BEA.REGION" "STRUCTURE.CHANGE" "NAME.CHANGE" "ADDRESS.CHANGE" "INTERLIBRARY.RELATIONSHIP" "MAILING.ADDRESS" "MAILING.CITY" "MAILING.ZIP" "PHONE" "COUNTY" "COUNTY.POPULATION" "LEGAL.BASIS" "ADMINISTRATIVE.STRUCTURE" "FSCS.DEFINITION" "LSABOUND" "CollectionSpace" "seatsPer" "WorkSpace" "Size" "Distance" "Weight" "SizeWeight" "DriveDistance" "DriveWeight" "DriveSizeWeight"
"AL" "AL0029" "517-001" "CLIO - ELTON B. STEPHENS LIBRARY" 43 3859 "17 SCHOOL STREET
CLIO, AL 36017
(31.70876, -85.61209)" "17 SCHOOL STREET
CLIO, AL 36017
" 31.70876 -85.61209 3859 1 0 0 0 1 0 1 7571 3704 0 0 11275 NA NA NA 1840 0 400 2240 NA 10268 0 0 0 0 0 0 20083 0 239 0 644 0 0 57 57 0 1045 19087 2009 1070 42718 4165 0 0 0 14 5 5 141 71 44 18 6712 0 2015 "2013-10-01" "2014-09-30" 1 5 0 0 0 "ME" "P.O. BOX 88" "CLIO" 36017 3347334858 "BARBOUR" 26887 "CI" "SO" "Y" "N" 273368 10 1307.7 274675.7 61.3639287884784 0.000265566741884908 72.9447307239563 75.2743360632309 0.000176484322771831 48.4759548963787
"AL" "AL0042" "103-006" "FLORALA PUBLIC LIBRARY" 43 6445 "1214 FOURTH STREET
FLORALA, AL 36442
(31.020628, -86.326526)" "1214 FOURTH STREET
FLORALA, AL 36442
" 31.020628 -86.326526 6445 1 0 0 0 1 2 3 62055 6187 0 5952 74194 39264 5504 44768 8703 0 2430 11133 18825 74726 0 0 0 0 0 0 16945 20801 201 0 1409 0 0 57 57 31 1960 18540 338 2916 15991 4329 973 0 0 88 55 0 665 525 0 10 5476 260 2015 "2013-10-01" "2014-09-30" 1 5 0 0 0 "ME" "1214 FOURTH STREET" "FLORALA" 36442 3348583525 "COVINGTON" 37914 "CI" "SO" "Y" "N" 242068 7 1803.45 243871.45 96.2567296351387 0.000107928911111084 26.3207800495811 124.435482868754 6.45820051909183e-05 15.7497072498168
"AL" "AL0010" "101-000" "CHEAHA REGIONAL LIBRARY" 42 100328 "935 COLEMAN STREET
HEFLIN, AL 36264
(33.643758, -85.58892)" "935 COLEMAN STREET
HEFLIN, AL 36264
" 33.643758 -85.58892 100328 1 0 2 0 1 2 3 7650 123918 0 2260 133828 48214 16150 64364 7574 1200 3366 12140 25190 101694 0 0 0 0 0 0 20650 8418 2690 2986 590 15 1 57 58 2 3560 1242 564 8721 83702 22926 16208 238 141 6 2 0 116 79 0 6 344 -1 2015 "2013-10-01" "2014-09-30" 1 5 0 0 0 "HQ" "935 COLEMAN STREET" "HEFLIN" 36264 2564637125 "CLEBURNE" 15080 "MJ" "MA" "Y" "N" 311386 2.25 7222.14 318608.14 93.5639864731838 0.000114230628167719 36.3948079715486 104.975952875092 9.07445077436113e-05 28.9119388274076
"AL" "AL0011" "101-001" "ROANOKE - ANNIE L. AWBREY PUBLIC LIBRARY" 32 6015 "736 COLLEGE STREET
ROANOKE, AL 36274
(33.149541, -85.370689)" "736 COLLEGE STREET
ROANOKE, AL 36274
" 33.149541 -85.370689 6015 1 0 0 0 1 3 4 102248 5348 0 7184 114780 55591 17106 72697 9357 0 0 9357 24001 106055 0 0 0 0 0 1216 19886 0 375 0 227 0 0 57 57 0 2236 32696 2246 7383 37470 11820 0 1 12 134 111 4 3540 2987 10 18 27437 10804 2015 "2013-10-01" "2014-09-30" 1 5 0 0 0 "ME" "736 COLLEGE STREET" "ROANOKE" 36274 3348632632 "RANDOLPH" 22539 "CI" "SO" "Y" "N" 267154 7 1863.15 269017.15 72.3850442260299 0.000190854459375845 51.3431227260805 89.1073359265289 0.000125942723540694 33.8807525501554
"AL" "AL0012" "101-002" "ASHLAND CITY PUBLIC LIBRARY" 42 1952 "11 2ND AVENUE NORTH
ASHLAND, AL 36251
(33.274741, -85.837242)" "11 2ND AVENUE NORTH
ASHLAND, AL 36251
" 33.274741 -85.837242 1952 1 0 0 0 1 1 2 65115 2756 0 6387 74258 NA NA NA 7598 1500 94 9192 NA 65934 8060 0 0 0 8060 8060 24119 20285 341 4872 1697 25 0 57 57 0 2008 13914 821 4414 16470 6363 884 5 2 75 60 8 1344 1201 88 15 4425 129 2015 "2013-10-01" "2014-09-30" 1 5 0 0 0 "ME" "P.O. BOX 296" "ASHLAND" 36251 2563543427 "CLAY" 13552 "CI" "SO" "Y" "N" 340716 14.25 1134.48 341850.48 64.4473824116148 0.000240762827180149 82.304888037691 71.8667279754434 0.000193617342730584 66.1881815487747
"AL" "AL0013" "999-028" "SYLACAUGA - B. B. COMER MEMORIAL LIBRARY" 32 12761 "314 NORTH BROADWAY AVENUE
SYLACAUGA, AL 35150
(33.171811, -86.250731)" "314 NORTH BROADWAY AVENUE
SYLACAUGA, AL 35150
" 33.171811 -86.250731 12761 1 0 0 1 3 10.1999999999999 13.2 627183 12249 10000 73970 723402 418552 95688 514240 23224 13776 1945 38945 176746 729931 0 0 0 0 0 0 100884 20513 1269 5200 95 25 2 57 59 101 2600 59425 14574 30490 174554 55291 4017 15 28 323 117 29 13031 5104 1276 50 14893 1475 2015 "2013-10-01" "2014-09-30" 1 5 0 0 0 "NO" "314 NORTH BROADWAY AVENUE" "SYLACAUGA" 35150 2562490961 "TALLADEGA" 81322 "CI" "SO" "Y" "N" 1332787 4.5 3702.735 1336489.735 52.6474559884294 0.000360782297265223 482.181836864689 58.4419700001243 0.000292785999712878 391.305483167974
"AL" "AL0015" "101-005" "CHILDERSBURG - EARLE A. RAINWATER MEMORIAL LIBRARY" 32 5124 "124 NINTH AVENUE SW
CHILDERSBURG, AL 35044
(33.277559, -86.355669)" "124 NINTH AVENUE SW
CHILDERSBURG, AL 35044
" 33.277559 -86.355669 5124 1 0 0 0 2 3 5 133544 4861 0 20145 158550 70122 21036 91158 21628 1500 1850 24978 26981 143117 0 0 0 0 0 14900 59707 20801 1758 5231 2981 25 1 57 58 36 2490 21148 1700 12990 34123 13877 924 17 16 42 25 0 507 282 0 19 14690 260 2015 "2013-10-01" "2014-09-30" 2 5 0 0 0 "ME" "124 9TH AVENUE SW" "CHILDERSBURG" 35044 2563787239 "TALLADEGA" 81322 "CI" "SO" "Y" "N" 839121 7 1826.04 840947.04 60.2635668768982 0.000275353330502558 231.557568240268 67.8072998869102 0.000217493908614421 182.900858667328
"AL" "AL0016" "101-006" "LINCOLN PUBLIC LIBRARY" 42 6337 "49 COMPLEX DRIVE
LINCOLN, AL 35096
(33.604489, -86.123587)" "49 COMPLEX DRIVE
LINCOLN, AL 35096
" 33.604489 -86.123587 6337 1 0 0 0 2 0 2 138893 5560 0 3000 147453 NA NA NA 8560 0 0 8560 NA 118893 0 0 0 0 0 0 14447 0 155 0 67 0 0 57 57 4 2113 8174 7289 3819 6150 2243 0 19 15 55 40 0 1160 800 0 15 5211 0 2015 "2013-10-01" "2014-09-30" 1 5 0 0 0 "ME" "49 COMPLEX DRIVE" "LINCOLN" 35096 2057634080 "TALLADEGA" 81322 "CI" "SO" "Y" "N" 191424 7 1630.77 193054.77 82.9130494639408 0.0001454635637425 28.0824348416886 91.2255955857681 0.000120161844209887 23.1978171967155
"AL" "AL0017" "101-007" "LINEVILLE PUBLIC LIBRARY" 42 2308 "60119 HIGHWAY 49
LINEVILLE, AL 36266
(33.314594, -85.754458)" "60119 HIGHWAY 49
LINEVILLE, AL 36266
" 33.314594 -85.754458 2308 1 0 0 0 1 0 1 43775 2015 0 2415 48205 NA NA NA 3742 0 600 4342 NA 24581 0 0 0 0 0 0 15415 0 678 0 0 0 1 57 58 2 1857 5401 956 2546 8057 1044 0 0 0 8 8 0 468 468 0 3 174 0 2015 "2013-10-01" "2014-09-30" 1 5 0 0 0 "ME" "P.O.BOX 482" "LINEVILLE" 36266 2563965162 "CLAY" 13552 "CI" "SO" "Y" "N" 209370 14.25 1136.67 210506.67 68.8865378375358 0.000210732385654893 44.3605727653672 77.8530329203276 0.000164986696915166 34.7308001619108
"AL" "AL0018" "101-008" "HEFLIN - LUCILE L. MORGAN PUBLIC LIBRARY" 42 3457 "541 ROSS STREET
HEFLIN, AL 36264
(33.643722, -85.587874)" "541 ROSS STREET
HEFLIN, AL 36264
" 33.643722 -85.587874 3457 1 0 0 0 0.55 0 0.55 25000 3111 0 3342 31453 NA NA NA 1603 0 317 1920 NA 31672 0 0 0 0 0 613 17526 0 301 0 1075 0 0 57 57 25 1214 9332 744 4802 8210 3423 0 7 10 1 1 0 35 35 0 7 2998 115 2015 "2013-10-01" "2014-09-30" 1 5 0 0 0 "ME" "541 ROSS STREET" "HEFLIN" 36264 2564632259 "CLEBURNE" 15080 "CI" "SO" "Y" "N" 246366 10 1119.6 247485.6 93.5866719510626 0.000114175255703701 28.2567316629838 104.915679719637 9.08488015710882e-05 22.4837701661017
"AL" "AL0019" "101-009" "OXFORD PUBLIC LIBRARY" 13 21275 "110 EAST 6TH STREET
OXFORD, AL 36203
(33.60972, -85.835517)" "110 EAST 6TH STREET
OXFORD, AL 36203
