"STATE" "FSCS.ID" "LIBRARY.ID" "LIBRARY.NAME" "LOCALE" "SERVICE.AREA.POPULATION" "LOCATION" "ADDRESS" "LATITUDE" "LONGITUDE" "UNDUPLICATED.POPULATION" "CENTRAL.LIBRARIES" "BRANCH.LIBRARIES" "BOOKMOBILES" "MLS.LIBRARIAN.STAFF" "LIBRARIAN.STAFF" "OTHER.STAFF" "TOTAL.STAFF" "LOCAL.REVENUE" "STATE.REVENUE" "FEDERAL.REVENUE" "OTHER.REVENUE" "TOTAL.REVENUE" "SALARIES" "BENEFITS" "TOTAL.STAFF.EXPENDITURES" "PRINT.EXPENDITURES" "ELECTRONIC.EXPENDITURES" "OTHER.COLLECTION.EXPENDITURES" "TOTAL.COLLECTION.EXPENDITURES" "OTHER.EXPENDITURES" "TOTAL.EXPENDITURES" "LOCAL.CAPITAL.REVENUE" "STATE.CAPITAL.REVENUE" "FEDERAL.CAPITAL.REVENUE" "OTHER.CAPITAL.REVENUE" "TOTAL.CAPITAL.REVENUE" "CAPITAL.EXPENDITURES" "PRINT.MATERIALS" "EBOOKS" "AUDIO.MATERIALS" "AUDIO.DOWNLOADS" "VIDEO.MATERIALS" "VIDEO.DOWNLOADS" "LOCAL.DATABASES" "STATE.DATABASES" "TOTAL.DATABASES" "PRINT.SERIALS" "HOURS" "VISITS" "REFERENCES" "USERS" "TOTAL.CIRCULATION" "KIDS.CIRCULATION" "ELECTRONIC.CIRCULATION" "LOANS.TO" "LOANS.FROM" "TOTAL.PROGRAMS" "KIDS.PROGRAMS" "YA.PROGRAMS" "PROGRAM.AUDIENCE" "KIDS.PROGRAM.AUDIENCE" "YA.PROGRAM.AUDIENCE" "COMPUTERS" "COMPUTER.USES" "WIFI.SESSIONS" "YEAR" "START.DATE" "END.DATE" "REPORTING.STATUS" "BEA.REGION" "STRUCTURE.CHANGE" "NAME.CHANGE" "ADDRESS.CHANGE" "INTERLIBRARY.RELATIONSHIP" "MAILING.ADDRESS" "MAILING.CITY" "MAILING.ZIP" "PHONE" "COUNTY" "COUNTY.POPULATION" "LEGAL.BASIS" "ADMINISTRATIVE.STRUCTURE" "FSCS.DEFINITION" "LSABOUND" "CollectionSpace" "seatsPer" "WorkSpace" "Size" "Distance" "Weight" "SizeWeight" "DriveDistance" "DriveWeight" "DriveSizeWeight"
"ND" "ND0006" "ND006" "BEULAH PUBLIC LIBRARY" 33 3121 "116 CENTRAL AVENUE N
BEULAH, ND 58523
(47.263694, -101.777993)" "116 CENTRAL AVENUE N
BEULAH, ND 58523
" 47.263694 -101.777993 3121 1 0 0 0 1 2 3 32743 16327 0 20000 69070 44500 3820 48320 10000 0 250 10250 10500 69070 0 0 0 0 0 0 13500 0 300 0 920 0 33 25 58 45 2448 13800 510 3391 26500 6500 0 1950 1712 64 41 5 1055 820 25 9 1250 1800 2015 "2014-01-01" "2014-12-31" 2 4 0 0 0 "NO" "PO BOX 239" "BEULAH" 58523 7018732884 "MERCER" 8746 "CI" "SO" "Y" "N" 192350 10 1386.3 193736.3 82.2602252760684 0.000147781547831458 28.6306502851396 113.803173971939 7.72131464840542e-05 14.9589893111787
"ND" "ND0008" "ND008" "BOTTINEAU COUNTY PUBLIC LIBRARY" 43 6736 "314 WEST 5TH STREET
BOTTINEAU, ND 58318
(48.827323, -100.449375)" "314 WEST 5TH STREET
BOTTINEAU, ND 58318
" 48.827323 -100.449375 6736 1 0 1 0 2 0.5 2.5 133782 12911 3656 5469 155818 73654 28000 101654 20615 1000 0 21615 29093 152362 0 0 0 0 0 10000 27471 0 452 0 879 0 33 25 58 53 3354 15245 567 3331 51148 13632 0 197 304 36 30 3 825 630 15 6 1527 -1 2015 "2014-01-01" "2014-12-31" 2 4 0 0 0 "NO" "314 WEST 5TH STREET" "BOTTINEAU" 58318 7012282967 "BOTTINEAU" 6650 "CO" "MO" "Y" "N" 375385 7 1789.56 377174.56 49.638819559698 0.000405842112257781 153.073320120299 69.0040637776977 0.00021001516902904 79.2123789718537
"ND" "ND0010" "ND010" "CANDO COMMUNITY LIBRARY" 43 1115 "523 MAIN
CANDO, ND 58324
(48.489868, -99.203228)" "523 MAIN
CANDO, ND 58324
" 48.489868 -99.203228 1115 1 0 0 0 1 0 1 13270 0 0 17520 30790 NA NA NA 3200 0 200 3400 NA 30790 0 0 0 0 0 0 26000 0 360 0 280 0 0 25 25 6 816 4498 62 749 6848 1818 0 0 288 27 16 8 621 551 58 4 600 20 2015 "2014-01-01" "2014-12-31" 1 4 0 0 0 "NO" "PO BOX 798" "CANDO" 58324 7019684549 "TOWNER" 2310 "CI" "SO" "Y" "N" 346578 14.25 626.6625 347204.6625 98.1013894616257 0.000103908166805147 36.0773999865747 126.998024034697 6.20020533380905e-05 21.5274020035587
"ND" "ND0019" "ND019" "DIVIDE COUNTY PUBLIC LIBRARY" 43 2314 "204 FIRST STREET NE
CROSBY, ND 58730
(48.913897, -103.293401)" "204 FIRST STREET NE
CROSBY, ND 58730
" 48.913897 -103.293401 2314 1 0 0 0 1 1 2 71428 27674 0 42343 141445 NA NA NA 5994 1734 0 7728 NA 135686 0 0 0 0 0 0 18270 12805 334 3955 759 435 33 25 58 30 2295 13336 2340 1101 21593 13278 180 251 149 26 17 1 341 285 0 6 1120 -1 2015 "2014-01-01" "2014-12-31" 1 4 0 0 0 "NO" "PO BOX 90" "CROSBY" 58730 7019656305 "DIVIDE" 2432 "MJ" "SO" "Y" "N" 252379 14.25 1289.235 253668.235 95.718350173493 0.00010914644407249 27.6869858243947 117.399679371668 7.25548048558156e-05 18.4048492885442
"ND" "ND0031" "ND031" "GARRISON PUBLIC LIBRARY" 43 1453 "32 SOUTH MAIN STREET
GARRISON, ND 58540
(47.651077, -101.417439)" "32 SOUTH MAIN STREET
GARRISON, ND 58540
" 47.651077 -101.417439 1453 1 0 0 0 1 0 1 41991 1110 0 12248 55349 NA NA NA 7652 0 2144 9796 NA 53673 0 0 0 0 0 0 22435 0 678 0 990 0 33 25 58 2 1850 8859 654 872 21040 5740 0 1806 1692 83 53 3 467 309 74 6 1193 -1 2015 "2014-01-01" "2014-12-31" 1 4 0 0 0 "NO" "PO BOX 67" "GARRISON" 58540 7014637336 "MCLEAN" 9578 "CI" "SO" "Y" "N" 313635 14.25 771.1575 314406.1575 53.0203652084477 0.000355725149264352 111.842177306319 64.4674214274174 0.000240613173288431 75.6502632574972
"ND" "ND0039" "ND039" "HARVEY PUBLIC LIBRARY" 43 1783 "119 EAST TENTH STREET
HARVEY, ND 58341
(47.768561, -99.936053)" "119 EAST TENTH STREET
HARVEY, ND 58341
" 47.768561 -99.936053 1783 1 0 0 0 1 0 1 21370 3080 0 50199 74649 NA NA NA 6230 196 0 6426 NA 58999 0 0 0 0 0 0 15635 0 647 0 510 0 33 25 58 80 1683 16741 1453 322 32935 5408 0 0 220 12 7 2 385 200 100 5 1824 110 2015 "2014-01-01" "2014-12-31" 1 4 0 0 0 "NO" "119 EAST TENTH STREET" "HARVEY" 58341 7013242156 "WELLS" 4192 "CI" "SO" "Y" "N" 219561 14.25 912.2325 220473.2325 78.7631523555904 0.000161195836627294 35.5393671667613 89.1396473088347 0.000125851436530351 27.7468730266151
"ND" "ND0040" "ND040" "HAZEN PUBLIC LIBRARY" 43 2411 "203 EAST MAIN
HAZEN, ND 58545
