"STATE" "FSCS.ID" "LIBRARY.ID" "LIBRARY.NAME" "LOCALE" "SERVICE.AREA.POPULATION" "LOCATION" "ADDRESS" "LATITUDE" "LONGITUDE" "UNDUPLICATED.POPULATION" "CENTRAL.LIBRARIES" "BRANCH.LIBRARIES" "BOOKMOBILES" "MLS.LIBRARIAN.STAFF" "LIBRARIAN.STAFF" "OTHER.STAFF" "TOTAL.STAFF" "LOCAL.REVENUE" "STATE.REVENUE" "FEDERAL.REVENUE" "OTHER.REVENUE" "TOTAL.REVENUE" "SALARIES" "BENEFITS" "TOTAL.STAFF.EXPENDITURES" "PRINT.EXPENDITURES" "ELECTRONIC.EXPENDITURES" "OTHER.COLLECTION.EXPENDITURES" "TOTAL.COLLECTION.EXPENDITURES" "OTHER.EXPENDITURES" "TOTAL.EXPENDITURES" "LOCAL.CAPITAL.REVENUE" "STATE.CAPITAL.REVENUE" "FEDERAL.CAPITAL.REVENUE" "OTHER.CAPITAL.REVENUE" "TOTAL.CAPITAL.REVENUE" "CAPITAL.EXPENDITURES" "PRINT.MATERIALS" "EBOOKS" "AUDIO.MATERIALS" "AUDIO.DOWNLOADS" "VIDEO.MATERIALS" "VIDEO.DOWNLOADS" "LOCAL.DATABASES" "STATE.DATABASES" "TOTAL.DATABASES" "PRINT.SERIALS" "HOURS" "VISITS" "REFERENCES" "USERS" "TOTAL.CIRCULATION" "KIDS.CIRCULATION" "ELECTRONIC.CIRCULATION" "LOANS.TO" "LOANS.FROM" "TOTAL.PROGRAMS" "KIDS.PROGRAMS" "YA.PROGRAMS" "PROGRAM.AUDIENCE" "KIDS.PROGRAM.AUDIENCE" "YA.PROGRAM.AUDIENCE" "COMPUTERS" "COMPUTER.USES" "WIFI.SESSIONS" "YEAR" "START.DATE" "END.DATE" "REPORTING.STATUS" "BEA.REGION" "STRUCTURE.CHANGE" "NAME.CHANGE" "ADDRESS.CHANGE" "INTERLIBRARY.RELATIONSHIP" "MAILING.ADDRESS" "MAILING.CITY" "MAILING.ZIP" "PHONE" "COUNTY" "COUNTY.POPULATION" "LEGAL.BASIS" "ADMINISTRATIVE.STRUCTURE" "FSCS.DEFINITION" "LSABOUND" "CollectionSpace" "seatsPer" "WorkSpace" "Size" "Distance" "Weight" "SizeWeight" "DriveDistance" "DriveWeight" "DriveSizeWeight"
"FL" "FL0005" "FSCS5060" "ORANGE COUNTY LIBRARY DISTRICT" 21 1182511 "101 EAST CENTRAL BLVD.
ORLANDO, FL 32801
(28.542187, -81.376276)" "101 EAST CENTRAL BLVD.
ORLANDO, FL 32801
" 28.542187 -81.376276 1161687 1 14 0 36 66 227 293 28662701 888331 177985 2092069 31821086 13309026 5494941 18803967 1785130 1744200 942188 4471518 11023507 34298992 18362 0 0 0 18362 2254737 1252212 212875 88435 46641 357976 15943 34 59 93 1064 44562 4157301 1384497 414848 13769726 2753945 3998237 367 392 24742 5766 1149 319052 169217 8450 527 818475 252409 2015 "2013-10-01" "2014-09-30" 2 5 0 0 0 "NO" "101 EAST CENTRAL BLVD." "ORLANDO" 32801 4078357323 "ORANGE" 1253001 "LD" "MO" "Y" "N" 22119646 2.25 123769.4925 22243415.4925 51.2543028306108 0.000380661836831751 8467.21939878687 66.5614475499273 0.000225711914000951 5020.60388473059
"FL" "FL0011" "FSCS5009" "BREVARD COUNTY LIBRARY SYSTEM" 21 552427 "308 FORREST AVENUE
COCOA, FL 32922
(28.359562, -80.730352)" "308 FORREST AVENUE
COCOA, FL 32922
" 28.359562 -80.730352 542699 1 16 1 42.53 83.42 122.86 206.28 14801276 448604 0 706180 15956060 6923346 2273222 9196568 592150 130268 333662 1056080 3467921 13720569 0 0 0 0 0 120322 1184819 12425 38965 0 114567 0 0 59 59 1260 41790 2705255 1432196 353806 5059874 1613398 -1 0 0 6248 3633 0 265971 230733 0 363 519558 126312 2015 "2013-10-01" "2014-09-30" 2 5 0 0 0 "ME" "308 FORREST AVENUE" "COCOA" 32922 3216331848 "BREVARD" 556885 "CO" "MO" "Y" "N" 17431278 2.25 68230.8225 17499508.8225 11.17971066179 0.0080009005505567 140011.829772412 17.1498875315347 0.00339998849453896 59498.1286565831
"FL" "FL0028" "FSCS5029" "FLAGLER BEACH PUBLIC LIBRARY" 21 4462 "315 SOUTH SEVENTH STREET
FLAGLER BEACH, FL 32136
(29.476321, -81.127883)" "315 SOUTH SEVENTH STREET
FLAGLER BEACH, FL 32136
" 29.476321 -81.127883 4383 1 0 0 0.19 1.68 0.91 2.59 95536 2084 0 3047 100667 47079 10657 57736 10301 795 2339 13435 25397 96568 0 0 0 0 0 4811 24411 19749 601 16208 1268 1334 1 59 60 17 1687 18213 4587 4185 23764 5794 -1 320 279 62 45 0 1262 963 0 15 6437 -1 2015 "2013-10-01" "2014-09-30" 4 5 0 0 0 "NO" "P.O. BOX 449" "FLAGLER BEACH" 32136 3865172030 "FLAGLER" 102408 "CI" "SO" "Y" "N" 342536 10 1727.1 344263.1 91.1804003334386 0.000120280994614451 41.4083080770541 107.301751028372 8.68533115039252e-05 29.900390263607
"FL" "FL0029" "FSCS5030" "FLAGLER COUNTY PUBLIC LIBRARY" 21 99121 "2500 PALM COAST PARKWAY NW
PALM COAST, FL 32137
(29.553327, -81.238988)" "2500 PALM COAST PARKWAY NW
PALM COAST, FL 32137
" 29.553327 -81.238988 97375 1 1 0 3.75 3.75 12.6 16.35 996825 28523 0 108900 1134248 497364 171719 669083 108639 52152 23027 183818 143874 996775 320000 0 0 0 320000 135201 139915 3310 4380 479 7710 0 66 59 125 40 4265 318039 44624 57578 409242 105637 19042 711 717 593 335 234 24826 17863 5209 44 70081 4828 2015 "2013-10-01" "2014-09-30" 1 5 0 0 0 "ME" "2500 PALM COAST PARKWAY NW" "PALM COAST" 32137 3864466764 "FLAGLER" 102408 "CO" "MO" "Y" "N" 1978565 2.25 9143.1675 1987708.1675 98.6017474483375 0.000102856271342683 204.448250626446 110.973442529236 8.12010944543913e-05 161.404078656933
"FL" "FL0036" "FSCS5038" "INDIAN RIVER COUNTY LIBRARY" 13 140955 "1600 21ST STREET
VERO BEACH, FL 32960
(27.639795, -80.401892)" "1600 21ST STREET
VERO BEACH, FL 32960
" 27.639795 -80.401892 138473 1 3 0 2.5 15.5 26 41.5 3218746 92962 0 0 3311708 1535719 519856 2055575 244955 71045 112931 428931 827202 3311708 0 0 0 0 0 0 429343 3500 32416 0 31343 0 15 59 74 1600 8172 590056 642307 90875 1321705 278795 33207 0 500 2787 672 89 42000 14065 1746 128 450529 -1 2015 "2013-10-01" "2014-09-30" 1 5 0 0 0 "ME" "1600 21ST STREET" "VERO BEACH" 32960 7727705060 "INDIAN RIVER" 144755 "CO" "MO" "Y" "N" 6436886 2.25 15739.4625 6452625.4625 43.34262872792 0.000532315980953951 3434.83565279913 57.61554426038 0.000301245565423838 1943.82480591907
"FL" "FL0039" "FSCS5042" "LAKE COUNTY LIBRARY SYSTEM" 22 309736 "2401 WOODLEA RD.
TAVARES, FL 32778
(28.789553, -81.753016)" "2401 WOODLEA RD.
TAVARES, FL 32778
