"STATE" "FSCS.ID" "LIBRARY.ID" "LIBRARY.NAME" "LOCALE" "SERVICE.AREA.POPULATION" "LOCATION" "ADDRESS" "LATITUDE" "LONGITUDE" "UNDUPLICATED.POPULATION" "CENTRAL.LIBRARIES" "BRANCH.LIBRARIES" "BOOKMOBILES" "MLS.LIBRARIAN.STAFF" "LIBRARIAN.STAFF" "OTHER.STAFF" "TOTAL.STAFF" "LOCAL.REVENUE" "STATE.REVENUE" "FEDERAL.REVENUE" "OTHER.REVENUE" "TOTAL.REVENUE" "SALARIES" "BENEFITS" "TOTAL.STAFF.EXPENDITURES" "PRINT.EXPENDITURES" "ELECTRONIC.EXPENDITURES" "OTHER.COLLECTION.EXPENDITURES" "TOTAL.COLLECTION.EXPENDITURES" "OTHER.EXPENDITURES" "TOTAL.EXPENDITURES" "LOCAL.CAPITAL.REVENUE" "STATE.CAPITAL.REVENUE" "FEDERAL.CAPITAL.REVENUE" "OTHER.CAPITAL.REVENUE" "TOTAL.CAPITAL.REVENUE" "CAPITAL.EXPENDITURES" "PRINT.MATERIALS" "EBOOKS" "AUDIO.MATERIALS" "AUDIO.DOWNLOADS" "VIDEO.MATERIALS" "VIDEO.DOWNLOADS" "LOCAL.DATABASES" "STATE.DATABASES" "TOTAL.DATABASES" "PRINT.SERIALS" "HOURS" "VISITS" "REFERENCES" "USERS" "TOTAL.CIRCULATION" "KIDS.CIRCULATION" "ELECTRONIC.CIRCULATION" "LOANS.TO" "LOANS.FROM" "TOTAL.PROGRAMS" "KIDS.PROGRAMS" "YA.PROGRAMS" "PROGRAM.AUDIENCE" "KIDS.PROGRAM.AUDIENCE" "YA.PROGRAM.AUDIENCE" "COMPUTERS" "COMPUTER.USES" "WIFI.SESSIONS" "YEAR" "START.DATE" "END.DATE" "REPORTING.STATUS" "BEA.REGION" "STRUCTURE.CHANGE" "NAME.CHANGE" "ADDRESS.CHANGE" "INTERLIBRARY.RELATIONSHIP" "MAILING.ADDRESS" "MAILING.CITY" "MAILING.ZIP" "PHONE" "COUNTY" "COUNTY.POPULATION" "LEGAL.BASIS" "ADMINISTRATIVE.STRUCTURE" "FSCS.DEFINITION" "LSABOUND" "CollectionSpace" "seatsPer" "WorkSpace" "Size" "Distance" "Weight" "SizeWeight" "DriveDistance" "DriveWeight" "DriveSizeWeight"
"GA" "GA0039" "GA0039" "EAST CENTRAL GEORGIA REGIONAL LIBRARY SYSTEM" 12 234310 "823 TELFAIR STREET
AUGUSTA, GA 30901
(33.472678, -81.968658)" "823 TELFAIR STREET
AUGUSTA, GA 30901
" 33.472678 -81.968658 234295 1 8 0 12 12 46.5 58.5 3129256 602105 0 190390 3921751 1922814 499891 2422705 119120 22000 7400 148520 1044792 3616017 0 0 0 0 0 0 348983 6291 5767 4929 26134 1 12 165 177 265 20962 461346 132241 106609 594281 177327 9295 28595 24028 2332 813 274 40533 21933 3951 293 280340 50354 2015 "2013-07-01" "2014-06-30" 1 5 0 0 0 "NO" "823 TELFAIR STREET" "AUGUSTA" 30901 7068212600 "RICHMOND" 201368 "MJ" "MO" "Y" "N" 4968122 2.25 24590.925 4992712.925 92.9709987805261 0.000115692446987528 577.619175399507 108.4686890278 8.49945771377573e-05 424.35352383059
"NC" "NC0015" "R-SANDHILL" "SANDHILL REGIONAL LIBRARY SYSTEM" 32 229647 "412 E FRANKLIN ST
ROCKINGHAM, NC 28379
(34.938556, -79.7706)" "412 E FRANKLIN ST
ROCKINGHAM, NC 28379
" 34.938556 -79.7706 229647 0 15 2 5 6 44 50 1803705 559649 81951 129613 2574918 1324215 492418 1816633 172342 5991 19661 197994 546788 2561415 0 0 0 0 0 0 329170 29309 7210 1619 17995 563 0 66 66 313 28323 403782 182337 112043 442789 131884 549 112 103 1595 948 130 63189 53681 1795 125 85669 1738 2015 "2013-07-01" "2014-06-30" 1 5 0 0 0 "NO" "412 E FRANKLIN ST" "ROCKINGHAM" 28379 9109973388 "RICHMOND" 45733 "MJ" "MA" "Y" "N" 4616569 2.25 23001.1725 4639570.1725 77.7226730273971 0.000165540606967255 768.037262422821 91.1522736028434 0.000120355235946202 558.396562800197
"NC" "NC0021" "C-CABARRUS" "CABARRUS COUNTY PUBLIC LIBRARY" 22 186457 "27 UNION ST N
CONCORD, NC 28025
(35.411094, -80.58198)" "27 UNION ST N
CONCORD, NC 28025
