"STATE" "FSCS.ID" "LIBRARY.ID" "LIBRARY.NAME" "LOCALE" "SERVICE.AREA.POPULATION" "LOCATION" "ADDRESS" "LATITUDE" "LONGITUDE" "UNDUPLICATED.POPULATION" "CENTRAL.LIBRARIES" "BRANCH.LIBRARIES" "BOOKMOBILES" "MLS.LIBRARIAN.STAFF" "LIBRARIAN.STAFF" "OTHER.STAFF" "TOTAL.STAFF" "LOCAL.REVENUE" "STATE.REVENUE" "FEDERAL.REVENUE" "OTHER.REVENUE" "TOTAL.REVENUE" "SALARIES" "BENEFITS" "TOTAL.STAFF.EXPENDITURES" "PRINT.EXPENDITURES" "ELECTRONIC.EXPENDITURES" "OTHER.COLLECTION.EXPENDITURES" "TOTAL.COLLECTION.EXPENDITURES" "OTHER.EXPENDITURES" "TOTAL.EXPENDITURES" "LOCAL.CAPITAL.REVENUE" "STATE.CAPITAL.REVENUE" "FEDERAL.CAPITAL.REVENUE" "OTHER.CAPITAL.REVENUE" "TOTAL.CAPITAL.REVENUE" "CAPITAL.EXPENDITURES" "PRINT.MATERIALS" "EBOOKS" "AUDIO.MATERIALS" "AUDIO.DOWNLOADS" "VIDEO.MATERIALS" "VIDEO.DOWNLOADS" "LOCAL.DATABASES" "STATE.DATABASES" "TOTAL.DATABASES" "PRINT.SERIALS" "HOURS" "VISITS" "REFERENCES" "USERS" "TOTAL.CIRCULATION" "KIDS.CIRCULATION" "ELECTRONIC.CIRCULATION" "LOANS.TO" "LOANS.FROM" "TOTAL.PROGRAMS" "KIDS.PROGRAMS" "YA.PROGRAMS" "PROGRAM.AUDIENCE" "KIDS.PROGRAM.AUDIENCE" "YA.PROGRAM.AUDIENCE" "COMPUTERS" "COMPUTER.USES" "WIFI.SESSIONS" "YEAR" "START.DATE" "END.DATE" "REPORTING.STATUS" "BEA.REGION" "STRUCTURE.CHANGE" "NAME.CHANGE" "ADDRESS.CHANGE" "INTERLIBRARY.RELATIONSHIP" "MAILING.ADDRESS" "MAILING.CITY" "MAILING.ZIP" "PHONE" "COUNTY" "COUNTY.POPULATION" "LEGAL.BASIS" "ADMINISTRATIVE.STRUCTURE" "FSCS.DEFINITION" "LSABOUND" "CollectionSpace" "seatsPer" "WorkSpace" "Size" "Distance" "Weight" "SizeWeight" "DriveDistance" "DriveWeight" "DriveSizeWeight"
"KS" "KS0157" "FSCS0001" "ZENDA PUBLIC LIBRARY" 43 168 "215 N. MAIN
ZENDA, KS 67159
(37.443572, -98.281903)" "215 N. MAIN
ZENDA, KS 67159
" 37.443572 -98.281903 168 1 0 0 0 0.28 0 0.28 8350 4512 570 425 13857 NA NA NA 1281 400 831 2512 NA 13200 0 0 0 0 0 0 5803 485 5 0 650 0 0 52 52 12 572 572 234 101 2434 1258 270 0 19 15 11 0 65 49 0 4 156 -1 2015 "2014-01-01" "2014-12-31" 1 4 0 0 0 "ME" "215 N. MAIN" "ZENDA" 67159 6202435791 "KINGMAN" 7698 "CI" "SO" "Y" "N" 84290 22.5 155.4 84445.4 78.9957736509103 0.000160247877706495 13.532196132076 97.5859669181155 0.000105008694863684 8.86750124124175
"KS" "KS0161" "KS0126" "HARDTNER PUBLIC LIBRARY" 43 177 "102 E CENTRAL
HARDTNER, KS 67057
(37.013827, -98.649357)" "102 E CENTRAL
HARDTNER, KS 67057
" 37.013827 -98.649357 177 1 0 0 0 0.33 0 0.33 5072 4533 0 13122 22727 NA NA NA 7204 515 2665 10384 NA 22727 1 0 0 876 877 0 13036 212 164 604 5457 36 31 52 83 22 679 2677 237 442 9311 4599 384 78 1 20 13 4 287 172 30 4 972 -1 2015 "2014-01-01" "2014-12-31" 1 4 0 0 0 "ME" "PO BOX 38" "HARDTNER" 67057 6202964586 "BARBER" 4897 "CI" "SO" "Y" "N" 243007 22.5 168.975 243175.975 61.8538023009347 0.000261376896016804 63.5605815313599 86.5398237786919 0.000133526660359908 32.4704758215145
"KS" "KS0163" "KS0302" "VIOLA TOWNSHIP" 42 482 "100 N. GRICE
VIOLA, KS 67149
(37.482007, -97.642858)" "100 N. GRICE
VIOLA, KS 67149
