"STATE" "FSCS.ID" "LIBRARY.ID" "LIBRARY.NAME" "LOCALE" "SERVICE.AREA.POPULATION" "LOCATION" "ADDRESS" "LATITUDE" "LONGITUDE" "UNDUPLICATED.POPULATION" "CENTRAL.LIBRARIES" "BRANCH.LIBRARIES" "BOOKMOBILES" "MLS.LIBRARIAN.STAFF" "LIBRARIAN.STAFF" "OTHER.STAFF" "TOTAL.STAFF" "LOCAL.REVENUE" "STATE.REVENUE" "FEDERAL.REVENUE" "OTHER.REVENUE" "TOTAL.REVENUE" "SALARIES" "BENEFITS" "TOTAL.STAFF.EXPENDITURES" "PRINT.EXPENDITURES" "ELECTRONIC.EXPENDITURES" "OTHER.COLLECTION.EXPENDITURES" "TOTAL.COLLECTION.EXPENDITURES" "OTHER.EXPENDITURES" "TOTAL.EXPENDITURES" "LOCAL.CAPITAL.REVENUE" "STATE.CAPITAL.REVENUE" "FEDERAL.CAPITAL.REVENUE" "OTHER.CAPITAL.REVENUE" "TOTAL.CAPITAL.REVENUE" "CAPITAL.EXPENDITURES" "PRINT.MATERIALS" "EBOOKS" "AUDIO.MATERIALS" "AUDIO.DOWNLOADS" "VIDEO.MATERIALS" "VIDEO.DOWNLOADS" "LOCAL.DATABASES" "STATE.DATABASES" "TOTAL.DATABASES" "PRINT.SERIALS" "HOURS" "VISITS" "REFERENCES" "USERS" "TOTAL.CIRCULATION" "KIDS.CIRCULATION" "ELECTRONIC.CIRCULATION" "LOANS.TO" "LOANS.FROM" "TOTAL.PROGRAMS" "KIDS.PROGRAMS" "YA.PROGRAMS" "PROGRAM.AUDIENCE" "KIDS.PROGRAM.AUDIENCE" "YA.PROGRAM.AUDIENCE" "COMPUTERS" "COMPUTER.USES" "WIFI.SESSIONS" "YEAR" "START.DATE" "END.DATE" "REPORTING.STATUS" "BEA.REGION" "STRUCTURE.CHANGE" "NAME.CHANGE" "ADDRESS.CHANGE" "INTERLIBRARY.RELATIONSHIP" "MAILING.ADDRESS" "MAILING.CITY" "MAILING.ZIP" "PHONE" "COUNTY" "COUNTY.POPULATION" "LEGAL.BASIS" "ADMINISTRATIVE.STRUCTURE" "FSCS.DEFINITION" "LSABOUND" "CollectionSpace" "seatsPer" "WorkSpace" "Size" "Distance" "Weight" "SizeWeight" "DriveDistance" "DriveWeight" "DriveSizeWeight"
"KS" "KS0072" "KS0181" "LIBRARY DISTRICT #1, MIAMI COUNTY" 32 8858 "206 S. BROADWAY ST.
LOUISBURG, KS 66053
(38.61919, -94.681293)" "206 S. BROADWAY ST.
LOUISBURG, KS 66053
" 38.61919 -94.681293 8858 1 0 0 2 3 7.25 10.25 672344 3679 2349 12450 690822 296183 86926 383109 37257 4379 20695 62331 274959 720399 0 0 0 60675 60675 5258 38460 557 1659 0 3224 0 2 52 54 83 3016 46500 4500 11435 97565 37747 27380 840 2672 365 166 56 6425 4393 697 30 8725 -1 2015 "2014-01-01" "2014-12-31" 1 4 0 0 0 "ME" "206 S. BROADWAY ST." "LOUISBURG" 66053 9138372217 "MIAMI" 32822 "LD" "SO" "Y" "N" 565888 7 3397.68 569285.68 60.9994537260217 0.000268749774486115 152.995398118175 93.9198677718816 0.000113366582573828 64.5379720498176
"KS" "KS0094" "KS0268" "RICHMOND PUBLIC LIBRARY" 42 462 "107 E. CENTRAL
RICHMOND, KS 66080
(38.401602, -95.25613)" "107 E. CENTRAL
RICHMOND, KS 66080
" 38.401602 -95.25613 462 1 0 0 0 0.7 0.15 0.85 14461 11420 89 8073 34043 NA NA NA 2862 50 1030 3942 NA 35289 25 0 0 0 25 0 4860 0 52 0 820 34 1 52 53 10 1248 5437 753 168 4634 2282 34 921 426 96 55 18 805 547 72 5 1804 -1 2015 "2014-01-01" "2014-12-31" 1 4 0 0 0 "ME" "107 E. CENTRAL" "RICHMOND" 66080 7858356163 "FRANKLIN" 25611 "CI" "SO" "Y" "N" 74871 22.5 439.35 75310.35 94.4611983055078 0.000112070961724185 8.44010335228501 124.79960729243 6.42056966415652e-05 4.8353534860701
"KS" "KS0117" "KS0015" "BALDWIN CITY LIBRARY" 31 4540 "800 7TH ST.
BALDWIN CITY, KS 66006
(38.774582, -95.187454)" "800 7TH ST.
BALDWIN CITY, KS 66006
