"Base..Long.Name." "Base..Short.Name." "Base..Abbreviation." "Longitude" "Latitude" "IDW" "overallRank"
"Keesler AFB" "keesler" "kslr" -88.923611 30.411389 1 1
"McConnell AFB" "mcconnell" "mccn" -97.2514246 37.631893 0.435114142473807 2
"Brooks City-Base" "brooks" "brks" -98.4458421 29.3417239 0.346442843939772 3
"Robins AFB" "robins" "rbns" -83.591719 32.6400014 0.334265497136107 4
"Arnold AFB" "arnold" "arnl" -86.0494122 35.3788236 0.289880648939811 5
"Columbus AFB" "columbus" "clmb" -88.4355422 33.6356982 0.220493356081822 6
"Moody AFB" "moody" "mody" -83.193054 30.968611 0.217841589390474 7
"Dover AFB" "dover" "dovr" -75.4865456 39.1317247 0.176775178292733 8
"Davis-Monthan AFB" "davis monthan" "dvsm" -110.8605934 32.155285 0.173035375760113 9
"Vance AFB" "vance" "vanc" -97.917222 36.339444 0.163470963480108 10
"Goodfellow AFB" "goodfellow" "gdfl" -100.4003209 31.4346088 0.135518336216133 11
"Vandenberg AFB" "vandenberg" "vndn" -120.5163949 34.7582101 0.133713072486217 12
"Kirtland AFB" "kirtland" "krtl" -106.5112712 35.0128396 0.120406305032438 13
"Schriever AFB" "schriever" "schr" -104.5130967 38.7981865 0.115224457256005 14
"Beale AFB" "beale" "beal" -121.3598812 39.111504 0.113387871433006 15
"Malmstrom AFB" "malmstrom" "mlms" -111.1790622 47.5042584 0.10810143494532 16
"Wright-Patterson AFB" "wright patterson" "wrgp" -84.0537448 39.8137298 0.106078333140953 17
"Peterson AFB" "peterson" "ptrs" -104.6995991 38.8256561 0.104825028644913 18
"FE Warren AFB" "fe warren" "fewr" -104.8629746 41.1446846 0.102524577057906 19
"Los Angeles AFB" "los angeles" "lsan" -118.381147 33.91903 0.101847313088529 20
"Scott AFB" "scott" "sctt" -89.8551818 38.5426987 0.100889979623958 21
"Maxwell AFB" "maxwell" "mxwl" -86.3625491 32.3791554 0.0983649280246681 22
"Minot AFB" "minot" "mint" -101.3386723 48.4157509 0.0967050338196244 23
"Grand Forks AFB" "grand forks" "grnf" -97.3824492 47.9525204 0.0956360472614244 24
"Cannon AFB" "cannon" "cnnn" -103.3183038 34.3897838 0.0875717681948017 25
"Sheppard AFB" "sheppard" "shpp" -98.5068511 33.9720185 0.0874161084511141 26
