"Base..Long.Name." "Base..Short.Name." "Base..Abbreviation." "Longitude" "Latitude" "5_Miles" "Std_5_Miles" "10_Miles" "Std_10_Miles" "15_Miles" "Std_15_Miles" "20_Miles" "Std_20_Miles" "25_Miles" "Std_25_Miles" "30_Miles" "Std_30_Miles" "35_Miles" "Std_35_Miles" "40_Miles" "Std_40_Miles" "45_Miles" "Std_45_Miles" "50_Miles" "Std_50_Miles" "55_Miles" "Std_55_Miles" "60_Miles" "Std_60_Miles" "65_Miles" "Std_65_Miles" "70_Miles" "Std_70_Miles" "75_Miles" "Std_75_Miles" "80_Miles" "Std_80_Miles" "85_Miles" "Std_85_Miles" "90_Miles" "Std_90_Miles" "95_Miles" "Std_95_Miles" "100_Miles" "Std_100_Miles"
"Altus AFB" "altus" "alts" -99.285251 34.651461 958580.37 0.131588624397609 958580.37 0.030039816883197 958580.37 0.030039816883197 958580.37 0.030039816883197 958580.37 0.034843755397185 943718.133405314 0.0369193446054832 943718.133405314 0.0388682286454655 928744.299272706 0.0382515122889986 925335.66291011 0.0399533533839167 925335.66291011 0.0405501424474834 928954.002158172 0.040708705634674 925053.962747939 0.0414124511171479 918671.608948906 0.0411267284184097 912461.149184637 0.0410444279748521 910727.677840318 0.0409664527757962 906473.250635701 0.0407750796623983 903237.950549758 0.0408760849868448 902181.448360213 0.0410558933264042 901273.052955145 0.0412115300194593 899668.53937339 0.0416418159040243
"Andrews AFB" "andrews" "andw" -76.8836261 38.7965203 0 0 0 0 0 0 16569536.9839533 0.51925312933053 13532216.0385204 0.491887003306846 13356852.4219137 0.522535511350002 13095506.8800265 0.539355065483867 13658823.2721454 0.562555965788294 13908326.3506958 0.600521842982475 13645267.5105097 0.597964137192166 13645267.5105097 0.597964137192166 13717377.1388764 0.614094131905244 13276134.4832857 0.594340754652344 13150803.1320498 0.591550875834226 12995067.0128723 0.584545536557726 12727945.664222 0.572529854613328 12296078.6678425 0.556459741672436 11944466.6990532 0.54356111126918 11380793.0256001 0.520397111487937 11033873.4582297 0.510710897566695
"Arnold AFB" "arnold" "arnl" -86.0494122 35.3788236 0 0 907524.950000003 0.0284398514387819 960777.770981948 0.030108678634577 902231.012353974 0.0282739509859302 841575.210263216 0.03059069608816 697072.468693274 0.0272702810041575 643430.13252611 0.0265004863456046 643430.13252611 0.0265004863456046 697694.132480594 0.0301244416985042 686448.203863009 0.0300815947825067 678705.679340138 0.0297423011781532 670815.839694034 0.0300308190534257 714051.612961074 0.0319663811060594 722081.588217235 0.0324807535817089 837836.679886596 0.0376876618725342 849931.841786128 0.0382317277781052 845679.646431215 0.0382712806499408 847513.013571524 0.0385680773431722 845709.611188767 0.0386708411118841 847116.992424709 0.0392094291440818
"Barksdale AFB" "barksdale" "brkd" -93.6571416 32.5018595 3173680.81999999 0.435665392752487 6334850.54094828 0.198520391391395 6334850.54094828 0.198520391391395 6334850.54094828 0.198520391391395 6334850.54094828 0.230267580720985 6148127.26131107 0.240521847577154 6148127.26131107 0.253218421555354 6148127.26131107 0.253218421555354 6075506.7665612 0.262323045096314 6011373.58596441 0.263430952665633 5958982.60448389 0.261135070374317 5936137.10147378 0.265746645535376 5898925.41776295 0.264080767549097 5873484.28758162 0.264201717539962 5857963.93964181 0.263503579538438 5805091.28679395 0.261125256040947 5756099.41833516 0.260492607594032 5701850.91937134 0.259476165835881 5678926.19743205 0.259674065141957 5658688.83716692 0.261916548709797
"Beale AFB" "beale" "beal" -121.3598812 39.111504 0 0 0 0 0 0 1603744.535 0.0502578538707484 1612914.03677061 0.0586283465975016 1709475.34134728 0.0668766520296058 2085367.58584949 0.0858885097864582 2085367.58584949 0.0858885097864582 2117537.57070772 0.0914292296917822 2788181.45284444 0.122183937801235 2744508.37719073 0.120270092361291 2809450.00083346 0.125772350058338 2809450.00083346 0.125772350058338 2808713.85728983 0.126341876276613 2779738.92751498 0.125038522792157 2779738.92751498 0.125038522792157 2728915.07156375 0.1234972072633 2783790.08978562 0.126682929666834 2783790.08978562 0.127291333605181 2843675.58372973 0.131621602808205
"Bolling AFB" "bolling" "blln" -77.0144498 38.8451309 0 0 26755997.2775001 0.838474564989705 18366779.2576362 0.575574780060949 17142265.8073825 0.5372012007891 17142265.8073825 0.623109898177826 17385002.8860099 0.680121415278832 17270707.7657695 0.711316011155461 17061183.6331845 0.702686493925914 17200476.5885227 0.742667495762337 17137085.7187118 0.75098290802178 17022767.1860373 0.745973231025479 16816767.2254442 0.752846405417677 16749231.0226809 0.749822971317395 16697016.0454126 0.751067015930792 16553697.7866605 0.744620258220518 16350169.4153944 0.73546512259339 16113408.9063835 0.72921323941739 15928057.4896344 0.724843799858502 15764667.7184938 0.720853768785476 15515030.0035584 0.718124503501675
"Brooks City-Base" "brooks" "brks" -98.4458421 29.3417239 13083.1275 0.00179597955938064 13083.1275 0.000409996664504531 4943921.83968372 0.15493172132133 4722508.66829747 0.147993115720664 4434330.80697922 0.161184959367138 4033934.99658735 0.157812201528572 3814483.71645764 0.157104351402776 3680137.11087699 0.151571116002701 3587356.11930926 0.154891800341907 3526126.11698326 0.154522215086562 3478848.66955129 0.152450418543143 3411504.18114676 0.152724874252749 3370846.19933773 0.150904713751856 3362811.81872814 0.151266371845098 3312132.87823891 0.148986726158691 3289371.81700234 0.147962885593654 3283431.96843166 0.148591901069309 3288843.79965973 0.149666589189411 3275674.9890132 0.149783217972709 3261766.48256175 0.150973245639283
"Buckley AFB" "buckley" "bckl" -104.7579278 39.7025365 3138778.9975 0.430874263124261 3138778.9975 0.0983624840155288 3138778.9975 0.0983624840155288 3024772.70831026 0.0947897757085638 3701723.78972195 0.134555184222072 3800595.45901293 0.148683689006821 3835659.74129886 0.157976512852467 3804874.45292116 0.156708581692489 3786656.67962577 0.163497029811715 3786656.67962577 0.165939208779264 3771933.14241731 0.165293992610618 3758650.55082856 0.168265786073976 3739400.94258258 0.167404027200859 3742519.37449961 0.168346418966332 3758368.08206653 0.169059327276791 3746056.52791645 0.168505527591157 3743320.97166802 0.169404204149979 3728612.7107692 0.169679310062353 3714060.16927956 0.169828779034804 3710157.18738099 0.171727337136317
"Cannon AFB" "cannon" "cnnn" -103.3183038 34.3897838 0 0 1697157.74999999 0.0531852201729296 1697157.74999999 0.0531852201729296 1548666.68324909 0.0485318341934237 1548666.68324909 0.0562929982625255 1548666.68324909 0.0605856313808348 1548666.68324909 0.0637838021856552 1507340.37538292 0.0620817257643628 1483476.74410283 0.064052292556804 1483476.74410283 0.0650090509877411 1483476.74410283 0.0650090509877411 1466305.45763231 0.0656429846607244 1440529.83141617 0.0644890715878925 1423976.07989995 0.0640534489622846 1404865.98104001 0.0631938363892452 1398076.20909778 0.0628884181194398 1391031.37615019 0.0629512042937023 1391031.37615019 0.0633021615515432 1378590.06790738 0.0630372846295683 1356543.40498693 0.0627886029844147
"Charleston AFB" "charleston" "chrl" -80.0690944 32.8940204 0 0 0 0 14559869.1075 0.456274523786271 14559869.1075 0.456274523786271 11713642.5060567 0.425783071576052 11713642.5060567 0.458251239388666 11713642.5060567 0.48244122803256 10813004.8775386 0.445347324638297 10295271.5473341 0.444520446797024 10295271.5473341 0.451160313509364 10295271.5473341 0.451160313509364 10295271.5473341 0.460894657891337 10295271.5473341 0.460894657891337 9835599.01921223 0.442425999062338 9553607.33091806 0.429741417861221 9228958.59655719 0.415138032712704 9095787.4310318 0.411630379156271 9095787.4310318 0.413925246597388 9095787.4310318 0.415913152551831 9026119.131343 0.417780521098318
