"Base..Long.Name." "Base..Short.Name." "Base..Abbreviation." "Longitude" "Latitude" "5_Miles" "Std_5_Miles" "10_Miles" "Std_10_Miles" "15_Miles" "Std_15_Miles" "20_Miles" "Std_20_Miles" "25_Miles" "Std_25_Miles" "30_Miles" "Std_30_Miles" "35_Miles" "Std_35_Miles" "40_Miles" "Std_40_Miles" "45_Miles" "Std_45_Miles" "50_Miles" "Std_50_Miles" "55_Miles" "Std_55_Miles" "60_Miles" "Std_60_Miles" "65_Miles" "Std_65_Miles" "70_Miles" "Std_70_Miles" "75_Miles" "Std_75_Miles" "80_Miles" "Std_80_Miles" "85_Miles" "Std_85_Miles" "90_Miles" "Std_90_Miles" "95_Miles" "Std_95_Miles" "100_Miles" "Std_100_Miles"
"Altus AFB" "altus" "alts" -99.285251 34.651461 958580.370000003 0.0358267479271313 958580.370000003 0.0300398168831972 958580.370000003 0.0370812234957729 942353.896208839 0.036185987459729 931207.160640583 0.0399646235990237 926177.386981342 0.0410640226837474 923155.288694682 0.0420896770825101 919758.742702752 0.0432974007021001 916127.540569425 0.0431264628175251 905869.626111895 0.043057462042423 901000.96674586 0.0428260467153077 894981.49006742 0.0425399311627754 897943.944993488 0.042908988105451 897940.892598065 0.0430613387603422 894095.714785458 0.0432260787317612 890359.812861703 0.0434956625558792 887472.475930589 0.0434781547277845 885974.713406653 0.0438922251139455 884702.895762928 0.0438422018774471 882726.908021325 0.0438177259081659
"Andrews AFB" "andrews" "andw" -76.8836261 38.7965203 0 0 0 0 16764199.2066202 0.648497545916092 14068408.3518264 0.540220876939758 14278356.3612984 0.612784310205989 14626996.1347437 0.648518641801282 14626996.1347437 0.666892722749813 14714829.5068743 0.69269672561093 14414270.4074181 0.678547985121031 14016297.1495235 0.666217483283167 13809097.0737435 0.656368925454402 13505410.9594243 0.641934228713069 13323820.3887377 0.636689688445594 12866869.0265926 0.617039061820595 12533980.5593948 0.605969608760254 12090625.5891502 0.590648592982757 11870929.1160276 0.581568563383342 11753732.4379906 0.582293673048177 11293312.0157051 0.559649649197282 10938907.7207139 0.542996997016185
"Arnold AFB" "arnold" "arnl" -86.0494122 35.3788236 0 0 961722.123113571 0.0301382725695199 916981.229554982 0.0354720240250244 700228.569978701 0.0268884782608018 656445.501774737 0.0281726757488126 654513.741358233 0.0290192435053484 633375.281007758 0.0288776562038172 658456.593592531 0.0309966708160222 655722.0549577 0.0308679431296077 672087.510158182 0.0319454164525083 683287.911746953 0.0324777898232089 706780.275860394 0.0335944202377232 711963.279254978 0.0340217494103057 785978.238678711 0.0376920969665103 786834.056214296 0.0380403913141575 778306.66394163 0.038021666668659 772654.649570387 0.0378531158050144 766833.619380581 0.0379898357565712 769406.670705163 0.0381285997191417 759572.695361488 0.0377044676787766
"Barksdale AFB" "barksdale" "brkd" -93.6571416 32.5018595 3173680.82000001 0.118615680330812 5836204.59224237 0.18289391555539 5836204.59224237 0.225764697071769 5836204.59224237 0.224107765709808 5666233.76049013 0.243177790113097 5666233.76049013 0.251224392802919 5635602.12194651 0.256945582593838 5603472.09223197 0.263781973724398 5502879.66377266 0.259046611633898 5482525.67037328 0.260593394616753 5465012.42095549 0.259760961283843 5407050.64980542 0.257005943686093 5388423.97452552 0.257490260410096 5343021.96715795 0.256228088984834 5294312.16237216 0.255959569626317 5252244.06042826 0.256581476402499 5228527.55448772 0.256150738392344 5202063.12239929 0.257716300668846 5192784.89421353 0.257332856859185 5174102.12177859 0.256837518526711
"Beale AFB" "beale" "beal" -121.3598812 39.111504 0 0 0 0 1612608.75213517 0.0623813166017195 1695613.17658218 0.0651108223685387 2090307.89508808 0.0897097571455488 2162765.27365826 0.0958907478259486 2122655.57086705 0.0967788286860302 2731675.32905939 0.128592897049036 2731675.32905939 0.128592897049036 2731675.32905939 0.129840987491802 2678374.57565517 0.127307515676012 2678374.57565517 0.127307515676012 2633095.07409118 0.125824608367418 2626512.02554833 0.12595609023107 2647217.01406346 0.127982730682724 2684809.19643195 0.131157710790642 2674870.28715283 0.131044542085247 2708801.54243721 0.134197201444377 2767192.0017034 0.137130545128053 2780085.74211976 0.138000817628254
"Bolling AFB" "bolling" "blln" -77.0144498 38.8451309 26755997.2775 1 16799044.7762765 0.526445402686449 16799044.7762765 0.649845493773884 17404211.386517 0.668314289899648 17108994.6602675 0.73426683197425 17022914.7753038 0.754746734591411 16933137.1061522 0.77203725258355 16954220.5136049 0.798115467771699 16775664.8882717 0.789710008710828 16751190.063032 0.79621140781612 16621365.3176902 0.790040625748159 16488641.0178728 0.78373202312283 16393078.3341457 0.783356697456973 16209701.2716781 0.777346753464009 16145022.1969917 0.780549541925336 16035173.1839052 0.783346768078535 15883943.8348161 0.778170125235058 15763960.7511287 0.780965081176487 15587316.7435898 0.772442693104172 15459339.2528914 0.767386927881189
"Brooks City-Base" "brooks" "brks" -98.4458421 29.3417239 13083.1275 0.000488979250681941 5471707.07575477 0.171471358832611 5060062.96262101 0.195740838735965 4822244.71792282 0.185172139248871 4485510.10678804 0.192504665604252 4317605.48549329 0.191430121365444 4194404.76814337 0.191236668853536 4114365.57540465 0.19368267642637 4068538.76726314 0.191525391496225 4017614.6198447 0.190963781110019 3961720.03592448 0.188307020295716 3940462.90377425 0.187296634105136 3899058.89700286 0.186319728271192 3894388.07213885 0.186757909591797 3864764.59748689 0.186846459509962 3860371.48101995 0.188586022025305 3850365.9468853 0.188633237579263 3839763.47146281 0.190226380192856 3824844.13315703 0.189543392972657 3811659.76083174 0.189207172838641
"Buckley AFB" "buckley" "bckl" -104.7579278 39.7025365 3138778.99750001 0.117311231756609 3506034.19685089 0.109871460501145 4249477.891656 0.164384588264458 4425072.81717787 0.169920907755551 4416599.33832567 0.189547221718594 4320943.90038962 0.191578137012293 4320943.90038962 0.197006002875417 4312436.63871487 0.203006819592906 4271922.98781031 0.201099650141094 4266649.5618846 0.202800818422048 4245762.51207215 0.201808022849094 4245762.51207215 0.201808022849094 4239985.14276711 0.202611168628797 4225976.54358951 0.202659450122875 4209597.02400282 0.203517777100852 4205541.75770938 0.205448204776959 4205541.75770938 0.206033651989167 4190122.89067344 0.207583596224061 4184710.24787905 0.207376863311747 4185015.87677463 0.207740216077568
"Cannon AFB" "cannon" "cnnn" -103.3183038 34.3897838 0 0 1697157.75 0.0531852201729301 1522530.86700853 0.0588967906350471 1522530.86700853 0.0584645355447348 1522530.86700853 0.0653424668427527 1522530.86700853 0.0675046086617566 1522530.86700853 0.0694171753391076 1464019.59596134 0.0689183371019618 1464019.59596134 0.0689183371019618 1464019.59596134 0.0695872412159699 1450201.82010278 0.0689304597737062 1405002.52178057 0.0667820633425267 1399885.51658604 0.0668946779084513 1382987.53814529 0.0663220657086871 1382987.53814529 0.0668621124341901 1372701.42366688 0.0670589092761127 1372701.42366688 0.0672500009993624 1344190.89621128 0.0665927915546969 1341761.17998002 0.0664921125563594 1338703.76549348 0.0664519843403321
"Charleston AFB" "charleston" "chrl" -80.0690944 32.8940204 0 0 0 0 14559869.1075 0.563226389086608 14559869.1075 0.559092760224053 12217280.8999988 0.524329121606107 12217280.8999988 0.541678847986569 11435799.3869979 0.521395597548595 10885125.2418745 0.512414405439686 10885125.2418745 0.512414405439686 10661285.6347655 0.506748309370561 10661285.6347655 0.506748309370561 10016398.6352909 0.476095777592109 9875453.11559581 0.471906629178409 9730421.97781319 0.466628706323153 9532274.23007759 0.460848687168737 9532274.23007759 0.465668572763806 9504031.33468013 0.465611899088636 9399959.08633783 0.465684984047671 9273171.53194685 0.459539875245026 9128657.78382887 0.453137908277738
